#Energy      Si   C  Total
          0.1000          8.08542507E+02          5.43734211E+01          5.09472832E+01
          0.2000          4.12698797E+02          3.00373831E+01          2.79995004E+01
          0.3000          2.79506013E+02          2.15617123E+01          2.00175168E+01
          0.4000          2.12429439E+02          1.71853011E+01          1.58990833E+01
          0.5000          1.71939602E+02          1.44900278E+01          1.33638071E+01
          0.6000          1.44802963E+02          1.26529739E+01          1.16361958E+01
          0.7000          1.25327132E+02          1.13152896E+01          1.03782762E+01
          0.8000          1.10656612E+02          1.02948024E+01          9.41855831E+00
          0.9000          9.92002978E+01          9.48891300E+00          8.66050078E+00
          1.0000          9.00009045E+01          8.83528885E+00          8.04547364E+00
          2.0000          4.80402008E+01          5.76025466E+00          5.14352134E+00
          3.0000          3.37060729E+01          4.67070011E+00          4.10224586E+00
          4.0000          2.64169492E+01          4.11731031E+00          3.56212264E+00
          5.0000          2.19878470E+01          3.79027164E+00          3.23297111E+00
          6.0000          1.90063646E+01          3.58130560E+00          3.01348476E+00
          7.0000          1.68608848E+01          3.44221179E+00          2.85861500E+00
          8.0000          1.52428199E+01          3.34810595E+00          2.74513364E+00
          9.0000          1.39793377E+01          3.28477403E+00          2.65979311E+00
         10.0000          1.29659717E+01          3.24347553E+00          2.59446305E+00
         11.0000          1.21357909E+01          3.21852454E+00          2.54386729E+00
         12.0000          1.14438931E+01          3.20605427E+00          2.50442827E+00
         13.0000          1.08590088E+01          3.20333871E+00          2.47363274E+00
         14.0000          1.03586794E+01          3.20839805E+00          2.44966294E+00
         15.0000          9.92634945E+00          3.21975800E+00          2.43117160E+00
         16.0000          9.54954105E+00          3.23629706E+00          2.41713929E+00
         17.0000          9.21866782E+00          3.25714627E+00          2.40678078E+00
         18.0000          8.92624053E+00          3.28162144E+00          2.39948177E+00
         19.0000          8.66632163E+00          3.30917620E+00          2.39475517E+00
         20.0000          8.43414185E+00          3.33936879E+00          2.39221001E+00
         21.0000          8.22582546E+00          3.37183798E+00          2.39152919E+00
         22.0000          8.03818967E+00          3.40628545E+00          2.39245297E+00
         23.0000          7.86859588E+00          3.44246260E+00          2.39476677E+00
         24.0000          7.71483776E+00          3.48016052E+00          2.39829191E+00
         25.0000          7.57505594E+00          3.51920238E+00          2.40287851E+00
         26.0000          7.44767214E+00          3.55943745E+00          2.40840003E+00
         27.0000          7.33133783E+00          3.60073645E+00          2.41474899E+00
         28.0000          7.22489374E+00          3.64298785E+00          2.42183354E+00
         29.0000          7.12733769E+00          3.68609494E+00          2.42957480E+00
         30.0000          7.03779876E+00          3.72997339E+00          2.43790468E+00
         31.0000          6.95551643E+00          3.77454938E+00          2.44676414E+00
         32.0000          6.87982355E+00          3.81975800E+00          2.45610176E+00
         33.0000          6.81013240E+00          3.86554191E+00          2.46587255E+00
         34.0000          6.74592317E+00          3.91185032E+00          2.47603702E+00
         35.0000          6.68673444E+00          3.95863805E+00          2.48656037E+00
         36.0000          6.63215510E+00          4.00586477E+00          2.49741181E+00
         37.0000          6.58181775E+00          4.05349440E+00          2.50856402E+00
         38.0000          6.53539295E+00          4.10149454E+00          2.51999267E+00
         39.0000          6.49258447E+00          4.14983602E+00          2.53167603E+00
         40.0000          6.45312519E+00          4.19849251E+00          2.54359465E+00
         41.0000          6.41677359E+00          4.24744021E+00          2.55573103E+00
         42.0000          6.38331076E+00          4.29665750E+00          2.56806943E+00
         43.0000          6.35253780E+00          4.34612473E+00          2.58059562E+00
         44.0000          6.32427360E+00          4.39582404E+00          2.59329671E+00
         45.0000          6.29835286E+00          4.44573907E+00          2.60616100E+00
         46.0000          6.27462442E+00          4.49585491E+00          2.61917786E+00
         47.0000          6.25294978E+00          4.54615786E+00          2.63233757E+00
         48.0000          6.23320177E+00          4.59663536E+00          2.64563126E+00
         49.0000          6.21526345E+00          4.64727588E+00          2.65905080E+00
         50.0000          6.19902708E+00          4.69806877E+00          2.67258873E+00
         51.0000          6.18439324E+00          4.74900423E+00          2.68623817E+00
         52.0000          6.17127004E+00          4.80007320E+00          2.69999281E+00
         53.0000          6.15957240E+00          4.85126730E+00          2.71384681E+00
         54.0000          6.14922147E+00          4.90257877E+00          2.72779474E+00
         55.0000          6.14014403E+00          4.95400041E+00          2.74183162E+00
         56.0000          6.13227202E+00          5.00552554E+00          2.75595279E+00
         57.0000          6.12554209E+00          5.05714796E+00          2.77015392E+00
         58.0000          6.11989518E+00          5.10886186E+00          2.78443099E+00
         59.0000          6.11527621E+00          5.16066188E+00          2.79878025E+00
         60.0000          6.11163369E+00          5.21254297E+00          2.81319818E+00
         61.0000          6.10891947E+00          5.26450045E+00          2.82768152E+00
