#Energy      Si  Total
          0.1000          5.29012253E+02          5.29012253E+02
          0.2000          2.70020090E+02          2.70020090E+02
          0.3000          1.82874870E+02          1.82874870E+02
          0.4000          1.38988087E+02          1.38988087E+02
          0.5000          1.12496443E+02          1.12496443E+02
          0.6000          9.47415143E+01          9.47415143E+01
          0.7000          8.19988903E+01          8.19988903E+01
          0.8000          7.24002795E+01          7.24002795E+01
          0.9000          6.49046557E+01          6.49046557E+01
          1.0000          5.88856874E+01          5.88856874E+01
          2.0000          3.14316868E+01          3.14316868E+01
          3.0000          2.20531703E+01          2.20531703E+01
          4.0000          1.72840509E+01          1.72840509E+01
          5.0000          1.43861830E+01          1.43861830E+01
          6.0000          1.24354621E+01          1.24354621E+01
          7.0000          1.10317201E+01          1.10317201E+01
          8.0000          9.97305453E+00          9.97305453E+00
          9.0000          9.14638485E+00          9.14638485E+00
         10.0000          8.48336092E+00          8.48336092E+00
         11.0000          7.94019120E+00          7.94019120E+00
         12.0000          7.48749707E+00          7.48749707E+00
         13.0000          7.10481967E+00          7.10481967E+00
         14.0000          6.77746476E+00          6.77746476E+00
         15.0000          6.49460040E+00          6.49460040E+00
         16.0000          6.24806264E+00          6.24806264E+00
         17.0000          6.03157928E+00          6.03157928E+00
         18.0000          5.84025030E+00          5.84025030E+00
         19.0000          5.67019086E+00          5.67019086E+00
         20.0000          5.51828054E+00          5.51828054E+00
         21.0000          5.38198354E+00          5.38198354E+00
         22.0000          5.25921741E+00          5.25921741E+00
         23.0000          5.14825578E+00          5.14825578E+00
         24.0000          5.04765510E+00          5.04765510E+00
         25.0000          4.95619881E+00          4.95619881E+00
         26.0000          4.87285429E+00          4.87285429E+00
         27.0000          4.79673921E+00          4.79673921E+00
         28.0000          4.72709509E+00          4.72709509E+00
         29.0000          4.66326623E+00          4.66326623E+00
         30.0000          4.60468281E+00          4.60468281E+00
         31.0000          4.55084722E+00          4.55084722E+00
         32.0000          4.50132297E+00          4.50132297E+00
         33.0000          4.45572552E+00          4.45572552E+00
         34.0000          4.41371479E+00          4.41371479E+00
         35.0000          4.37498885E+00          4.37498885E+00
         36.0000          4.33927874E+00          4.33927874E+00
         37.0000          4.30634408E+00          4.30634408E+00
         38.0000          4.27596931E+00          4.27596931E+00
         39.0000          4.24796063E+00          4.24796063E+00
         40.0000          4.22214326E+00          4.22214326E+00
         41.0000          4.19835917E+00          4.19835917E+00
         42.0000          4.17646515E+00          4.17646515E+00
         43.0000          4.15633106E+00          4.15633106E+00
         44.0000          4.13783839E+00          4.13783839E+00
         45.0000          4.12087900E+00          4.12087900E+00
         46.0000          4.10535399E+00          4.10535399E+00
         47.0000          4.09117272E+00          4.09117272E+00
         48.0000          4.07825202E+00          4.07825202E+00
         49.0000          4.06651535E+00          4.06651535E+00
         50.0000          4.05589224E+00          4.05589224E+00
         51.0000          4.04631763E+00          4.04631763E+00
         52.0000          4.03773140E+00          4.03773140E+00
         53.0000          4.03007788E+00          4.03007788E+00
         54.0000          4.02330548E+00          4.02330548E+00
