#Energy      Al-K-shell   Al-L1-shell   Al-L2-shell   Al-L3-shell   Valence  Total
          0.1000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.2000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.3000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.4000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.5000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.6000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.7000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.8000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.9000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          1.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          2.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          3.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          4.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          5.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.33333333E+29          1.00000000E+30
          6.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.50461173E+02          1.50461173E+02
          7.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.35219946E+02          2.35219946E+02
          8.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.64150053E+02          3.64150053E+02
          9.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.61492398E+02          5.61492398E+02
         10.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.85333169E+02          7.85333169E+02
         11.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.28900242E+03          1.28900242E+03
         12.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.01246159E+03          2.01246159E+03
         13.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.91493196E+03          2.91493196E+03
         14.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.82562915E+03          3.82562915E+03
         15.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.53449493E+03          4.53449493E+03
         16.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.92664059E+03          4.92664059E+03
         17.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.01094941E+03          5.01094941E+03
         18.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.93088937E+03          4.93088937E+03
         19.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.74564062E+03          4.74564062E+03
         20.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.57564181E+03          4.57564181E+03
         21.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.39192007E+03          4.39192007E+03
         22.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.22179124E+03          4.22179124E+03
         23.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.10732370E+03          4.10732370E+03
         24.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.99720222E+03          3.99720222E+03
         25.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.89213645E+03          3.89213645E+03
         26.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.82850317E+03          3.82850317E+03
         27.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.78398976E+03          3.78398976E+03
         28.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.75101202E+03          3.75101202E+03
         29.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.70773258E+03          3.70773258E+03
         30.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.70512890E+03          3.70512890E+03
         31.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.70683352E+03          3.70683352E+03
         32.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.69993564E+03          3.69993564E+03
         33.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.71858359E+03          3.71858359E+03
         34.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.72653773E+03          3.72653773E+03
         35.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.76043904E+03          3.76043904E+03
         36.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.78421196E+03          3.78421196E+03
         37.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.82309849E+03          3.82309849E+03
         38.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.85912659E+03          3.85912659E+03
         39.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.90635079E+03          3.90635079E+03
         40.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.95330252E+03          3.95330252E+03
         41.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.00063572E+03          4.00063572E+03
         42.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.06363722E+03          4.06363722E+03
         43.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.12106510E+03          4.12106510E+03
         44.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.18381029E+03          4.18381029E+03
         45.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.25349702E+03          4.25349702E+03
         46.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.32467063E+03          4.32467063E+03
         47.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.40280020E+03          4.40280020E+03
         48.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.47600253E+03          4.47600253E+03
         49.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.55449840E+03          4.55449840E+03
         50.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.63974099E+03          4.63974099E+03
         51.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.73072797E+03          4.73072797E+03
         52.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.81243014E+03          4.81243014E+03
         53.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.90218745E+03          4.90218745E+03
         54.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.00417455E+03          5.00417455E+03
         55.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.10662007E+03          5.10662007E+03
         56.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.19564291E+03          5.19564291E+03
         57.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.30188215E+03          5.30188215E+03
         58.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.41038867E+03          5.41038867E+03
         59.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.52249892E+03          5.52249892E+03
         60.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.64182741E+03          5.64182741E+03
         61.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.74059981E+03          5.74059981E+03
         62.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.86060858E+03          5.86060858E+03
         63.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.98553008E+03          5.98553008E+03
         64.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.10185262E+03          6.10185262E+03
         65.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.23268454E+03          6.23268454E+03
         66.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.36943308E+03          6.36943308E+03
         67.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.46796764E+03          6.46796764E+03
         68.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.59934940E+03          6.59934940E+03
         69.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.73772511E+03          6.73772511E+03
         70.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.87932730E+03          6.87932730E+03
         71.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.00349361E+03          7.00349361E+03
         72.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.14339571E+03          7.14339571E+03
         73.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.29362543E+03          7.29362543E+03
         74.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.41579611E+03          7.41579611E+03
         75.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.56191874E+03          7.56191874E+03
         76.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.70776729E+03          7.70776729E+03
         76.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.86597768E+03          7.86597768E+03
         77.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.86613930E+03          7.86613930E+03
         77.0010          1.00000000E+30          1.00000000E+30          9.67272766E+03          4.15449664E+03          7.86630093E+03          2.12219129E+03
         78.0000          1.00000000E+30          1.00000000E+30          7.24647613E+03          3.12498100E+03          8.01806188E+03          1.71609456E+03
         79.0000          1.00000000E+30          1.00000000E+30          5.44124582E+03          2.35792700E+03          8.18567109E+03          1.36977393E+03
         80.0000          1.00000000E+30          1.00000000E+30          4.10593226E+03          1.77825222E+03          8.31153332E+03          1.07966326E+03
         81.0000          1.00000000E+30          1.00000000E+30          3.10577689E+03          1.34657329E+03          8.46937436E+03          8.45538071E+02
         82.0000          1.00000000E+30          1.00000000E+30          2.37296981E+03          1.05228529E+03          8.64160611E+03          6.72293890E+02
         83.0000          1.00000000E+30          1.00000000E+30          1.91092756E+03          8.68181611E+02          8.76922559E+03          5.58917142E+02
         84.0000          1.00000000E+30          1.00000000E+30          1.61334759E+03          7.47910448E+02          8.92526054E+03          4.83341806E+02
         85.0000          1.00000000E+30          1.00000000E+30          1.41980233E+03          6.66859624E+02          9.09821788E+03          4.32189285E+02
         86.0000          1.00000000E+30          1.00000000E+30          1.28817962E+03          6.12883367E+02          9.25370164E+03          3.97458502E+02
         87.0000          1.00000000E+30          1.00000000E+30          1.19337634E+03          5.76396987E+02          9.42457552E+03          3.73276454E+02
         88.0000          1.00000000E+30          1.00000000E+30          1.13405466E+03          5.48698233E+02          9.59847449E+03          3.56065717E+02
         89.0000          1.00000000E+30          1.00000000E+30          1.08752770E+03          5.29322076E+02          9.75514354E+03          3.43496741E+02
         90.0000          1.00000000E+30          1.00000000E+30          1.05398639E+03          5.16205670E+02          9.93715918E+03          3.34826258E+02
         91.0000          1.00000000E+30          1.00000000E+30          1.03167573E+03          5.07259559E+02          1.01080842E+04          3.28990130E+02
         92.0000          1.00000000E+30          1.00000000E+30          1.01701694E+03          5.01150984E+02          1.02593033E+04          3.25082001E+02
         93.0000          1.00000000E+30          1.00000000E+30          1.00673315E+03          4.96871532E+02          1.04362167E+04          3.22401275E+02
         94.0000          1.00000000E+30          1.00000000E+30          1.00052923E+03          4.94287875E+02          1.06267757E+04          3.20853675E+02
         95.0000          1.00000000E+30          1.00000000E+30          9.91136484E+02          4.90342450E+02          1.08244230E+04          3.18398583E+02
         96.0000          1.00000000E+30          1.00000000E+30          9.89206193E+02          4.86459512E+02          1.09530481E+04          3.16668154E+02
         97.0000          1.00000000E+30          1.00000000E+30          9.83640239E+02          4.87861234E+02          1.11439541E+04          3.16843750E+02
         98.0000          1.00000000E+30          1.00000000E+30          9.78136571E+02          4.85755997E+02          1.13400154E+04          3.15538820E+02
         99.0000          1.00000000E+30          1.00000000E+30          9.81015366E+02          4.83668851E+02          1.15299305E+04          3.15098270E+02
        100.0000          1.00000000E+30          1.00000000E+30          9.78141301E+02          4.85487949E+02          1.16935282E+04          3.15691649E+02
        110.0000          1.00000000E+30          1.00000000E+30          9.79408573E+02          4.87045619E+02          1.36591895E+04          3.17719446E+02
        120.0000          1.00000000E+30          1.00000000E+30          1.02280349E+03          5.10365021E+02          1.57683054E+04          3.33277209E+02
