#Energy      Al-K-shell   Al-L1-shell   Al-L2-shell   Al-L3-shell   Valence  Total
        840.0000          1.00000000E+30          8.89910546E+02          4.74118573E+02          2.37059287E+02          2.72872660E+01          2.26765751E+01
        850.0000          1.00000000E+30          8.93924069E+02          4.77351793E+02          2.38675896E+02          2.75505704E+01          2.28831771E+01
        860.0000          1.00000000E+30          8.97986988E+02          4.80591152E+02          2.40295576E+02          2.78134343E+01          2.30894824E+01
        870.0000          1.00000000E+30          9.02096719E+02          4.83836229E+02          2.41918115E+02          2.80758634E+01          2.32954941E+01
        880.0000          1.00000000E+30          9.06250872E+02          4.87086627E+02          2.43543313E+02          2.83355174E+01          2.34996015E+01
        890.0000          1.00000000E+30          9.10447167E+02          4.90341966E+02          2.45170983E+02          2.85971062E+01          2.37050446E+01
        900.0000          1.00000000E+30          9.14683466E+02          4.93601902E+02          2.46800951E+02          2.88582809E+01          2.39102054E+01
        910.0000          1.00000000E+30          9.18957799E+02          4.96866097E+02          2.48433049E+02          2.91190469E+01          2.41150868E+01
        920.0000          1.00000000E+30          9.23268240E+02          5.00134241E+02          2.50067121E+02          2.93794097E+01          2.43196919E+01
        930.0000          1.00000000E+30          9.27613031E+02          5.03406040E+02          2.51703020E+02          2.96393748E+01          2.45240236E+01
        940.0000          1.00000000E+30          9.31990485E+02          5.06681217E+02          2.53340609E+02          2.98989476E+01          2.47280849E+01
        950.0000          1.00000000E+30          9.36399020E+02          5.09959506E+02          2.54979753E+02          3.01581338E+01          2.49318791E+01
        960.0000          1.00000000E+30          9.40837157E+02          5.13240666E+02          2.56620333E+02          3.04169387E+01          2.51354091E+01
        970.0000          1.00000000E+30          9.45303461E+02          5.16113425E+02          2.58056712E+02          3.06753675E+01          2.53357086E+01
        980.0000          1.00000000E+30          9.49796599E+02          5.19377737E+02          2.59688869E+02          3.09334255E+01          2.55385508E+01
        990.0000          1.00000000E+30          9.54315308E+02          5.22639543E+02          2.61319772E+02          3.11911177E+01          2.57411026E+01
       1000.0000          1.00000000E+30          9.58858403E+02          5.25898865E+02          2.62949433E+02          3.14484489E+01          2.59433681E+01
       1100.0000          1.00000000E+30          1.00540674E+03          5.58873568E+02          2.79436784E+02          3.40028966E+01          2.79549641E+01
       1200.0000          1.00000000E+30          1.05344262E+03          5.92024373E+02          2.96012187E+02          3.65278690E+01          2.99464094E+01
       1300.0000          1.00000000E+30          1.10242284E+03          6.25296048E+02          3.12648024E+02          3.90265276E+01          3.19199020E+01
       1400.0000          1.00000000E+30          1.15199993E+03          6.58216183E+02          3.29108092E+02          4.15014835E+01          3.38737864E+01
       1500.0000          1.00000000E+30          1.20072104E+03          6.90820803E+02          3.45410401E+02          4.39530462E+01          3.58075840E+01
       1563.9990          1.00000000E+30          1.23399545E+03          7.11730068E+02          3.55865034E+02          4.55115798E+01          3.70399359E+01
       1564.0010          4.68927578E+13          1.23399661E+03          7.11730770E+02          3.55865385E+02          4.55116286E+01          3.70399750E+01
       1600.0000          6.57163864E+07          1.25095900E+03          7.23538291E+02          3.61769146E+02          4.63831890E+01          3.77284062E+01
       1700.0000          8.56720676E+06          1.30208683E+03          7.55962728E+02          3.77981364E+02          4.87954128E+01          3.96348929E+01
