#Energy      Cu  Total
          0.1000          5.50694263E+03          5.50694263E+03
          0.2000          2.76701515E+03          2.76701515E+03
          0.3000          1.85164281E+03          1.85164281E+03
          0.4000          1.39315849E+03          1.39315849E+03
          0.5000          1.11766127E+03          1.11766127E+03
          0.6000          9.33756600E+02          9.33756600E+02
          0.7000          8.02240876E+02          8.02240876E+02
          0.8000          7.03496920E+02          7.03496920E+02
          0.9000          6.26618492E+02          6.26618492E+02
          1.0000          5.65057510E+02          5.65057510E+02
          2.0000          2.87064722E+02          2.87064722E+02
          3.0000          1.93786372E+02          1.93786372E+02
          4.0000          1.46918441E+02          1.46918441E+02
          5.0000          1.18685642E+02          1.18685642E+02
          6.0000          9.98003845E+01          9.98003845E+01
          7.0000          8.62716634E+01          8.62716634E+01
          8.0000          7.60992773E+01          7.60992773E+01
          9.0000          6.81696342E+01          6.81696342E+01
         10.0000          6.18132695E+01          6.18132695E+01
         11.0000          5.66033843E+01          5.66033843E+01
         12.0000          5.22549609E+01          5.22549609E+01
         13.0000          4.85703620E+01          4.85703620E+01
         14.0000          4.54082033E+01          4.54082033E+01
         15.0000          4.26646529E+01          4.26646529E+01
         16.0000          4.02617292E+01          4.02617292E+01
         17.0000          3.81397205E+01          3.81397205E+01
         18.0000          3.62521256E+01          3.62521256E+01
         19.0000          3.45621881E+01          3.45621881E+01
         20.0000          3.30404685E+01          3.30404685E+01
         21.0000          3.16631078E+01          3.16631078E+01
         22.0000          3.04105637E+01          3.04105637E+01
         23.0000          2.92666755E+01          2.92666755E+01
         24.0000          2.82179621E+01          2.82179621E+01
         25.0000          2.72530883E+01          2.72530883E+01
         26.0000          2.63624533E+01          2.63624533E+01
         27.0000          2.55378711E+01          2.55378711E+01
         28.0000          2.47723190E+01          2.47723190E+01
         29.0000          2.40597371E+01          2.40597371E+01
         30.0000          2.33948694E+01          2.33948694E+01
         31.0000          2.27731340E+01          2.27731340E+01
         32.0000          2.21905187E+01          2.21905187E+01
         33.0000          2.16434946E+01          2.16434946E+01
         34.0000          2.11289456E+01          2.11289456E+01
         35.0000          2.06441097E+01          2.06441097E+01
         36.0000          2.01865299E+01          2.01865299E+01
         37.0000          1.97540134E+01          1.97540134E+01
         38.0000          1.93445966E+01          1.93445966E+01
