#Energy      Sn   O  Total
          0.1000          1.04901840E+05          2.44892667E+02          2.44322298E+02
          0.2000          5.25378550E+04          1.29981256E+02          1.29660469E+02
          0.3000          3.50698422E+04          9.06409066E+01          9.04072416E+01
          0.4000          2.63306648E+04          7.05731751E+01          7.03845259E+01
          0.5000          2.10845209E+04          5.83318676E+01          5.81709334E+01
          0.6000          1.75855342E+04          5.00538023E+01          4.99117382E+01
          0.7000          1.50852487E+04          4.40658540E+01          4.39375072E+01
          0.8000          1.32093370E+04          3.95236756E+01          3.94057696E+01
          0.9000          1.17497891E+04          3.59542403E+01          3.58445563E+01
          1.0000          1.05817708E+04          3.30715395E+01          3.29685020E+01
          2.0000          5.31934321E+03          1.96695467E+01          1.95970818E+01
          3.0000          3.56114289E+03          1.49594160E+01          1.48968383E+01
          4.0000          2.68050774E+03          1.25362255E+01          1.24778688E+01
          5.0000          2.15136217E+03          1.10620874E+01          1.10054982E+01
          6.0000          1.79815789E+03          1.00766988E+01          1.00205447E+01
          7.0000          1.54559075E+03          9.37762469E+00          9.32107059E+00
          8.0000          1.35597796E+03          8.86138396E+00          8.80385036E+00
          9.0000          1.20836912E+03          8.46935794E+00          8.41041008E+00
         10.0000          1.09018540E+03          8.16575788E+00          8.10504906E+00
         11.0000          9.93416978E+02          7.92744724E+00          7.86468720E+00
         12.0000          9.12720776E+02          7.73877775E+00          7.67371386E+00
         13.0000          8.44395646E+02          7.58877130E+00          7.52117681E+00
         14.0000          7.85796487E+02          7.46948950E+00          7.39915587E+00
         15.0000          7.34982561E+02          7.37504398E+00          7.30177569E+00
         16.0000          6.90497600E+02          7.30097114E+00          7.22458207E+00
         17.0000          6.51227461E+02          7.24382335E+00          7.16413426E+00
         18.0000          6.16305194E+02          7.20089390E+00          7.11773052E+00
         19.0000          5.85046068E+02          7.17002695E+00          7.08321862E+00
         20.0000          5.56902063E+02          7.14948342E+00          7.05886206E+00
         21.0000          5.31429364E+02          7.13784437E+00          7.04324369E+00
         22.0000          5.08264706E+02          7.13394019E+00          7.03519507E+00
         23.0000          4.87107884E+02          7.13679786E+00          7.03374387E+00
         24.0000          4.67708634E+02          7.14560107E+00          7.03807415E+00
         25.0000          4.49856657E+02          7.15965979E+00          7.04749590E+00
         26.0000          4.33373947E+02          7.17838661E+00          7.06142154E+00
         27.0000          4.18108814E+02          7.20127828E+00          7.07934745E+00
         27.9990          4.03944870E+02          7.22787271E+00          7.10081627E+00
         28.0000          4.03931197E+02          7.22790107E+00          7.10083942E+00
         28.0010          4.03917525E+02          7.22792943E+00          7.10086256E+00
         28.9990          3.90741684E+02          7.25784761E+00          7.12549482E+00
         29.0000          3.90728935E+02          7.25787916E+00          7.12552098E+00
         29.0010          3.90716188E+02          7.25791070E+00          7.12554714E+00
         30.0000          3.78404794E+02          7.29088522E+00          7.15306410E+00
         31.0000          3.66874056E+02          7.32663282E+00          7.18318159E+00
         32.0000          3.56062573E+02          7.36487022E+00          7.21562086E+00
         33.0000          3.45905164E+02          7.40537524E+00          7.25015887E+00
         34.0000          3.36344300E+02          7.44795107E+00          7.28659788E+00
         35.0000          3.27329010E+02          7.49242269E+00          7.32476198E+00
         36.0000          3.18813977E+02          7.53863397E+00          7.36449410E+00
         37.0000          3.10758770E+02          7.58644519E+00          7.40565356E+00
         38.0000          3.03127205E+02          7.63573091E+00          7.44811398E+00
         39.0000          2.95886799E+02          7.68637819E+00          7.49176150E+00
         40.0000          2.89008312E+02          7.73828511E+00          7.53649322E+00
         41.0000          2.82465349E+02          7.79135941E+00          7.58221599E+00
         42.0000          2.76234021E+02          7.84551740E+00          7.62884519E+00
         43.0000          2.70292658E+02          7.90068299E+00          7.67630382E+00
         44.0000          2.64621556E+02          7.95678683E+00          7.72452165E+00
         45.0000          2.59202756E+02          8.01376559E+00          7.77343450E+00
         46.0000          2.54019858E+02          8.07156135E+00          7.82298357E+00
         47.0000          2.49057855E+02          8.13012098E+00          7.87311492E+00
         48.0000          2.44302985E+02          8.18939570E+00          7.92377896E+00
         49.0000          2.39742609E+02          8.24934064E+00          7.97493003E+00
         50.0000          2.35365096E+02          8.30991443E+00          8.02652601E+00
         51.0000          2.31159724E+02          8.37107892E+00          8.07852798E+00
         52.0000          2.27116595E+02          8.43279881E+00          8.13089994E+00
         53.0000          2.23226556E+02          8.49504145E+00          8.18360855E+00
         54.0000          2.19481129E+02          8.55777655E+00          8.23662284E+00
         55.0000          2.15872452E+02          8.62097600E+00          8.28991407E+00
         56.0000          2.12393223E+02          8.68461367E+00          8.34345548E+00
         57.0000          2.09036652E+02          8.74866525E+00          8.39722217E+00
         58.0000          2.05796413E+02          8.81310808E+00          8.45119089E+00
         59.0000          2.02666612E+02          8.87792101E+00          8.50533998E+00
         60.0000          1.99641743E+02          8.94308432E+00          8.55964916E+00
         61.0000          1.96716663E+02          9.00857954E+00          8.61409948E+00
         62.0000          1.93886559E+02          9.07438939E+00          8.66867320E+00
         63.0000          1.91146922E+02          9.14049770E+00          8.72335369E+00
         64.0000          1.88493524E+02          9.20688930E+00          8.77812534E+00
         65.0000          1.85922398E+02          9.27354993E+00          8.83297353E+00
         66.0000          1.83429816E+02          9.34046621E+00          8.88788447E+00
         67.0000          1.81012272E+02          9.40762556E+00          8.94284525E+00
         68.0000          1.78666465E+02          9.47501613E+00          8.99784369E+00
         69.0000          1.76389286E+02          9.54262678E+00          9.05286833E+00
         70.0000          1.74177803E+02          9.61044698E+00          9.10790837E+00
         71.0000          1.72029247E+02          9.67846681E+00          9.16295364E+00
         72.0000          1.69941005E+02          9.74667690E+00          9.21799453E+00
         73.0000          1.67910606E+02          9.81506841E+00          9.27302198E+00
         74.0000          1.65935710E+02          9.88363298E+00          9.32802744E+00
         75.0000          1.64014105E+02          9.95236267E+00          9.38300282E+00
         76.0000          1.62143692E+02          1.00212500E+01          9.43794047E+00
         77.0000          1.60322484E+02          1.00902879E+01          9.49283319E+00
         78.0000          1.58548592E+02          1.01594696E+01          9.54767412E+00
         79.0000          1.56820225E+02          1.02287887E+01          9.60245681E+00
         80.0000          1.55135680E+02          1.02982391E+01          9.65717513E+00
         81.0000          1.53493339E+02          1.03678152E+01          9.71182328E+00
         82.0000          1.51891661E+02          1.04375114E+01          9.76639578E+00
         83.0000          1.50329181E+02          1.05073226E+01          9.82088742E+00
         84.0000          1.48804503E+02          1.05772437E+01          9.87529328E+00
         85.0000          1.47316295E+02          1.06472701E+01          9.92960868E+00
         86.0000          1.45863290E+02          1.07173974E+01          9.98382920E+00
         87.0000          1.44444274E+02          1.07876211E+01          1.00379507E+01
         88.0000          1.43058094E+02          1.08579374E+01          1.00919691E+01
         89.0000          1.41703645E+02          1.09283422E+01          1.01458806E+01
         90.0000          1.40379871E+02          1.09988319E+01          1.01996818E+01
         91.0000          1.39085764E+02          1.10694029E+01          1.02533692E+01
         92.0000          1.37820359E+02          1.11400519E+01          1.03069396E+01
         92.9990          1.36583955E+02          1.12107049E+01          1.03603366E+01
         93.0000          1.36582731E+02          1.12107757E+01          1.03603900E+01
