#Energy      Tc  Total
        260.0000          1.69544553E+01          1.69544553E+01
        262.9990          1.68802626E+01          1.68802626E+01
        263.0010          1.68802139E+01          1.68802139E+01
        270.0000          1.67157850E+01          1.67157850E+01
        280.0000          1.65004857E+01          1.65004857E+01
        290.0000          1.63060889E+01          1.63060889E+01
        300.0000          1.61304567E+01          1.61304567E+01
        310.0000          1.59717280E+01          1.59717280E+01
        320.0000          1.58282757E+01          1.58282757E+01
        330.0000          1.56986710E+01          1.56986710E+01
        340.0000          1.55816542E+01          1.55816542E+01
        350.0000          1.54761106E+01          1.54761106E+01
        360.0000          1.53810505E+01          1.53810505E+01
        370.0000          1.52955917E+01          1.52955917E+01
        380.0000          1.52189461E+01          1.52189461E+01
        390.0000          1.51504071E+01          1.51504071E+01
        400.0000          1.50893393E+01          1.50893393E+01
        410.0000          1.50351703E+01          1.50351703E+01
        420.0000          1.49873827E+01          1.49873827E+01
        430.0000          1.49455079E+01          1.49455079E+01
        431.9990          1.49378081E+01          1.49378081E+01
        432.0010          1.49378005E+01          1.49378005E+01
        440.0000          1.49091204E+01          1.49091204E+01
        450.0000          1.48778333E+01          1.48778333E+01
        450.9990          1.48749741E+01          1.48749741E+01
        451.0010          1.48749684E+01          1.48749684E+01
        460.0000          1.48512937E+01          1.48512937E+01
        470.0000          1.48291791E+01          1.48291791E+01
        480.0000          1.48111946E+01          1.48111946E+01
        490.0000          1.47970696E+01          1.47970696E+01
        500.0000          1.47865558E+01          1.47865558E+01
        510.0000          1.47794245E+01          1.47794245E+01
        520.0000          1.47754650E+01          1.47754650E+01
        530.0000          1.47744831E+01          1.47744831E+01
        540.0000          1.47762990E+01          1.47762990E+01
        550.0000          1.47807464E+01          1.47807464E+01
        550.9990          1.47813293E+01          1.47813293E+01
        551.0010          1.47813305E+01          1.47813305E+01
        560.0000          1.47876714E+01          1.47876714E+01
        570.0000          1.47969308E+01          1.47969308E+01
        580.0000          1.48083917E+01          1.48083917E+01
        590.0000          1.48219306E+01          1.48219306E+01
        600.0000          1.48374323E+01          1.48374323E+01
        610.0000          1.48547894E+01          1.48547894E+01
        620.0000          1.48739018E+01          1.48739018E+01
        630.0000          1.48946758E+01          1.48946758E+01
        640.0000          1.49170237E+01          1.49170237E+01
        650.0000          1.49408636E+01          1.49408636E+01
        660.0000          1.49661186E+01          1.49661186E+01
        670.0000          1.49927166E+01          1.49927166E+01
        680.0000          1.50205899E+01          1.50205899E+01
        690.0000          1.50496749E+01          1.50496749E+01
        700.0000          1.50799117E+01          1.50799117E+01
        710.0000          1.51112440E+01          1.51112440E+01
        720.0000          1.51436188E+01          1.51436188E+01
        730.0000          1.51769860E+01          1.51769860E+01
        740.0000          1.52112984E+01          1.52112984E+01
        750.0000          1.52465115E+01          1.52465115E+01
        760.0000          1.52825833E+01          1.52825833E+01
        770.0000          1.53194738E+01          1.53194738E+01
        780.0000          1.53571454E+01          1.53571454E+01
        790.0000          1.53955626E+01          1.53955626E+01
        800.0000          1.54346915E+01          1.54346915E+01
        810.0000          1.54745002E+01          1.54745002E+01
        820.0000          1.55149582E+01          1.55149582E+01
        830.0000          1.55560368E+01          1.55560368E+01
        840.0000          1.55977087E+01          1.55977087E+01
        850.0000          1.56399478E+01          1.56399478E+01
        860.0000          1.56827295E+01          1.56827295E+01
        870.0000          1.57260303E+01          1.57260303E+01
        880.0000          1.57698279E+01          1.57698279E+01
        890.0000          1.58141009E+01          1.58141009E+01
        900.0000          1.58588291E+01          1.58588291E+01
        910.0000          1.59039932E+01          1.59039932E+01
        920.0000          1.59495749E+01          1.59495749E+01
        930.0000          1.59955565E+01          1.59955565E+01
        940.0000          1.60419213E+01          1.60419213E+01
        950.0000          1.60886534E+01          1.60886534E+01
        960.0000          1.61357374E+01          1.61357374E+01
        970.0000          1.61831588E+01          1.61831588E+01
        980.0000          1.62309036E+01          1.62309036E+01
        990.0000          1.62789585E+01          1.62789585E+01
       1000.0000          1.63273108E+01          1.63273108E+01
       1100.0000          1.68247457E+01          1.68247457E+01
       1200.0000          1.73412538E+01          1.73412538E+01
       1300.0000          1.78702783E+01          1.78702783E+01
       1400.0000          1.84073507E+01          1.84073507E+01
       1500.0000          1.89493608E+01          1.89493608E+01
       1600.0000          1.94941073E+01          1.94941073E+01
       1700.0000          2.00400123E+01          2.00400123E+01
