#Energy      Si  Total
          0.1000          6.86470417E+02          6.86470417E+02
          0.2000          3.50390379E+02          3.50390379E+02
          0.3000          2.37306768E+02          2.37306768E+02
          0.4000          1.80357278E+02          1.80357278E+02
          0.5000          1.45980513E+02          1.45980513E+02
          0.6000          1.22940908E+02          1.22940908E+02
          0.7000          1.06405498E+02          1.06405498E+02
          0.8000          9.39499034E+01          9.39499034E+01
          0.9000          8.42232402E+01          8.42232402E+01
          1.0000          7.64127525E+01          7.64127525E+01
          2.0000          4.07871898E+01          4.07871898E+01
          3.0000          2.86171991E+01          2.86171991E+01
          4.0000          2.24285724E+01          2.24285724E+01
          5.0000          1.86681669E+01          1.86681669E+01
          6.0000          1.61368226E+01          1.61368226E+01
          7.0000          1.43152630E+01          1.43152630E+01
          8.0000          1.29414902E+01          1.29414902E+01
          9.0000          1.18687660E+01          1.18687660E+01
         10.0000          1.10083959E+01          1.10083959E+01
         11.0000          1.03035541E+01          1.03035541E+01
         12.0000          9.71611755E+00          9.71611755E+00
         13.0000          9.21953792E+00          9.21953792E+00
         14.0000          8.79474725E+00          8.79474725E+00
         15.0000          8.42768956E+00          8.42768956E+00
         16.0000          8.10777092E+00          8.10777092E+00
         17.0000          7.82685225E+00          7.82685225E+00
         18.0000          7.57857504E+00          7.57857504E+00
         19.0000          7.35789816E+00          7.35789816E+00
         20.0000          7.16077241E+00          7.16077241E+00
         21.0000          6.98390720E+00          6.98390720E+00
         22.0000          6.82460028E+00          6.82460028E+00
         23.0000          6.68061141E+00          6.68061141E+00
         24.0000          6.55006738E+00          6.55006738E+00
         25.0000          6.43138953E+00          6.43138953E+00
         26.0000          6.32323787E+00          6.32323787E+00
         27.0000          6.22446748E+00          6.22446748E+00
         28.0000          6.13409410E+00          6.13409410E+00
         29.0000          6.05126686E+00          6.05126686E+00
         30.0000          5.97524634E+00          5.97524634E+00
         31.0000          5.90538683E+00          5.90538683E+00
         32.0000          5.84112190E+00          5.84112190E+00
         33.0000          5.78195257E+00          5.78195257E+00
         34.0000          5.72743753E+00          5.72743753E+00
         35.0000          5.67718498E+00          5.67718498E+00
         36.0000          5.63084592E+00          5.63084592E+00
         37.0000          5.58810840E+00          5.58810840E+00
         38.0000          5.54869272E+00          5.54869272E+00
         39.0000          5.51234738E+00          5.51234738E+00
         40.0000          5.47884558E+00          5.47884558E+00
         41.0000          5.44798227E+00          5.44798227E+00
         42.0000          5.41957159E+00          5.41957159E+00
         43.0000          5.39344467E+00          5.39344467E+00
         44.0000          5.36944774E+00          5.36944774E+00
         45.0000          5.34744046E+00          5.34744046E+00
         46.0000          5.32729450E+00          5.32729450E+00
         47.0000          5.30889224E+00          5.30889224E+00
         48.0000          5.29212575E+00          5.29212575E+00
         49.0000          5.27689572E+00          5.27689572E+00
         50.0000          5.26311068E+00          5.26311068E+00
         51.0000          5.25068623E+00          5.25068623E+00
         52.0000          5.23954434E+00          5.23954434E+00
         53.0000          5.22961279E+00          5.22961279E+00
         54.0000          5.22082462E+00          5.22082462E+00
         55.0000          5.21311767E+00          5.21311767E+00
         56.0000          5.20643416E+00          5.20643416E+00
         57.0000          5.20072030E+00          5.20072030E+00
         58.0000          5.19592596E+00          5.19592596E+00
         59.0000          5.19200435E+00          5.19200435E+00
         60.0000          5.18891177E+00          5.18891177E+00
         61.0000          5.18660733E+00          5.18660733E+00
         62.0000          5.18505277E+00          5.18505277E+00
         63.0000          5.18421220E+00          5.18421220E+00
         64.0000          5.18405197E+00          5.18405197E+00
         65.0000          5.18454044E+00          5.18454044E+00
         66.0000          5.18564789E+00          5.18564789E+00
