#Energy      C  Total
          0.1000          2.25681735E+01          2.25681735E+01
          0.2000          1.24672838E+01          1.24672838E+01
          0.3000          8.94938106E+00          8.94938106E+00
          0.4000          7.13291256E+00          7.13291256E+00
          0.5000          6.01421532E+00          6.01421532E+00
          0.6000          5.25172972E+00          5.25172972E+00
          0.7000          4.69651192E+00          4.69651192E+00
          0.8000          4.27294956E+00          4.27294956E+00
          0.9000          3.93845800E+00          3.93845800E+00
          1.0000          3.66716546E+00          3.66716546E+00
          2.0000          2.39084509E+00          2.39084509E+00
          3.0000          1.93861575E+00          1.93861575E+00
          4.0000          1.70892638E+00          1.70892638E+00
          5.0000          1.57318606E+00          1.57318606E+00
          6.0000          1.48645284E+00          1.48645284E+00
          7.0000          1.42872071E+00          1.42872071E+00
          8.0000          1.38966124E+00          1.38966124E+00
          9.0000          1.36337477E+00          1.36337477E+00
         10.0000          1.34623346E+00          1.34623346E+00
         11.0000          1.33587733E+00          1.33587733E+00
         12.0000          1.33070143E+00          1.33070143E+00
         13.0000          1.32957431E+00          1.32957431E+00
         14.0000          1.33167423E+00          1.33167423E+00
         15.0000          1.33638928E+00          1.33638928E+00
         16.0000          1.34325397E+00          1.34325397E+00
         17.0000          1.35190762E+00          1.35190762E+00
         18.0000          1.36206626E+00          1.36206626E+00
         19.0000          1.37350311E+00          1.37350311E+00
         20.0000          1.38603481E+00          1.38603481E+00
         21.0000          1.39951144E+00          1.39951144E+00
         22.0000          1.41380917E+00          1.41380917E+00
         23.0000          1.42882481E+00          1.42882481E+00
         24.0000          1.44447167E+00          1.44447167E+00
         25.0000          1.46067634E+00          1.46067634E+00
         26.0000          1.47737627E+00          1.47737627E+00
         27.0000          1.49451779E+00          1.49451779E+00
         28.0000          1.51205461E+00          1.51205461E+00
         29.0000          1.52994659E+00          1.52994659E+00
         30.0000          1.54815873E+00          1.54815873E+00
         31.0000          1.56666040E+00          1.56666040E+00
         32.0000          1.58542464E+00          1.58542464E+00
         33.0000          1.60442766E+00          1.60442766E+00
         34.0000          1.62364838E+00          1.62364838E+00
         35.0000          1.64306804E+00          1.64306804E+00
         36.0000          1.66266991E+00          1.66266991E+00
         37.0000          1.68243901E+00          1.68243901E+00
         38.0000          1.70236190E+00          1.70236190E+00
         39.0000          1.72242646E+00          1.72242646E+00
         40.0000          1.74262178E+00          1.74262178E+00
         41.0000          1.76293795E+00          1.76293795E+00
         42.0000          1.78336603E+00          1.78336603E+00
         43.0000          1.80389785E+00          1.80389785E+00
         44.0000          1.82452599E+00          1.82452599E+00
         45.0000          1.84524367E+00          1.84524367E+00
         46.0000          1.86604469E+00          1.86604469E+00
         47.0000          1.88692338E+00          1.88692338E+00
         48.0000          1.90787452E+00          1.90787452E+00
         49.0000          1.92889332E+00          1.92889332E+00
         50.0000          1.94997536E+00          1.94997536E+00
         51.0000          1.97111657E+00          1.97111657E+00
         52.0000          1.99231321E+00          1.99231321E+00
         53.0000          2.01356177E+00          2.01356177E+00
         54.0000          2.03485906E+00          2.03485906E+00
         55.0000          2.05620207E+00          2.05620207E+00
         56.0000          2.07758804E+00          2.07758804E+00
         57.0000          2.09901438E+00          2.09901438E+00
         58.0000          2.12047870E+00          2.12047870E+00
         59.0000          2.14197875E+00          2.14197875E+00
         60.0000          2.16351246E+00          2.16351246E+00
         61.0000          2.18507788E+00          2.18507788E+00
         62.0000          2.20667318E+00          2.20667318E+00
         63.0000          2.22829666E+00          2.22829666E+00
         64.0000          2.24994672E+00          2.24994672E+00
         65.0000          2.27162187E+00          2.27162187E+00
         66.0000          2.29332071E+00          2.29332071E+00
         67.0000          2.31504192E+00          2.31504192E+00
         68.0000          2.33678425E+00          2.33678425E+00
         69.0000          2.35854656E+00          2.35854656E+00
         70.0000          2.38032774E+00          2.38032774E+00
         71.0000          2.40212676E+00          2.40212676E+00
         72.0000          2.42394264E+00          2.42394264E+00
         73.0000          2.44577448E+00          2.44577448E+00
         74.0000          2.46762140E+00          2.46762140E+00
         75.0000          2.48948260E+00          2.48948260E+00
         76.0000          2.51135729E+00          2.51135729E+00
         77.0000          2.53324474E+00          2.53324474E+00
         78.0000          2.55514427E+00          2.55514427E+00
         79.0000          2.57705523E+00          2.57705523E+00
         80.0000          2.59897698E+00          2.59897698E+00
         81.0000          2.62090895E+00          2.62090895E+00
         82.0000          2.64285059E+00          2.64285059E+00
         83.0000          2.66480135E+00          2.66480135E+00
         84.0000          2.68676074E+00          2.68676074E+00
         85.0000          2.70872829E+00          2.70872829E+00
         86.0000          2.73070355E+00          2.73070355E+00
         87.0000          2.75268608E+00          2.75268608E+00
         88.0000          2.77467547E+00          2.77467547E+00
         89.0000          2.79667135E+00          2.79667135E+00
         90.0000          2.81867333E+00          2.81867333E+00
         91.0000          2.84068107E+00          2.84068107E+00
         92.0000          2.86269423E+00          2.86269423E+00
         93.0000          2.88471250E+00          2.88471250E+00
         94.0000          2.90673557E+00          2.90673557E+00
         95.0000          2.92876314E+00          2.92876314E+00
         96.0000          2.95079495E+00          2.95079495E+00
         97.0000          2.97283073E+00          2.97283073E+00
         98.0000          2.99487023E+00          2.99487023E+00
         99.0000          3.01691321E+00          3.01691321E+00
        100.0000          3.03895943E+00          3.03895943E+00
        110.0000          3.25955673E+00          3.25955673E+00
        120.0000          3.48028965E+00          3.48028965E+00
        130.0000          3.70104485E+00          3.70104485E+00
        140.0000          3.92174799E+00          3.92174799E+00
        150.0000          4.14234992E+00          4.14234992E+00
        160.0000          4.36281818E+00          4.36281818E+00
        170.0000          4.58313157E+00          4.58313157E+00
        180.0000          4.80327663E+00          4.80327663E+00
        190.0000          5.02324528E+00          5.02324528E+00
        200.0000          5.24303316E+00          5.24303316E+00
        210.0000          5.46263860E+00          5.46263860E+00
        220.0000          5.68206175E+00          5.68206175E+00
        230.0000          5.90130411E+00          5.90130411E+00
        240.0000          6.12036807E+00          6.12036807E+00
        250.0000          6.33925666E+00          6.33925666E+00
        260.0000          6.55797334E+00          6.55797334E+00
        270.0000          6.77652181E+00          6.77652181E+00
        280.0000          6.99490596E+00          6.99490596E+00
        287.9990          7.16947581E+00          7.16947581E+00
        288.0010          7.16951944E+00          7.16951944E+00
        290.0000          7.21312974E+00          7.21312974E+00
        300.0000          7.43119712E+00          7.43119712E+00
        310.0000          7.64911203E+00          7.64911203E+00
        320.0000          7.86687837E+00          7.86687837E+00
        330.0000          8.08449995E+00          8.08449995E+00
        340.0000          8.30198048E+00          8.30198048E+00
        350.0000          8.51932356E+00          8.51932356E+00
        360.0000          8.73653270E+00          8.73653270E+00
        370.0000          8.95361129E+00          8.95361129E+00
        380.0000          9.17056260E+00          9.17056260E+00
        390.0000          9.38738977E+00          9.38738977E+00
        400.0000          9.60409586E+00          9.60409586E+00
        410.0000          9.82068380E+00          9.82068380E+00
        420.0000          1.00371564E+01          1.00371564E+01
        430.0000          1.02535164E+01          1.02535164E+01
        440.0000          1.04697664E+01          1.04697664E+01
        450.0000          1.06859089E+01          1.06859089E+01
        460.0000          1.09019463E+01          1.09019463E+01
        470.0000          1.11178811E+01          1.11178811E+01
        480.0000          1.13337153E+01          1.13337153E+01
