#Energy      C   H   O  Total
         41.0000          9.19676532E+02          4.99499414E+03          9.98732179E+03          7.20634399E+02
         42.0000          9.30333300E+02          5.10300649E+03          1.00567440E+04          7.29776650E+02
         43.0000          9.41044189E+02          5.21101640E+03          1.01274578E+04          7.38938846E+02
         44.0000          9.51805325E+02          5.31902382E+03          1.01993742E+04          7.48119602E+02
         45.0000          9.62613173E+02          5.42702873E+03          1.02724122E+04          7.57317639E+02
         46.0000          9.73464498E+02          5.53503110E+03          1.03464975E+04          7.66531781E+02
         47.0000          9.84356339E+02          5.64303092E+03          1.04215619E+04          7.75760938E+02
         48.0000          9.95285976E+02          5.75102817E+03          1.04975430E+04          7.85004105E+02
         49.0000          1.00625091E+03          5.85902285E+03          1.05743831E+04          7.94260350E+02
         50.0000          1.01724883E+03          5.96701495E+03          1.06520294E+04          8.03528808E+02
         51.0000          1.02827763E+03          6.07500447E+03          1.07304328E+04          8.12808678E+02
         52.0000          1.03933533E+03          6.18299142E+03          1.08095482E+04          8.22099215E+02
         53.0000          1.05042013E+03          6.29097579E+03          1.08893337E+04          8.31399724E+02
         54.0000          1.06153034E+03          6.39895759E+03          1.09697504E+04          8.40709561E+02
         55.0000          1.07266440E+03          6.50693684E+03          1.10507624E+04          8.50028124E+02
         56.0000          1.08382088E+03          6.61491354E+03          1.11323361E+04          8.59354850E+02
         57.0000          1.09499841E+03          6.72288770E+03          1.12144403E+04          8.68689215E+02
         58.0000          1.10619576E+03          6.83085934E+03          1.12970461E+04          8.78030729E+02
         59.0000          1.11741176E+03          6.93882847E+03          1.13801263E+04          8.87378933E+02
         60.0000          1.12864530E+03          7.04679510E+03          1.14636556E+04          8.96733398E+02
         61.0000          1.13989539E+03          7.15475926E+03          1.15476104E+04          9.06093721E+02
         62.0000          1.15116107E+03          7.26272095E+03          1.16319685E+04          9.15459525E+02
         63.0000          1.16244144E+03          7.37068019E+03          1.17167091E+04          9.24830455E+02
         64.0000          1.17373569E+03          7.47863700E+03          1.18018129E+04          9.34206178E+02
         65.0000          1.18504302E+03          7.58659141E+03          1.18872616E+04          9.43586383E+02
         66.0000          1.19636272E+03          7.69454341E+03          1.19730379E+04          9.52970774E+02
         67.0000          1.20769408E+03          7.80249304E+03          1.20591259E+04          9.62359076E+02
         68.0000          1.21903646E+03          7.91044031E+03          1.21455102E+04          9.71751027E+02
         69.0000          1.23038926E+03          8.01838523E+03          1.22321766E+04          9.81146382E+02
         70.0000          1.24175190E+03          8.12632784E+03          1.23191116E+04          9.90544910E+02
         71.0000          1.25312386E+03          8.23426813E+03          1.24063026E+04          9.99946393E+02
         72.0000          1.26450461E+03          8.34220614E+03          1.24937374E+04          1.00935062E+03
         73.0000          1.27589368E+03          8.45014188E+03          1.25814048E+04          1.01875741E+03
         74.0000          1.28729062E+03          8.55807537E+03          1.26692940E+04          1.02816656E+03
         75.0000          1.29869501E+03          8.66600663E+03          1.27573949E+04          1.03757792E+03
         76.0000          1.31010644E+03          8.77393567E+03          1.28456978E+04          1.04699130E+03
         77.0000          1.32152452E+03          8.88186251E+03          1.29341937E+04          1.05640656E+03
         78.0000          1.33294891E+03          8.98978717E+03          1.30228740E+04          1.06582355E+03
         79.0000          1.34437926E+03          9.09770967E+03          1.31117304E+04          1.07524213E+03
         80.0000          1.35581524E+03          9.20563003E+03          1.32007552E+04          1.08466218E+03
         81.0000          1.36725655E+03          9.31354825E+03          1.32899410E+04          1.09408355E+03
         82.0000          1.37870290E+03          9.42146436E+03          1.33792808E+04          1.10350614E+03
         83.0000          1.39015401E+03          9.52937838E+03          1.34687679E+04          1.11292984E+03
         84.0000          1.40160963E+03          9.63729032E+03          1.35583960E+04          1.12235453E+03
         85.0000          1.41306950E+03          9.74520019E+03          1.36481591E+04          1.13178012E+03
         86.0000          1.42453339E+03          9.85310802E+03          1.37380514E+04          1.14120651E+03
         87.0000          1.43600107E+03          9.96101382E+03          1.38280675E+04          1.15063361E+03
         88.0000          1.44747234E+03          1.00689176E+04          1.39182020E+04          1.16006133E+03
         89.0000          1.45894698E+03          1.01768194E+04          1.40084502E+04          1.16948959E+03
         90.0000          1.47042481E+03          1.02847192E+04          1.40988071E+04          1.17891831E+03
         91.0000          1.48190565E+03          1.03926170E+04          1.41892683E+04          1.18834743E+03
         92.0000          1.49338932E+03          1.05005129E+04          1.42798294E+04          1.19777686E+03
         93.0000          1.50487564E+03          1.06084068E+04          1.43704864E+04          1.20720655E+03
         94.0000          1.51636448E+03          1.07162989E+04          1.44612352E+04          1.21663642E+03
         95.0000          1.52785566E+03          1.08241890E+04          1.45520721E+04          1.22606642E+03
         96.0000          1.53934905E+03          1.09320772E+04          1.46429935E+04          1.23549649E+03
         97.0000          1.55084452E+03          1.10399635E+04          1.47339959E+04          1.24492657E+03
         98.0000          1.56234192E+03          1.11478479E+04          1.48250760E+04          1.25435662E+03
         99.0000          1.57384114E+03          1.12557305E+04          1.49162307E+04          1.26378658E+03
        100.0000          1.58534205E+03          1.13636113E+04          1.50074569E+04          1.27321641E+03
        110.0000          1.70042163E+03          1.24423202E+04          1.59230671E+04          1.36749842E+03
        120.0000          1.81557196E+03          1.35208580E+04          1.68432675E+04          1.46172903E+03
        130.0000          1.93073392E+03          1.45992348E+04          1.77664638E+04          1.55588670E+03
        140.0000          2.04586871E+03          1.56774597E+04          1.86915565E+04          1.64995849E+03
        150.0000          2.16095070E+03          1.67555403E+04          1.96177723E+04          1.74393696E+03
        160.0000          2.27596296E+03          1.78334831E+04          2.05445586E+04          1.83781825E+03
        170.0000          2.39089444E+03          1.89112942E+04          2.14715158E+04          1.93160086E+03
        180.0000          2.50573810E+03          1.99889786E+04          2.23983526E+04          2.02528481E+03
        190.0000          2.62048973E+03          2.10665409E+04          2.33248554E+04          2.11887114E+03
        200.0000          2.73514706E+03          2.21439850E+04          2.42508675E+04          2.21236157E+03
        210.0000          2.84970921E+03          2.32213147E+04          2.51762738E+04          2.30575821E+03
        220.0000          2.96417627E+03          2.42985332E+04          2.61009907E+04          2.39906347E+03
        230.0000          3.07854901E+03          2.53756433E+04          2.70249579E+04          2.49227984E+03
        240.0000          3.19282869E+03          2.64526477E+04          2.79481332E+04          2.58540992E+03
        250.0000          3.30701689E+03          2.75295488E+04          2.88704877E+04          2.67845630E+03
