#Energy      C-K-shell   O-K-shell   Valence  Total
       3300.0000          8.86224629E+05          2.22696271E+06          7.56872525E+02          7.55969965E+02
       3400.0000          9.02573050E+05          2.24966796E+06          7.77366646E+02          7.76429631E+02
       3500.0000          9.19914303E+05          2.27328900E+06          7.97796159E+02          7.96825471E+02
       3600.0000          9.36175622E+05          2.29771276E+06          8.18179223E+02          8.17174063E+02
       3700.0000          9.53390824E+05          2.32284266E+06          8.38507402E+02          8.37468536E+02
       3800.0000          9.69571454E+05          2.34859565E+06          8.58803793E+02          8.57730410E+02
       3900.0000          9.86668504E+05          2.37490012E+06          8.79024664E+02          8.77917581E+02
       4000.0000          1.00277476E+06          2.40169389E+06          8.99183172E+02          8.98041680E+02
       4100.0000          1.01976133E+06          2.42892292E+06          9.19338630E+02          9.18163363E+02
       4200.0000          1.03668924E+06          2.45653984E+06          9.39442456E+02          9.38233429E+02
       4300.0000          1.05268255E+06          2.48450314E+06          9.59489225E+02          9.58245747E+02
       4400.0000          1.06951087E+06          2.51277629E+06          9.79517265E+02          9.78240007E+02
       4500.0000          1.08628592E+06          2.54132696E+06          9.99460166E+02          9.98149243E+02
       4600.0000          1.10300939E+06          2.57012652E+06          1.01936629E+03          1.01802169E+03
       4700.0000          1.11968293E+06          2.59914954E+06          1.03927926E+03          1.03790088E+03
       4800.0000          1.13630811E+06          2.62837333E+06          1.05915646E+03          1.05774429E+03
       4900.0000          1.15288647E+06          2.65777761E+06          1.07896769E+03          1.07752182E+03
       5000.0000          1.16941946E+06          2.68734426E+06          1.09874486E+03          1.09726528E+03
       5100.0000          1.18590850E+06          2.71705696E+06          1.11848731E+03          1.11697403E+03
       5200.0000          1.20235493E+06          2.74690108E+06          1.13818758E+03          1.13664063E+03
       5300.0000          1.21952010E+06          2.77686339E+06          1.15787037E+03          1.15629039E+03
       5400.0000          1.23587398E+06          2.80693194E+06          1.17749311E+03          1.17587950E+03
       5500.0000          1.25218912E+06          2.83709594E+06          1.19707446E+03          1.19542726E+03
       5600.0000          1.26846666E+06          2.86734560E+06          1.21665332E+03          1.21497245E+03
       5700.0000          1.28543335E+06          2.89767203E+06          1.23621104E+03          1.23449715E+03
       5800.0000          1.30162807E+06          2.92806714E+06          1.25574452E+03          1.25399693E+03
       5900.0000          1.31778851E+06          2.95852357E+06          1.27523771E+03          1.27345647E+03
       6000.0000          1.33461820E+06          2.98903461E+06          1.29465108E+03          1.29283699E+03
       6100.0000          1.35070226E+06          3.01938244E+06          1.31410329E+03          1.31225547E+03
       6200.0000          1.36744530E+06          3.04817079E+06          1.33352121E+03          1.33164004E+03
       6300.0000          1.38345693E+06          3.08056994E+06          1.35281727E+03          1.35090305E+03
       6400.0000          1.40011709E+06          3.10932193E+06          1.37223502E+03          1.37028727E+03
       6500.0000          1.41605998E+06          3.14158940E+06          1.39154601E+03          1.38956501E+03
       6600.0000          1.43264081E+06          3.17030677E+06          1.41082771E+03          1.40881341E+03
