#Energy      Al   P  Total
          0.1000          1.23007369E+03          1.97245106E+03          7.57608555E+02
          0.2000          6.29865151E+02          1.00417455E+03          3.87074166E+02
          0.3000          4.27618083E+02          6.78751563E+02          2.62341292E+02
          0.4000          3.25655016E+02          5.15012027E+02          1.99503776E+02
          0.5000          2.64050979E+02          4.16245918E+02          1.61562022E+02
          0.6000          2.22731147E+02          3.50094533E+02          1.36126852E+02
          0.7000          1.93055492E+02          3.02645199E+02          1.17868139E+02
          0.8000          1.70687725E+02          2.66921679E+02          1.04111689E+02
          0.9000          1.53210538E+02          2.39038194E+02          9.33672115E+01
          1.0000          1.39168961E+02          2.16657665E+02          8.47379592E+01
          2.0000          7.50028140E+01          1.14732925E+02          4.53540923E+01
          3.0000          5.30142205E+01          8.00074173E+01          3.18860220E+01
          4.0000          4.18117108E+01          6.23781812E+01          2.50325480E+01
          5.0000          3.49969584E+01          5.16775742E+01          2.08660821E+01
          6.0000          3.04067792E+01          4.44790841E+01          1.80603605E+01
          7.0000          2.71030922E+01          3.93006946E+01          1.60408073E+01
          8.0000          2.46120080E+01          3.53954361E+01          1.45174114E+01
          9.0000          2.26678232E+01          3.23453325E+01          1.33276899E+01
         10.0000          2.11097792E+01          2.98979506E+01          1.23734018E+01
         11.0000          1.98347872E+01          2.78916794E+01          1.15915878E+01
         12.0000          1.87736314E+01          2.62181724E+01          1.09399994E+01
         13.0000          1.78780747E+01          2.48020270E+01          1.03892089E+01
         14.0000          1.71134474E+01          2.35891179E+01          9.91807581E+00
         15.0000          1.64541760E+01          2.25395689E+01          9.51101350E+00
         16.0000          1.58809746E+01          2.16233406E+01          9.15627230E+00
         17.0000          1.53790173E+01          2.08173660E+01          8.84482380E+00
         18.0000          1.49367161E+01          2.01036322E+01          8.56961364E+00
         19.0000          1.45448787E+01          1.94678648E+01          8.32504829E+00
         20.0000          1.41961184E+01          1.88986025E+01          8.10663428E+00
         21.0000          1.38844296E+01          1.83865350E+01          7.91071957E+00
         22.0000          1.36048784E+01          1.79240194E+01          7.73430476E+00
         23.0000          1.33533727E+01          1.75047218E+01          7.57490306E+00
         24.0000          1.31264898E+01          1.71233476E+01          7.43043488E+00
         25.0000          1.29213438E+01          1.67754362E+01          7.29914754E+00
         26.0000          1.27354847E+01          1.64572025E+01          7.17955320E+00
         27.0000          1.25668181E+01          1.61654134E+01          7.07038053E+00
         28.0000          1.24135432E+01          1.58972902E+01          6.97053654E+00
         29.0000          1.22741026E+01          1.56504314E+01          6.87907633E+00
         30.0000          1.21471426E+01          1.54227505E+01          6.79517869E+00
