#Energy      Se  Total
          0.1000          2.42500784E+04          2.42500784E+04
          0.2000          1.21684632E+04          1.21684632E+04
          0.3000          8.13462287E+03          8.13462287E+03
          0.4000          6.11513475E+03          6.11513475E+03
          0.5000          4.90213313E+03          4.90213313E+03
          0.6000          4.09269306E+03          4.09269306E+03
          0.7000          3.51402151E+03          3.51402151E+03
          0.8000          3.07967252E+03          3.07967252E+03
          0.9000          2.74159544E+03          2.74159544E+03
          1.0000          2.47094594E+03          2.47094594E+03
          2.0000          1.24989530E+03          1.24989530E+03
          3.0000          8.40888871E+02          8.40888871E+02
          4.0000          6.35640371E+02          6.35640371E+02
          5.0000          5.12123969E+02          5.12123969E+02
          6.0000          4.29570431E+02          4.29570431E+02
          7.0000          3.70473027E+02          3.70473027E+02
          8.0000          3.26063229E+02          3.26063229E+02
          9.0000          2.91461981E+02          2.91461981E+02
         10.0000          2.63737622E+02          2.63737622E+02
         11.0000          2.41022037E+02          2.41022037E+02
         12.0000          2.22068249E+02          2.22068249E+02
         13.0000          2.06011936E+02          2.06011936E+02
         14.0000          1.92235031E+02          1.92235031E+02
         15.0000          1.80283797E+02          1.80283797E+02
         16.0000          1.69817582E+02          1.69817582E+02
         17.0000          1.60575632E+02          1.60575632E+02
         18.0000          1.52354946E+02          1.52354946E+02
         19.0000          1.44995115E+02          1.44995115E+02
         20.0000          1.38367701E+02          1.38367701E+02
         21.0000          1.32368640E+02          1.32368640E+02
         22.0000          1.26912720E+02          1.26912720E+02
         23.0000          1.21929493E+02          1.21929493E+02
         24.0000          1.17360208E+02          1.17360208E+02
         25.0000          1.13155476E+02          1.13155476E+02
         26.0000          1.09273477E+02          1.09273477E+02
         27.0000          1.05678561E+02          1.05678561E+02
         28.0000          1.02340150E+02          1.02340150E+02
         29.0000          9.92318672E+01          9.92318672E+01
         30.0000          9.63308361E+01          9.63308361E+01
         31.0000          9.36171204E+01          9.36171204E+01
         32.0000          9.10732650E+01          9.10732650E+01
         33.0000          8.86839212E+01          8.86839212E+01
         34.0000          8.64355381E+01          8.64355381E+01
         35.0000          8.43161064E+01          8.43161064E+01
         36.0000          8.23149455E+01          8.23149455E+01
         37.0000          8.04225239E+01          8.04225239E+01
         38.0000          7.86303090E+01          7.86303090E+01
         39.0000          7.69306394E+01          7.69306394E+01
         40.0000          7.53166160E+01          7.53166160E+01
         41.0000          7.37820099E+01          7.37820099E+01
         42.0000          7.23211825E+01          7.23211825E+01
         43.0000          7.09290173E+01          7.09290173E+01
         44.0000          6.96008609E+01          6.96008609E+01
         45.0000          6.83324712E+01          6.83324712E+01
         46.0000          6.71199734E+01          6.71199734E+01
         47.0000          6.59598211E+01          6.59598211E+01
         48.0000          6.48487616E+01          6.48487616E+01
         49.0000          6.37838068E+01          6.37838068E+01
         50.0000          6.27622063E+01          6.27622063E+01
         51.0000          6.17814243E+01          6.17814243E+01
         52.0000          6.08391193E+01          6.08391193E+01
         53.0000          5.99331256E+01          5.99331256E+01
         54.0000          5.90614371E+01          5.90614371E+01
         55.0000          5.82221929E+01          5.82221929E+01
         56.0000          5.74136642E+01          5.74136642E+01
         57.0000          5.66342433E+01          5.66342433E+01
         58.0000          5.58824325E+01          5.58824325E+01
         59.0000          5.51568353E+01          5.51568353E+01
         59.9990          5.44568365E+01          5.44568365E+01
         60.0000          5.44561478E+01          5.44561478E+01
         60.0010          5.44554592E+01          5.44554592E+01
         60.9990          5.37798167E+01          5.37798167E+01
         61.0000          5.37791512E+01          5.37791512E+01
         61.0010          5.37784857E+01          5.37784857E+01
         62.0000          5.31247048E+01          5.31247048E+01
         63.0000          5.24917402E+01          5.24917402E+01
         64.0000          5.18792554E+01          5.18792554E+01
         65.0000          5.12863095E+01          5.12863095E+01
         66.0000          5.07120188E+01          5.07120188E+01
         67.0000          5.01555516E+01          5.01555516E+01
         68.0000          4.96161253E+01          4.96161253E+01
         69.0000          4.90930022E+01          4.90930022E+01
         70.0000          4.85854866E+01          4.85854866E+01
         71.0000          4.80929220E+01          4.80929220E+01
         72.0000          4.76146878E+01          4.76146878E+01
         73.0000          4.71501976E+01          4.71501976E+01
         74.0000          4.66988964E+01          4.66988964E+01
         75.0000          4.62602586E+01          4.62602586E+01
         76.0000          4.58337863E+01          4.58337863E+01
         77.0000          4.54190072E+01          4.54190072E+01
         78.0000          4.50154731E+01          4.50154731E+01
         79.0000          4.46227585E+01          4.46227585E+01
         80.0000          4.42404590E+01          4.42404590E+01
         81.0000          4.38681900E+01          4.38681900E+01
         82.0000          4.35055858E+01          4.35055858E+01
         83.0000          4.31522980E+01          4.31522980E+01
         84.0000          4.28079948E+01          4.28079948E+01
         85.0000          4.24723601E+01          4.24723601E+01
         86.0000          4.21450921E+01          4.21450921E+01
         87.0000          4.18259032E+01          4.18259032E+01
         88.0000          4.15145184E+01          4.15145184E+01
         89.0000          4.12106754E+01          4.12106754E+01
         90.0000          4.09141232E+01          4.09141232E+01
         91.0000          4.06246221E+01          4.06246221E+01
         92.0000          4.03419423E+01          4.03419423E+01
         93.0000          4.00658644E+01          4.00658644E+01
         94.0000          3.97961779E+01          3.97961779E+01
         95.0000          3.95326812E+01          3.95326812E+01
         96.0000          3.92751813E+01          3.92751813E+01
         97.0000          3.90234927E+01          3.90234927E+01
         98.0000          3.87774378E+01          3.87774378E+01
         99.0000          3.85368460E+01          3.85368460E+01
        100.0000          3.83015535E+01          3.83015535E+01
        110.0000          3.62083016E+01          3.62083016E+01
        120.0000          3.45045116E+01          3.45045116E+01
        130.0000          3.31001565E+01          3.31001565E+01
        140.0000          3.19308588E+01          3.19308588E+01
        150.0000          3.09493667E+01          3.09493667E+01
        160.0000          3.01202190E+01          3.01202190E+01
        165.9990          2.96843674E+01          2.96843674E+01
        166.0010          2.96842290E+01          2.96842290E+01
        170.0000          2.94162864E+01          2.94162864E+01
        172.9990          2.92263026E+01          2.92263026E+01
        173.0010          2.92261789E+01          2.92261789E+01
        180.0000          2.88164636E+01          2.88164636E+01
        190.0000          2.83040879E+01          2.83040879E+01
        200.0000          2.78658308E+01          2.78658308E+01
        210.0000          2.74909058E+01          2.74909058E+01
        220.0000          2.71704916E+01          2.71704916E+01
        230.0000          2.68973055E+01          2.68973055E+01
        233.9990          2.67998850E+01          2.67998850E+01
        234.0010          2.67998379E+01          2.67998379E+01
        240.0000          2.66652830E+01          2.66652830E+01
        250.0000          2.64693348E+01          2.64693348E+01
        260.0000          2.63051584E+01          2.63051584E+01
        270.0000          2.61690934E+01          2.61690934E+01
        280.0000          2.60580060E+01          2.60580060E+01
        290.0000          2.59691986E+01          2.59691986E+01
        300.0000          2.59003367E+01          2.59003367E+01
        310.0000          2.58493904E+01          2.58493904E+01
        320.0000          2.58145864E+01          2.58145864E+01
        330.0000          2.57943695E+01          2.57943695E+01
        340.0000          2.57873700E+01          2.57873700E+01
        350.0000          2.57923772E+01          2.57923772E+01
        360.0000          2.58083173E+01          2.58083173E+01
        370.0000          2.58342346E+01          2.58342346E+01
        380.0000          2.58692763E+01          2.58692763E+01
        390.0000          2.59126786E+01          2.59126786E+01
        400.0000          2.59637561E+01          2.59637561E+01
        410.0000          2.60218917E+01          2.60218917E+01
        420.0000          2.60865287E+01          2.60865287E+01
        430.0000          2.61571636E+01          2.61571636E+01
        440.0000          2.62333401E+01          2.62333401E+01
        450.0000          2.63146435E+01          2.63146435E+01
        460.0000          2.64006965E+01          2.64006965E+01
