#Energy      Al   O  Total
          0.1000          6.40782845E+02          8.88961437E+01          7.80660054E+01
          0.2000          3.28115940E+02          4.71832518E+01          4.12512933E+01
          0.3000          2.22759283E+02          3.29026882E+01          2.86682419E+01
          0.4000          1.69643616E+02          2.56180930E+01          2.22570311E+01
          0.5000          1.37552197E+02          2.11744931E+01          1.83497686E+01
          0.6000          1.16027438E+02          1.81695518E+01          1.57094920E+01
          0.7000          1.00568486E+02          1.59959240E+01          1.38008321E+01
          0.8000          8.89164341E+01          1.43471113E+01          1.23537689E+01
          0.9000          7.98120354E+01          1.30514047E+01          1.12171073E+01
          1.0000          7.24973503E+01          1.20049831E+01          1.02994726E+01
          2.0000          3.90712501E+01          7.14005391E+00          6.03685263E+00
          3.0000          2.76167220E+01          5.43027446E+00          4.53797307E+00
          4.0000          2.17809936E+01          4.55065525E+00          3.76420760E+00
          5.0000          1.82309815E+01          4.01554249E+00          3.29072896E+00
          6.0000          1.58398173E+01          3.65784601E+00          2.97161827E+00
          7.0000          1.41188262E+01          3.40408180E+00          2.74278900E+00
          8.0000          1.28211445E+01          3.21668620E+00          2.57151976E+00
          9.0000          1.18083595E+01          3.07438058E+00          2.43929484E+00
         10.0000          1.09967269E+01          2.96417363E+00          2.33482130E+00
         11.0000          1.03325447E+01          2.87766676E+00          2.25080579E+00
         12.0000          9.77975637E+00          2.80917966E+00          2.18232046E+00
         13.0000          9.31323360E+00          2.75472725E+00          2.12591164E+00
         14.0000          8.91491593E+00          2.71142791E+00          2.07908455E+00
         15.0000          8.57148142E+00          2.67714414E+00          2.03999068E+00
         16.0000          8.27288331E+00          2.65025567E+00          2.00723033E+00
         17.0000          8.01139851E+00          2.62951100E+00          1.97972368E+00
         18.0000          7.78099031E+00          2.61392759E+00          1.95662394E+00
         19.0000          7.57687029E+00          2.60272287E+00          1.93725754E+00
         20.0000          7.39519044E+00          2.59526556E+00          1.92108179E+00
         21.0000          7.23282225E+00          2.59104058E+00          1.90765448E+00
         22.0000          7.08719549E+00          2.58962336E+00          1.89661161E+00
         23.0000          6.95617853E+00          2.59066070E+00          1.88765076E+00
         24.0000          6.83798829E+00          2.59385627E+00          1.88051856E+00
         25.0000          6.73112153E+00          2.59895959E+00          1.87500115E+00
         26.0000          6.63430185E+00          2.60575743E+00          1.87091672E+00
         27.0000          6.54643829E+00          2.61406712E+00          1.86810971E+00
         28.0000          6.46659270E+00          2.62373120E+00          1.86644626E+00
         29.0000          6.39395385E+00          2.63461326E+00          1.86581053E+00
         30.0000          6.32781654E+00          2.64659447E+00          1.86610177E+00
         31.0000          6.26756481E+00          2.65957087E+00          1.86723193E+00
         32.0000          6.21265817E+00          2.67345106E+00          1.86912373E+00
         33.0000          6.16262040E+00          2.68815440E+00          1.87170904E+00
         34.0000          6.11703018E+00          2.70360945E+00          1.87492759E+00
         35.0000          6.07551344E+00          2.71975266E+00          1.87872586E+00
         36.0000          6.03773684E+00          2.73652738E+00          1.88305615E+00
         37.0000          6.00340241E+00          2.75388287E+00          1.88787581E+00
         38.0000          5.97224293E+00          2.77177361E+00          1.89314662E+00
         39.0000          5.94401808E+00          2.79015860E+00          1.89883417E+00
         40.0000          5.91851108E+00          2.80900083E+00          1.90490746E+00
         41.0000          5.89552595E+00          2.82826682E+00          1.91133844E+00
         42.0000          5.87488499E+00          2.84792620E+00          1.91810169E+00
         43.0000          5.85642674E+00          2.86795133E+00          1.92517412E+00
         44.0000          5.84000416E+00          2.88831705E+00          1.93253470E+00
         45.0000          5.82548301E+00          2.90900036E+00          1.94016423E+00
         46.0000          5.81274055E+00          2.92998025E+00          1.94804517E+00
         47.0000          5.80166427E+00          2.95123742E+00          1.95616143E+00
         48.0000          5.79215089E+00          2.97275417E+00          1.96449826E+00
         49.0000          5.78410542E+00          2.99451420E+00          1.97304207E+00
         50.0000          5.77744032E+00          3.01650252E+00          1.98178037E+00
         51.0000          5.77207481E+00          3.03870525E+00          1.99070161E+00
         52.0000          5.76793421E+00          3.06110960E+00          1.99979513E+00
         53.0000          5.76494942E+00          3.08370371E+00          2.00905105E+00
         54.0000          5.76305633E+00          3.10647657E+00          2.01846024E+00
         55.0000          5.76219544E+00          3.12941800E+00          2.02801418E+00
         56.0000          5.76231144E+00          3.15251850E+00          2.03770499E+00
         57.0000          5.76335283E+00          3.17576926E+00          2.04752531E+00
         58.0000          5.76527162E+00          3.19916203E+00          2.05746830E+00
         59.0000          5.76802302E+00          3.22268915E+00          2.06752756E+00
         60.0000          5.77156518E+00          3.24634346E+00          2.07769713E+00
         61.0000          5.77585896E+00          3.27011825E+00          2.08797141E+00
         62.0000          5.78086771E+00          3.29400726E+00          2.09834519E+00
         63.0000          5.78655708E+00          3.31800460E+00          2.10881355E+00
         64.0000          5.79289483E+00          3.34210478E+00          2.11937190E+00
         65.0000          5.79985069E+00          3.36630262E+00          2.13001593E+00
         66.0000          5.80739619E+00          3.39059326E+00          2.14074157E+00
         67.0000          5.81550455E+00          3.41497213E+00          2.15154500E+00
         68.0000          5.82415055E+00          3.43943494E+00          2.16242263E+00
         69.0000          5.83331039E+00          3.46397763E+00          2.17337106E+00
         70.0000          5.84296166E+00          3.48859639E+00          2.18438709E+00
         71.0000          5.85308316E+00          3.51328762E+00          2.19546771E+00
         72.0000          5.86365487E+00          3.53804791E+00          2.20661005E+00
         73.0000          5.87465786E+00          3.56287406E+00          2.21781142E+00
         74.0000          5.88607421E+00          3.58776303E+00          2.22906927E+00
         75.0000          5.89788695E+00          3.61271194E+00          2.24038116E+00
         76.0000          5.91008000E+00          3.63771807E+00          2.25174482E+00
         76.9990          5.92262535E+00          3.66275376E+00          2.26314661E+00
         77.0000          5.92263809E+00          3.66277885E+00          2.26315805E+00
         77.0010          5.92265082E+00          3.66280393E+00          2.26316949E+00
         78.0000          5.93554675E+00          3.68789183E+00          2.27461880E+00
         79.0000          5.94879223E+00          3.71305469E+00          2.28612511E+00
         80.0000          5.96236146E+00          3.73826524E+00          2.29767512E+00
         81.0000          5.97624201E+00          3.76352138E+00          2.30926704E+00
         82.0000          5.99042206E+00          3.78882114E+00          2.32089920E+00
         83.0000          6.00489035E+00          3.81416261E+00          2.33256999E+00
         84.0000          6.01963616E+00          3.83954402E+00          2.34427788E+00
         85.0000          6.03464926E+00          3.86496364E+00          2.35602141E+00
         86.0000          6.04991992E+00          3.89041986E+00          2.36779920E+00
         87.0000          6.06543884E+00          3.91591112E+00          2.37960992E+00
         88.0000          6.08119712E+00          3.94143594E+00          2.39145230E+00
         89.0000          6.09718630E+00          3.96699292E+00          2.40332514E+00
         90.0000          6.11339828E+00          3.99258071E+00          2.41522727E+00
         91.0000          6.12982529E+00          4.01819803E+00          2.42715760E+00
         92.0000          6.14645994E+00          4.04384366E+00          2.43911507E+00
         93.0000          6.16329513E+00          4.06951641E+00          2.45109866E+00
         94.0000          6.18032407E+00          4.09521518E+00          2.46310742E+00
         95.0000          6.19754025E+00          4.12093890E+00          2.47514041E+00
         96.0000          6.21493745E+00          4.14668653E+00          2.48719674E+00
         97.0000          6.23250970E+00          4.17245711E+00          2.49927558E+00
