#Energy      Na   Cl  Total
         99.0000          1.53226916E+01          1.90822064E+01          8.49852147E+00
        100.0000          1.53868364E+01          1.90899385E+01          8.51975747E+00
        110.0000          1.60396058E+01          1.92134248E+01          8.74182316E+00
        120.0000          1.67088466E+01          1.94056570E+01          8.97828059E+00
        130.0000          1.73901176E+01          1.96501112E+01          9.22558405E+00
        140.0000          1.80802845E+01          1.99349995E+01          9.48119874E+00
        150.0000          1.87770834E+01          2.02516983E+01          9.74326668E+00
        160.0000          1.94788462E+01          2.05937615E+01          1.00103970E+01
        170.0000          2.01843231E+01          2.09562812E+01          1.02815298E+01
        180.0000          2.08925643E+01          2.13354603E+01          1.05558449E+01
        190.0000          2.16028394E+01          2.17283195E+01          1.08326989E+01
        200.0000          2.23145806E+01          2.21324917E+01          1.11115816E+01
        205.9990          2.27420684E+01          2.23795770E+01          1.12796833E+01
        206.0010          2.27422110E+01          2.23796599E+01          1.12797395E+01
        207.9990          2.28846554E+01          2.24626430E+01          1.13358427E+01
        208.0010          2.28847980E+01          2.24627262E+01          1.13358989E+01
        210.0000          2.30273428E+01          2.25460759E+01          1.13920841E+01
        220.0000          2.37407743E+01          2.29675298E+01          1.16738758E+01
        230.0000          2.44545958E+01          2.33955916E+01          1.19566875E+01
        240.0000          2.51685841E+01          2.38292203E+01          1.22402982E+01
        250.0000          2.58825603E+01          2.42675511E+01          1.25245256E+01
        260.0000          2.65963803E+01          2.47098607E+01          1.28092185E+01
        270.0000          2.73099283E+01          2.51555409E+01          1.30942509E+01
        276.9990          2.78091279E+01          2.54691988E+01          1.32938899E+01
        277.0010          2.78092705E+01          2.54692886E+01          1.32939469E+01
        280.0000          2.80231108E+01          2.56040771E+01          1.33795173E+01
        290.0000          2.87358528E+01          2.60550320E+01          1.36649292E+01
        300.0000          2.94480936E+01          2.65080324E+01          1.39504121E+01
        310.0000          3.01597850E+01          2.69627582E+01          1.42359031E+01
        320.0000          3.08708886E+01          2.74189340E+01          1.45213490E+01
        330.0000          3.15813739E+01          2.78763221E+01          1.48067048E+01
        340.0000          3.22912174E+01          2.83347165E+01          1.50919323E+01
        350.0000          3.30004012E+01          2.87939383E+01          1.53769993E+01
        360.0000          3.37089117E+01          2.92538317E+01          1.56618784E+01
        370.0000          3.44167395E+01          2.97142608E+01          1.59465464E+01
        380.0000          3.51238781E+01          3.01751065E+01          1.62309838E+01
        390.0000          3.58303238E+01          3.06362647E+01          1.65151741E+01
        400.0000          3.65360752E+01          3.10976437E+01          1.67991036E+01
        410.0000          3.72411325E+01          3.15591631E+01          1.70827605E+01
        420.0000          3.79454976E+01          3.20207520E+01          1.73661355E+01
        430.0000          3.86491737E+01          3.24823481E+01          1.76492205E+01
        440.0000          3.93521649E+01          3.29438962E+01          1.79320093E+01
        450.0000          4.00544764E+01          3.34053478E+01          1.82144966E+01
        460.0000          4.07561138E+01          3.38666600E+01          1.84966784E+01
        470.0000          4.14570835E+01          3.43277948E+01          1.87785517E+01
        480.0000          4.21573924E+01          3.47887188E+01          1.90601142E+01
        490.0000          4.28570475E+01          3.52494024E+01          1.93413645E+01
        500.0000          4.35560564E+01          3.57098197E+01          1.96223015E+01
        510.0000          4.42544268E+01          3.61699476E+01          1.99029251E+01
        520.0000          4.49521666E+01          3.66297658E+01          2.01832353E+01
        530.0000          4.56492836E+01          3.70892567E+01          2.04632326E+01
        540.0000          4.63457861E+01          3.75484046E+01          2.07429181E+01
        550.0000          4.70416821E+01          3.80071958E+01          2.10222929E+01
        560.0000          4.77369797E+01          3.84656184E+01          2.13013585E+01
        570.0000          4.84316870E+01          3.89236620E+01          2.15801166E+01
        580.0000          4.91258120E+01          3.93813177E+01          2.18585691E+01
        590.0000          4.98193629E+01          3.98385778E+01          2.21367182E+01
        600.0000          5.05123475E+01          4.02954356E+01          2.24145660E+01
        610.0000          5.12047737E+01          4.07518856E+01          2.26921149E+01
        620.0000          5.18966492E+01          4.12079231E+01          2.29693674E+01
        630.0000          5.25879818E+01          4.16635441E+01          2.32463260E+01
        640.0000          5.32787790E+01          4.21187457E+01          2.35229934E+01
        650.0000          5.39690483E+01          4.25735252E+01          2.37993722E+01
        660.0000          5.46587969E+01          4.30278807E+01          2.40754651E+01
        670.0000          5.53480322E+01          4.34818110E+01          2.43512749E+01
        680.0000          5.60367612E+01          4.39353152E+01          2.46268043E+01
        690.0000          5.67249910E+01          4.43883927E+01          2.49020563E+01
        700.0000          5.74127283E+01          4.48410435E+01          2.51770336E+01
        710.0000          5.80999798E+01          4.52932678E+01          2.54517389E+01
        720.0000          5.87867523E+01          4.57450664E+01          2.57261753E+01
        730.0000          5.94730522E+01          4.61964401E+01          2.60003453E+01
        740.0000          6.01588858E+01          4.66473899E+01          2.62742520E+01
        750.0000          6.08442593E+01          4.70979172E+01          2.65478980E+01
        760.0000          6.15291790E+01          4.75480237E+01          2.68212861E+01
        770.0000          6.22136508E+01          4.79977110E+01          2.70944191E+01
        780.0000          6.28976805E+01          4.84469810E+01          2.73672998E+01
        790.0000          6.35812739E+01          4.88958358E+01          2.76399308E+01
        800.0000          6.42644367E+01          4.93442775E+01          2.79123148E+01
        810.0000          6.49471744E+01          4.97923085E+01          2.81844546E+01
        820.0000          6.56294925E+01          5.02399310E+01          2.84563526E+01
        830.0000          6.63113962E+01          5.06871477E+01          2.87280116E+01
        840.0000          6.69928908E+01          5.11339609E+01          2.89994342E+01
        850.0000          6.76739813E+01          5.15803734E+01          2.92706227E+01
        860.0000          6.83546728E+01          5.20263878E+01          2.95415799E+01
        870.0000          6.90349701E+01          5.24720068E+01          2.98123080E+01
        880.0000          6.97148782E+01          5.29172333E+01          3.00828097E+01
        890.0000          7.03944016E+01          5.33620699E+01          3.03530873E+01
        900.0000          7.10735451E+01          5.38065196E+01          3.06231431E+01
        910.0000          7.17523130E+01          5.42505851E+01          3.08929796E+01
        920.0000          7.24307099E+01          5.46942694E+01          3.11625991E+01
        930.0000          7.31087402E+01          5.51375754E+01          3.14320038E+01
        940.0000          7.37864080E+01          5.55805059E+01          3.17011959E+01
        950.0000          7.44637176E+01          5.60230638E+01          3.19701778E+01
        960.0000          7.51406730E+01          5.64652520E+01          3.22389515E+01
        970.0000          7.58172783E+01          5.69070736E+01          3.25075193E+01
        980.0000          7.64935374E+01          5.73485312E+01          3.27758833E+01
        990.0000          7.71694542E+01          5.77896280E+01          3.30440455E+01
       1000.0000          7.78450325E+01          5.82303666E+01          3.33120080E+01
       1074.9990          8.29013755E+01          6.15247372E+01          3.53155343E+01
       1075.0010          8.29015101E+01          6.15248248E+01          3.53155876E+01
       1100.0000          8.45829802E+01          6.26186847E+01          3.59810806E+01
       1200.0000          9.12907563E+01          6.69742489E+01          3.86322284E+01
       1300.0000          9.79711666E+01          7.12996146E+01          4.12670537E+01
       1400.0000          1.04626571E+02          7.55970847E+01          4.38869344E+01
       1500.0000          1.11258973E+02          7.98687153E+01          4.64930609E+01
       1600.0000          1.17870091E+02          8.41163360E+01          4.90864674E+01
       1700.0000          1.24461405E+02          8.83415754E+01          5.16680574E+01
       1800.0000          1.31034208E+02          9.25458848E+01          5.42386245E+01
       1900.0000          1.37589629E+02          9.67305614E+01          5.67988701E+01
       2000.0000          1.44128666E+02          1.00896768E+02          5.93494165E+01
       2100.0000          1.50652202E+02          1.05045550E+02          6.18908194E+01
       2200.0000          1.57161028E+02          1.09177850E+02          6.44235768E+01
       2300.0000          1.63655849E+02          1.13294524E+02          6.69481368E+01
       2400.0000          1.70137302E+02          1.17396345E+02          6.94649047E+01
       2500.0000          1.76605961E+02          1.21484021E+02          7.19742480E+01
       2600.0000          1.83062349E+02          1.25558197E+02          7.44765013E+01
       2700.0000          1.89506941E+02          1.29619465E+02          7.69719704E+01
       2800.0000          1.95940171E+02          1.33668367E+02          7.94609351E+01
       2828.9990          1.97803676E+02          1.34840267E+02          8.01815307E+01
       2829.0010          1.97803804E+02          1.34840348E+02          8.01815803E+01
       2900.0000          2.02362437E+02          1.37705404E+02          8.19436528E+01
       3000.0000          2.08774106E+02          1.41731038E+02          8.44203607E+01
       3100.0000          2.15175514E+02          1.45745696E+02          8.68912778E+01
       3200.0000          2.21566975E+02          1.49749776E+02          8.93566067E+01
       3300.0000          2.27948776E+02          1.53743646E+02          9.18165358E+01
       3400.0000          2.34321187E+02          1.57727649E+02          9.42712400E+01
       3500.0000          2.40684457E+02          1.61702105E+02          9.67208825E+01
       3600.0000          2.47038820E+02          1.65667315E+02          9.91656158E+01
       3700.0000          2.53384493E+02          1.69623558E+02          1.01605582E+02
       3800.0000          2.59721681E+02          1.73571098E+02          1.04040915E+02
       3900.0000          2.66050574E+02          1.77510181E+02          1.06471740E+02
       4000.0000          2.72371352E+02          1.81441041E+02          1.08898176E+02
       4100.0000          2.78684185E+02          1.85363897E+02          1.11320332E+02
