#Energy      B-K-shell   C-K-shell   Valence  Total
         60.0000          1.00000000E+30          1.00000000E+30          8.16012511E+00          8.16012511E+00
         61.0000          1.00000000E+30          1.00000000E+30          7.92422161E+00          7.92422161E+00
         62.0000          1.00000000E+30          1.00000000E+30          7.70248901E+00          7.70248901E+00
         63.0000          1.00000000E+30          1.00000000E+30          7.49475021E+00          7.49475021E+00
         64.0000          1.00000000E+30          1.00000000E+30          7.30069191E+00          7.30069191E+00
         65.0000          1.00000000E+30          1.00000000E+30          7.11988318E+00          7.11988318E+00
         66.0000          1.00000000E+30          1.00000000E+30          6.95179807E+00          6.95179807E+00
         67.0000          1.00000000E+30          1.00000000E+30          6.79583968E+00          6.79583968E+00
         68.0000          1.00000000E+30          1.00000000E+30          6.65136348E+00          6.65136348E+00
         69.0000          1.00000000E+30          1.00000000E+30          6.51769843E+00          6.51769843E+00
         70.0000          1.00000000E+30          1.00000000E+30          6.39416509E+00          6.39416509E+00
         71.0000          1.00000000E+30          1.00000000E+30          6.28009019E+00          6.28009019E+00
         72.0000          1.00000000E+30          1.00000000E+30          6.17481798E+00          6.17481798E+00
         73.0000          1.00000000E+30          1.00000000E+30          6.07771833E+00          6.07771833E+00
         74.0000          1.00000000E+30          1.00000000E+30          5.98819239E+00          5.98819239E+00
         75.0000          1.00000000E+30          1.00000000E+30          5.90567587E+00          5.90567587E+00
         76.0000          1.00000000E+30          1.00000000E+30          5.82964084E+00          5.82964084E+00
         77.0000          1.00000000E+30          1.00000000E+30          5.75959598E+00          5.75959598E+00
         78.0000          1.00000000E+30          1.00000000E+30          5.69508605E+00          5.69508605E+00
         79.0000          1.00000000E+30          1.00000000E+30          5.63569068E+00          5.63569068E+00
         80.0000          1.00000000E+30          1.00000000E+30          5.58102267E+00          5.58102267E+00
         81.0000          1.00000000E+30          1.00000000E+30          5.53072604E+00          5.53072604E+00
         82.0000          1.00000000E+30          1.00000000E+30          5.48447399E+00          5.48447399E+00
         83.0000          1.00000000E+30          1.00000000E+30          5.44196673E+00          5.44196673E+00
         84.0000          1.00000000E+30          1.00000000E+30          5.40292944E+00          5.40292944E+00
         85.0000          1.00000000E+30          1.00000000E+30          5.36711024E+00          5.36711024E+00
         86.0000          1.00000000E+30          1.00000000E+30          5.33427825E+00          5.33427825E+00
         87.0000          1.00000000E+30          1.00000000E+30          5.30422180E+00          5.30422180E+00
         88.0000          1.00000000E+30          1.00000000E+30          5.27674679E+00          5.27674679E+00
         89.0000          1.00000000E+30          1.00000000E+30          5.25167508E+00          5.25167508E+00
         90.0000          1.00000000E+30          1.00000000E+30          5.22884311E+00          5.22884311E+00
         91.0000          1.00000000E+30          1.00000000E+30          5.20810059E+00          5.20810059E+00
         92.0000          1.00000000E+30          1.00000000E+30          5.18930929E+00          5.18930929E+00
         93.0000          1.00000000E+30          1.00000000E+30          5.17234200E+00          5.17234200E+00
         94.0000          1.00000000E+30          1.00000000E+30          5.15708152E+00          5.15708152E+00
         95.0000          1.00000000E+30          1.00000000E+30          5.14341975E+00          5.14341975E+00
         96.0000          1.00000000E+30          1.00000000E+30          5.13125695E+00          5.13125695E+00
         97.0000          1.00000000E+30          1.00000000E+30          5.12050092E+00          5.12050092E+00
         98.0000          1.00000000E+30          1.00000000E+30          5.11106643E+00          5.11106643E+00
         99.0000          1.00000000E+30          1.00000000E+30          5.10287453E+00          5.10287453E+00
        100.0000          1.00000000E+30          1.00000000E+30          5.09585210E+00          5.09585210E+00
        110.0000          1.00000000E+30          1.00000000E+30          5.07712993E+00          5.07712993E+00
        120.0000          1.00000000E+30          1.00000000E+30          5.12356442E+00          5.12356442E+00
        130.0000          1.00000000E+30          1.00000000E+30          5.20987958E+00          5.20987958E+00
        140.0000          1.00000000E+30          1.00000000E+30          5.32196296E+00          5.32196296E+00
        150.0000          1.00000000E+30          1.00000000E+30          5.45139882E+00          5.45139882E+00
        160.0000          1.00000000E+30          1.00000000E+30          5.59289575E+00          5.59289575E+00
        170.0000          1.00000000E+30          1.00000000E+30          5.74298083E+00          5.74298083E+00
        180.0000          1.00000000E+30          1.00000000E+30          5.89865885E+00          5.89865885E+00
        190.0000          1.00000000E+30          1.00000000E+30          6.05504934E+00          6.05504934E+00
        191.9990          1.00000000E+30          1.00000000E+30          6.08812342E+00          6.08812342E+00
        192.0010          3.87049283E+10          1.00000000E+30          6.08816440E+00          6.08816440E+00
        200.0000          1.81338122E+05          1.00000000E+30          6.22079853E+00          6.22058513E+00
        210.0000          5.23127393E+04          1.00000000E+30          6.38711609E+00          6.38633635E+00
        220.0000          2.64393898E+04          1.00000000E+30          6.55383317E+00          6.55220900E+00
        230.0000          1.65019065E+04          1.00000000E+30          6.72714353E+00          6.72440227E+00
        240.0000          1.15288917E+04          1.00000000E+30          6.90001944E+00          6.89589226E+00
        250.0000          8.64489485E+03          1.00000000E+30          7.07244046E+00          7.06665918E+00
        260.0000          6.80567118E+03          1.00000000E+30          7.24439564E+00          7.23669244E+00
        270.0000          5.55211447E+03          1.00000000E+30          7.41588085E+00          7.40598877E+00
        280.0000          4.65451098E+03          1.00000000E+30          7.58689667E+00          7.57455008E+00
        287.9990          4.10623263E+03          1.00000000E+30          7.72436382E+00          7.70986056E+00
        288.0010          4.10611095E+03          1.25720467E+11          7.72440193E+00          7.70989810E+00
        290.0000          3.98699811E+03          5.83079858E+06          7.76248068E+00          7.74738660E+00
        300.0000          3.47544474E+03          3.91026855E+05          7.93237870E+00          7.91415483E+00
        310.0000          3.07367903E+03          1.54333245E+05          8.10655524E+00          8.08480761E+00
        320.0000          2.75177813E+03          8.64751863E+04          8.28000210E+00          8.25437462E+00
        330.0000          2.48946294E+03          5.67265800E+04          8.45274421E+00          8.42288998E+00
        340.0000          2.27263777E+03          4.07372184E+04          8.62480588E+00          8.59038607E+00
