#Energy      B   C  Total
         37.0000          1.87594331E+00          7.10526941E+00          1.48410722E+00
         38.0000          1.90308668E+00          7.18940766E+00          1.50476485E+00
         39.0000          1.93032319E+00          7.27414423E+00          1.52550372E+00
         40.0000          1.95764543E+00          7.35943300E+00          1.54631739E+00
         41.0000          1.98504669E+00          7.44523219E+00          1.56720005E+00
         42.0000          2.01252087E+00          7.53150395E+00          1.58814642E+00
         43.0000          2.04006244E+00          7.61821384E+00          1.60915172E+00
         44.0000          2.06766638E+00          7.70533051E+00          1.63021159E+00
         45.0000          2.09532809E+00          7.79282533E+00          1.65132205E+00
         46.0000          2.12304337E+00          7.88067213E+00          1.67247947E+00
         47.0000          2.15080840E+00          7.96884692E+00          1.69368050E+00
         48.0000          2.17861963E+00          8.05732768E+00          1.71492210E+00
         49.0000          2.20647385E+00          8.14609418E+00          1.73620147E+00
         50.0000          2.23436807E+00          8.23512777E+00          1.75751601E+00
         51.0000          2.26229955E+00          8.32441127E+00          1.77886335E+00
         52.0000          2.29026576E+00          8.41392879E+00          1.80024129E+00
         53.0000          2.31826436E+00          8.50366566E+00          1.82164780E+00
         54.0000          2.34629319E+00          8.59360825E+00          1.84308101E+00
         55.0000          2.37435026E+00          8.68374397E+00          1.86453916E+00
         56.0000          2.40243369E+00          8.77406110E+00          1.88602065E+00
         57.0000          2.43054176E+00          8.86454874E+00          1.90752397E+00
         58.0000          2.45867288E+00          8.95519676E+00          1.92904774E+00
         59.0000          2.48682554E+00          9.04599571E+00          1.95059064E+00
         60.0000          2.51499837E+00          9.13693679E+00          1.97215147E+00
         61.0000          2.54319005E+00          9.22801176E+00          1.99372911E+00
         62.0000          2.57139939E+00          9.31921293E+00          2.01532249E+00
         63.0000          2.59962526E+00          9.41053311E+00          2.03693064E+00
         64.0000          2.62786659E+00          9.50196557E+00          2.05855263E+00
         65.0000          2.65612240E+00          9.59350398E+00          2.08018759E+00
         66.0000          2.68439176E+00          9.68514242E+00          2.10183473E+00
         67.0000          2.71267380E+00          9.77687533E+00          2.12349327E+00
         68.0000          2.74096772E+00          9.86869748E+00          2.14516252E+00
         69.0000          2.76927274E+00          9.96060396E+00          2.16684181E+00
         70.0000          2.79758816E+00          1.00525901E+01          2.18853050E+00
         71.0000          2.82591328E+00          1.01446517E+01          2.21022800E+00
         72.0000          2.85424749E+00          1.02367844E+01          2.23193377E+00
         73.0000          2.88259017E+00          1.03289846E+01          2.25364727E+00
         74.0000          2.91094078E+00          1.04212484E+01          2.27536802E+00
         75.0000          2.93929878E+00          1.05135725E+01          2.29709555E+00
         76.0000          2.96766366E+00          1.06059536E+01          2.31882942E+00
         77.0000          2.99603496E+00          1.06983886E+01          2.34056922E+00
         78.0000          3.02441224E+00          1.07908746E+01          2.36231456E+00
         79.0000          3.05279507E+00          1.08834088E+01          2.38406506E+00
         80.0000          3.08118305E+00          1.09759887E+01          2.40582039E+00
         81.0000          3.10957582E+00          1.10686117E+01          2.42758020E+00
         82.0000          3.13797300E+00          1.11612755E+01          2.44934419E+00
         83.0000          3.16637428E+00          1.12539779E+01          2.47111206E+00
         84.0000          3.19477933E+00          1.13467167E+01          2.49288353E+00
         85.0000          3.22318784E+00          1.14394900E+01          2.51465834E+00
         86.0000          3.25159954E+00          1.15322958E+01          2.53643623E+00
         87.0000          3.28001416E+00          1.16251323E+01          2.55821697E+00
         88.0000          3.30843143E+00          1.17179978E+01          2.58000032E+00
         89.0000          3.33685112E+00          1.18108907E+01          2.60178608E+00
         90.0000          3.36527299E+00          1.19038094E+01          2.62357405E+00
         91.0000          3.39369683E+00          1.19967524E+01          2.64536402E+00
         92.0000          3.42212242E+00          1.20897183E+01          2.66715581E+00
         93.0000          3.45054958E+00          1.21827058E+01          2.68894925E+00
         94.0000          3.47897811E+00          1.22757135E+01          2.71074418E+00
         95.0000          3.50740783E+00          1.23687402E+01          2.73254042E+00
         96.0000          3.53583858E+00          1.24617849E+01          2.75433785E+00
         97.0000          3.56427020E+00          1.25548463E+01          2.77613631E+00
         98.0000          3.59270253E+00          1.26479234E+01          2.79793566E+00
         99.0000          3.62113542E+00          1.27410152E+01          2.81973578E+00
        100.0000          3.64956875E+00          1.28341208E+01          2.84153654E+00
        110.0000          3.93389964E+00          1.37657463E+01          3.05955636E+00
        120.0000          4.21816236E+00          1.46979447E+01          3.27754103E+00
        130.0000          4.50229369E+00          1.56302371E+01          3.49543327E+00
        140.0000          4.78625505E+00          1.65623097E+01          3.71319756E+00
        150.0000          5.07002345E+00          1.74939549E+01          3.93081221E+00
        160.0000          5.35358593E+00          1.84250355E+01          4.14826448E+00
        170.0000          5.63693609E+00          1.93554621E+01          4.36554755E+00
        180.0000          5.92007185E+00          2.02851778E+01          4.58265850E+00
        190.0000          6.20299403E+00          2.12141484E+01          4.79959705E+00
        191.9990          6.25952476E+00          2.13997585E+01          4.84294249E+00
        192.0010          6.25958132E+00          2.13999442E+01          4.84298586E+00
        200.0000          6.48570528E+00          2.21423557E+01          5.01636466E+00
        210.0000          6.76820950E+00          2.30697925E+01          5.23296395E+00
        220.0000          7.05051135E+00          2.39964594E+01          5.44939829E+00
        230.0000          7.33261596E+00          2.49223628E+01          5.66567154E+00
        240.0000          7.61452868E+00          2.58475128E+01          5.88178781E+00
        250.0000          7.89625498E+00          2.67719222E+01          6.09775134E+00
        260.0000          8.17780030E+00          2.76956056E+01          6.31356644E+00
        270.0000          8.45917002E+00          2.86185786E+01          6.52923737E+00
        280.0000          8.74036939E+00          2.95408576E+01          6.74476833E+00
        287.9990          8.96518156E+00          3.02781002E+01          6.91707354E+00
        288.0010          8.96523776E+00          3.02782845E+01          6.91711661E+00
        290.0000          9.02140350E+00          3.04624593E+01          6.96016341E+00
        300.0000          9.30227730E+00          3.13834006E+01          7.17542659E+00
        310.0000          9.58299551E+00          3.23036979E+01          7.39056170E+00
        320.0000          9.86356270E+00          3.32233678E+01          7.60557245E+00
        330.0000          1.01439832E+01          3.41424264E+01          7.82046240E+00
        340.0000          1.04242613E+01          3.50608892E+01          8.03523496E+00
        350.0000          1.07044010E+01          3.59787716E+01          8.24989340E+00
        360.0000          1.09844060E+01          3.68960884E+01          8.46444087E+00
        370.0000          1.12642800E+01          3.78128538E+01          8.67888036E+00
        380.0000          1.15440266E+01          3.87290816E+01          8.89321475E+00
        390.0000          1.18236490E+01          3.96447852E+01          9.10744678E+00
        400.0000          1.21031506E+01          4.05599775E+01          9.32157911E+00
        410.0000          1.23825342E+01          4.14746707E+01          9.53561423E+00
        420.0000          1.26618030E+01          4.23888769E+01          9.74955457E+00
        430.0000          1.29409596E+01          4.33026075E+01          9.96340244E+00
        440.0000          1.32200067E+01          4.42158736E+01          1.01771600E+01
        450.0000          1.34989470E+01          4.51286857E+01          1.03908295E+01
        460.0000          1.37777828E+01          4.60410542E+01          1.06044129E+01
        470.0000          1.40565165E+01          4.69529888E+01          1.08179121E+01
        480.0000          1.43351505E+01          4.78644991E+01          1.10313290E+01
        490.0000          1.46136867E+01          4.87755942E+01          1.12446654E+01
        500.0000          1.48921274E+01          4.96862829E+01          1.14579230E+01
        510.0000          1.51704745E+01          5.05965737E+01          1.16711036E+01
        520.0000          1.54487299E+01          5.15064747E+01          1.18842086E+01
        530.0000          1.57268955E+01          5.24159938E+01          1.20972396E+01
        540.0000          1.60049731E+01          5.33251386E+01          1.23101981E+01
        550.0000          1.62829643E+01          5.42339164E+01          1.25230855E+01
        560.0000          1.65608708E+01          5.51423343E+01          1.27359031E+01
        570.0000          1.68386942E+01          5.60503991E+01          1.29486523E+01
        580.0000          1.71164359E+01          5.69581173E+01          1.31613344E+01
        590.0000          1.73940976E+01          5.78654955E+01          1.33739505E+01
        600.0000          1.76716805E+01          5.87725396E+01          1.35865019E+01
        610.0000          1.79491860E+01          5.96792556E+01          1.37989896E+01
        620.0000          1.82266156E+01          6.05856493E+01          1.40114149E+01
        630.0000          1.85039703E+01          6.14917262E+01          1.42237786E+01
        640.0000          1.87812516E+01          6.23974918E+01          1.44360819E+01
        650.0000          1.90584605E+01          6.33029511E+01          1.46483258E+01
        660.0000          1.93355982E+01          6.42081093E+01          1.48605112E+01
        670.0000          1.96126658E+01          6.51129712E+01          1.50726390E+01
        680.0000          1.98896644E+01          6.60175415E+01          1.52847102E+01
        690.0000          2.01665951E+01          6.69218249E+01          1.54967256E+01
        700.0000          2.04434588E+01          6.78258257E+01          1.57086860E+01
        710.0000          2.07202565E+01          6.87295483E+01          1.59205922E+01
        720.0000          2.09969892E+01          6.96329968E+01          1.61324452E+01
        730.0000          2.12736577E+01          7.05361754E+01          1.63442455E+01
        740.0000          2.15502631E+01          7.14390879E+01          1.65559940E+01
        750.0000          2.18268061E+01          7.23417382E+01          1.67676914E+01
        760.0000          2.21032875E+01          7.32441300E+01          1.69793384E+01
        770.0000          2.23797083E+01          7.41462669E+01          1.71909356E+01
        780.0000          2.26560691E+01          7.50481523E+01          1.74024837E+01
        790.0000          2.29323708E+01          7.59497898E+01          1.76139835E+01
        800.0000          2.32086141E+01          7.68511827E+01          1.78254354E+01
        810.0000          2.34847997E+01          7.77523341E+01          1.80368401E+01
        820.0000          2.37609283E+01          7.86532472E+01          1.82481981E+01
        830.0000          2.40370006E+01          7.95539251E+01          1.84595102E+01
        840.0000          2.43130173E+01          8.04543707E+01          1.86707767E+01
        850.0000          2.45889791E+01          8.13545869E+01          1.88819983E+01
        860.0000          2.48648865E+01          8.22545766E+01          1.90931755E+01
        870.0000          2.51407402E+01          8.31543426E+01          1.93043088E+01
        880.0000          2.54165407E+01          8.40538874E+01          1.95153987E+01
        890.0000          2.56922888E+01          8.49532137E+01          1.97264457E+01
        900.0000          2.59679848E+01          8.58523240E+01          1.99374503E+01
        910.0000          2.62436294E+01          8.67512210E+01          2.01484129E+01
        920.0000          2.65192232E+01          8.76499068E+01          2.03593339E+01
        930.0000          2.67947666E+01          8.85483840E+01          2.05702139E+01
        940.0000          2.70702602E+01          8.94466549E+01          2.07810533E+01
        950.0000          2.73457044E+01          9.03447216E+01          2.09918524E+01
        960.0000          2.76210999E+01          9.12425864E+01          2.12026117E+01
        970.0000          2.78964469E+01          9.21402515E+01          2.14133317E+01
        980.0000          2.81717461E+01          9.30377189E+01          2.16240125E+01
        990.0000          2.84469978E+01          9.39349907E+01          2.18346548E+01
       1000.0000          2.87222025E+01          9.48320689E+01          2.20452588E+01
       1100.0000          3.14717564E+01          1.03792613E+02          2.41492704E+01
       1200.0000          3.42170342E+01          1.12735706E+02          2.62498100E+01
       1300.0000          3.69583498E+01          1.21662765E+02          2.83471405E+01
       1400.0000          3.96959608E+01          1.30574960E+02          3.04414781E+01
       1500.0000          4.24300825E+01          1.39473267E+02          3.25330031E+01
       1600.0000          4.51608964E+01          1.48358512E+02          3.46218679E+01
       1700.0000          4.78885575E+01          1.57231402E+02          3.67082026E+01
       1800.0000          5.06131994E+01          1.66092545E+02          3.87921193E+01
       1900.0000          5.33349383E+01          1.74942471E+02          4.08737155E+01
       2000.0000          5.60538759E+01          1.83781645E+02          4.29530767E+01
       2100.0000          5.87701020E+01          1.92610477E+02          4.50302781E+01
       2200.0000          6.14836963E+01          2.01429330E+02          4.71053866E+01
       2300.0000          6.41947299E+01          2.10238529E+02          4.91784620E+01
       2400.0000          6.69032665E+01          2.19038367E+02          5.12495577E+01
       2500.0000          6.96093638E+01          2.27829105E+02          5.33187221E+01
       2600.0000          7.23130738E+01          2.36610982E+02          5.53859988E+01
       2700.0000          7.50144439E+01          2.45384213E+02          5.74514278E+01
       2800.0000          7.77135174E+01          2.54148997E+02          5.95150451E+01
       2900.0000          8.04103339E+01          2.62905515E+02          6.15768841E+01
       3000.0000          8.31049297E+01          2.71653931E+02          6.36369753E+01
       3100.0000          8.57973385E+01          2.80394400E+02          6.56953468E+01
       3200.0000          8.84875912E+01          2.89127063E+02          6.77520246E+01
       3300.0000          9.11757167E+01          2.97852050E+02          6.98070329E+01
       3400.0000          9.38617416E+01          3.06569483E+02          7.18603941E+01
       3500.0000          9.65456909E+01          3.15279476E+02          7.39121289E+01
       3600.0000          9.92275878E+01          3.23982133E+02          7.59622569E+01
       3700.0000          1.01907454E+02          3.32677555E+02          7.80107964E+01
       3800.0000          1.04585310E+02          3.41365833E+02          8.00577643E+01
       3900.0000          1.07261175E+02          3.50047053E+02          8.21031767E+01
       4000.0000          1.09935067E+02          3.58721299E+02          8.41470488E+01
       4100.0000          1.12607003E+02          3.67388647E+02          8.61893946E+01
       4200.0000          1.15276999E+02          3.76049169E+02          8.82302278E+01
       4300.0000          1.17945071E+02          3.84702933E+02          9.02695609E+01
       4400.0000          1.20611232E+02          3.93350006E+02          9.23074061E+01
       4500.0000          1.23275496E+02          4.01990448E+02          9.43437746E+01
       4600.0000          1.25937877E+02          4.10624317E+02          9.63786774E+01
       4700.0000          1.28598386E+02          4.19251670E+02          9.84121248E+01
       4800.0000          1.31257036E+02          4.27872559E+02          1.00444127E+02
       4900.0000          1.33913837E+02          4.36487033E+02          1.02474692E+02
       5000.0000          1.36568802E+02          4.45095143E+02          1.04503830E+02
       5100.0000          1.39221938E+02          4.53696932E+02          1.06531550E+02
       5200.0000          1.41873257E+02          4.62292445E+02          1.08557859E+02
       5300.0000          1.44522769E+02          4.70881723E+02          1.10582765E+02
       5400.0000          1.47170481E+02          4.79464808E+02          1.12606276E+02
       5500.0000          1.49816403E+02          4.88041737E+02          1.14628399E+02
       5600.0000          1.52460542E+02          4.96612547E+02          1.16649141E+02
       5700.0000          1.55102908E+02          5.05177274E+02          1.18668508E+02
       5800.0000          1.57743508E+02          5.13735951E+02          1.20686508E+02
       5900.0000          1.60382348E+02          5.22288613E+02          1.22703145E+02
