#Energy      Sc  Total
          0.1000          3.33016606E+03          3.33016606E+03
          0.2000          1.68065361E+03          1.68065361E+03
          0.3000          1.12846599E+03          1.12846599E+03
          0.4000          8.51463940E+02          8.51463940E+02
          0.5000          6.84800462E+02          6.84800462E+02
          0.6000          5.73419095E+02          5.73419095E+02
          0.7000          4.93684871E+02          4.93684871E+02
          0.8000          4.33762773E+02          4.33762773E+02
          0.9000          3.87068897E+02          3.87068897E+02
          1.0000          3.49647955E+02          3.49647955E+02
          2.0000          1.80163468E+02          1.80163468E+02
          3.0000          1.22983152E+02          1.22983152E+02
          4.0000          9.41418055E+01          9.41418055E+01
          5.0000          7.67162930E+01          7.67162930E+01
          6.0000          6.50324920E+01          6.50324920E+01
          7.0000          5.66466250E+01          5.66466250E+01
          8.0000          5.03314919E+01          5.03314919E+01
          9.0000          4.54026416E+01          4.54026416E+01
         10.0000          4.14479288E+01          4.14479288E+01
         11.0000          3.82042071E+01          3.82042071E+01
         12.0000          3.54955008E+01          3.54955008E+01
         13.0000          3.31996254E+01          3.31996254E+01
         14.0000          3.12290659E+01          3.12290659E+01
         15.0000          2.95194772E+01          2.95194772E+01
         16.0000          2.80224806E+01          2.80224806E+01
         17.0000          2.67009931E+01          2.67009931E+01
         18.0000          2.55261069E+01          2.55261069E+01
         19.0000          2.44749509E+01          2.44749509E+01
         20.0000          2.35291896E+01          2.35291896E+01
         21.0000          2.26739506E+01          2.26739506E+01
         22.0000          2.18970420E+01          2.18970420E+01
         23.0000          2.11883734E+01          2.11883734E+01
         24.0000          2.05395213E+01          2.05395213E+01
         25.0000          1.99433972E+01          1.99433972E+01
         26.0000          1.93939936E+01          1.93939936E+01
         27.0000          1.88861842E+01          1.88861842E+01
         28.0000          1.84155685E+01          1.84155685E+01
         29.0000          1.79783470E+01          1.79783470E+01
         30.0000          1.75712218E+01          1.75712218E+01
         31.0000          1.71913167E+01          1.71913167E+01
         32.0000          1.68361112E+01          1.68361112E+01
         32.9990          1.65037096E+01          1.65037096E+01
         33.0000          1.65033874E+01          1.65033874E+01
         33.0010          1.65030653E+01          1.65030653E+01
         34.0000          1.61911860E+01          1.61911860E+01
         35.0000          1.58977689E+01          1.58977689E+01
         36.0000          1.56215896E+01          1.56215896E+01
         37.0000          1.53612670E+01          1.53612670E+01
         38.0000          1.51155639E+01          1.51155639E+01
         39.0000          1.48833686E+01          1.48833686E+01
         40.0000          1.46636796E+01          1.46636796E+01
         41.0000          1.44555921E+01          1.44555921E+01
         42.0000          1.42582865E+01          1.42582865E+01
         43.0000          1.40710188E+01          1.40710188E+01
         44.0000          1.38931118E+01          1.38931118E+01
         45.0000          1.37239480E+01          1.37239480E+01
         46.0000          1.35629629E+01          1.35629629E+01
         47.0000          1.34096399E+01          1.34096399E+01
         48.0000          1.32635046E+01          1.32635046E+01
         49.0000          1.31241211E+01          1.31241211E+01
         50.0000          1.29910881E+01          1.29910881E+01
         51.0000          1.28640355E+01          1.28640355E+01
         52.0000          1.27426211E+01          1.27426211E+01
         53.0000          1.26265286E+01          1.26265286E+01
         54.0000          1.25154646E+01          1.25154646E+01
         54.9990          1.24092611E+01          1.24092611E+01
         55.0000          1.24091570E+01          1.24091570E+01
         55.0010          1.24090530E+01          1.24090530E+01
         56.0000          1.23073531E+01          1.23073531E+01
         57.0000          1.22098174E+01          1.22098174E+01
         58.0000          1.21163306E+01          1.21163306E+01
         59.0000          1.20266884E+01          1.20266884E+01
         60.0000          1.19406996E+01          1.19406996E+01
         61.0000          1.18581857E+01          1.18581857E+01
         62.0000          1.17789795E+01          1.17789795E+01
         63.0000          1.17029242E+01          1.17029242E+01
         64.0000          1.16298729E+01          1.16298729E+01
         65.0000          1.15596875E+01          1.15596875E+01
         66.0000          1.14922384E+01          1.14922384E+01
         67.0000          1.14274035E+01          1.14274035E+01
         68.0000          1.13650679E+01          1.13650679E+01
         69.0000          1.13051231E+01          1.13051231E+01
         70.0000          1.12474670E+01          1.12474670E+01
         71.0000          1.11920032E+01          1.11920032E+01
         72.0000          1.11386403E+01          1.11386403E+01
         73.0000          1.10872923E+01          1.10872923E+01
         74.0000          1.10378774E+01          1.10378774E+01
         75.0000          1.09903184E+01          1.09903184E+01
         76.0000          1.09445421E+01          1.09445421E+01
         77.0000          1.09004790E+01          1.09004790E+01
         78.0000          1.08580631E+01          1.08580631E+01
         79.0000          1.08172317E+01          1.08172317E+01
         80.0000          1.07779254E+01          1.07779254E+01
         81.0000          1.07400876E+01          1.07400876E+01
         82.0000          1.07036643E+01          1.07036643E+01
         83.0000          1.06686044E+01          1.06686044E+01
         84.0000          1.06348589E+01          1.06348589E+01
         85.0000          1.06023812E+01          1.06023812E+01
         86.0000          1.05711269E+01          1.05711269E+01
         87.0000          1.05410536E+01          1.05410536E+01
         88.0000          1.05121208E+01          1.05121208E+01
         89.0000          1.04842899E+01          1.04842899E+01
         90.0000          1.04575238E+01          1.04575238E+01
         91.0000          1.04317872E+01          1.04317872E+01
         92.0000          1.04070463E+01          1.04070463E+01
         93.0000          1.03832687E+01          1.03832687E+01
         94.0000          1.03604234E+01          1.03604234E+01
         95.0000          1.03384806E+01          1.03384806E+01
         96.0000          1.03174119E+01          1.03174119E+01
         97.0000          1.02971899E+01          1.02971899E+01
         98.0000          1.02777885E+01          1.02777885E+01
         99.0000          1.02591824E+01          1.02591824E+01
        100.0000          1.02413476E+01          1.02413476E+01
        110.0000          1.01007295E+01          1.01007295E+01
        120.0000          1.00165190E+01          1.00165190E+01
        130.0000          9.97544300E+00          9.97544300E+00
        140.0000          9.96801680E+00          9.96801680E+00
        150.0000          9.98728718E+00          9.98728718E+00
        160.0000          1.00280442E+01          1.00280442E+01
        170.0000          1.00863102E+01          1.00863102E+01
        180.0000          1.01589977E+01          1.01589977E+01
        190.0000          1.02436762E+01          1.02436762E+01
        200.0000          1.03384071E+01          1.03384071E+01
        210.0000          1.04416270E+01          1.04416270E+01
        220.0000          1.05520621E+01          1.05520621E+01
        230.0000          1.06686650E+01          1.06686650E+01
        240.0000          1.07905671E+01          1.07905671E+01
        250.0000          1.09170431E+01          1.09170431E+01
        260.0000          1.10474827E+01          1.10474827E+01
        270.0000          1.11813694E+01          1.11813694E+01
        280.0000          1.13182635E+01          1.13182635E+01
        290.0000          1.14577886E+01          1.14577886E+01
        300.0000          1.15996210E+01          1.15996210E+01
        310.0000          1.17434810E+01          1.17434810E+01
        320.0000          1.18891261E+01          1.18891261E+01
        330.0000          1.20363448E+01          1.20363448E+01
        340.0000          1.21849524E+01          1.21849524E+01
        350.0000          1.23347869E+01          1.23347869E+01
        360.0000          1.24857056E+01          1.24857056E+01
        370.0000          1.26375826E+01          1.26375826E+01
        380.0000          1.27903067E+01          1.27903067E+01
        390.0000          1.29437789E+01          1.29437789E+01
        400.0000          1.30979114E+01          1.30979114E+01
        402.9990          1.31442525E+01          1.31442525E+01
        403.0010          1.31442834E+01          1.31442834E+01
        407.9990          1.32216244E+01          1.32216244E+01
        408.0010          1.32216554E+01          1.32216554E+01
        410.0000          1.32526259E+01          1.32526259E+01
        420.0000          1.34078523E+01          1.34078523E+01
        430.0000          1.35635281E+01          1.35635281E+01
        440.0000          1.37195970E+01          1.37195970E+01
        450.0000          1.38760087E+01          1.38760087E+01
        460.0000          1.40327177E+01          1.40327177E+01
        470.0000          1.41896831E+01          1.41896831E+01
        480.0000          1.43468681E+01          1.43468681E+01
        490.0000          1.45042393E+01          1.45042393E+01
        500.0000          1.46617666E+01          1.46617666E+01
        502.9990          1.47090353E+01          1.47090353E+01
        503.0010          1.47090669E+01          1.47090669E+01
        510.0000          1.48194227E+01          1.48194227E+01
        520.0000          1.49771828E+01          1.49771828E+01
        530.0000          1.51350244E+01          1.51350244E+01
