#Energy      V   O  Total
         72.0000          1.81359831E+01          3.86353880E+00          3.18502714E+00
         72.0010          1.81358766E+01          3.86356587E+00          3.18504226E+00
         73.0000          1.80313147E+01          3.89064888E+00          3.20014739E+00
         74.0000          1.79301897E+01          3.91782757E+00          3.21527536E+00
         75.0000          1.78324665E+01          3.94507171E+00          3.23040917E+00
         76.0000          1.77380111E+01          3.97237834E+00          3.24554708E+00
         77.0000          1.76466964E+01          3.99974464E+00          3.26068748E+00
         78.0000          1.75584016E+01          4.02716795E+00          3.27582888E+00
         79.0000          1.74730122E+01          4.05464572E+00          3.29096990E+00
         80.0000          1.73904193E+01          4.08217558E+00          3.30610927E+00
         81.0000          1.73105192E+01          4.10975522E+00          3.32124581E+00
         82.0000          1.72332135E+01          4.13738248E+00          3.33637844E+00
         83.0000          1.71584082E+01          4.16505530E+00          3.35150615E+00
         84.0000          1.70860140E+01          4.19277173E+00          3.36662803E+00
         85.0000          1.70159456E+01          4.22052989E+00          3.38174322E+00
         86.0000          1.69481218E+01          4.24832801E+00          3.39685095E+00
         87.0000          1.68824649E+01          4.27616440E+00          3.41195048E+00
         88.0000          1.68189009E+01          4.30403744E+00          3.42704116E+00
         89.0000          1.67573589E+01          4.33194559E+00          3.44212238E+00
         90.0000          1.66977715E+01          4.35988739E+00          3.45719359E+00
         91.0000          1.66400739E+01          4.38786143E+00          3.47225428E+00
         92.0000          1.65842041E+01          4.41586638E+00          3.48730398E+00
         93.0000          1.65301030E+01          4.44390096E+00          3.50234227E+00
         94.0000          1.64777137E+01          4.47196395E+00          3.51736876E+00
         95.0000          1.64269821E+01          4.50005418E+00          3.53238311E+00
         96.0000          1.63778558E+01          4.52817053E+00          3.54738499E+00
         97.0000          1.63302850E+01          4.55631194E+00          3.56237412E+00
         98.0000          1.62842217E+01          4.58447737E+00          3.57735025E+00
         99.0000          1.62396199E+01          4.61266586E+00          3.59231315E+00
        100.0000          1.61964354E+01          4.64087646E+00          3.60726260E+00
        110.0000          1.58339640E+01          4.92401798E+00          3.75598763E+00
        120.0000          1.55753191E+01          5.20857894E+00          3.90327545E+00
        130.0000          1.53962093E+01          5.49406634E+00          4.04914693E+00
        140.0000          1.52792708E+01          5.78014020E+00          4.19367509E+00
        150.0000          1.52117675E+01          6.06656135E+00          4.33695341E+00
        160.0000          1.51841512E+01          6.35315891E+00          4.47907956E+00
        170.0000          1.51891262E+01          6.63980933E+00          4.62014750E+00
        180.0000          1.52210259E+01          6.92642252E+00          4.76024392E+00
        190.0000          1.52753844E+01          7.21293244E+00          4.89944697E+00
        200.0000          1.53486369E+01          7.49929059E+00          5.03782622E+00
        210.0000          1.54379049E+01          7.78546142E+00          5.17544318E+00
        220.0000          1.55408403E+01          8.07141905E+00          5.31235206E+00
        230.0000          1.56555100E+01          8.35714486E+00          5.44860057E+00
        240.0000          1.57803088E+01          8.64262576E+00          5.58423080E+00
        250.0000          1.59138940E+01          8.92785286E+00          5.71927992E+00
        260.0000          1.60551342E+01          9.21282048E+00          5.85378086E+00
        270.0000          1.62030705E+01          9.49752545E+00          5.98776288E+00
        280.0000          1.63568847E+01          9.78196646E+00          6.12125210E+00
        290.0000          1.65158757E+01          1.00661437E+01          6.25427194E+00
        300.0000          1.66794389E+01          1.03500585E+01          6.38684344E+00
        310.0000          1.68470512E+01          1.06337130E+01          6.51898564E+00
        320.0000          1.70182575E+01          1.09171100E+01          6.65071579E+00
        330.0000          1.71926609E+01          1.12002529E+01          6.78204962E+00
        340.0000          1.73699131E+01          1.14831454E+01          6.91300152E+00
        350.0000          1.75497083E+01          1.17657913E+01          7.04358472E+00
        360.0000          1.77317764E+01          1.20481949E+01          7.17381140E+00
        370.0000          1.79158786E+01          1.23303603E+01          7.30369283E+00
        380.0000          1.81018029E+01          1.26122919E+01          7.43323950E+00
        390.0000          1.82893607E+01          1.28939941E+01          7.56246115E+00
        400.0000          1.84783836E+01          1.31754712E+01          7.69136690E+00
        410.0000          1.86687212E+01          1.34567275E+01          7.81996532E+00
        420.0000          1.88602387E+01          1.37377674E+01          7.94826442E+00
        430.0000          1.90528148E+01          1.40185950E+01          8.07627179E+00
        440.0000          1.92463407E+01          1.42992144E+01          8.20399458E+00
        450.0000          1.94407179E+01          1.45796299E+01          8.33143957E+00
        460.0000          1.96358578E+01          1.48598453E+01          8.45861318E+00
        470.0000          1.98316800E+01          1.51398646E+01          8.58552153E+00
        480.0000          2.00281117E+01          1.54196915E+01          8.71217044E+00
        490.0000          2.02250869E+01          1.56993298E+01          8.83856548E+00
        500.0000          2.04225455E+01          1.59787831E+01          8.96471194E+00
        510.0000          2.06204330E+01          1.62580550E+01          9.09061493E+00
        517.9990          2.07789983E+01          1.64813162E+01          9.19115273E+00
        518.0010          2.07790380E+01          1.64813720E+01          9.19117785E+00
        520.0000          2.08186995E+01          1.65371488E+01          9.21627930E+00
        524.9990          2.09179408E+01          1.66766021E+01          9.27901094E+00
        525.0010          2.09179805E+01          1.66766579E+01          9.27903602E+00
        530.0000          2.10172997E+01          1.68160679E+01          9.34170975E+00
        537.9990          2.11763722E+01          1.70390517E+01          9.44187619E+00
        538.0010          2.11764120E+01          1.70391074E+01          9.44190122E+00
        540.0000          2.12161921E+01          1.70948155E+01          9.46691076E+00
