#Energy      Li  Total
          0.1000          8.55298260E+00          8.55298260E+00
          0.2000          5.66281408E+00          5.66281408E+00
          0.3000          4.58427419E+00          4.58427419E+00
          0.4000          4.00361499E+00          4.00361499E+00
          0.5000          3.63596882E+00          3.63596882E+00
          0.6000          3.38072219E+00          3.38072219E+00
          0.7000          3.19268909E+00          3.19268909E+00
          0.8000          3.04835761E+00          3.04835761E+00
          0.9000          2.93420060E+00          2.93420060E+00
          1.0000          2.84184375E+00          2.84184375E+00
          2.0000          2.43459426E+00          2.43459426E+00
          3.0000          2.34085384E+00          2.34085384E+00
          4.0000          2.33830559E+00          2.33830559E+00
          5.0000          2.37596669E+00          2.37596669E+00
          6.0000          2.43523004E+00          2.43523004E+00
          7.0000          2.50755119E+00          2.50755119E+00
          8.0000          2.58841266E+00          2.58841266E+00
          9.0000          2.67518482E+00          2.67518482E+00
         10.0000          2.76622563E+00          2.76622563E+00
         11.0000          2.86045330E+00          2.86045330E+00
         12.0000          2.95712439E+00          2.95712439E+00
         13.0000          3.05571014E+00          3.05571014E+00
         14.0000          3.15582372E+00          3.15582372E+00
         15.0000          3.25717528E+00          3.25717528E+00
         16.0000          3.35954321E+00          3.35954321E+00
         17.0000          3.46275508E+00          3.46275508E+00
         18.0000          3.56667467E+00          3.56667467E+00
         19.0000          3.67119290E+00          3.67119290E+00
         20.0000          3.77622138E+00          3.77622138E+00
         21.0000          3.88168776E+00          3.88168776E+00
         22.0000          3.98753220E+00          3.98753220E+00
         23.0000          4.09370482E+00          4.09370482E+00
         24.0000          4.20016371E+00          4.20016371E+00
         25.0000          4.30687341E+00          4.30687341E+00
         26.0000          4.41380371E+00          4.41380371E+00
         27.0000          4.52092872E+00          4.52092872E+00
         28.0000          4.62822616E+00          4.62822616E+00
         29.0000          4.73567673E+00          4.73567673E+00
         30.0000          4.84326364E+00          4.84326364E+00
         31.0000          4.95097223E+00          4.95097223E+00
         32.0000          5.05878965E+00          5.05878965E+00
         33.0000          5.16670456E+00          5.16670456E+00
         34.0000          5.27470698E+00          5.27470698E+00
         35.0000          5.38278805E+00          5.38278805E+00
         36.0000          5.49093988E+00          5.49093988E+00
         37.0000          5.59915545E+00          5.59915545E+00
