#Energy      Li-K-shell   Valence  Total
          0.1000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          0.2000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          0.3000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          0.4000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          0.5000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          0.6000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          0.7000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          0.8000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          0.9000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          1.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          2.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          3.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          4.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          5.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30
          6.0000          1.00000000E+30          1.51515099E+03          1.51515099E+03
          7.0000          1.00000000E+30          1.40568003E+03          1.40568003E+03
          8.0000          1.00000000E+30          1.42256569E+03          1.42256569E+03
          9.0000          1.00000000E+30          1.49825952E+03          1.49825952E+03
         10.0000          1.00000000E+30          1.61570025E+03          1.61570025E+03
         11.0000          1.00000000E+30          1.76108795E+03          1.76108795E+03
         12.0000          1.00000000E+30          1.92123512E+03          1.92123512E+03
         13.0000          1.00000000E+30          2.10505168E+03          2.10505168E+03
         14.0000          1.00000000E+30          2.30622750E+03          2.30622750E+03
         15.0000          1.00000000E+30          2.52446446E+03          2.52446446E+03
         16.0000          1.00000000E+30          2.76954773E+03          2.76954773E+03
         17.0000          1.00000000E+30          3.01655657E+03          3.01655657E+03
         18.0000          1.00000000E+30          3.28588551E+03          3.28588551E+03
         19.0000          1.00000000E+30          3.57613787E+03          3.57613787E+03
         20.0000          1.00000000E+30          3.87861743E+03          3.87861743E+03
         21.0000          1.00000000E+30          4.20710892E+03          4.20710892E+03
         22.0000          1.00000000E+30          4.54765270E+03          4.54765270E+03
         23.0000          1.00000000E+30          4.90351883E+03          4.90351883E+03
         24.0000          1.00000000E+30          5.27833897E+03          5.27833897E+03
         25.0000          1.00000000E+30          5.69646483E+03          5.69646483E+03
         26.0000          1.00000000E+30          6.11674788E+03          6.11674788E+03
         27.0000          1.00000000E+30          6.52423385E+03          6.52423385E+03
         28.0000          1.00000000E+30          6.99248033E+03          6.99248033E+03
         29.0000          1.00000000E+30          7.47614610E+03          7.47614610E+03
         30.0000          1.00000000E+30          7.97117579E+03          7.97117579E+03
         31.0000          1.00000000E+30          8.47726834E+03          8.47726834E+03
         32.0000          1.00000000E+30          9.01435967E+03          9.01435967E+03
         33.0000          1.00000000E+30          9.56286608E+03          9.56286608E+03
         34.0000          1.00000000E+30          1.01572554E+04          1.01572554E+04
         35.0000          1.00000000E+30          1.07722665E+04          1.07722665E+04
         36.0000          1.00000000E+30          1.13928617E+04          1.13928617E+04
         37.0000          1.00000000E+30          1.20236948E+04          1.20236948E+04
         38.0000          1.00000000E+30          1.27040222E+04          1.27040222E+04
         39.0000          1.00000000E+30          1.34073578E+04          1.34073578E+04
         40.0000          1.00000000E+30          1.41151000E+04          1.41151000E+04
         41.0000          1.00000000E+30          1.49293956E+04          1.49293956E+04
         42.0000          1.00000000E+30          1.56533162E+04          1.56533162E+04
         43.0000          1.00000000E+30          1.64441373E+04          1.64441373E+04
         44.0000          1.00000000E+30          1.72573012E+04          1.72573012E+04
         45.0000          1.00000000E+30          1.81072993E+04          1.81072993E+04
         46.0000          1.00000000E+30          1.89627764E+04          1.89627764E+04
         47.0000          1.00000000E+30          1.98316110E+04          1.98316110E+04
         48.0000          1.00000000E+30          2.07728305E+04          2.07728305E+04
         49.0000          1.00000000E+30          2.18185306E+04          2.18185306E+04
         50.0000          1.00000000E+30          2.27639481E+04          2.27639481E+04
         51.0000          1.00000000E+30          2.37383395E+04          2.37383395E+04
         52.0000          1.00000000E+30          2.47111030E+04          2.47111030E+04
         53.0000          1.00000000E+30          2.58602099E+04          2.58602099E+04
         54.0000          1.00000000E+30          2.68410990E+04          2.68410990E+04
         55.0000          1.00000000E+30          2.79597457E+04          2.79597457E+04
         56.0000          1.00000000E+30          2.91997798E+04          2.91997798E+04
         57.0000          1.00000000E+30          3.02995171E+04          3.02995171E+04
         57.9990          1.00000000E+30          3.14587193E+04          3.14587193E+04
         58.0000          1.00000000E+30          3.14599806E+04          3.14599806E+04
         58.0010          6.41295943E+02          3.14612420E+04          6.28485103E+02
         59.0000          6.34937806E+02          3.27740260E+04          6.22870804E+02
         60.0000          6.28698329E+02          3.39983542E+04          6.17283508E+02
         61.0000          6.22645585E+02          3.52205253E+04          6.11829368E+02
         62.0000          6.20379035E+02          3.66453489E+04          6.10051311E+02
         63.0000          6.17282180E+02          3.78734987E+04          6.07382737E+02
         64.0000          6.20820688E+02          3.92286913E+04          6.11148842E+02
         65.0000          6.20738245E+02          4.07468091E+04          6.11423795E+02
         66.0000          6.28502324E+02          4.21353550E+04          6.19265197E+02
         67.0000          6.31611400E+02          4.35773919E+04          6.22587606E+02
         68.0000          6.41758808E+02          4.52162145E+04          6.32777723E+02
         69.0000          6.47675258E+02          4.66062128E+04          6.38798036E+02
         70.0000          6.59441940E+02          4.80895866E+04          6.50521482E+02
         71.0000          6.67883190E+02          4.97726656E+04          6.59039751E+02
         72.0000          6.81322464E+02          5.13346325E+04          6.72398273E+02
         73.0000          6.92095555E+02          5.31292397E+04          6.83195808E+02
         74.0000          7.03214808E+02          5.46725934E+04          6.94284716E+02
         75.0000          7.19201220E+02          5.62604290E+04          7.10123408E+02
         76.0000          7.32602490E+02          5.80999336E+04          7.23479878E+02
         77.0000          7.46512669E+02          6.00637940E+04          7.37348414E+02
         78.0000          7.64112048E+02          6.17123797E+04          7.54766658E+02
         79.0000          7.80108291E+02          6.37723455E+04          7.70680780E+02
         80.0000          7.96788598E+02          6.54309817E+04          7.87202407E+02
         81.0000          8.15134161E+02          6.72445488E+04          8.05371499E+02
         82.0000          8.33611638E+02          6.93072874E+04          8.23704318E+02
         83.0000          8.53377291E+02          7.11901956E+04          8.43268786E+02
         84.0000          8.73821561E+02          7.31539423E+04          8.63506996E+02
         85.0000          8.91439557E+02          7.52981228E+04          8.81009461E+02
         86.0000          9.12330779E+02          7.75717929E+04          9.01725482E+02
         87.0000          9.34926044E+02          7.94197766E+04          9.24048190E+02
         88.0000          9.58189192E+02          8.17606003E+04          9.47089821E+02
         89.0000          9.77845204E+02          8.37025882E+04          9.66553561E+02
         90.0000          1.00159369E+03          8.58345683E+04          9.90041013E+02
         91.0000          1.02563312E+03          8.81832556E+04          1.01384143E+03
         92.0000          1.05146719E+03          9.06640930E+04          1.03941271E+03
         93.0000          1.07863632E+03          9.27216368E+04          1.06623277E+03
         94.0000          1.09894613E+03          9.52808755E+04          1.08641568E+03
         95.0000          1.12604946E+03          9.73470417E+04          1.11317297E+03
         96.0000          1.15452350E+03          9.97184972E+04          1.14130961E+03
         97.0000          1.18053331E+03          1.02295768E+05          1.16706492E+03
         98.0000          1.21074221E+03          1.05009796E+05          1.19694171E+03
         99.0000          1.23403629E+03          1.07207048E+05          1.21999322E+03
        100.0000          1.26399955E+03          1.09964781E+05          1.24963551E+03
        110.0000          1.58904901E+03          1.37705052E+05          1.57092134E+03
        120.0000          1.97185931E+03          1.68644417E+05          1.94906999E+03
        130.0000          2.40686674E+03          2.04150077E+05          2.37882117E+03
        140.0000          2.91247455E+03          2.44157083E+05          2.87814208E+03
        150.0000          3.48316521E+03          2.86327052E+05          3.44130182E+03
        160.0000          4.12939867E+03          3.36568243E+05          4.07934862E+03
        170.0000          4.83672487E+03          3.88695886E+05          4.77727895E+03
        180.0000          5.62916162E+03          4.46013168E+05          5.55900110E+03
        190.0000          6.49032916E+03          5.09980406E+05          6.40876719E+03
        200.0000          7.45217235E+03          5.80149798E+05          7.35766131E+03
        210.0000          8.50572545E+03          6.57120245E+05          8.39703473E+03
        220.0000          9.59378407E+03          7.36546120E+05          9.47042826E+03
        230.0000          1.08430968E+04          8.24351071E+05          1.07023239E+04
        240.0000          1.21609152E+04          9.24212632E+05          1.20029784E+04
        250.0000          1.35987650E+04          1.02721030E+06          1.34210894E+04
        260.0000          1.50959590E+04          1.13524499E+06          1.48978543E+04
        270.0000          1.67969632E+04          1.25536758E+06          1.65751853E+04
        280.0000          1.85591835E+04          1.38935552E+06          1.83145357E+04
        290.0000          2.04108204E+04          1.51650065E+06          2.01397563E+04
        300.0000          2.24570433E+04          1.66672729E+06          2.21584857E+04
        310.0000          2.46768328E+04          1.82014884E+06          2.43467496E+04
        320.0000          2.69362308E+04          1.98089128E+06          2.65748648E+04
        330.0000          2.94556660E+04          2.15780552E+06          2.90589890E+04
        340.0000          3.19468000E+04          2.34685914E+06          3.15177621E+04
        350.0000          3.47676103E+04          2.54963578E+06          3.42998866E+04
        360.0000          3.76312405E+04          2.76064146E+06          3.71251746E+04
        370.0000          4.08338905E+04          2.96833449E+06          4.02797817E+04
        380.0000          4.39160395E+04          3.20800148E+06          4.33229684E+04
        390.0000          4.73094116E+04          3.45602343E+06          4.66705398E+04
        400.0000          5.08447918E+04          3.70408578E+06          5.01563122E+04
        410.0000          5.45737398E+04          3.97523876E+06          5.38346748E+04
        420.0000          5.88454895E+04          4.25818032E+06          5.80433651E+04
        430.0000          6.30257238E+04          4.56412210E+06          6.21672593E+04
        440.0000          6.69494071E+04          4.86913420E+06          6.60413545E+04
        450.0000          7.14927794E+04          5.19490756E+06          7.05222459E+04
        460.0000          7.62761119E+04          5.53786078E+06          7.52397914E+04
        470.0000          8.13371652E+04          5.90039139E+06          8.02311747E+04
        480.0000          8.64644842E+04          6.27379983E+06          8.52890445E+04
        490.0000          9.14661546E+04          6.65806120E+06          9.02266519E+04
        500.0000          9.69974999E+04          7.05465400E+06          9.56819276E+04
        510.0000          1.02711183E+05          7.48400583E+06          1.01320649E+05
        520.0000          1.08674981E+05          7.93401861E+06          1.07206537E+05
        530.0000          1.14880160E+05          8.38270656E+06          1.13327078E+05
        540.0000          1.21350680E+05          8.84427869E+06          1.19708187E+05
        550.0000          1.28089540E+05          9.38533208E+06          1.26364931E+05
        560.0000          1.35118464E+05          9.87503348E+06          1.33294616E+05
        570.0000          1.42195506E+05          1.03882920E+07          1.40275409E+05
        580.0000          1.49589478E+05          1.09238739E+07          1.47568699E+05
        590.0000          1.57331519E+05          1.14809730E+07          1.55204645E+05
        600.0000          1.65211735E+05          1.20591540E+07          1.62978906E+05
        610.0000          1.73309626E+05          1.26583186E+07          1.70968830E+05
        620.0000          1.82436790E+05          1.32786851E+07          1.79964249E+05
        630.0000          1.91218623E+05          1.39207790E+07          1.88627596E+05
        640.0000          2.00228315E+05          1.45854325E+07          1.97516811E+05
        650.0000          2.09629293E+05          1.52419135E+07          2.06785277E+05
        660.0000          2.19408821E+05          1.60067881E+07          2.16442000E+05
        670.0000          2.29111869E+05          1.66867253E+07          2.26008726E+05
        680.0000          2.39274992E+05          1.74090428E+07          2.36030914E+05
        690.0000          2.49895943E+05          1.81638850E+07          2.46504571E+05
        700.0000          2.61575187E+05          1.89461120E+07          2.58012989E+05
        710.0000          2.72540380E+05          1.98070030E+07          2.68841180E+05
        720.0000          2.83706276E+05          2.05897305E+07          2.79850215E+05
        730.0000          2.96718053E+05          2.15275277E+07          2.92683934E+05
        740.0000          3.08651660E+05          2.23479061E+07          3.04446880E+05
