#Energy      Li-K-shell   Valence  Total
         57.9990          1.00000000E+30          6.37603728E+00          6.37603728E+00
         58.0000          3.76731324E+09          6.37608826E+00          6.37608824E+00
         58.0010          3.76754049E+09          6.37613923E+00          6.37613922E+00
         59.0000          2.25001989E+05          6.42730923E+00          6.42712564E+00
         60.0000          7.94439821E+04          6.47898843E+00          6.47846009E+00
         61.0000          4.30892062E+04          6.53108881E+00          6.53009903E+00
         62.0000          2.78909038E+04          6.58357654E+00          6.58202287E+00
         63.0000          1.98928849E+04          6.63642067E+00          6.63420744E+00
         64.0000          1.50912638E+04          6.68959284E+00          6.68662882E+00
         65.0000          1.19484943E+04          6.74306705E+00          6.73926378E+00
         66.0000          9.76281000E+03          6.79681938E+00          6.79209077E+00
         67.0000          8.17003170E+03          6.85082788E+00          6.84508806E+00
         68.0000          6.96917229E+03          6.90507228E+00          6.89823749E+00
         69.0000          6.03748790E+03          6.95953392E+00          6.95152076E+00
         70.0000          5.29752291E+03          7.01419559E+00          7.00492071E+00
         71.0000          4.69893325E+03          7.06904135E+00          7.05842271E+00
         72.0000          4.20642357E+03          7.12405649E+00          7.11201149E+00
         73.0000          3.79568539E+03          7.17922736E+00          7.16567408E+00
         74.0000          3.44893657E+03          7.23454135E+00          7.21939783E+00
         75.0000          3.15317921E+03          7.28998671E+00          7.27317151E+00
         76.0000          2.89840285E+03          7.34555258E+00          7.32698348E+00
         77.0000          2.67719732E+03          7.40122884E+00          7.38082423E+00
         78.0000          2.48373295E+03          7.45700608E+00          7.43468464E+00
         79.0000          2.31333502E+03          7.51287555E+00          7.48855543E+00
         80.0000          2.16232836E+03          7.56882910E+00          7.54242823E+00
         81.0000          2.02783560E+03          7.62485912E+00          7.59629631E+00
         82.0000          1.90738471E+03          7.68095854E+00          7.65015170E+00
         83.0000          1.79904340E+03          7.73712073E+00          7.70398829E+00
         84.0000          1.70117710E+03          7.79333951E+00          7.75779990E+00
         85.0000          1.61241085E+03          7.84960911E+00          7.81158043E+00
         86.0000          1.53161771E+03          7.90592413E+00          7.86532479E+00
         87.0000          1.45782663E+03          7.96227952E+00          7.91902780E+00
         88.0000          1.39023088E+03          8.01867055E+00          7.97268514E+00
         89.0000          1.32809779E+03          8.07509279E+00          8.02629138E+00
         90.0000          1.27086934E+03          8.13154210E+00          8.07984396E+00
         91.0000          1.21799361E+03          8.18801459E+00          8.13333788E+00
         92.0000          1.16903487E+03          8.24450661E+00          8.18677019E+00
         93.0000          1.12359987E+03          8.30101473E+00          8.24013763E+00
         94.0000          1.08132921E+03          8.35753576E+00          8.29343623E+00
         95.0000          1.04195019E+03          8.41406667E+00          8.34666480E+00
         96.0000          1.00517713E+03          8.47060464E+00          8.39981955E+00
         97.0000          9.70779310E+02          8.52714700E+00          8.45289829E+00
         98.0000          9.38548072E+02          8.58369126E+00          8.50589875E+00
         99.0000          9.08301734E+02          8.63547116E+00          8.55414459E+00
        100.0000          8.79870965E+02          8.69211132E+00          8.60708325E+00
        110.0000          6.69196564E+02          9.26055618E+00          9.13415482E+00
        120.0000          5.41349784E+02          9.82216889E+00          9.64713277E+00
        130.0000          4.57692360E+02          1.03826438E+01          1.01523404E+01
        140.0000          4.00116457E+02          1.09370863E+01          1.06460783E+01
        150.0000          3.59069813E+02          1.14949295E+01          1.11383564E+01
        160.0000          3.29053824E+02          1.20427340E+01          1.16175539E+01
        170.0000          3.06689931E+02          1.25896998E+01          1.20932681E+01
        180.0000          2.89798017E+02          1.31318255E+01          1.25625688E+01
        190.0000          2.76917867E+02          1.36732703E+01          1.30298979E+01
        200.0000          2.67042032E+02          1.42103254E+01          1.34923462E+01
        210.0000          2.59458276E+02          1.47432948E+01          1.39505760E+01
        220.0000          2.53652463E+02          1.52724504E+01          1.44051163E+01
        230.0000          2.49246485E+02          1.58014123E+01          1.48593764E+01
        240.0000          2.45957546E+02          1.63235391E+01          1.53076141E+01
        250.0000          2.43570910E+02          1.68457133E+01          1.57560054E+01
        260.0000          2.41921296E+02          1.73647407E+01          1.62018002E+01
        270.0000          2.40879734E+02          1.78807874E+01          1.66451949E+01
        280.0000          2.40344454E+02          1.83970264E+01          1.70889617E+01
        290.0000          2.40234255E+02          1.89074849E+01          1.75279580E+01
        300.0000          2.40483696E+02          1.94182958E+01          1.79674789E+01
        310.0000          2.41039534E+02          1.99265563E+01          1.84050267E+01
        320.0000          2.41858085E+02          2.04295420E+01          1.88382882E+01
        330.0000          2.42903213E+02          2.09330626E+01          1.92722102E+01
        340.0000          2.44144798E+02          2.14343398E+01          1.97044188E+01
        350.0000          2.45557572E+02          2.19334621E+01          2.01349840E+01
        360.0000          2.47120204E+02          2.24331818E+01          2.05662135E+01
        370.0000          2.48814559E+02          2.29281958E+01          2.09936377E+01
        380.0000          2.50625153E+02          2.34212884E+01          2.14195958E+01
        390.0000          2.52538678E+02          2.39125280E+01          2.18441377E+01
        400.0000          2.54543665E+02          2.44045071E+01          2.22694153E+01
        410.0000          2.56630161E+02          2.48921882E+01          2.26912225E+01
        420.0000          2.58789499E+02          2.53806678E+01          2.31137926E+01
        430.0000          2.61014108E+02          2.58674740E+01          2.35350614E+01
        440.0000          2.63297338E+02          2.63502159E+01          2.39530478E+01
        450.0000          2.65633340E+02          2.68338361E+01          2.43718341E+01
        460.0000          2.68016943E+02          2.73159270E+01          2.47894224E+01
        470.0000          2.70443556E+02          2.77965307E+01          2.52058423E+01
        480.0000          2.72909107E+02          2.82756875E+01          2.56211229E+01
        490.0000          2.75409962E+02          2.87534367E+01          2.60352921E+01
        500.0000          2.77942869E+02          2.92298163E+01          2.64483771E+01
        510.0000          2.80504917E+02          2.97048625E+01          2.68604040E+01
        520.0000          2.83093485E+02          3.01786097E+01          2.72713974E+01
        530.0000          2.85706222E+02          3.06510908E+01          2.76813811E+01
        540.0000          2.88340997E+02          3.11223370E+01          2.80903776E+01
        550.0000          2.90995885E+02          3.15923780E+01          2.84984082E+01
        560.0000          2.93669147E+02          3.20612416E+01          2.89054930E+01
        570.0000          2.96359196E+02          3.25289548E+01          2.93116516E+01
        580.0000          2.99064593E+02          3.29977088E+01          2.97186591E+01
        590.0000          3.01784028E+02          3.34631890E+01          3.01230121E+01
        600.0000          3.04516302E+02          3.39275939E+01          3.05264936E+01
        610.0000          3.07260321E+02          3.43930599E+01          3.09308300E+01
        620.0000          3.10015086E+02          3.48553738E+01          3.13326103E+01
        630.0000          3.12779676E+02          3.53166804E+01          3.17335693E+01
        640.0000          3.15553249E+02          3.57790669E+01          3.21353895E+01
        650.0000          3.18335032E+02          3.62384128E+01          3.25347442E+01
        660.0000          3.21124311E+02          3.66988454E+01          3.29349603E+01
        670.0000          3.23920428E+02          3.71563026E+01          3.33327640E+01
        680.0000          3.26722783E+02          3.76148596E+01          3.37314353E+01
        690.0000          3.29530811E+02          3.80705010E+01          3.41277429E+01
        700.0000          3.32343997E+02          3.85272501E+01          3.45249205E+01
        710.0000          3.35161866E+02          3.89811468E+01          3.49197859E+01
        720.0000          3.37983971E+02          3.94361519E+01          3.53155182E+01
        730.0000          3.40809906E+02          3.98883656E+01          3.57089883E+01
        740.0000          3.43639286E+02          4.03416964E+01          3.61033290E+01
        750.0000          3.46471761E+02          4.07942092E+01          3.64969881E+01
        760.0000          3.49021613E+02          4.12439986E+01          3.68852558E+01
        770.0000          3.51944901E+02          4.16949096E+01          3.72785232E+01
        780.0000          3.54863337E+02          4.21450507E+01          3.76710765E+01
        790.0000          3.57776980E+02          4.25944424E+01          3.80629339E+01
        800.0000          3.60323722E+02          4.30411575E+01          3.84484392E+01
        810.0000          3.63230745E+02          4.34890305E+01          3.88389104E+01
        820.0000          3.66133146E+02          4.39361908E+01          3.92287214E+01
        830.0000          3.69030988E+02          4.43826401E+01          3.96178752E+01
        840.0000          3.71924334E+02          4.48264944E+01          4.00048732E+01
        850.0000          3.74813243E+02          4.52715131E+01          4.03927122E+01
        860.0000          3.77697779E+02          4.57158583E+01          4.07799292E+01
        870.0000          3.80578003E+02          4.61595347E+01          4.11665297E+01
        880.0000          3.83118648E+02          4.66025479E+01          4.15485792E+01
