#Energy      Mg   Co   Ni   Cu   Zn   O  Total
         37.0000          2.21060878E+01          1.10681818E+02          1.22142168E+02          1.34520136E+02          1.00000000E+20          4.19296530E+00          3.24267856E+00
         38.0000          2.20362823E+01          1.08482532E+02          1.19660421E+02          1.31732105E+02          1.00000000E+20          4.22020510E+00          3.25201948E+00
         39.0000          2.19758949E+01          1.06398617E+02          1.17308395E+02          1.29089370E+02          1.00000000E+20          4.24819744E+00          3.26191811E+00
         40.0000          2.19242299E+01          1.04421492E+02          1.15076440E+02          1.26581117E+02          1.00000000E+20          4.27688596E+00          3.27232481E+00
         41.0000          2.18806578E+01          1.02543408E+02          1.12955838E+02          1.24197580E+02          1.00000000E+20          4.30621969E+00          3.28319478E+00
         42.0000          2.18446081E+01          1.00757351E+02          1.10938699E+02          1.21929918E+02          1.00000000E+20          4.33615236E+00          3.29448755E+00
         43.0000          2.18155621E+01          9.90569505E+01          1.09017862E+02          1.19770107E+02          1.00000000E+20          4.36664192E+00          3.30616647E+00
         44.0000          2.17930474E+01          9.74364154E+01          1.07186811E+02          1.17710849E+02          1.00000000E+20          4.39765005E+00          3.31819825E+00
         45.0000          2.17766328E+01          9.58904637E+01          1.05439606E+02          1.15745488E+02          1.00000000E+20          4.42914174E+00          3.33055264E+00
         46.0000          2.17659239E+01          9.44142700E+01          1.03770821E+02          1.13867947E+02          1.00000000E+20          4.46108497E+00          3.34320210E+00
         47.0000          2.17605592E+01          9.30034165E+01          1.02175488E+02          1.12072659E+02          1.00000000E+20          4.49345039E+00          3.35612149E+00
         48.0000          2.17602066E+01          9.16538513E+01          1.00649051E+02          1.10354521E+02          1.00000000E+20          4.52621104E+00          3.36928784E+00
         49.0000          2.17645609E+01          9.03618507E+01          9.91873218E+01          1.08708843E+02          1.00000000E+20          4.55934211E+00          3.38268014E+00
         50.0000          2.17733407E+01          8.91239869E+01          9.77864468E+01          1.07131307E+02          1.00000000E+20          4.59282074E+00          3.39627914E+00
         51.0000          2.17862863E+01          8.79370991E+01          9.64428719E+01          1.05617934E+02          1.00000000E+20          4.62662585E+00          3.41006716E+00
         52.0000          2.18031576E+01          8.67982678E+01          9.51533147E+01          1.04165045E+02          1.00000000E+20          4.66073792E+00          3.42402799E+00
         53.0000          2.18237324E+01          8.57047925E+01          9.39147388E+01          1.02769241E+02          1.00000000E+20          4.69513891E+00          3.43814669E+00
         53.9990          2.18477789E+01          8.46552011E+01          9.27254985E+01          1.01428688E+02          1.00000000E+20          4.72977727E+00          3.45239521E+00
         54.0000          2.18478047E+01          8.46541711E+01          9.27243313E+01          1.01427372E+02          1.00000000E+20          4.72981208E+00          3.45240954E+00
         54.0010          2.18478304E+01          8.46531412E+01          9.27231641E+01          1.01426056E+02          1.00000000E+20          4.72984688E+00          3.45242387E+00
         55.0000          2.18751830E+01          8.36440825E+01          9.15794824E+01          1.00136514E+02          1.00000000E+20          4.76474189E+00          3.46680387E+00
         56.0000          2.19056896E+01          8.26723698E+01          9.04777677E+01          9.88939521E+01          1.00000000E+20          4.79991390E+00          3.48131800E+00
         57.0000          2.19391588E+01          8.17370270E+01          8.94169317E+01          9.76971607E+01          1.00000000E+20          4.83531468E+00          3.49594115E+00
         58.0000          2.19754362E+01          8.08361848E+01          8.83948733E+01          9.65437870E+01          1.00000000E+20          4.87093169E+00          3.51066336E+00
         59.0000          2.20143779E+01          7.99681004E+01          8.74096331E+01          9.54316364E+01          1.00000000E+20          4.90675327E+00          3.52547541E+00
         60.0000          2.20558492E+01          7.91311459E+01          8.64593813E+01          9.43586603E+01          1.00000000E+20          4.94276848E+00          3.54036879E+00
         61.0000          2.20997243E+01          7.83237997E+01          8.55424075E+01          9.33229431E+01          1.00000000E+20          4.97896715E+00          3.55533561E+00
         62.0000          2.21458853E+01          7.75446375E+01          8.46571108E+01          9.23226923E+01          1.00000000E+20          5.01533971E+00          3.57036853E+00
         63.0000          2.21942218E+01          7.67923250E+01          8.38019912E+01          9.13562283E+01          1.00000000E+20          5.05187722E+00          3.58546080E+00
