#Energy      In   O   Sn  Total
          0.1000          1.04701046E+05          1.57997119E+02          1.08287038E+06          1.57736076E+02
          0.2000          5.24408677E+04          8.38598564E+01          5.42332595E+05          8.37130438E+01
          0.3000          3.50069362E+04          5.84786889E+01          3.62015512E+05          5.83717504E+01
          0.4000          2.62845979E+04          4.55316138E+01          2.71803593E+05          4.54452781E+01
          0.5000          2.10484548E+04          3.76339035E+01          2.17649216E+05          3.75602525E+01
          0.6000          1.75560746E+04          3.22931537E+01          1.81530220E+05          3.22281391E+01
          0.7000          1.50604689E+04          2.84299160E+01          1.55720519E+05          2.83711795E+01
          0.8000          1.31880400E+04          2.54994441E+01          1.36356043E+05          2.54454861E+01
          0.9000          1.17311812E+04          2.31965556E+01          1.21289565E+05          2.31463606E+01
          1.0000          1.05652995E+04          2.13367269E+01          1.09232461E+05          2.12895738E+01
          2.0000          5.31224164E+03          1.26901787E+01          5.49099921E+04          1.26570177E+01
          3.0000          3.55700875E+03          9.65134912E+00          3.67606150E+04          9.62271309E+00
          4.0000          2.67779905E+03          8.08798208E+00          2.76700812E+04          8.06127761E+00
          5.0000          2.14948007E+03          7.13691412E+00          2.22078694E+04          7.11101816E+00
          6.0000          1.79681055E+03          6.50117211E+00          1.85618471E+04          6.47547472E+00
          7.0000          1.54461522E+03          6.05015127E+00          1.59546719E+04          6.02427017E+00
          8.0000          1.35527455E+03          5.71708884E+00          1.39973557E+04          5.69075861E+00
          9.0000          1.20787268E+03          5.46416586E+00          1.24736338E+04          5.43718735E+00
         10.0000          1.08985118E+03          5.26829257E+00          1.12536585E+04          5.24050689E+00
         11.0000          9.93213014E+02          5.11454197E+00          1.02547469E+04          5.08581605E+00
         12.0000          9.12623499E+02          4.99281829E+00          9.42174411E+03          4.96303627E+00
         13.0000          8.44387223E+02          4.89603880E+00          8.71644419E+03          4.86509662E+00
         14.0000          7.85863125E+02          4.81908190E+00          8.11154257E+03          4.78688380E+00
         15.0000          7.35113393E+02          4.75814859E+00          7.58700558E+03          4.72460476E+00
         16.0000          6.90683926E+02          4.71035910E+00          7.12780060E+03          4.67538400E+00
         17.0000          6.51462218E+02          4.67348913E+00          6.72242668E+03          4.63700033E+00
