#Energy      Si   O  Total
         45.0000          1.24514141E+01          4.26317948E+00          3.17582434E+00
         46.0000          1.24045046E+01          4.29392579E+00          3.18976221E+00
         47.0000          1.23616553E+01          4.32507846E+00          3.20404999E+00
         48.0000          1.23226148E+01          4.35661155E+00          3.21866523E+00
         49.0000          1.22871520E+01          4.38850118E+00          3.23358734E+00
         50.0000          1.22550538E+01          4.42072535E+00          3.24879734E+00
         51.0000          1.22261237E+01          4.45326376E+00          3.26427776E+00
         52.0000          1.22001800E+01          4.48609764E+00          3.28001247E+00
         53.0000          1.21770546E+01          4.51920960E+00          3.29598654E+00
         54.0000          1.21565915E+01          4.55258355E+00          3.31218617E+00
         55.0000          1.21386460E+01          4.58620452E+00          3.32859855E+00
         56.0000          1.21230836E+01          4.62005862E+00          3.34521180E+00
         57.0000          1.21097790E+01          4.65413291E+00          3.36201486E+00
         58.0000          1.20986155E+01          4.68841534E+00          3.37899745E+00
         59.0000          1.20894841E+01          4.72289466E+00          3.39614998E+00
         60.0000          1.20822830E+01          4.75756037E+00          3.41346351E+00
         61.0000          1.20769172E+01          4.79240265E+00          3.43092967E+00
         62.0000          1.20732974E+01          4.82741231E+00          3.44854066E+00
         63.0000          1.20713402E+01          4.86258074E+00          3.46628915E+00
         64.0000          1.20709671E+01          4.89789988E+00          3.48416829E+00
         65.0000          1.20721045E+01          4.93336214E+00          3.50217166E+00
         66.0000          1.20746832E+01          4.96896040E+00          3.52029320E+00
         67.0000          1.20786380E+01          5.00468797E+00          3.53852724E+00
         68.0000          1.20839077E+01          5.04053855E+00          3.55686845E+00
         69.0000          1.20904344E+01          5.07650620E+00          3.57531179E+00
         70.0000          1.20981635E+01          5.11258532E+00          3.59385252E+00
         71.0000          1.21070435E+01          5.14877065E+00          3.61248618E+00
         72.0000          1.21170257E+01          5.18505720E+00          3.63120855E+00
         73.0000          1.21280641E+01          5.22144026E+00          3.65001563E+00
         74.0000          1.21401151E+01          5.25791537E+00          3.66890367E+00
         75.0000          1.21531374E+01          5.29447834E+00          3.68786909E+00
         76.0000          1.21670920E+01          5.33112516E+00          3.70690852E+00
         77.0000          1.21819416E+01          5.36785207E+00          3.72601876E+00
         78.0000          1.21976511E+01          5.40465548E+00          3.74519678E+00
         79.0000          1.22141870E+01          5.44153200E+00          3.76443969E+00
         80.0000          1.22315175E+01          5.47847840E+00          3.78374478E+00
         81.0000          1.22496125E+01          5.51549162E+00          3.80310943E+00
         82.0000          1.22684430E+01          5.55256876E+00          3.82253119E+00
         83.0000          1.22879818E+01          5.58970704E+00          3.84200771E+00
         84.0000          1.23082028E+01          5.62690383E+00          3.86153675E+00
         85.0000          1.23290810E+01          5.66415663E+00          3.88111619E+00
         86.0000          1.23505928E+01          5.70146306E+00          3.90074400E+00
         87.0000          1.23727155E+01          5.73882085E+00          3.92041825E+00
         88.0000          1.23954275E+01          5.77622783E+00          3.94013710E+00
         89.0000          1.24187082E+01          5.81368193E+00          3.95989878E+00
         90.0000          1.24425378E+01          5.85118118E+00          3.97970162E+00
         91.0000          1.24668975E+01          5.88872371E+00          3.99954402E+00
         92.0000          1.24917693E+01          5.92630772E+00          4.01942443E+00
         93.0000          1.25171358E+01          5.96393149E+00          4.03934141E+00
         94.0000          1.25429806E+01          6.00159338E+00          4.05929354E+00
         95.0000          1.25692877E+01          6.03929184E+00          4.07927948E+00
         96.0000          1.25960420E+01          6.07702535E+00          4.09929794E+00
         97.0000          1.26232290E+01          6.11479249E+00          4.11934771E+00
         98.0000          1.26508347E+01          6.15259187E+00          4.13942759E+00
         99.0000          1.26788457E+01          6.19042219E+00          4.15953646E+00
        100.0000          1.27072491E+01          6.22828219E+00          4.17967323E+00
        103.9990          1.28245173E+01          6.37995759E+00          4.26045893E+00
        104.0010          1.28245774E+01          6.38003355E+00          4.26049943E+00
        110.0000          1.30103735E+01          6.60827190E+00          4.38236606E+00
        120.0000          1.33417337E+01          6.99016657E+00          4.58692694E+00
        130.0000          1.36943028E+01          7.37330457E+00          4.79277326E+00
        140.0000          1.40630836E+01          7.75722961E+00          4.99949600E+00
        150.0000          1.44444341E+01          8.14162074E+00          5.20680150E+00
        153.9990          1.45998231E+01          8.29541549E+00          5.28981597E+00
        154.0010          1.45999012E+01          8.29549242E+00          5.28985750E+00
        160.0000          1.48356433E+01          8.52624862E+00          5.41447515E+00
        170.0000          1.52346573E+01          8.91094744E+00          5.62235785E+00
        180.0000          1.56398950E+01          9.29559630E+00          5.83033029E+00
        190.0000          1.60501234E+01          9.68010657E+00          6.03830222E+00
        200.0000          1.64643690E+01          1.00644131E+01          6.24620501E+00
        210.0000          1.68818555E+01          1.04484683E+01          6.45398619E+00
        220.0000          1.73019578E+01          1.08322374E+01          6.66160567E+00
        230.0000          1.77241685E+01          1.12156954E+01          6.86903281E+00
        240.0000          1.81480729E+01          1.15988246E+01          7.07624433E+00
        250.0000          1.85733297E+01          1.19816133E+01          7.28322267E+00
        260.0000          1.89996561E+01          1.23640537E+01          7.48995479E+00
        270.0000          1.94268173E+01          1.27461416E+01          7.69643120E+00
        280.0000          1.98546168E+01          1.31278753E+01          7.90264522E+00
        290.0000          2.02828897E+01          1.35092550E+01          8.10859244E+00
        300.0000          2.07114972E+01          1.38902825E+01          8.31427023E+00
