#Energy      Al  Total
          0.1000          5.50867475E+02          5.50867475E+02
          0.2000          2.82074342E+02          2.82074342E+02
          0.3000          1.91501450E+02          1.91501450E+02
          0.4000          1.45839033E+02          1.45839033E+02
          0.5000          1.18250718E+02          1.18250718E+02
          0.6000          9.97463369E+01          9.97463369E+01
          0.7000          8.64566025E+01          8.64566025E+01
          0.8000          7.64395800E+01          7.64395800E+01
          0.9000          6.86127207E+01          6.86127207E+01
          1.0000          6.23244405E+01          6.23244405E+01
          2.0000          3.35887283E+01          3.35887283E+01
          3.0000          2.37415125E+01          2.37415125E+01
          4.0000          1.87246600E+01          1.87246600E+01
          5.0000          1.56727896E+01          1.56727896E+01
          6.0000          1.36171563E+01          1.36171563E+01
          7.0000          1.21376566E+01          1.21376566E+01
          8.0000          1.10220671E+01          1.10220671E+01
          9.0000          1.01513972E+01          1.01513972E+01
         10.0000          9.45365380E+00          9.45365380E+00
         11.0000          8.88267043E+00          8.88267043E+00
         12.0000          8.40744995E+00          8.40744995E+00
         13.0000          8.00639017E+00          8.00639017E+00
         14.0000          7.66396489E+00          7.66396489E+00
         15.0000          7.36872150E+00          7.36872150E+00
         16.0000          7.11202301E+00          7.11202301E+00
         17.0000          6.88723005E+00          6.88723005E+00
         18.0000          6.68915299E+00          6.68915299E+00
         19.0000          6.51367532E+00          6.51367532E+00
         20.0000          6.35748899E+00          6.35748899E+00
         21.0000          6.21790449E+00          6.21790449E+00
         22.0000          6.09271224E+00          6.09271224E+00
         23.0000          5.98007973E+00          5.98007973E+00
         24.0000          5.87847407E+00          5.87847407E+00
         25.0000          5.78660298E+00          5.78660298E+00
         26.0000          5.70336915E+00          5.70336915E+00
         27.0000          5.62783470E+00          5.62783470E+00
         28.0000          5.55919313E+00          5.55919313E+00
         29.0000          5.49674705E+00          5.49674705E+00
         30.0000          5.43989020E+00          5.43989020E+00
         31.0000          5.38809306E+00          5.38809306E+00
         32.0000          5.34089099E+00          5.34089099E+00
         33.0000          5.29787457E+00          5.29787457E+00
         34.0000          5.25868162E+00          5.25868162E+00
         35.0000          5.22299055E+00          5.22299055E+00
         36.0000          5.19051481E+00          5.19051481E+00
         37.0000          5.16099823E+00          5.16099823E+00
         38.0000          5.13421108E+00          5.13421108E+00
         39.0000          5.10994677E+00          5.10994677E+00
         40.0000          5.08801894E+00          5.08801894E+00
         41.0000          5.06825911E+00          5.06825911E+00
         42.0000          5.05051451E+00          5.05051451E+00
         43.0000          5.03464635E+00          5.03464635E+00
         44.0000          5.02052820E+00          5.02052820E+00
         45.0000          5.00804468E+00          5.00804468E+00
         46.0000          4.99709025E+00          4.99709025E+00
         47.0000          4.98756821E+00          4.98756821E+00
         48.0000          4.97938976E+00          4.97938976E+00
         49.0000          4.97247324E+00          4.97247324E+00
         50.0000          4.96674339E+00          4.96674339E+00
         51.0000          4.96213077E+00          4.96213077E+00
         52.0000          4.95857119E+00          4.95857119E+00
         53.0000          4.95600523E+00          4.95600523E+00
         54.0000          4.95437778E+00          4.95437778E+00
         55.0000          4.95363769E+00          4.95363769E+00
         56.0000          4.95373741E+00          4.95373741E+00
         57.0000          4.95463268E+00          4.95463268E+00
         58.0000          4.95628222E+00          4.95628222E+00
         59.0000          4.95864754E+00          4.95864754E+00
         60.0000          4.96169266E+00          4.96169266E+00
         61.0000          4.96538393E+00          4.96538393E+00
         62.0000          4.96968985E+00          4.96968985E+00
         63.0000          4.97458088E+00          4.97458088E+00
         64.0000          4.98002931E+00          4.98002931E+00
         65.0000          4.98600911E+00          4.98600911E+00
         66.0000          4.99249582E+00          4.99249582E+00
         67.0000          4.99946641E+00          4.99946641E+00
         68.0000          5.00689919E+00          5.00689919E+00
         69.0000          5.01477371E+00          5.01477371E+00
         70.0000          5.02307070E+00          5.02307070E+00
         71.0000          5.03177194E+00          5.03177194E+00
         72.0000          5.04086022E+00          5.04086022E+00
         73.0000          5.05031925E+00          5.05031925E+00
         74.0000          5.06013365E+00          5.06013365E+00
         75.0000          5.07028881E+00          5.07028881E+00
         76.0000          5.08077092E+00          5.08077092E+00
         76.9990          5.09155590E+00          5.09155590E+00
         77.0000          5.09156684E+00          5.09156684E+00
         77.0010          5.09157779E+00          5.09157779E+00
         78.0000          5.10266415E+00          5.10266415E+00
         79.0000          5.11405101E+00          5.11405101E+00
         80.0000          5.12571619E+00          5.12571619E+00
         81.0000          5.13764900E+00          5.13764900E+00
         82.0000          5.14983929E+00          5.14983929E+00
         83.0000          5.16227737E+00          5.16227737E+00
         84.0000          5.17495403E+00          5.17495403E+00
         85.0000          5.18786049E+00          5.18786049E+00
         86.0000          5.20098835E+00          5.20098835E+00
         87.0000          5.21432963E+00          5.21432963E+00
         88.0000          5.22787670E+00          5.22787670E+00
         89.0000          5.24162226E+00          5.24162226E+00
         90.0000          5.25555935E+00          5.25555935E+00
         91.0000          5.26968131E+00          5.26968131E+00
