#Energy      O-K-shell   Valence  Total
          0.1000          1.00000000E+30          3.32746655E+03          3.32746655E+03
          0.2000          1.00000000E+30          2.08104501E+03          2.08104501E+03
          0.3000          1.00000000E+30          1.50228211E+03          1.50228211E+03
          0.4000          1.00000000E+30          1.18052404E+03          1.18052404E+03
          0.5000          1.00000000E+30          9.71810185E+02          9.71810185E+02
          0.6000          1.00000000E+30          8.26150231E+02          8.26150231E+02
          0.7000          1.00000000E+30          7.18952455E+02          7.18952455E+02
          0.8000          1.00000000E+30          6.36847944E+02          6.36847944E+02
          0.9000          1.00000000E+30          5.72172731E+02          5.72172731E+02
          1.0000          1.00000000E+30          5.19746513E+02          5.19746513E+02
          2.0000          1.00000000E+30          2.77726388E+02          2.77726388E+02
          3.0000          1.00000000E+30          1.94613446E+02          1.94613446E+02
          4.0000          1.00000000E+30          1.52417889E+02          1.52417889E+02
          5.0000          1.00000000E+30          1.26764015E+02          1.26764015E+02
          6.0000          1.00000000E+30          1.09427317E+02          1.09427317E+02
          7.0000          1.00000000E+30          9.68811618E+01          9.68811618E+01
          8.0000          1.00000000E+30          8.73473701E+01          8.73473701E+01
          9.0000          1.00000000E+30          7.98346716E+01          7.98346716E+01
         10.0000          1.00000000E+30          7.37424987E+01          7.37424987E+01
         11.0000          1.00000000E+30          6.86900983E+01          6.86900983E+01
         12.0000          1.00000000E+30          6.44220567E+01          6.44220567E+01
         13.0000          1.00000000E+30          6.07630857E+01          6.07630857E+01
         14.0000          1.00000000E+30          5.75843625E+01          5.75843625E+01
         15.0000          1.00000000E+30          5.47919239E+01          5.47919239E+01
         16.0000          1.00000000E+30          5.23160720E+01          5.23160720E+01
         17.0000          1.00000000E+30          5.01019183E+01          5.01019183E+01
         18.0000          1.00000000E+30          4.81074621E+01          4.81074621E+01
         19.0000          1.00000000E+30          4.62991736E+01          4.62991736E+01
         20.0000          1.00000000E+30          4.46499600E+01          4.46499600E+01
         21.0000          1.00000000E+30          4.31376789E+01          4.31376789E+01
         22.0000          1.00000000E+30          4.17445452E+01          4.17445452E+01
         23.0000          1.00000000E+30          4.04556601E+01          4.04556601E+01
         24.0000          1.00000000E+30          3.92583655E+01          3.92583655E+01
         25.0000          1.00000000E+30          3.81421051E+01          3.81421051E+01
         26.0000          1.00000000E+30          3.70978860E+01          3.70978860E+01
         27.0000          1.00000000E+30          3.61180137E+01          3.61180137E+01
         28.0000          1.00000000E+30          3.51959043E+01          3.51959043E+01
         29.0000          1.00000000E+30          3.43257922E+01          3.43257922E+01
         30.0000          1.00000000E+30          3.35027087E+01          3.35027087E+01
         31.0000          1.00000000E+30          3.27222550E+01          3.27222550E+01
         32.0000          1.00000000E+30          3.19806391E+01          3.19806391E+01
         33.0000          1.00000000E+30          3.12744482E+01          3.12744482E+01
         34.0000          1.00000000E+30          3.06006848E+01          3.06006848E+01
         35.0000          1.00000000E+30          2.99566767E+01          2.99566767E+01
         36.0000          1.00000000E+30          2.93400411E+01          2.93400411E+01
         37.0000          1.00000000E+30          2.87486434E+01          2.87486434E+01
         38.0000          1.00000000E+30          2.81805664E+01          2.81805664E+01
         39.0000          1.00000000E+30          2.76340785E+01          2.76340785E+01
         40.0000          1.00000000E+30          2.71076247E+01          2.71076247E+01
         41.0000          1.00000000E+30          2.65997870E+01          2.65997870E+01
         42.0000          1.00000000E+30          2.61092790E+01          2.61092790E+01
