#Energy      O  Total
         42.0000          8.04539519E-01          8.04539519E-01
         43.0000          8.10196621E-01          8.10196621E-01
         44.0000          8.15949939E-01          8.15949939E-01
         45.0000          8.21792979E-01          8.21792979E-01
         46.0000          8.27719799E-01          8.27719799E-01
         47.0000          8.33724952E-01          8.33724952E-01
         48.0000          8.39803436E-01          8.39803436E-01
         49.0000          8.45950650E-01          8.45950650E-01
         50.0000          8.52162352E-01          8.52162352E-01
         51.0000          8.58434627E-01          8.58434627E-01
         52.0000          8.64763859E-01          8.64763859E-01
         53.0000          8.71146696E-01          8.71146696E-01
         54.0000          8.77580034E-01          8.77580034E-01
         55.0000          8.84060990E-01          8.84060990E-01
         56.0000          8.90586885E-01          8.90586885E-01
         57.0000          8.97155225E-01          8.97155225E-01
         58.0000          9.03763687E-01          9.03763687E-01
         59.0000          9.10410102E-01          9.10410102E-01
         60.0000          9.17092447E-01          9.17092447E-01
         61.0000          9.23808829E-01          9.23808829E-01
         62.0000          9.30557477E-01          9.30557477E-01
         63.0000          9.37336730E-01          9.37336730E-01
         64.0000          9.44145033E-01          9.44145033E-01
         65.0000          9.50980925E-01          9.50980925E-01
         66.0000          9.57843034E-01          9.57843034E-01
         67.0000          9.64730068E-01          9.64730068E-01
         68.0000          9.71640815E-01          9.71640815E-01
         69.0000          9.78574129E-01          9.78574129E-01
         70.0000          9.85528932E-01          9.85528932E-01
         71.0000          9.92504207E-01          9.92504207E-01
         72.0000          9.99498993E-01          9.99498993E-01
         73.0000          1.00651238E+00          1.00651238E+00
         74.0000          1.01354352E+00          1.01354352E+00
         75.0000          1.02059159E+00          1.02059159E+00
         76.0000          1.02765582E+00          1.02765582E+00
         77.0000          1.03473550E+00          1.03473550E+00
         78.0000          1.04182992E+00          1.04182992E+00
         79.0000          1.04893843E+00          1.04893843E+00
         80.0000          1.05606041E+00          1.05606041E+00
         81.0000          1.06319528E+00          1.06319528E+00
         82.0000          1.07034246E+00          1.07034246E+00
         83.0000          1.07750143E+00          1.07750143E+00
         84.0000          1.08467168E+00          1.08467168E+00
         85.0000          1.09185273E+00          1.09185273E+00
         86.0000          1.09904411E+00          1.09904411E+00
         87.0000          1.10624540E+00          1.10624540E+00
         88.0000          1.11345616E+00          1.11345616E+00
         89.0000          1.12067601E+00          1.12067601E+00
         90.0000          1.12790457E+00          1.12790457E+00
         91.0000          1.13514146E+00          1.13514146E+00
         92.0000          1.14238636E+00          1.14238636E+00
         93.0000          1.14963891E+00          1.14963891E+00
         94.0000          1.15689882E+00          1.15689882E+00
         95.0000          1.16416577E+00          1.16416577E+00
         96.0000          1.17143948E+00          1.17143948E+00
         97.0000          1.17871967E+00          1.17871967E+00
         98.0000          1.18600608E+00          1.18600608E+00
         99.0000          1.19329846E+00          1.19329846E+00
        100.0000          1.20059655E+00          1.20059655E+00
        110.0000          1.27384537E+00          1.27384537E+00
        120.0000          1.34746140E+00          1.34746140E+00
        130.0000          1.42131711E+00          1.42131711E+00
        140.0000          1.49532452E+00          1.49532452E+00
        150.0000          1.56942179E+00          1.56942179E+00
        160.0000          1.64356469E+00          1.64356469E+00
        170.0000          1.71772126E+00          1.71772126E+00
        180.0000          1.79186821E+00          1.79186821E+00
        190.0000          1.86598843E+00          1.86598843E+00
        200.0000          1.94006940E+00          1.94006940E+00
        210.0000          2.01410190E+00          2.01410190E+00
        220.0000          2.08807925E+00          2.08807925E+00
        230.0000          2.16199663E+00          2.16199663E+00
        240.0000          2.23585065E+00          2.23585065E+00
        250.0000          2.30963902E+00          2.30963902E+00
