#Energy      O-K-shell   Valence  Total
          0.1000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.2000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.3000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.4000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.5000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.6000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.7000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.8000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.9000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          1.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          2.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          3.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          4.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          5.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          6.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          7.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          8.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          9.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         10.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         11.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         12.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         13.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         14.0000          1.00000000E+30          4.52878649E+01          4.52878649E+01
         15.0000          1.00000000E+30          4.15216929E+01          4.15216929E+01
         16.0000          1.00000000E+30          3.92002364E+01          3.92002364E+01
         17.0000          1.00000000E+30          3.80460054E+01          3.80460054E+01
         18.0000          1.00000000E+30          3.74079706E+01          3.74079706E+01
         19.0000          1.00000000E+30          3.71173950E+01          3.71173950E+01
         20.0000          1.00000000E+30          3.71306934E+01          3.71306934E+01
         21.0000          1.00000000E+30          3.73019224E+01          3.73019224E+01
         22.0000          1.00000000E+30          3.77378474E+01          3.77378474E+01
         23.0000          1.00000000E+30          3.82820222E+01          3.82820222E+01
         24.0000          1.00000000E+30          3.88220208E+01          3.88220208E+01
         25.0000          1.00000000E+30          3.95329699E+01          3.95329699E+01
         26.0000          1.00000000E+30          4.02654196E+01          4.02654196E+01
         27.0000          1.00000000E+30          4.11360449E+01          4.11360449E+01
         28.0000          1.00000000E+30          4.20239650E+01          4.20239650E+01
         29.0000          1.00000000E+30          4.09951262E+01          4.09951262E+01
         30.0000          1.00000000E+30          4.16886781E+01          4.16886781E+01
         31.0000          1.00000000E+30          4.24383619E+01          4.24383619E+01
         32.0000          1.00000000E+30          4.32358892E+01          4.32358892E+01
         33.0000          1.00000000E+30          4.41022737E+01          4.41022737E+01
         34.0000          1.00000000E+30          4.49748267E+01          4.49748267E+01
         35.0000          1.00000000E+30          4.59164505E+01          4.59164505E+01
         36.0000          1.00000000E+30          4.69398829E+01          4.69398829E+01
         37.0000          1.00000000E+30          4.79900249E+01          4.79900249E+01
         38.0000          1.00000000E+30          4.90229411E+01          4.90229411E+01
         39.0000          1.00000000E+30          5.01901495E+01          5.01901495E+01
         40.0000          1.00000000E+30          5.14322757E+01          5.14322757E+01
         41.0000          1.00000000E+30          5.25989103E+01          5.25989103E+01
         42.0000          1.00000000E+30          5.39342640E+01          5.39342640E+01
         43.0000          1.00000000E+30          5.52674283E+01          5.52674283E+01
         44.0000          1.00000000E+30          5.66697472E+01          5.66697472E+01
         45.0000          1.00000000E+30          5.81623081E+01          5.81623081E+01
         46.0000          1.00000000E+30          5.96135707E+01          5.96135707E+01
         47.0000          1.00000000E+30          6.11274190E+01          6.11274190E+01
         48.0000          1.00000000E+30          6.28494454E+01          6.28494454E+01
         49.0000          1.00000000E+30          6.44378428E+01          6.44378428E+01
         50.0000          1.00000000E+30          6.62778076E+01          6.62778076E+01
         51.0000          1.00000000E+30          6.80405167E+01          6.80405167E+01
         52.0000          1.00000000E+30          6.97662333E+01          6.97662333E+01
         53.0000          1.00000000E+30          7.17905247E+01          7.17905247E+01
         54.0000          1.00000000E+30          7.37181099E+01          7.37181099E+01
         55.0000          1.00000000E+30          7.56171084E+01          7.56171084E+01
         56.0000          1.00000000E+30          7.77226971E+01          7.77226971E+01
         57.0000          1.00000000E+30          7.98808204E+01          7.98808204E+01
         58.0000          1.00000000E+30          8.21729075E+01          8.21729075E+01
         59.0000          1.00000000E+30          8.42599109E+01          8.42599109E+01
         60.0000          1.00000000E+30          8.67079192E+01          8.67079192E+01
         61.0000          1.00000000E+30          8.90506755E+01          8.90506755E+01
         62.0000          1.00000000E+30          9.13675697E+01          9.13675697E+01
         63.0000          1.00000000E+30          9.38915827E+01          9.38915827E+01
         64.0000          1.00000000E+30          9.64293308E+01          9.64293308E+01
         65.0000          1.00000000E+30          9.91785965E+01          9.91785965E+01
         66.0000          1.00000000E+30          1.02089230E+02          1.02089230E+02
         67.0000          1.00000000E+30          1.04513643E+02          1.04513643E+02
         68.0000          1.00000000E+30          1.07523941E+02          1.07523941E+02
         69.0000          1.00000000E+30          1.10133312E+02          1.10133312E+02
         70.0000          1.00000000E+30          1.13226180E+02          1.13226180E+02
         71.0000          1.00000000E+30          1.15952402E+02          1.15952402E+02
         72.0000          1.00000000E+30          1.19103594E+02          1.19103594E+02
         73.0000          1.00000000E+30          1.22305780E+02          1.22305780E+02
         74.0000          1.00000000E+30          1.25263446E+02          1.25263446E+02
         75.0000          1.00000000E+30          1.28612156E+02          1.28612156E+02
         76.0000          1.00000000E+30          1.31796224E+02          1.31796224E+02
         77.0000          1.00000000E+30          1.35216429E+02          1.35216429E+02
         78.0000          1.00000000E+30          1.38728866E+02          1.38728866E+02
         79.0000          1.00000000E+30          1.42277927E+02          1.42277927E+02
         80.0000          1.00000000E+30          1.45705866E+02          1.45705866E+02
         81.0000          1.00000000E+30          1.49491219E+02          1.49491219E+02
         82.0000          1.00000000E+30          1.53543082E+02          1.53543082E+02
         83.0000          1.00000000E+30          1.56619374E+02          1.56619374E+02
         84.0000          1.00000000E+30          1.60479572E+02          1.60479572E+02
         85.0000          1.00000000E+30          1.64624246E+02          1.64624246E+02
         86.0000          1.00000000E+30          1.68634599E+02          1.68634599E+02
         87.0000          1.00000000E+30          1.72420775E+02          1.72420775E+02
         88.0000          1.00000000E+30          1.76660893E+02          1.76660893E+02
         89.0000          1.00000000E+30          1.80918160E+02          1.80918160E+02
         90.0000          1.00000000E+30          1.84622800E+02          1.84622800E+02
         91.0000          1.00000000E+30          1.88980453E+02          1.88980453E+02
         92.0000          1.00000000E+30          1.93265376E+02          1.93265376E+02
         93.0000          1.00000000E+30          1.98032220E+02          1.98032220E+02
         94.0000          1.00000000E+30          2.02108178E+02          2.02108178E+02
         95.0000          1.00000000E+30          2.06755219E+02          2.06755219E+02
         96.0000          1.00000000E+30          2.11564413E+02          2.11564413E+02
         97.0000          1.00000000E+30          2.15828334E+02          2.15828334E+02
         98.0000          1.00000000E+30          2.20750106E+02          2.20750106E+02
         99.0000          1.00000000E+30          2.25141846E+02          2.25141846E+02
        100.0000          1.00000000E+30          2.30123078E+02          2.30123078E+02
        110.0000          1.00000000E+30          2.82209308E+02          2.82209308E+02
        120.0000          1.00000000E+30          3.40958407E+02          3.40958407E+02
        130.0000          1.00000000E+30          4.07064671E+02          4.07064671E+02
        140.0000          1.00000000E+30          4.79561244E+02          4.79561244E+02
        150.0000          1.00000000E+30          5.61155813E+02          5.61155813E+02
        160.0000          1.00000000E+30          6.49797654E+02          6.49797654E+02
        170.0000          1.00000000E+30          7.48742953E+02          7.48742953E+02
        180.0000          1.00000000E+30          8.53522855E+02          8.53522855E+02
        190.0000          1.00000000E+30          9.67851436E+02          9.67851436E+02
        200.0000          1.00000000E+30          1.09203594E+03          1.09203594E+03
