#Energy      Si  Total
          0.1000          7.75068488E+02          7.75068488E+02
          0.2000          3.95612883E+02          3.95612883E+02
          0.3000          2.67934340E+02          2.67934340E+02
          0.4000          2.03634766E+02          2.03634766E+02
          0.5000          1.64821226E+02          1.64821226E+02
          0.6000          1.38808056E+02          1.38808056E+02
          0.7000          1.20138533E+02          1.20138533E+02
          0.8000          1.06075379E+02          1.06075379E+02
          0.9000          9.50933614E+01          9.50933614E+01
          1.0000          8.62748271E+01          8.62748271E+01
          2.0000          4.60513152E+01          4.60513152E+01
          3.0000          3.23106265E+01          3.23106265E+01
          4.0000          2.53232758E+01          2.53232758E+01
          5.0000          2.10775403E+01          2.10775403E+01
          6.0000          1.82194926E+01          1.82194926E+01
          7.0000          1.61628367E+01          1.61628367E+01
          8.0000          1.46117604E+01          1.46117604E+01
          9.0000          1.34005869E+01          1.34005869E+01
         10.0000          1.24291747E+01          1.24291747E+01
         11.0000          1.16333638E+01          1.16333638E+01
         12.0000          1.09701108E+01          1.09701108E+01
         13.0000          1.04094410E+01          1.04094410E+01
         14.0000          9.92982551E+00          9.92982551E+00
         15.0000          9.51539417E+00          9.51539417E+00
         16.0000          9.15418581E+00          9.15418581E+00
         17.0000          8.83701088E+00          8.83701088E+00
         18.0000          8.55669021E+00          8.55669021E+00
         19.0000          8.30753207E+00          8.30753207E+00
         20.0000          8.08496463E+00          8.08496463E+00
         21.0000          7.88527264E+00          7.88527264E+00
         22.0000          7.70540505E+00          7.70540505E+00
         23.0000          7.54283252E+00          7.54283252E+00
         24.0000          7.39544005E+00          7.39544005E+00
         25.0000          7.26144526E+00          7.26144526E+00
         26.0000          7.13933521E+00          7.13933521E+00
         27.0000          7.02781719E+00          7.02781719E+00
         28.0000          6.92577993E+00          6.92577993E+00
         29.0000          6.83226274E+00          6.83226274E+00
         30.0000          6.74643077E+00          6.74643077E+00
         31.0000          6.66755497E+00          6.66755497E+00
         32.0000          6.59499580E+00          6.59499580E+00
         33.0000          6.52818989E+00          6.52818989E+00
         34.0000          6.46663896E+00          6.46663896E+00
         35.0000          6.40990066E+00          6.40990066E+00
         36.0000          6.35758094E+00          6.35758094E+00
         37.0000          6.30932757E+00          6.30932757E+00
         38.0000          6.26482478E+00          6.26482478E+00
         39.0000          6.22378859E+00          6.22378859E+00
         40.0000          6.18596294E+00          6.18596294E+00
         41.0000          6.15111631E+00          6.15111631E+00
         42.0000          6.11903886E+00          6.11903886E+00
         43.0000          6.08953992E+00          6.08953992E+00
         44.0000          6.06244587E+00          6.06244587E+00
         45.0000          6.03759826E+00          6.03759826E+00
         46.0000          6.01485219E+00          6.01485219E+00
         47.0000          5.99407488E+00          5.99407488E+00
         48.0000          5.97514445E+00          5.97514445E+00
         49.0000          5.95794878E+00          5.95794878E+00
         50.0000          5.94238461E+00          5.94238461E+00
         51.0000          5.92835662E+00          5.92835662E+00
         52.0000          5.91577672E+00          5.91577672E+00
         53.0000          5.90456337E+00          5.90456337E+00
         54.0000          5.89464097E+00          5.89464097E+00
         55.0000          5.88593934E+00          5.88593934E+00
         56.0000          5.87839323E+00          5.87839323E+00
         57.0000          5.87194192E+00          5.87194192E+00
         58.0000          5.86652881E+00          5.86652881E+00
         59.0000          5.86210106E+00          5.86210106E+00
         60.0000          5.85860934E+00          5.85860934E+00
         61.0000          5.85600749E+00          5.85600749E+00
         62.0000          5.85425229E+00          5.85425229E+00
         63.0000          5.85330324E+00          5.85330324E+00
         64.0000          5.85312232E+00          5.85312232E+00
         65.0000          5.85367383E+00          5.85367383E+00
         66.0000          5.85492422E+00          5.85492422E+00
         67.0000          5.85684190E+00          5.85684190E+00
         68.0000          5.85939713E+00          5.85939713E+00
         69.0000          5.86256186E+00          5.86256186E+00
         70.0000          5.86630964E+00          5.86630964E+00
         71.0000          5.87061549E+00          5.87061549E+00
         72.0000          5.87545580E+00          5.87545580E+00
         73.0000          5.88080824E+00          5.88080824E+00
         74.0000          5.88665168E+00          5.88665168E+00
         75.0000          5.89296611E+00          5.89296611E+00
         76.0000          5.89973256E+00          5.89973256E+00
         77.0000          5.90693303E+00          5.90693303E+00
         78.0000          5.91455044E+00          5.91455044E+00
         79.0000          5.92256858E+00          5.92256858E+00
         80.0000          5.93097203E+00          5.93097203E+00
         81.0000          5.93974613E+00          5.93974613E+00
         82.0000          5.94887693E+00          5.94887693E+00
         83.0000          5.95835115E+00          5.95835115E+00
         84.0000          5.96815614E+00          5.96815614E+00
         85.0000          5.97827984E+00          5.97827984E+00
         86.0000          5.98871074E+00          5.98871074E+00
         87.0000          5.99943788E+00          5.99943788E+00
         88.0000          6.01045077E+00          6.01045077E+00
         89.0000          6.02173940E+00          6.02173940E+00
         90.0000          6.03329421E+00          6.03329421E+00
         91.0000          6.04510606E+00          6.04510606E+00
         92.0000          6.05716618E+00          6.05716618E+00
         93.0000          6.06946622E+00          6.06946622E+00
         94.0000          6.08199814E+00          6.08199814E+00
         95.0000          6.09475428E+00          6.09475428E+00
         96.0000          6.10772726E+00          6.10772726E+00
         97.0000          6.12091003E+00          6.12091003E+00
         98.0000          6.13429582E+00          6.13429582E+00
         99.0000          6.14787814E+00          6.14787814E+00
        100.0000          6.16165075E+00          6.16165075E+00
        103.9990          6.21851323E+00          6.21851323E+00
        104.0010          6.21854235E+00          6.21854235E+00
        110.0000          6.30863354E+00          6.30863354E+00
        120.0000          6.46930764E+00          6.46930764E+00
        130.0000          6.64026573E+00          6.64026573E+00
        140.0000          6.81908482E+00          6.81908482E+00
        150.0000          7.00399884E+00          7.00399884E+00
        153.9990          7.07934583E+00          7.07934583E+00
        154.0010          7.07938369E+00          7.07938369E+00
        160.0000          7.19369331E+00          7.19369331E+00
        170.0000          7.38717220E+00          7.38717220E+00
        180.0000          7.58366897E+00          7.58366897E+00
        190.0000          7.78258567E+00          7.78258567E+00
        200.0000          7.98345031E+00          7.98345031E+00
        210.0000          8.18588640E+00          8.18588640E+00
        220.0000          8.38959088E+00          8.38959088E+00
        230.0000          8.59431774E+00          8.59431774E+00
        240.0000          8.79986583E+00          8.79986583E+00
        250.0000          9.00606965E+00          9.00606965E+00
        260.0000          9.21279220E+00          9.21279220E+00
        270.0000          9.41991949E+00          9.41991949E+00
        280.0000          9.62735627E+00          9.62735627E+00
        290.0000          9.83502261E+00          9.83502261E+00
        300.0000          1.00428512E+01          1.00428512E+01
        310.0000          1.02507852E+01          1.02507852E+01
        320.0000          1.04587765E+01          1.04587765E+01
        330.0000          1.06667843E+01          1.06667843E+01
        340.0000          1.08747738E+01          1.08747738E+01
        350.0000          1.10827155E+01          1.10827155E+01
