#Energy      B   N  Total
          0.1000          1.19927839E+01          3.25869040E+01          8.76649693E+00
          0.2000          6.86496397E+00          1.75812131E+01          4.93714801E+00
          0.3000          5.05251518E+00          1.24074568E+01          3.59043324E+00
          0.4000          4.10724747E+00          9.75482911E+00          2.89029547E+00
          0.5000          3.52068665E+00          8.13015997E+00          2.45679534E+00
          0.6000          3.11851851E+00          7.02778265E+00          2.16002560E+00
          0.7000          2.82427417E+00          6.22807813E+00          1.94311927E+00
          0.8000          2.59893446E+00          5.61994326E+00          1.77711176E+00
          0.9000          2.42042460E+00          5.14099852E+00          1.64564250E+00
          1.0000          2.27527894E+00          4.75345197E+00          1.53874566E+00
          2.0000          1.58954444E+00          2.94130660E+00          1.03188949E+00
          3.0000          1.34919792E+00          2.30070899E+00          8.50463273E-01
          4.0000          1.23147169E+00          1.97184924E+00          7.58049714E-01
          5.0000          1.16614278E+00          1.77333670E+00          7.03513599E-01
          6.0000          1.12838496E+00          1.64233595E+00          6.68846574E-01
          7.0000          1.10705138E+00          1.55106514E+00          6.45987031E-01
          8.0000          1.09634782E+00          1.48526028E+00          6.30754867E-01
          9.0000          1.09294601E+00          1.43681116E+00          6.20754056E-01
         10.0000          1.09478962E+00          1.40075025E+00          6.14507046E-01
         11.0000          1.10053562E+00          1.37385706E+00          6.11050398E-01
         12.0000          1.10926746E+00          1.35394801E+00          6.09727607E-01
         13.0000          1.12033708E+00          1.33948774E+00          6.10075064E-01
         14.0000          1.13327256E+00          1.32936380E+00          6.11755571E-01
         15.0000          1.14772167E+00          1.32274951E+00          6.14517705E-01
         16.0000          1.16341595E+00          1.31901721E+00          6.18169980E-01
         17.0000          1.18014699E+00          1.31768135E+00          6.22563871E-01
         18.0000          1.19775046E+00          1.31836024E+00          6.27582316E-01
         19.0000          1.21609495E+00          1.32074946E+00          6.33131754E-01
         20.0000          1.23507408E+00          1.32460320E+00          6.39136461E-01
         21.0000          1.25460077E+00          1.32972067E+00          6.45534471E-01
         22.0000          1.27460304E+00          1.33593621E+00          6.52274564E-01
         23.0000          1.29502087E+00          1.34311187E+00          6.59314020E-01
         24.0000          1.31580378E+00          1.35113187E+00          6.66616915E-01
         25.0000          1.33690901E+00          1.35989822E+00          6.74152814E-01
         26.0000          1.35830013E+00          1.36932747E+00          6.81895754E-01
         27.0000          1.37994583E+00          1.37934810E+00          6.89823452E-01
         28.0000          1.40181915E+00          1.38989842E+00          6.97916666E-01
         29.0000          1.42389666E+00          1.40092494E+00          7.06158698E-01
         30.0000          1.44615795E+00          1.41238108E+00          7.14534978E-01
         31.0000          1.46858515E+00          1.42422604E+00          7.23032743E-01
         32.0000          1.49116255E+00          1.43642396E+00          7.31640757E-01
         33.0000          1.51387627E+00          1.44894318E+00          7.40349093E-01
         34.0000          1.53671402E+00          1.46175564E+00          7.49148945E-01
         35.0000          1.55966486E+00          1.47483640E+00          7.58032477E-01
         36.0000          1.58271905E+00          1.48816320E+00          7.66992691E-01
         37.0000          1.60586785E+00          1.50171610E+00          7.76023316E-01
         38.0000          1.62910344E+00          1.51547721E+00          7.85118721E-01
         39.0000          1.65241878E+00          1.52943043E+00          7.94273832E-01
         40.0000          1.67580749E+00          1.54356122E+00          8.03484064E-01
         41.0000          1.69926385E+00          1.55785641E+00          8.12745269E-01
         42.0000          1.72278263E+00          1.57230408E+00          8.22053680E-01
         43.0000          1.74635911E+00          1.58689335E+00          8.31405869E-01
         44.0000          1.76998897E+00          1.60161435E+00          8.40798713E-01
         45.0000          1.79366828E+00          1.61645804E+00          8.50229359E-01
         46.0000          1.81739346E+00          1.63141616E+00          8.59695196E-01
         47.0000          1.84116121E+00          1.64648114E+00          8.69193829E-01
         48.0000          1.86496852E+00          1.66164602E+00          8.78723061E-01
         49.0000          1.88881263E+00          1.67690441E+00          8.88280868E-01
         50.0000          1.91269098E+00          1.69225041E+00          8.97865386E-01
         51.0000          1.93660122E+00          1.70767859E+00          9.07474895E-01
         52.0000          1.96054120E+00          1.72318391E+00          9.17107805E-01
         53.0000          1.98450890E+00          1.73876173E+00          9.26762645E-01
         54.0000          2.00850249E+00          1.75440775E+00          9.36438051E-01
         55.0000          2.03252023E+00          1.77011795E+00          9.46132757E-01
         56.0000          2.05656055E+00          1.78588862E+00          9.55845589E-01
         57.0000          2.08062197E+00          1.80171631E+00          9.65575453E-01
         58.0000          2.10470311E+00          1.81759779E+00          9.75321329E-01
         59.0000          2.12880270E+00          1.83353007E+00          9.85082270E-01
         60.0000          2.15291954E+00          1.84951032E+00          9.94857388E-01
         61.0000          2.17705253E+00          1.86553595E+00          1.00464586E+00
         62.0000          2.20120064E+00          1.88160449E+00          1.01444690E+00
         63.0000          2.22536289E+00          1.89771365E+00          1.02425979E+00
         64.0000          2.24953837E+00          1.91386128E+00          1.03408386E+00
         65.0000          2.27372625E+00          1.93004536E+00          1.04391847E+00
         66.0000          2.29792574E+00          1.94626400E+00          1.05376301E+00
