#Energy      B-K-shell   N-K-shell   Valence  Total
          0.1000          1.00000000E+30          1.00000000E+30          2.74193620E+03          2.74193620E+03
          0.2000          1.00000000E+30          1.00000000E+30          1.71692946E+03          1.71692946E+03
          0.3000          1.00000000E+30          1.00000000E+30          1.24093057E+03          1.24093057E+03
          0.4000          1.00000000E+30          1.00000000E+30          9.76299119E+02          9.76299119E+02
          0.5000          1.00000000E+30          1.00000000E+30          8.04615886E+02          8.04615886E+02
          0.6000          1.00000000E+30          1.00000000E+30          6.84782282E+02          6.84782282E+02
          0.7000          1.00000000E+30          1.00000000E+30          5.96578794E+02          5.96578794E+02
          0.8000          1.00000000E+30          1.00000000E+30          5.29013126E+02          5.29013126E+02
          0.9000          1.00000000E+30          1.00000000E+30          4.75778689E+02          4.75778689E+02
          1.0000          1.00000000E+30          1.00000000E+30          4.32621416E+02          4.32621416E+02
          2.0000          1.00000000E+30          1.00000000E+30          2.33209031E+02          2.33209031E+02
          3.0000          1.00000000E+30          1.00000000E+30          1.64550847E+02          1.64550847E+02
          4.0000          1.00000000E+30          1.00000000E+30          1.29585001E+02          1.29585001E+02
          5.0000          1.00000000E+30          1.00000000E+30          1.08255790E+02          1.08255790E+02
          6.0000          1.00000000E+30          1.00000000E+30          9.37943331E+01          9.37943331E+01
          7.0000          1.00000000E+30          1.00000000E+30          8.32940888E+01          8.32940888E+01
          8.0000          1.00000000E+30          1.00000000E+30          7.52888413E+01          7.52888413E+01
          9.0000          1.00000000E+30          1.00000000E+30          6.89602590E+01          6.89602590E+01
         10.0000          1.00000000E+30          1.00000000E+30          6.38125991E+01          6.38125991E+01
         11.0000          1.00000000E+30          1.00000000E+30          5.95306934E+01          5.95306934E+01
         12.0000          1.00000000E+30          1.00000000E+30          5.59030167E+01          5.59030167E+01
         13.0000          1.00000000E+30          1.00000000E+30          5.27836793E+01          5.27836793E+01
         14.0000          1.00000000E+30          1.00000000E+30          5.00659935E+01          5.00659935E+01
         15.0000          1.00000000E+30          1.00000000E+30          4.76718525E+01          4.76718525E+01
         16.0000          1.00000000E+30          1.00000000E+30          4.55430017E+01          4.55430017E+01
         17.0000          1.00000000E+30          1.00000000E+30          4.36338245E+01          4.36338245E+01
         18.0000          1.00000000E+30          1.00000000E+30          4.19091626E+01          4.19091626E+01
         19.0000          1.00000000E+30          1.00000000E+30          4.03409712E+01          4.03409712E+01
         20.0000          1.00000000E+30          1.00000000E+30          3.89065974E+01          3.89065974E+01
         21.0000          1.00000000E+30          1.00000000E+30          3.75875405E+01          3.75875405E+01
         22.0000          1.00000000E+30          1.00000000E+30          3.63688144E+01          3.63688144E+01
         23.0000          1.00000000E+30          1.00000000E+30          3.52378898E+01          3.52378898E+01
         24.0000          1.00000000E+30          1.00000000E+30          3.41841616E+01          3.41841616E+01
         25.0000          1.00000000E+30          1.00000000E+30          3.31987437E+01          3.31987437E+01
         26.0000          1.00000000E+30          1.00000000E+30          3.22740660E+01          3.22740660E+01
         27.0000          1.00000000E+30          1.00000000E+30          3.14036453E+01          3.14036453E+01
         28.0000          1.00000000E+30          1.00000000E+30          3.05819174E+01          3.05819174E+01
         29.0000          1.00000000E+30          1.00000000E+30          2.98040263E+01          2.98040263E+01
         30.0000          1.00000000E+30          1.00000000E+30          2.90657682E+01          2.90657682E+01
         31.0000          1.00000000E+30          1.00000000E+30          2.83634362E+01          2.83634362E+01
         32.0000          1.00000000E+30          1.00000000E+30          2.76938090E+01          2.76938090E+01
         33.0000          1.00000000E+30          1.00000000E+30          2.70540077E+01          2.70540077E+01
         34.0000          1.00000000E+30          1.00000000E+30          2.64414935E+01          2.64414935E+01
         35.0000          1.00000000E+30          1.00000000E+30          2.58540045E+01          2.58540045E+01
         36.0000          1.00000000E+30          1.00000000E+30          2.52895220E+01          2.52895220E+01
         37.0000          1.00000000E+30          1.00000000E+30          2.47462371E+01          2.47462371E+01
         38.0000          1.00000000E+30          1.00000000E+30          2.42225246E+01          2.42225246E+01
         39.0000          1.00000000E+30          1.00000000E+30          2.37169181E+01          2.37169181E+01
         40.0000          1.00000000E+30          1.00000000E+30          2.32280969E+01          2.32280969E+01
         41.0000          1.00000000E+30          1.00000000E+30          2.27548601E+01          2.27548601E+01
         42.0000          1.00000000E+30          1.00000000E+30          2.22961181E+01          2.22961181E+01
         43.0000          1.00000000E+30          1.00000000E+30          2.18508793E+01          2.18508793E+01
         44.0000          1.00000000E+30          1.00000000E+30          2.14182429E+01          2.14182429E+01
         45.0000          1.00000000E+30          1.00000000E+30          2.09973812E+01          2.09973812E+01
         46.0000          1.00000000E+30          1.00000000E+30          2.05875382E+01          2.05875382E+01
         47.0000          1.00000000E+30          1.00000000E+30          2.01880209E+01          2.01880209E+01
         48.0000          1.00000000E+30          1.00000000E+30          1.97981932E+01          1.97981932E+01
         49.0000          1.00000000E+30          1.00000000E+30          1.94174704E+01          1.94174704E+01
         50.0000          1.00000000E+30          1.00000000E+30          1.90453149E+01          1.90453149E+01
         51.0000          1.00000000E+30          1.00000000E+30          1.86812309E+01          1.86812309E+01
