#Energy      B-K-shell   N-K-shell   Valence  Total
         16.0000          1.00000000E+30          1.00000000E+30          4.79786315E+01          4.79786315E+01
         17.0000          1.00000000E+30          1.00000000E+30          4.97588677E+01          4.97588677E+01
         18.0000          1.00000000E+30          1.00000000E+30          5.17776396E+01          5.17776396E+01
         19.0000          1.00000000E+30          1.00000000E+30          5.38559339E+01          5.38559339E+01
         20.0000          1.00000000E+30          1.00000000E+30          5.61936042E+01          5.61936042E+01
         21.0000          1.00000000E+30          1.00000000E+30          5.65588508E+01          5.65588508E+01
         22.0000          1.00000000E+30          1.00000000E+30          5.86887155E+01          5.86887155E+01
         23.0000          1.00000000E+30          1.00000000E+30          6.07299571E+01          6.07299571E+01
         24.0000          1.00000000E+30          1.00000000E+30          6.29170624E+01          6.29170624E+01
         25.0000          1.00000000E+30          1.00000000E+30          6.51126644E+01          6.51126644E+01
         26.0000          1.00000000E+30          1.00000000E+30          6.74488371E+01          6.74488371E+01
         27.0000          1.00000000E+30          1.00000000E+30          6.99174229E+01          6.99174229E+01
         28.0000          1.00000000E+30          1.00000000E+30          7.24020303E+01          7.24020303E+01
         29.0000          1.00000000E+30          1.00000000E+30          7.50497455E+01          7.50497455E+01
         30.0000          1.00000000E+30          1.00000000E+30          7.78217540E+01          7.78217540E+01
         31.0000          1.00000000E+30          1.00000000E+30          8.06162386E+01          8.06162386E+01
         32.0000          1.00000000E+30          1.00000000E+30          8.36847429E+01          8.36847429E+01
         33.0000          1.00000000E+30          1.00000000E+30          8.66443270E+01          8.66443270E+01
         34.0000          1.00000000E+30          1.00000000E+30          8.99607443E+01          8.99607443E+01
         35.0000          1.00000000E+30          1.00000000E+30          9.30528683E+01          9.30528683E+01
         36.0000          1.00000000E+30          1.00000000E+30          9.65969384E+01          9.65969384E+01
         37.0000          1.00000000E+30          1.00000000E+30          1.00309006E+02          1.00309006E+02
         38.0000          1.00000000E+30          1.00000000E+30          1.03754353E+02          1.03754353E+02
         39.0000          1.00000000E+30          1.00000000E+30          1.07599655E+02          1.07599655E+02
         40.0000          1.00000000E+30          1.00000000E+30          1.11468530E+02          1.11468530E+02
         41.0000          1.00000000E+30          1.00000000E+30          1.15479499E+02          1.15479499E+02
         42.0000          1.00000000E+30          1.00000000E+30          1.19596867E+02          1.19596867E+02
         43.0000          1.00000000E+30          1.00000000E+30          1.24053339E+02          1.24053339E+02
         44.0000          1.00000000E+30          1.00000000E+30          1.28462286E+02          1.28462286E+02
         45.0000          1.00000000E+30          1.00000000E+30          1.32892942E+02          1.32892942E+02
         46.0000          1.00000000E+30          1.00000000E+30          1.37644113E+02          1.37644113E+02
         47.0000          1.00000000E+30          1.00000000E+30          1.42648787E+02          1.42648787E+02
         48.0000          1.00000000E+30          1.00000000E+30          1.47419994E+02          1.47419994E+02
         49.0000          1.00000000E+30          1.00000000E+30          1.52590036E+02          1.52590036E+02
         50.0000          1.00000000E+30          1.00000000E+30          1.58004111E+02          1.58004111E+02
         51.0000          1.00000000E+30          1.00000000E+30          1.63254893E+02          1.63254893E+02
         52.0000          1.00000000E+30          1.00000000E+30          1.68742113E+02          1.68742113E+02
         53.0000          1.00000000E+30          1.00000000E+30          1.74416570E+02          1.74416570E+02
         54.0000          1.00000000E+30          1.00000000E+30          1.80387474E+02          1.80387474E+02
         55.0000          1.00000000E+30          1.00000000E+30          1.86167716E+02          1.86167716E+02
         56.0000          1.00000000E+30          1.00000000E+30          1.92460675E+02          1.92460675E+02
         57.0000          1.00000000E+30          1.00000000E+30          1.98545317E+02          1.98545317E+02
         58.0000          1.00000000E+30          1.00000000E+30          2.05143322E+02          2.05143322E+02
         59.0000          1.00000000E+30          1.00000000E+30          2.11395595E+02          2.11395595E+02
         60.0000          1.00000000E+30          1.00000000E+30          2.18338858E+02          2.18338858E+02
         61.0000          1.00000000E+30          1.00000000E+30          2.25367854E+02          2.25367854E+02
         62.0000          1.00000000E+30          1.00000000E+30          2.32028878E+02          2.32028878E+02
         63.0000          1.00000000E+30          1.00000000E+30          2.39715187E+02          2.39715187E+02
         64.0000          1.00000000E+30          1.00000000E+30          2.46293632E+02          2.46293632E+02
         65.0000          1.00000000E+30          1.00000000E+30          2.53967731E+02          2.53967731E+02
         66.0000          1.00000000E+30          1.00000000E+30          2.62077215E+02          2.62077215E+02
         67.0000          1.00000000E+30          1.00000000E+30          2.69424772E+02          2.69424772E+02
         68.0000          1.00000000E+30          1.00000000E+30          2.77424784E+02          2.77424784E+02
         69.0000          1.00000000E+30          1.00000000E+30          2.85051386E+02          2.85051386E+02
         70.0000          1.00000000E+30          1.00000000E+30          2.93016782E+02          2.93016782E+02
         71.0000          1.00000000E+30          1.00000000E+30          3.01842864E+02          3.01842864E+02
         72.0000          1.00000000E+30          1.00000000E+30          3.10096297E+02          3.10096297E+02
         73.0000          1.00000000E+30          1.00000000E+30          3.19195539E+02          3.19195539E+02
         74.0000          1.00000000E+30          1.00000000E+30          3.27259998E+02          3.27259998E+02
         75.0000          1.00000000E+30          1.00000000E+30          3.36137103E+02          3.36137103E+02
         76.0000          1.00000000E+30          1.00000000E+30          3.45151008E+02          3.45151008E+02
         77.0000          1.00000000E+30          1.00000000E+30          3.54570521E+02          3.54570521E+02
         78.0000          1.00000000E+30          1.00000000E+30          3.64468807E+02          3.64468807E+02
         79.0000          1.00000000E+30          1.00000000E+30          3.73371069E+02          3.73371069E+02
         80.0000          1.00000000E+30          1.00000000E+30          3.83398835E+02          3.83398835E+02
         81.0000          1.00000000E+30          1.00000000E+30          3.93085347E+02          3.93085347E+02
         82.0000          1.00000000E+30          1.00000000E+30          4.03399791E+02          4.03399791E+02
         83.0000          1.00000000E+30          1.00000000E+30          4.14586757E+02          4.14586757E+02
         84.0000          1.00000000E+30          1.00000000E+30          4.24262938E+02          4.24262938E+02
         85.0000          1.00000000E+30          1.00000000E+30          4.34005816E+02          4.34005816E+02
         86.0000          1.00000000E+30          1.00000000E+30          4.45236509E+02          4.45236509E+02
         87.0000          1.00000000E+30          1.00000000E+30          4.55487298E+02          4.55487298E+02
         88.0000          1.00000000E+30          1.00000000E+30          4.66789359E+02          4.66789359E+02
         89.0000          1.00000000E+30          1.00000000E+30          4.77837425E+02          4.77837425E+02
         90.0000          1.00000000E+30          1.00000000E+30          4.89661593E+02          4.89661593E+02
         91.0000          1.00000000E+30          1.00000000E+30          5.00994312E+02          5.00994312E+02
         92.0000          1.00000000E+30          1.00000000E+30          5.12576542E+02          5.12576542E+02
         93.0000          1.00000000E+30          1.00000000E+30          5.23712984E+02          5.23712984E+02
         94.0000          1.00000000E+30          1.00000000E+30          5.36449575E+02          5.36449575E+02
         95.0000          1.00000000E+30          1.00000000E+30          5.48268254E+02          5.48268254E+02
         96.0000          1.00000000E+30          1.00000000E+30          5.60487957E+02          5.60487957E+02
         97.0000          1.00000000E+30          1.00000000E+30          5.73180453E+02          5.73180453E+02
         98.0000          1.00000000E+30          1.00000000E+30          5.86244860E+02          5.86244860E+02
         99.0000          1.00000000E+30          1.00000000E+30          5.98322538E+02          5.98322538E+02
        100.0000          1.00000000E+30          1.00000000E+30          6.12350453E+02          6.12350453E+02
        110.0000          1.00000000E+30          1.00000000E+30          7.51417083E+02          7.51417083E+02
        120.0000          1.00000000E+30          1.00000000E+30          9.08220553E+02          9.08220553E+02
        130.0000          1.00000000E+30          1.00000000E+30          1.08675943E+03          1.08675943E+03
        140.0000          1.00000000E+30          1.00000000E+30          1.28134679E+03          1.28134679E+03
        150.0000          1.00000000E+30          1.00000000E+30          1.49644625E+03          1.49644625E+03
        160.0000          1.00000000E+30          1.00000000E+30          1.73699105E+03          1.73699105E+03
        170.0000          1.00000000E+30          1.00000000E+30          1.99796610E+03          1.99796610E+03
        180.0000          1.00000000E+30          1.00000000E+30          2.28020537E+03          2.28020537E+03
        190.0000          1.00000000E+30          1.00000000E+30          2.58408595E+03          2.58408595E+03
        191.9990          1.00000000E+30          1.00000000E+30          2.64570139E+03          2.64570139E+03
        192.0010          4.73795090E+02          1.00000000E+30          2.64577016E+03          4.01835772E+02
        200.0000          5.94193653E+02          1.00000000E+30          2.91408093E+03          4.93555550E+02
        210.0000          6.83464018E+02          1.00000000E+30          3.26204994E+03          5.65070555E+02
        220.0000          7.53699588E+02          1.00000000E+30          3.64193828E+03          6.24466224E+02
        230.0000          7.97026055E+02          1.00000000E+30          4.05344796E+03          6.66059364E+02
        240.0000          8.64370168E+02          1.00000000E+30          4.48590178E+03          7.24725717E+02
        250.0000          9.44073676E+02          1.00000000E+30          4.94524553E+03          7.92736132E+02
        260.0000          1.03409346E+03          1.00000000E+30          5.42961924E+03          8.68654594E+02
        270.0000          1.13096671E+03          1.00000000E+30          5.94985358E+03          9.50325818E+02
        280.0000          1.23791605E+03          1.00000000E+30          6.48030071E+03          1.03936810E+03
        290.0000          1.34569548E+03          1.00000000E+30          7.06119560E+03          1.13028930E+03
        300.0000          1.46597107E+03          1.00000000E+30          7.64764982E+03          1.23016236E+03
        310.0000          1.58137693E+03          1.00000000E+30          8.28951232E+03          1.32803066E+03
        320.0000          1.71193157E+03          1.00000000E+30          8.96914580E+03          1.43754823E+03
        330.0000          1.84869196E+03          1.00000000E+30          9.67270389E+03          1.55205586E+03
        340.0000          1.98358354E+03          1.00000000E+30          1.03779904E+04          1.66529044E+03
        350.0000          2.13798240E+03          1.00000000E+30          1.11506644E+04          1.79400691E+03
        360.0000          2.28736908E+03          1.00000000E+30          1.19355291E+04          1.91950753E+03
        370.0000          2.45616005E+03          1.00000000E+30          1.27834335E+04          2.06030158E+03
        380.0000          2.63449579E+03          1.00000000E+30          1.36593585E+04          2.20853347E+03
        390.0000          2.82410296E+03          1.00000000E+30          1.45313786E+04          2.36456184E+03
        400.0000          3.00611530E+03          1.00000000E+30          1.55151332E+04          2.51820385E+03
        402.9990          3.06821242E+03          1.00000000E+30          1.57529633E+04          2.56803498E+03
        403.0010          3.06825469E+03          1.18489775E+03          1.57531675E+04          8.10798431E+02
        410.0000          3.22366554E+03          1.22698011E+03          1.64894015E+04          8.43269841E+02
        420.0000          3.41974196E+03          1.30116017E+03          1.74928033E+04          8.94349605E+02
        430.0000          3.64073832E+03          1.35536840E+03          1.85275801E+04          9.37690527E+02
        440.0000          3.87221092E+03          1.39470752E+03          1.96252892E+04          9.74467717E+02
        450.0000          4.11566876E+03          1.44366686E+03          2.07681546E+04          1.01646149E+03
        460.0000          4.36090015E+03          1.50746266E+03          2.19387340E+04          1.06580460E+03
        470.0000          4.60190733E+03          1.58180385E+03          2.31498245E+04          1.12021258E+03
        480.0000          4.86475895E+03          1.66536051E+03          2.44701484E+04          1.18078150E+03
        490.0000          5.13602959E+03          1.74948267E+03          2.57800083E+04          1.24209682E+03
        500.0000          5.42630505E+03          1.84085178E+03          2.70994652E+04          1.30818932E+03
        510.0000          5.75172765E+03          1.93379490E+03          2.85590297E+04          1.37742200E+03
        520.0000          6.05188920E+03          2.02757627E+03          2.99776002E+04          1.44551368E+03
        530.0000          6.36386042E+03          2.13562672E+03          3.14753717E+04          1.52171143E+03
        540.0000          6.69553316E+03          2.23200256E+03          3.30352938E+04          1.59323926E+03
        550.0000          7.03029035E+03          2.32695258E+03          3.47438820E+04          1.66452969E+03
        560.0000          7.37127297E+03          2.42463714E+03          3.63452348E+04          1.73729178E+03
        570.0000          7.77349520E+03          2.52716779E+03          3.79849988E+04          1.81597516E+03
        580.0000          8.14189245E+03          2.63423680E+03          3.97682181E+04          1.89543323E+03
        590.0000          8.51740899E+03          2.75104652E+03          4.15084257E+04          1.98021322E+03
        600.0000          8.91257380E+03          2.85974106E+03          4.34379721E+04          2.06226227E+03
        610.0000          9.32418546E+03          2.97077885E+03          4.53168736E+04          2.14625955E+03
        620.0000          9.75097153E+03          3.09728143E+03          4.72608156E+04          2.23925627E+03
        630.0000          1.02324027E+04          3.22698569E+03          4.92630936E+04          2.33691464E+03
        640.0000          1.06596464E+04          3.35126536E+03          5.14591265E+04          2.42931074E+03
        650.0000          1.11063933E+04          3.49660360E+03          5.34911020E+04          2.53341100E+03
        660.0000          1.15798716E+04          3.62222582E+03          5.56778613E+04          2.62887709E+03
        670.0000          1.20566677E+04          3.77739628E+03          5.78666931E+04          2.74006105E+03
        680.0000          1.25993322E+04          3.91890031E+03          6.02420543E+04          2.84784577E+03
        690.0000          1.30875301E+04          4.06095523E+03          6.25176735E+04          2.95288753E+03
        700.0000          1.36205554E+04          4.21077434E+03          6.48828510E+04          3.06450618E+03
        710.0000          1.41685264E+04          4.37805166E+03          6.74204082E+04          3.18650573E+03
        720.0000          1.47792790E+04          4.53429033E+03          6.98972691E+04          3.30566832E+03
        730.0000          1.53218465E+04          4.69631399E+03          7.24858962E+04          3.42471590E+03
        740.0000          1.58975480E+04          4.87990581E+03          7.53346248E+04          3.55746705E+03
        750.0000          1.65470418E+04          5.03798066E+03          7.78608650E+04          3.67958996E+03
        760.0000          1.71580636E+04          5.20489985E+03          8.08991762E+04          3.80561880E+03
        770.0000          1.77715998E+04          5.38137727E+03          8.35419385E+04          3.93599094E+03
        780.0000          1.84790475E+04          5.57423290E+03          8.63836483E+04          4.08015897E+03
        790.0000          1.91031067E+04          5.75148460E+03          8.95481103E+04          4.21260441E+03
        800.0000          1.98537964E+04          5.95756687E+03          9.24151062E+04          4.36599808E+03
        810.0000          2.05197458E+04          6.13632782E+03          9.57918770E+04          4.50173128E+03
        820.0000          2.13249564E+04          6.35273546E+03          9.86596390E+04          4.66327048E+03
        830.0000          2.20051663E+04          6.54648164E+03          1.02107513E+05          4.80789385E+03
        840.0000          2.27346763E+04          6.77784118E+03          1.05321072E+05          4.97462813E+03
        850.0000          2.34983885E+04          6.97478502E+03          1.08863854E+05          5.12516972E+03
        860.0000          2.43376268E+04          7.18775386E+03          1.12191480E+05          5.28743853E+03
        870.0000          2.51332723E+04          7.42874735E+03          1.15839060E+05          5.46350286E+03
        880.0000          2.60401105E+04          7.64086156E+03          1.19232914E+05          5.62858538E+03
        890.0000          2.68126048E+04          7.89571763E+03          1.22866422E+05          5.81105661E+03
        900.0000          2.76378746E+04          8.10827233E+03          1.26731851E+05          5.97358205E+03
        910.0000          2.85744298E+04          8.37315995E+03          1.30511019E+05          6.16949820E+03
        920.0000          2.94484297E+04          8.60524926E+03          1.34533440E+05          6.34522183E+03
        930.0000          3.04482977E+04          8.88547373E+03          1.38302673E+05          6.55237935E+03
        940.0000          3.13195417E+04          9.11799410E+03          1.42478366E+05          6.72853321E+03
        950.0000          3.22178129E+04          9.40677726E+03          1.46345870E+05          6.93586174E+03
        960.0000          3.32512428E+04          9.65367877E+03          1.50752505E+05          7.12784253E+03
        970.0000          3.42136668E+04          9.91669802E+03          1.54871323E+05          7.32466170E+03
        980.0000          3.53072884E+04          1.02134201E+04          1.59476608E+05          7.54696069E+03
        990.0000          3.62978940E+04          1.04863645E+04          1.63531490E+05          7.75032953E+03
       1000.0000          3.74383651E+04          1.07998254E+04          1.68321465E+05          7.98430791E+03
       1100.0000          4.91822406E+04          1.39608597E+04          2.18577839E+05          1.03587871E+04
       1200.0000          6.34677247E+04          1.77642596E+04          2.76582827E+05          1.32162552E+04
       1300.0000          8.03207399E+04          2.21325984E+04          3.45353577E+05          1.65213092E+04
       1400.0000          9.96021498E+04          2.71796349E+04          4.24397329E+05          2.03299637E+04
       1500.0000          1.22220358E+05          3.30160392E+04          5.15816889E+05          2.47470085E+04
       1600.0000          1.48262650E+05          3.96038747E+04          6.18945520E+05          2.97526135E+04
       1700.0000          1.78137743E+05          4.70603533E+04          7.32885638E+05          3.54265562E+04
       1800.0000          2.10881518E+05          5.53639416E+04          8.61952011E+05          4.17284693E+04
       1900.0000          2.48538986E+05          6.47600740E+04          1.00626384E+06          4.88784790E+04
       2000.0000          2.89702744E+05          7.53134553E+04          1.16681710E+06          5.68611952E+04
       2100.0000          3.35459204E+05          8.66234538E+04          1.34184020E+06          6.54859496E+04
       2200.0000          3.86863218E+05          9.88944380E+04          1.53573489E+06          7.49184936E+04
       2300.0000          4.41905781E+05          1.12952841E+05          1.74949838E+06          8.55595167E+04
       2400.0000          5.02952217E+05          1.27547869E+05          1.97817493E+06          9.67682255E+04
       2500.0000          5.70525174E+05          1.43754665E+05          2.23155810E+06          1.09203872E+05
       2600.0000          6.41701969E+05          1.61331959E+05          2.50191787E+06          1.22602371E+05
       2700.0000          7.19981795E+05          1.80461410E+05          2.79724920E+06          1.37216205E+05
       2800.0000          8.05369999E+05          2.02153134E+05          3.11734048E+06          1.53628791E+05
       2900.0000          9.02284978E+05          2.22955703E+05          3.45279566E+06          1.69978021E+05
       3000.0000          9.95511081E+05          2.47255245E+05          3.81603553E+06          1.88289705E+05
       3100.0000          1.10413037E+06          2.72458219E+05          4.21732160E+06          2.07766521E+05
       3200.0000          1.21708822E+06          3.00851665E+05          4.62813327E+06          2.29273654E+05
       3300.0000          1.34367905E+06          3.28690204E+05          5.07301334E+06          2.51021323E+05
       3400.0000          1.46919442E+06          3.59318096E+05          5.55210723E+06          2.74438300E+05
       3500.0000          1.60715668E+06          3.92802491E+05          6.04949226E+06          3.00000416E+05
       3600.0000          1.75665725E+06          4.26492962E+05          6.59373177E+06          3.26197569E+05
       3700.0000          1.91003047E+06          4.64192462E+05          7.16597794E+06          3.54939822E+05
       3800.0000          2.07832355E+06          5.01914124E+05          7.78661588E+06          3.84326366E+05
       3900.0000          2.25045306E+06          5.43788772E+05          8.38213982E+06          4.16214799E+05
       4000.0000          2.44262892E+06          5.87887534E+05          9.04499694E+06          4.50255958E+05
       4100.0000          2.64348495E+06          6.31804978E+05          9.74979786E+06          4.84584956E+05
       4200.0000          2.85424590E+06          6.81249183E+05          1.04947518E+07          5.22593650E+05
       4300.0000          3.06294571E+06          7.32161139E+05          1.12895987E+07          5.61520223E+05
       4400.0000          3.29960512E+06          7.82773359E+05          1.21059721E+07          6.01258044E+05
       4500.0000          3.54264833E+06          8.38464487E+05          1.29655005E+07          6.44305479E+05
       4600.0000          3.78533597E+06          8.96538713E+05          1.38795964E+07          6.88882508E+05
       4700.0000          4.05142345E+06          9.59544258E+05          1.47691994E+07          7.37084410E+05
       4800.0000          4.32931708E+06          1.02370640E+06          1.57535401E+07          7.86594119E+05
       4900.0000          4.62810630E+06          1.09018207E+06          1.67992315E+07          8.38310383E+05
       5000.0000          4.92981655E+06          1.16028864E+06          1.78680135E+07          8.92325137E+05
       5100.0000          5.27957669E+06          1.23010370E+06          1.89899888E+07          9.47860074E+05
       5200.0000          5.61515206E+06          1.31214148E+06          2.01833614E+07          1.01035792E+06
       5300.0000          5.95934661E+06          1.38995691E+06          2.14023224E+07          1.07069328E+06
       5400.0000          6.29702592E+06          1.46616008E+06          2.25954618E+07          1.12979597E+06
       5500.0000          6.67995405E+06          1.55793884E+06          2.39311981E+07          1.19995900E+06
       5600.0000          7.11503714E+06          1.64624460E+06          2.52887284E+07          1.26978668E+06
       5700.0000          7.51709856E+06          1.73620986E+06          2.68385760E+07          1.34002077E+06
       5800.0000          7.90605297E+06          1.82865222E+06          2.82827842E+07          1.41104742E+06
       5900.0000          8.38547878E+06          1.93716673E+06          2.97963929E+07          1.49469522E+06
       6000.0000          8.84148154E+06          2.03826642E+06          3.13014133E+07          1.57315900E+06
       6100.0000          9.30573573E+06          2.14198429E+06          3.30381337E+07          1.65402580E+06
       6200.0000          9.80791360E+06          2.25137171E+06          3.47236207E+07          1.73933922E+06
       6300.0000          1.02994652E+07          2.36574952E+06          3.64334689E+07          1.82735604E+06
       6400.0000          1.08390511E+07          2.48493897E+06          3.82578357E+07          1.92004250E+06
       6500.0000          1.14427136E+07          2.62106919E+06          4.01011099E+07          2.02489603E+06
       6600.0000          1.19976913E+07          2.74166370E+06          4.22243018E+07          2.11965697E+06
       6700.0000          1.25684123E+07          2.86771803E+06          4.40527205E+07          2.21742304E+06
       6800.0000          1.31711699E+07          3.00236891E+06          4.62415576E+07          2.32223685E+06
       6900.0000          1.38006906E+07          3.13824610E+06          4.83630901E+07          2.42844353E+06
       7000.0000          1.44548049E+07          3.27786288E+06          5.07840280E+07          2.53839833E+06
       7100.0000          1.51848178E+07          3.42732407E+06          5.29399905E+07          2.65591989E+06
       7200.0000          1.58466667E+07          3.58160330E+06          5.52344047E+07          2.77458717E+06
       7300.0000          1.65443338E+07          3.75080014E+06          5.76183313E+07          2.90352440E+06
       7400.0000          1.72820731E+07          3.90666289E+06          6.01482920E+07          3.02606702E+06
       7500.0000          1.81057654E+07          4.09332080E+06          6.28876053E+07          3.17024702E+06
       7600.0000          1.88631399E+07          4.25356122E+06          6.53937807E+07          3.29595132E+06
       7700.0000          1.96381675E+07          4.42528407E+06          6.80299136E+07          3.42941576E+06
       7800.0000          2.05469008E+07          4.60550569E+06          7.08559638E+07          3.57252967E+06
       7900.0000          2.13885856E+07          4.79257252E+06          7.38512709E+07          3.71815155E+06
       8000.0000          2.22592711E+07          4.99792377E+06          7.67106605E+07          3.87530535E+06
       8100.0000          2.31618757E+07          5.18466484E+06          7.99905495E+07          4.02329696E+06
       8200.0000          2.40949367E+07          5.40651118E+06          8.29231946E+07          4.19245006E+06
       8300.0000          2.50576172E+07          5.60311457E+06          8.61301827E+07          4.34800524E+06
       8400.0000          2.61326285E+07          5.81451511E+06          8.94659428E+07          4.51615777E+06
       8500.0000          2.70812894E+07          6.05275448E+06          9.30785604E+07          4.69740464E+06
       8600.0000          2.82429037E+07          6.26605004E+06          9.64133250E+07          4.86927681E+06
       8700.0000          2.92169440E+07          6.52364442E+06          1.00270833E+08          5.06359226E+06
       8800.0000          3.02761752E+07          6.73915015E+06          1.03711939E+08          5.23401202E+06
       8900.0000          3.14867632E+07          6.97961378E+06          1.07308969E+08          5.42438587E+06
       9000.0000          3.26015112E+07          7.22815780E+06          1.11361667E+08          5.61794556E+06
       9100.0000          3.37697352E+07          7.48411272E+06          1.15172503E+08          5.81695276E+06
       9200.0000          3.49804828E+07          7.76608655E+06          1.19195601E+08          6.03347648E+06
       9300.0000          3.63104450E+07          8.01747324E+06          1.23660125E+08          6.23618134E+06
       9400.0000          3.75152869E+07          8.31739595E+06          1.27534778E+08          6.46300710E+06
       9500.0000          3.89391443E+07          8.57785886E+06          1.32109553E+08          6.67424047E+06
       9600.0000          4.02009151E+07          8.89044949E+06          1.36353236E+08          6.91136586E+06
       9700.0000          4.15529478E+07          9.16781149E+06          1.41145955E+08          7.13125192E+06
       9800.0000          4.30694908E+07          9.49685159E+06          1.45582418E+08          7.38632585E+06
       9900.0000          4.44326416E+07          9.78941458E+06          1.50770545E+08          7.61674220E+06
      10000.0000          4.58352492E+07          1.00976655E+07          1.55209723E+08          7.85589423E+06
      11000.0000          6.26736119E+07          1.36606301E+07          2.11208846E+08          1.06503765E+07
      12000.0000          8.32707188E+07          1.81324722E+07          2.77955175E+08          1.41329965E+07
      13000.0000          1.08445580E+08          2.33668344E+07          3.58365508E+08          1.82457244E+07
      14000.0000          1.38226491E+08          2.96443011E+07          4.55179488E+08          2.31670597E+07
      15000.0000          1.73482113E+08          3.70590600E+07          5.68289553E+08          2.89788680E+07
      16000.0000          2.14835747E+08          4.55982151E+07          7.01602821E+08          3.57006307E+07
      17000.0000          2.62371204E+08          5.54527219E+07          8.50694468E+08          4.34399507E+07
      18000.0000          3.16490488E+08          6.68312024E+07          1.02448406E+09          5.23592439E+07
      19000.0000          3.79980421E+08          7.97203967E+07          1.22177030E+09          6.25232890E+07
      20000.0000          4.50131685E+08          9.39830947E+07          1.44278011E+09          7.37741147E+07
      21000.0000          5.28346006E+08          1.10241065E+08          1.69497269E+09          8.65522923E+07
      22000.0000          6.19027538E+08          1.28584055E+08          1.97129393E+09          1.01012834E+08
      23000.0000          7.15384789E+08          1.48375888E+08          2.27590056E+09          1.16592580E+08
      24000.0000          8.26044763E+08          1.70937951E+08          2.61527670E+09          1.34353834E+08
      25000.0000          9.43329883E+08          1.95557972E+08          2.99493580E+09          1.53667788E+08
      26000.0000          1.08230275E+09          2.21500450E+08          3.40911169E+09          1.74460670E+08
      27000.0000          1.22486536E+09          2.51087201E+08          3.86156360E+09          1.97704304E+08
      28000.0000          1.38126702E+09          2.82725897E+08          4.34868526E+09          2.22671413E+08
      29000.0000          1.55319599E+09          3.18844894E+08          4.87571658E+09          2.50925098E+08
      30000.0000          1.73481369E+09          3.55582111E+08          5.45210409E+09          2.79944536E+08
      31000.0000          1.93893622E+09          3.96377439E+08          6.05997968E+09          3.12147692E+08
      32000.0000          2.15190414E+09          4.38802438E+08          6.73416338E+09          3.45765784E+08
      33000.0000          2.39314913E+09          4.85255788E+08          7.48117021E+09          3.82804834E+08
      34000.0000          2.64441872E+09          5.35029974E+08          8.22960953E+09          4.22168659E+08
      35000.0000          2.90526049E+09          5.89118515E+08          9.05256589E+09          4.64658007E+08
      36000.0000          3.20551636E+09          6.47090058E+08          9.95898566E+09          5.10789405E+08
      37000.0000          3.50151411E+09          7.09943408E+08          1.08871101E+10          5.59908705E+08
      38000.0000          3.83665222E+09          7.76809107E+08          1.19120121E+10          6.12778767E+08
      39000.0000          4.19462894E+09          8.42761320E+08          1.29490766E+10          6.65689757E+08
      40000.0000          4.54483118E+09          9.17960966E+08          1.40692126E+10          7.24386614E+08
      41000.0000          4.94415860E+09          9.94242404E+08          1.52687744E+10          7.85211044E+08
      42000.0000          5.37046862E+09          1.07889244E+09          1.65427355E+10          8.52130306E+08
      43000.0000          5.79309175E+09          1.16508118E+09          1.78902681E+10          9.20111338E+08
      44000.0000          6.26633984E+09          1.26118157E+09          1.93175648E+10          9.95761646E+08
      45000.0000          6.77058979E+09          1.36043993E+09          2.08167816E+10          1.07435373E+09
      46000.0000          7.26934503E+09          1.45513771E+09          2.24141688E+10          1.15022014E+09
