#Energy      Si   O  Total
          0.1000          1.74540913E+03          1.42257594E+02          1.31536834E+02
          0.2000          8.90897190E+02          7.55058164E+01          6.96064884E+01
          0.3000          6.03372540E+02          5.26530969E+01          4.84271209E+01
          0.4000          4.58573643E+02          4.09957972E+01          3.76315895E+01
          0.5000          3.71167809E+02          3.38848495E+01          3.10501982E+01
          0.6000          3.12587663E+02          2.90761401E+01          2.66017137E+01
          0.7000          2.70544984E+02          2.55977546E+01          2.33851559E+01
          0.8000          2.38875580E+02          2.29592135E+01          2.09460147E+01
          0.9000          2.14144716E+02          2.08857366E+01          1.90297473E+01
          1.0000          1.94285890E+02          1.92111822E+01          1.74824957E+01
          2.0000          1.03704882E+02          1.14259950E+01          1.02920389E+01
          3.0000          7.27616506E+01          8.68989080E+00          7.76278493E+00
          4.0000          5.70265434E+01          7.28226492E+00          6.45762855E+00
          5.0000          4.74653942E+01          6.42594145E+00          5.65971951E+00
          6.0000          4.10292371E+01          5.85353146E+00          5.12269086E+00
          7.0000          3.63977676E+01          5.44744090E+00          4.73828892E+00
          8.0000          3.29048341E+01          5.14755783E+00          4.45121917E+00
          9.0000          3.01773419E+01          4.91983080E+00          4.23018166E+00
         10.0000          2.79897781E+01          4.74347022E+00          4.05608015E+00
         11.0000          2.61976582E+01          4.60503611E+00          3.91657823E+00
         12.0000          2.47040511E+01          4.49543843E+00          3.80333843E+00
         13.0000          2.34414554E+01          4.40830002E+00          3.71051619E+00
         14.0000          2.23613892E+01          4.33900950E+00          3.63388881E+00
         15.0000          2.14281139E+01          4.28414631E+00          3.57032693E+00
         16.0000          2.06146937E+01          4.24111756E+00          3.51746071E+00
         17.0000          1.99004342E+01          4.20792054E+00          3.47346166E+00
         18.0000          1.92691684E+01          4.18298292E+00          3.43689588E+00
         19.0000          1.87080787E+01          4.16505238E+00          3.40662271E+00
         20.0000          1.82068698E+01          4.15311869E+00          3.38172317E+00
         21.0000          1.77571751E+01          4.14635759E+00          3.36144853E+00
         22.0000          1.73521237E+01          4.14408966E+00          3.34518249E+00
         23.0000          1.69860199E+01          4.14574967E+00          3.33241313E+00
         24.0000          1.66541006E+01          4.15086344E+00          3.32271170E+00
         25.0000          1.63523521E+01          4.15903012E+00          3.31571633E+00
         26.0000          1.60773674E+01          4.16990849E+00          3.31111954E+00
         27.0000          1.58262353E+01          4.18320620E+00          3.30865835E+00
         28.0000          1.55964533E+01          4.19867132E+00          3.30810654E+00
         29.0000          1.53858581E+01          4.21608553E+00          3.30926845E+00
         30.0000          1.51925695E+01          4.23525867E+00          3.31197400E+00
         31.0000          1.50149458E+01          4.25602437E+00          3.31607463E+00
         32.0000          1.48515467E+01          4.27823639E+00          3.32144004E+00
         33.0000          1.47011037E+01          4.30176567E+00          3.32795548E+00
         34.0000          1.45624946E+01          4.32649787E+00          3.33551945E+00
         35.0000          1.44347233E+01          4.35233133E+00          3.34404193E+00
         36.0000          1.43169023E+01          4.37917536E+00          3.35344273E+00
         37.0000          1.42082385E+01          4.40694879E+00          3.36365026E+00
         38.0000          1.41080208E+01          4.43557875E+00          3.37460034E+00
         39.0000          1.40156097E+01          4.46499965E+00          3.38623533E+00
         40.0000          1.39304285E+01          4.49515226E+00          3.39850331E+00
         41.0000          1.38519560E+01          4.52598300E+00          3.41135735E+00
         42.0000          1.37797194E+01          4.55744325E+00          3.42475498E+00
         43.0000          1.37132895E+01          4.58948881E+00          3.43865766E+00
         44.0000          1.36522753E+01          4.62207941E+00          3.45303030E+00
         45.0000          1.35963199E+01          4.65517824E+00          3.46784095E+00
         46.0000          1.35450971E+01          4.68875167E+00          3.48306040E+00
         47.0000          1.34983078E+01          4.72276882E+00          3.49866194E+00
