#Energy      Ge  Total
        700.0000          1.74741863E+01          1.74741863E+01
        710.0000          1.75687255E+01          1.75687255E+01
        720.0000          1.76636469E+01          1.76636469E+01
        730.0000          1.77589259E+01          1.77589259E+01
        740.0000          1.78545394E+01          1.78545394E+01
        750.0000          1.79504658E+01          1.79504658E+01
        760.0000          1.80466844E+01          1.80466844E+01
        770.0000          1.81431761E+01          1.81431761E+01
        780.0000          1.82399227E+01          1.82399227E+01
        790.0000          1.83369072E+01          1.83369072E+01
        800.0000          1.84341134E+01          1.84341134E+01
        810.0000          1.85315261E+01          1.85315261E+01
        820.0000          1.86291311E+01          1.86291311E+01
        830.0000          1.87269147E+01          1.87269147E+01
        840.0000          1.88248642E+01          1.88248642E+01
        850.0000          1.89229675E+01          1.89229675E+01
        860.0000          1.90212132E+01          1.90212132E+01
        870.0000          1.91195904E+01          1.91195904E+01
        880.0000          1.92180890E+01          1.92180890E+01
        890.0000          1.93166992E+01          1.93166992E+01
        900.0000          1.94154119E+01          1.94154119E+01
        910.0000          1.95142184E+01          1.95142184E+01
        920.0000          1.96131105E+01          1.96131105E+01
        930.0000          1.97120804E+01          1.97120804E+01
        940.0000          1.98111206E+01          1.98111206E+01
        950.0000          1.99102243E+01          1.99102243E+01
        960.0000          2.00093846E+01          2.00093846E+01
        970.0000          2.01085954E+01          2.01085954E+01
        980.0000          2.02078505E+01          2.02078505E+01
        990.0000          2.03071444E+01          2.03071444E+01
       1000.0000          2.04064717E+01          2.04064717E+01
       1100.0000          2.14005642E+01          2.14005642E+01
       1200.0000          2.23936777E+01          2.23936777E+01
       1219.9990          2.25919397E+01          2.25919397E+01
       1220.0010          2.25919595E+01          2.25919595E+01
       1250.9990          2.28989539E+01          2.28989539E+01
       1251.0010          2.28989737E+01          2.28989737E+01
       1300.0000          2.33833853E+01          2.33833853E+01
       1400.0000          2.43682187E+01          2.43682187E+01
       1412.9990          2.44958288E+01          2.44958288E+01
       1413.0010          2.44958484E+01          2.44958484E+01
       1500.0000          2.53473061E+01          2.53473061E+01
       1600.0000          2.63201547E+01          2.63201547E+01
       1700.0000          2.72865167E+01          2.72865167E+01
       1800.0000          2.82463031E+01          2.82463031E+01
       1900.0000          2.91995294E+01          2.91995294E+01
       2000.0000          3.01462786E+01          3.01462786E+01
       2100.0000          3.10866771E+01          3.10866771E+01
       2200.0000          3.20208780E+01          3.20208780E+01
       2300.0000          3.29490504E+01          3.29490504E+01
       2400.0000          3.38713715E+01          3.38713715E+01
       2500.0000          3.47880215E+01          3.47880215E+01
       2600.0000          3.56991799E+01          3.56991799E+01
       2700.0000          3.66050234E+01          3.66050234E+01
       2800.0000          3.75057244E+01          3.75057244E+01
       2900.0000          3.84014496E+01          3.84014496E+01
       3000.0000          3.92923596E+01          3.92923596E+01
       3100.0000          4.01786090E+01          4.01786090E+01
       3200.0000          4.10603456E+01          4.10603456E+01
       3300.0000          4.19377110E+01          4.19377110E+01
       3400.0000          4.28108402E+01          4.28108402E+01
       3500.0000          4.36798624E+01          4.36798624E+01
       3600.0000          4.45449006E+01          4.45449006E+01
       3700.0000          4.54060723E+01          4.54060723E+01
       3800.0000          4.62634895E+01          4.62634895E+01
       3900.0000          4.71172589E+01          4.71172589E+01
       4000.0000          4.79674826E+01          4.79674826E+01
       4100.0000          4.88142578E+01          4.88142578E+01
       4200.0000          4.96576773E+01          4.96576773E+01
       4300.0000          5.04978298E+01          5.04978298E+01
       4400.0000          5.13348001E+01          5.13348001E+01
       4500.0000          5.21686691E+01          5.21686691E+01
       4600.0000          5.29995143E+01          5.29995143E+01
       4700.0000          5.38274098E+01          5.38274098E+01
       4800.0000          5.46524266E+01          5.46524266E+01
       4900.0000          5.54746326E+01          5.54746326E+01
       5000.0000          5.62940931E+01          5.62940931E+01
       5100.0000          5.71108704E+01          5.71108704E+01
       5200.0000          5.79250245E+01          5.79250245E+01
       5300.0000          5.87366129E+01          5.87366129E+01
       5400.0000          5.95456910E+01          5.95456910E+01
       5500.0000          6.03523119E+01          6.03523119E+01
       5600.0000          6.11565265E+01          6.11565265E+01
       5700.0000          6.19583841E+01          6.19583841E+01
       5800.0000          6.27579320E+01          6.27579320E+01
       5900.0000          6.35552156E+01          6.35552156E+01
       6000.0000          6.43502789E+01          6.43502789E+01
       6100.0000          6.51431642E+01          6.51431642E+01
       6200.0000          6.59339122E+01          6.59339122E+01
       6300.0000          6.67225623E+01          6.67225623E+01
       6400.0000          6.75091525E+01          6.75091525E+01
       6500.0000          6.82937195E+01          6.82937195E+01
       6600.0000          6.90762987E+01          6.90762987E+01
       6700.0000          6.98569245E+01          6.98569245E+01
       6800.0000          7.06356298E+01          7.06356298E+01
       6900.0000          7.14124469E+01          7.14124469E+01
       7000.0000          7.21874067E+01          7.21874067E+01
       7100.0000          7.29605393E+01          7.29605393E+01
       7200.0000          7.37318737E+01          7.37318737E+01
       7300.0000          7.45014381E+01          7.45014381E+01
       7400.0000          7.52692599E+01          7.52692599E+01
       7500.0000          7.60353655E+01          7.60353655E+01
       7600.0000          7.67997808E+01          7.67997808E+01
       7700.0000          7.75625305E+01          7.75625305E+01
       7800.0000          7.83236389E+01          7.83236389E+01
       7900.0000          7.90831295E+01          7.90831295E+01
       8000.0000          7.98410252E+01          7.98410252E+01
       8100.0000          8.05973482E+01          8.05973482E+01
       8200.0000          8.13521199E+01          8.13521199E+01
       8300.0000          8.21053614E+01          8.21053614E+01
       8400.0000          8.28570932E+01          8.28570932E+01
       8500.0000          8.36073349E+01          8.36073349E+01
       8600.0000          8.43561060E+01          8.43561060E+01
       8700.0000          8.51034252E+01          8.51034252E+01
       8800.0000          8.58493109E+01          8.58493109E+01
       8900.0000          8.65937808E+01          8.65937808E+01
       9000.0000          8.73368524E+01          8.73368524E+01
       9100.0000          8.80785426E+01          8.80785426E+01
       9200.0000          8.88188679E+01          8.88188679E+01
       9300.0000          8.95578443E+01          8.95578443E+01
       9400.0000          9.02954877E+01          9.02954877E+01
       9500.0000          9.10318132E+01          9.10318132E+01
       9600.0000          9.17668359E+01          9.17668359E+01
       9700.0000          9.25005703E+01          9.25005703E+01
       9800.0000          9.32330306E+01          9.32330306E+01
       9900.0000          9.39642309E+01          9.39642309E+01
      10000.0000          9.46941846E+01          9.46941846E+01
      11000.0000          1.01927939E+02          1.01927939E+02
      11106.9990          1.02695140E+02          1.02695140E+02
      11107.0010          1.02695154E+02          1.02695154E+02
      12000.0000          1.09049936E+02          1.09049936E+02
      13000.0000          1.16069740E+02          1.16069740E+02
      14000.0000          1.22995228E+02          1.22995228E+02
      15000.0000          1.29832983E+02          1.29832983E+02
      16000.0000          1.36588588E+02          1.36588588E+02
      17000.0000          1.43266823E+02          1.43266823E+02
      18000.0000          1.49871833E+02          1.49871833E+02
      19000.0000          1.56407237E+02          1.56407237E+02
      20000.0000          1.62876226E+02          1.62876226E+02
      21000.0000          1.69281634E+02          1.69281634E+02
      22000.0000          1.75625994E+02          1.75625994E+02
      23000.0000          1.81911582E+02          1.81911582E+02
      24000.0000          1.88140458E+02          1.88140458E+02
      25000.0000          1.94314497E+02          1.94314497E+02
      26000.0000          2.00435409E+02          2.00435409E+02
      27000.0000          2.06504763E+02          2.06504763E+02
      28000.0000          2.12524007E+02          2.12524007E+02
      29000.0000          2.18494478E+02          2.18494478E+02
      30000.0000          2.24417417E+02          2.24417417E+02
      31000.0000          2.30293981E+02          2.30293981E+02
      32000.0000          2.36125250E+02          2.36125250E+02
      33000.0000          2.41912235E+02          2.41912235E+02
      34000.0000          2.47655886E+02          2.47655886E+02
      35000.0000          2.53357099E+02          2.53357099E+02
      36000.0000          2.59016717E+02          2.59016717E+02
      37000.0000          2.64635540E+02          2.64635540E+02
      38000.0000          2.70214325E+02          2.70214325E+02
      39000.0000          2.75753793E+02          2.75753793E+02
      40000.0000          2.81254628E+02          2.81254628E+02
      41000.0000          2.86717483E+02          2.86717483E+02
      42000.0000          2.92142983E+02          2.92142983E+02
      43000.0000          2.97531724E+02          2.97531724E+02
      44000.0000          3.02884278E+02          3.02884278E+02
      45000.0000          3.08201194E+02          3.08201194E+02
      46000.0000          3.13482999E+02          3.13482999E+02
      47000.0000          3.18730200E+02          3.18730200E+02
      48000.0000          3.23943285E+02          3.23943285E+02
      49000.0000          3.29122726E+02          3.29122726E+02
      50000.0000          3.34268977E+02          3.34268977E+02
