#Energy      Ge  Total
          0.1000          1.22296170E+04          1.22296170E+04
          0.2000          6.13952423E+03          6.13952423E+03
          0.3000          4.10572076E+03          4.10572076E+03
          0.4000          3.08735923E+03          3.08735923E+03
          0.5000          2.47559842E+03          2.47559842E+03
          0.6000          2.06731897E+03          2.06731897E+03
          0.7000          1.77540664E+03          1.77540664E+03
          0.8000          1.55627620E+03          1.55627620E+03
          0.9000          1.38569934E+03          1.38569934E+03
          1.0000          1.24913118E+03          1.24913118E+03
          2.0000          6.32798833E+02          6.32798833E+02
          3.0000          4.26226553E+02          4.26226553E+02
          4.0000          3.22518640E+02          3.22518640E+02
          5.0000          2.60086485E+02          2.60086485E+02
          6.0000          2.18347166E+02          2.18347166E+02
          7.0000          1.88460004E+02          1.88460004E+02
          8.0000          1.65996049E+02          1.65996049E+02
          9.0000          1.48490430E+02          1.48490430E+02
         10.0000          1.34461824E+02          1.34461824E+02
         11.0000          1.22966145E+02          1.22966145E+02
         12.0000          1.13373115E+02          1.13373115E+02
         13.0000          1.05245802E+02          1.05245802E+02
         14.0000          9.82717185E+01          9.82717185E+01
         15.0000          9.22214310E+01          9.22214310E+01
         16.0000          8.69226661E+01          8.69226661E+01
         17.0000          8.22435406E+01          8.22435406E+01
         18.0000          7.80813700E+01          7.80813700E+01
         19.0000          7.43550056E+01          7.43550056E+01
         20.0000          7.09994646E+01          7.09994646E+01
         21.0000          6.79620922E+01          6.79620922E+01
         22.0000          6.51997678E+01          6.51997678E+01
         23.0000          6.26768385E+01          6.26768385E+01
         24.0000          6.03635684E+01          6.03635684E+01
         25.0000          5.82349581E+01          5.82349581E+01
         26.0000          5.62698375E+01          5.62698375E+01
         27.0000          5.44501585E+01          5.44501585E+01
         28.0000          5.27604397E+01          5.27604397E+01
         29.0000          5.11873250E+01          5.11873250E+01
         30.0000          4.97192308E+01          4.97192308E+01
         31.0000          4.83460609E+01          4.83460609E+01
         31.9990          4.70602220E+01          4.70602220E+01
         32.0000          4.70589752E+01          4.70589752E+01
         32.0010          4.70577285E+01          4.70577285E+01
         32.9990          4.58513720E+01          4.58513720E+01
         33.0000          4.58502000E+01          4.58502000E+01
         33.0010          4.58490280E+01          4.58490280E+01
         34.0000          4.47128714E+01          4.47128714E+01
         35.0000          4.36409063E+01          4.36409063E+01
         36.0000          4.26288940E+01          4.26288940E+01
         37.0000          4.16720058E+01          4.16720058E+01
         38.0000          4.07659188E+01          4.07659188E+01
         39.0000          3.99067510E+01          3.99067510E+01
         40.0000          3.90910069E+01          3.90910069E+01
         41.0000          3.83155300E+01          3.83155300E+01
         42.0000          3.75774630E+01          3.75774630E+01
         43.0000          3.68742129E+01          3.68742129E+01
         44.0000          3.62034214E+01          3.62034214E+01
         45.0000          3.55629384E+01          3.55629384E+01
         46.0000          3.49508001E+01          3.49508001E+01
         47.0000          3.43652087E+01          3.43652087E+01
         48.0000          3.38045155E+01          3.38045155E+01
         49.0000          3.32672057E+01          3.32672057E+01
         50.0000          3.27518851E+01          3.27518851E+01
         51.0000          3.22572681E+01          3.22572681E+01
         52.0000          3.17821676E+01          3.17821676E+01
         53.0000          3.13254855E+01          3.13254855E+01
         54.0000          3.08862047E+01          3.08862047E+01
         55.0000          3.04633815E+01          3.04633815E+01
         56.0000          3.00561396E+01          3.00561396E+01
         57.0000          2.96636634E+01          2.96636634E+01
         58.0000          2.92851936E+01          2.92851936E+01
         59.0000          2.89200219E+01          2.89200219E+01
         60.0000          2.85674871E+01          2.85674871E+01
         61.0000          2.82269711E+01          2.82269711E+01
         62.0000          2.78978954E+01          2.78978954E+01
         63.0000          2.75797179E+01          2.75797179E+01
         64.0000          2.72719306E+01          2.72719306E+01
         65.0000          2.69740563E+01          2.69740563E+01
         66.0000          2.66856465E+01          2.66856465E+01
         67.0000          2.64062795E+01          2.64062795E+01
         68.0000          2.61355583E+01          2.61355583E+01
         69.0000          2.58731086E+01          2.58731086E+01
         70.0000          2.56185776E+01          2.56185776E+01
         71.0000          2.53716321E+01          2.53716321E+01
         72.0000          2.51319574E+01          2.51319574E+01
         73.0000          2.48992559E+01          2.48992559E+01
         74.0000          2.46732461E+01          2.46732461E+01
         75.0000          2.44536613E+01          2.44536613E+01
         76.0000          2.42402488E+01          2.42402488E+01
         77.0000          2.40327691E+01          2.40327691E+01
         78.0000          2.38309948E+01          2.38309948E+01
         79.0000          2.36347098E+01          2.36347098E+01
         80.0000          2.34437091E+01          2.34437091E+01
         81.0000          2.32577975E+01          2.32577975E+01
         82.0000          2.30767894E+01          2.30767894E+01
         83.0000          2.29005080E+01          2.29005080E+01
         84.0000          2.27287850E+01          2.27287850E+01
         85.0000          2.25614598E+01          2.25614598E+01
         86.0000          2.23983796E+01          2.23983796E+01
         87.0000          2.22393980E+01          2.22393980E+01
         88.0000          2.20843759E+01          2.20843759E+01
         89.0000          2.19331798E+01          2.19331798E+01
         90.0000          2.17856826E+01          2.17856826E+01
         91.0000          2.16417625E+01          2.16417625E+01
         92.0000          2.15013029E+01          2.15013029E+01
         93.0000          2.13641924E+01          2.13641924E+01
         94.0000          2.12303243E+01          2.12303243E+01
         95.0000          2.10995962E+01          2.10995962E+01
         96.0000          2.09719100E+01          2.09719100E+01
         97.0000          2.08471719E+01          2.08471719E+01
         98.0000          2.07252914E+01          2.07252914E+01
         99.0000          2.06061822E+01          2.06061822E+01
        100.0000          2.04897610E+01          2.04897610E+01
        110.0000          1.94572552E+01          1.94572552E+01
        120.0000          1.86222525E+01          1.86222525E+01
        124.9990          1.82640328E+01          1.82640328E+01
        125.0010          1.82638964E+01          1.82638964E+01
        129.9990          1.79391160E+01          1.79391160E+01
        130.0000          1.79390541E+01          1.79390541E+01
        130.0010          1.79389922E+01          1.79389922E+01
        140.0000          1.73749804E+01          1.73749804E+01
        150.0000          1.69060461E+01          1.69060461E+01
        160.0000          1.65142512E+01          1.65142512E+01
        170.0000          1.61858264E+01          1.61858264E+01
        180.0000          1.59100610E+01          1.59100610E+01
        183.9990          1.58125672E+01          1.58125672E+01
        184.0010          1.58125202E+01          1.58125202E+01
        190.0000          1.56784998E+01          1.56784998E+01
        200.0000          1.54843808E+01          1.54843808E+01
        210.0000          1.53222325E+01          1.53222325E+01
        220.0000          1.51875812E+01          1.51875812E+01
        230.0000          1.50767344E+01          1.50767344E+01
        240.0000          1.49866181E+01          1.49866181E+01
        250.0000          1.49146529E+01          1.49146529E+01
        260.0000          1.48586594E+01          1.48586594E+01
        270.0000          1.48167836E+01          1.48167836E+01
        280.0000          1.47874389E+01          1.47874389E+01
        290.0000          1.47692601E+01          1.47692601E+01
        300.0000          1.47610660E+01          1.47610660E+01
        310.0000          1.47618300E+01          1.47618300E+01
        320.0000          1.47706557E+01          1.47706557E+01
        330.0000          1.47867573E+01          1.47867573E+01
        340.0000          1.48094429E+01          1.48094429E+01
        350.0000          1.48381012E+01          1.48381012E+01
        360.0000          1.48721905E+01          1.48721905E+01
        370.0000          1.49112286E+01          1.49112286E+01
        380.0000          1.49547857E+01          1.49547857E+01
        390.0000          1.50024769E+01          1.50024769E+01
        400.0000          1.50539571E+01          1.50539571E+01
        410.0000          1.51089157E+01          1.51089157E+01
        420.0000          1.51670727E+01          1.51670727E+01
        430.0000          1.52281749E+01          1.52281749E+01
        440.0000          1.52919932E+01          1.52919932E+01
        450.0000          1.53583193E+01          1.53583193E+01
        460.0000          1.54269638E+01          1.54269638E+01
        470.0000          1.54977543E+01          1.54977543E+01
        480.0000          1.55705332E+01          1.55705332E+01
        490.0000          1.56451564E+01          1.56451564E+01
        500.0000          1.57214918E+01          1.57214918E+01
        510.0000          1.57994183E+01          1.57994183E+01
        520.0000          1.58788246E+01          1.58788246E+01
        530.0000          1.59596083E+01          1.59596083E+01
        540.0000          1.60416748E+01          1.60416748E+01
        550.0000          1.61249370E+01          1.61249370E+01
        560.0000          1.62093143E+01          1.62093143E+01
        570.0000          1.62947323E+01          1.62947323E+01
        580.0000          1.63811218E+01          1.63811218E+01
        590.0000          1.64684189E+01          1.64684189E+01
        600.0000          1.65565641E+01          1.65565641E+01
        610.0000          1.66455021E+01          1.66455021E+01
        620.0000          1.67351816E+01          1.67351816E+01
        630.0000          1.68255547E+01          1.68255547E+01
        640.0000          1.69165767E+01          1.69165767E+01
        650.0000          1.70082060E+01          1.70082060E+01
        660.0000          1.71004038E+01          1.71004038E+01
        670.0000          1.71931336E+01          1.71931336E+01
        680.0000          1.72863615E+01          1.72863615E+01
        690.0000          1.73800557E+01          1.73800557E+01
