#Energy      Ru  Total
          0.1000          2.42305878E+04          2.42305878E+04
          0.2000          1.21412201E+04          1.21412201E+04
          0.3000          8.10745467E+03          8.10745467E+03
          0.4000          6.08903232E+03          6.08903232E+03
          0.5000          4.87719382E+03          4.87719382E+03
          0.6000          4.06883794E+03          4.06883794E+03
          0.7000          3.49114058E+03          3.49114058E+03
          0.8000          3.05766007E+03          3.05766007E+03
          0.9000          2.72035822E+03          2.72035822E+03
          1.0000          2.45040375E+03          2.45040375E+03
          2.0000          1.23372347E+03          1.23372347E+03
          3.0000          8.26959672E+02          8.26959672E+02
          4.0000          6.23123699E+02          6.23123699E+02
          5.0000          5.00596635E+02          5.00596635E+02
          6.0000          4.18782393E+02          4.18782393E+02
          7.0000          3.60262082E+02          3.60262082E+02
          8.0000          3.16317127E+02          3.16317127E+02
          9.0000          2.82099267E+02          2.82099267E+02
         10.0000          2.54696992E+02          2.54696992E+02
         11.0000          2.32256008E+02          2.32256008E+02
         12.0000          2.13539171E+02          2.13539171E+02
         13.0000          1.97689373E+02          1.97689373E+02
         14.0000          1.84093973E+02          1.84093973E+02
         15.0000          1.72303407E+02          1.72303407E+02
         16.0000          1.61980289E+02          1.61980289E+02
         17.0000          1.52866462E+02          1.52866462E+02
         18.0000          1.44761021E+02          1.44761021E+02
         19.0000          1.37505268E+02          1.37505268E+02
         20.0000          1.30972177E+02          1.30972177E+02
         21.0000          1.25058864E+02          1.25058864E+02
         22.0000          1.19681107E+02          1.19681107E+02
         23.0000          1.14769298E+02          1.14769298E+02
         24.0000          1.10265402E+02          1.10265402E+02
         25.0000          1.06120650E+02          1.06120650E+02
         26.0000          1.02293754E+02          1.02293754E+02
         27.0000          9.87495284E+01          9.87495284E+01
         28.0000          9.54578018E+01          9.54578018E+01
         29.0000          9.23925531E+01          9.23925531E+01
         30.0000          8.95312216E+01          8.95312216E+01
         31.0000          8.68541499E+01          8.68541499E+01
         32.0000          8.43441310E+01          8.43441310E+01
         33.0000          8.19860379E+01          8.19860379E+01
         34.0000          7.97665184E+01          7.97665184E+01
         35.0000          7.76737420E+01          7.76737420E+01
         36.0000          7.56971888E+01          7.56971888E+01
         37.0000          7.38274730E+01          7.38274730E+01
         38.0000          7.20561939E+01          7.20561939E+01
         39.0000          7.03758100E+01          7.03758100E+01
         40.0000          6.87795317E+01          6.87795317E+01
         41.0000          6.72612296E+01          6.72612296E+01
         42.0000          6.58153567E+01          6.58153567E+01
         43.0000          6.44368801E+01          6.44368801E+01
         44.0000          6.31212232E+01          6.31212232E+01
         45.0000          6.18642151E+01          6.18642151E+01
         46.0000          6.06620461E+01          6.06620461E+01
         47.0000          5.95112301E+01          5.95112301E+01
         48.0000          5.84085704E+01          5.84085704E+01
         48.9990          5.73521663E+01          5.73521663E+01
         49.0000          5.73511306E+01          5.73511306E+01
         49.0010          5.73500948E+01          5.73500948E+01
         50.0000          5.63362082E+01          5.63362082E+01
         51.0000          5.53613124E+01          5.53613124E+01
         52.0000          5.44241429E+01          5.44241429E+01
         52.9990          5.35234574E+01          5.35234574E+01
         53.0000          5.35225729E+01          5.35225729E+01
         53.0010          5.35216885E+01          5.35216885E+01
         54.0000          5.26546325E+01          5.26546325E+01
         55.0000          5.18184944E+01          5.18184944E+01
         56.0000          5.10124617E+01          5.10124617E+01
         57.0000          5.02349559E+01          5.02349559E+01
         58.0000          4.94845074E+01          4.94845074E+01
         59.0000          4.87597456E+01          4.87597456E+01
         60.0000          4.80593910E+01          4.80593910E+01
         61.0000          4.73822478E+01          4.73822478E+01
         62.0000          4.67271972E+01          4.67271972E+01
         63.0000          4.60931910E+01          4.60931910E+01
         64.0000          4.54792464E+01          4.54792464E+01
         65.0000          4.48844409E+01          4.48844409E+01
         66.0000          4.43079078E+01          4.43079078E+01
         67.0000          4.37488317E+01          4.37488317E+01
         68.0000          4.32064452E+01          4.32064452E+01
         69.0000          4.26800254E+01          4.26800254E+01
         70.0000          4.21688902E+01          4.21688902E+01
         71.0000          4.16723961E+01          4.16723961E+01
         72.0000          4.11899352E+01          4.11899352E+01
         73.0000          4.07209326E+01          4.07209326E+01
         74.0000          4.02648446E+01          4.02648446E+01
         75.0000          3.98211562E+01          3.98211562E+01
         76.0000          3.93893796E+01          3.93893796E+01
         77.0000          3.89690523E+01          3.89690523E+01
         78.0000          3.85597351E+01          3.85597351E+01
         79.0000          3.81610113E+01          3.81610113E+01
         80.0000          3.77724849E+01          3.77724849E+01
         80.9990          3.73941532E+01          3.73941532E+01
         81.0000          3.73937793E+01          3.73937793E+01
         81.0010          3.73934054E+01          3.73934054E+01
         82.0000          3.70245362E+01          3.70245362E+01
         83.0000          3.66644147E+01          3.66644147E+01
         84.0000          3.63130898E+01          3.63130898E+01
         85.0000          3.59702521E+01          3.59702521E+01
         86.0000          3.56356061E+01          3.56356061E+01
         87.0000          3.53088703E+01          3.53088703E+01
         88.0000          3.49897756E+01          3.49897756E+01
         89.0000          3.46780652E+01          3.46780652E+01
         90.0000          3.43734934E+01          3.43734934E+01
         91.0000          3.40758256E+01          3.40758256E+01
         92.0000          3.37848372E+01          3.37848372E+01
         93.0000          3.35003131E+01          3.35003131E+01
         94.0000          3.32220476E+01          3.32220476E+01
         95.0000          3.29498434E+01          3.29498434E+01
         96.0000          3.26835115E+01          3.26835115E+01
         97.0000          3.24228707E+01          3.24228707E+01
         98.0000          3.21677471E+01          3.21677471E+01
         99.0000          3.19179739E+01          3.19179739E+01
        100.0000          3.16733907E+01          3.16733907E+01
        110.0000          2.94819232E+01          2.94819232E+01
        120.0000          2.76720925E+01          2.76720925E+01
        130.0000          2.61558801E+01          2.61558801E+01
        140.0000          2.48703564E+01          2.48703564E+01
        150.0000          2.37693368E+01          2.37693368E+01
        160.0000          2.28181596E+01          2.28181596E+01
        170.0000          2.19903049E+01          2.19903049E+01
        180.0000          2.12651372E+01          2.12651372E+01
        190.0000          2.06263602E+01          2.06263602E+01
        200.0000          2.00609339E+01          2.00609339E+01
        210.0000          1.95583009E+01          1.95583009E+01
        220.0000          1.91098230E+01          1.91098230E+01
        230.0000          1.87083645E+01          1.87083645E+01
        240.0000          1.83479799E+01          1.83479799E+01
        250.0000          1.80236757E+01          1.80236757E+01
        260.0000          1.77312282E+01          1.77312282E+01
        270.0000          1.74670404E+01          1.74670404E+01
        280.0000          1.72280304E+01          1.72280304E+01
        285.9990          1.70956111E+01          1.70956111E+01
        286.0010          1.70955683E+01          1.70955683E+01
        289.9990          1.70115635E+01          1.70115635E+01
        290.0000          1.70115429E+01          1.70115429E+01
        290.0010          1.70115223E+01          1.70115223E+01
        300.0000          1.68152777E+01          1.68152777E+01
        310.0000          1.66372326E+01          1.66372326E+01
        320.0000          1.64756569E+01          1.64756569E+01
        330.0000          1.63290132E+01          1.63290132E+01
        340.0000          1.61959460E+01          1.61959460E+01
        350.0000          1.60752558E+01          1.60752558E+01
        360.0000          1.59658773E+01          1.59658773E+01
        370.0000          1.58668611E+01          1.58668611E+01
        380.0000          1.57773587E+01          1.57773587E+01
        390.0000          1.56966095E+01          1.56966095E+01
        400.0000          1.56239295E+01          1.56239295E+01
        410.0000          1.55587023E+01          1.55587023E+01
        420.0000          1.55003709E+01          1.55003709E+01
        430.0000          1.54484305E+01          1.54484305E+01
        440.0000          1.54024230E+01          1.54024230E+01
        450.0000          1.53619315E+01          1.53619315E+01
        460.0000          1.53265759E+01          1.53265759E+01
        465.9990          1.53076850E+01          1.53076850E+01
        466.0010          1.53076790E+01          1.53076790E+01
        470.0000          1.52960088E+01          1.52960088E+01
        480.0000          1.52699124E+01          1.52699124E+01
        487.9990          1.52520595E+01          1.52520595E+01
        488.0010          1.52520554E+01          1.52520554E+01
        490.0000          1.52479952E+01          1.52479952E+01
        500.0000          1.52299893E+01          1.52299893E+01
        510.0000          1.52156485E+01          1.52156485E+01
        520.0000          1.52047457E+01          1.52047457E+01
        530.0000          1.51970713E+01          1.51970713E+01
        540.0000          1.51924315E+01          1.51924315E+01
        550.0000          1.51906472E+01          1.51906472E+01
        560.0000          1.51915520E+01          1.51915520E+01
        570.0000          1.51949917E+01          1.51949917E+01
        580.0000          1.52008230E+01          1.52008230E+01
        590.0000          1.52089124E+01          1.52089124E+01
        591.9990          1.52107892E+01          1.52107892E+01
        592.0010          1.52107912E+01          1.52107912E+01
        600.0000          1.52191358E+01          1.52191358E+01
        610.0000          1.52313772E+01          1.52313772E+01
        620.0000          1.52455284E+01          1.52455284E+01
        630.0000          1.52614884E+01          1.52614884E+01
        640.0000          1.52791626E+01          1.52791626E+01
        650.0000          1.52984623E+01          1.52984623E+01
        660.0000          1.53193047E+01          1.53193047E+01
        670.0000          1.53416117E+01          1.53416117E+01
        680.0000          1.53653102E+01          1.53653102E+01
        690.0000          1.53903315E+01          1.53903315E+01
        700.0000          1.54166109E+01          1.54166109E+01
        710.0000          1.54440875E+01          1.54440875E+01
        720.0000          1.54727040E+01          1.54727040E+01
        730.0000          1.55024062E+01          1.55024062E+01
        740.0000          1.55331431E+01          1.55331431E+01
        750.0000          1.55648665E+01          1.55648665E+01
        760.0000          1.55975308E+01          1.55975308E+01
        770.0000          1.56310931E+01          1.56310931E+01
        780.0000          1.56655125E+01          1.56655125E+01
        790.0000          1.57007505E+01          1.57007505E+01
        800.0000          1.57367704E+01          1.57367704E+01
        810.0000          1.57735377E+01          1.57735377E+01
        820.0000          1.58110194E+01          1.58110194E+01
        830.0000          1.58491844E+01          1.58491844E+01
