#Energy      Sn  Total
          0.1000          9.33900194E+04          9.33900194E+04
          0.2000          4.67724047E+04          4.67724047E+04
          0.3000          3.12213137E+04          3.12213137E+04
          0.4000          2.34411646E+04          2.34411646E+04
          0.5000          1.87707272E+04          1.87707272E+04
          0.6000          1.56557157E+04          1.56557157E+04
          0.7000          1.34298089E+04          1.34298089E+04
          0.8000          1.17597579E+04          1.17597579E+04
          0.9000          1.04603793E+04          1.04603793E+04
          1.0000          9.42053810E+03          9.42053810E+03
          2.0000          4.73560395E+03          4.73560395E+03
          3.0000          3.17034672E+03          3.17034672E+03
          4.0000          2.38635157E+03          2.38635157E+03
          5.0000          1.91527389E+03          1.91527389E+03
          6.0000          1.60082989E+03          1.60082989E+03
          7.0000          1.37597921E+03          1.37597921E+03
          8.0000          1.20717433E+03          1.20717433E+03
          9.0000          1.07576394E+03          1.07576394E+03
         10.0000          9.70549574E+02          9.70549574E+02
         11.0000          8.84400418E+02          8.84400418E+02
         12.0000          8.12559734E+02          8.12559734E+02
         13.0000          7.51732534E+02          7.51732534E+02
         14.0000          6.99563986E+02          6.99563986E+02
         15.0000          6.54326329E+02          6.54326329E+02
         16.0000          6.14723102E+02          6.14723102E+02
         17.0000          5.79762427E+02          5.79762427E+02
         18.0000          5.48672494E+02          5.48672494E+02
         19.0000          5.20843712E+02          5.20843712E+02
         20.0000          4.95788202E+02          4.95788202E+02
         21.0000          4.73110851E+02          4.73110851E+02
         22.0000          4.52488259E+02          4.52488259E+02
         23.0000          4.33653164E+02          4.33653164E+02
         24.0000          4.16382768E+02          4.16382768E+02
         25.0000          4.00489849E+02          4.00489849E+02
         26.0000          3.85815934E+02          3.85815934E+02
         27.0000          3.72225982E+02          3.72225982E+02
         27.9990          3.59616374E+02          3.59616374E+02
         28.0000          3.59604202E+02          3.59604202E+02
         28.0010          3.59592030E+02          3.59592030E+02
         28.9990          3.47862092E+02          3.47862092E+02
         29.0000          3.47850743E+02          3.47850743E+02
         29.0010          3.47839394E+02          3.47839394E+02
         30.0000          3.36879040E+02          3.36879040E+02
         31.0000          3.26613674E+02          3.26613674E+02
         32.0000          3.16988632E+02          3.16988632E+02
         33.0000          3.07945886E+02          3.07945886E+02
         34.0000          2.99434221E+02          2.99434221E+02
         35.0000          2.91408260E+02          2.91408260E+02
         36.0000          2.83827658E+02          2.83827658E+02
         37.0000          2.76656422E+02          2.76656422E+02
         38.0000          2.69862337E+02          2.69862337E+02
         39.0000          2.63416486E+02          2.63416486E+02
         40.0000          2.57292837E+02          2.57292837E+02
         41.0000          2.51467891E+02          2.51467891E+02
         42.0000          2.45920383E+02          2.45920383E+02
         43.0000          2.40631019E+02          2.40631019E+02
         44.0000          2.35582258E+02          2.35582258E+02
         45.0000          2.30758112E+02          2.30758112E+02
         46.0000          2.26143980E+02          2.26143980E+02
         47.0000          2.21726501E+02          2.21726501E+02
         48.0000          2.17493426E+02          2.17493426E+02
         49.0000          2.13433501E+02          2.13433501E+02
         50.0000          2.09536371E+02          2.09536371E+02
         51.0000          2.05792493E+02          2.05792493E+02
         52.0000          2.02193053E+02          2.02193053E+02
         53.0000          1.98729903E+02          1.98729903E+02
         54.0000          1.95395495E+02          1.95395495E+02
         55.0000          1.92182831E+02          1.92182831E+02
         56.0000          1.89085409E+02          1.89085409E+02
         57.0000          1.86097184E+02          1.86097184E+02
         58.0000          1.83212526E+02          1.83212526E+02
         59.0000          1.80426186E+02          1.80426186E+02
         60.0000          1.77733263E+02          1.77733263E+02
         61.0000          1.75129178E+02          1.75129178E+02
         62.0000          1.72609647E+02          1.72609647E+02
         63.0000          1.70170654E+02          1.70170654E+02
         64.0000          1.67808438E+02          1.67808438E+02
         65.0000          1.65519465E+02          1.65519465E+02
         66.0000          1.63300416E+02          1.63300416E+02
