#Energy      Nb  Total
        209.0010          1.95743331E+01          1.95743331E+01
        210.0000          1.95325863E+01          1.95325863E+01
        211.9990          1.94505396E+01          1.94505396E+01
        212.0010          1.94504585E+01          1.94504585E+01
        220.0000          1.91410154E+01          1.91410154E+01
        230.0000          1.87928661E+01          1.87928661E+01
        240.0000          1.84826308E+01          1.84826308E+01
        250.0000          1.82056845E+01          1.82056845E+01
        260.0000          1.79581154E+01          1.79581154E+01
        270.0000          1.77365930E+01          1.77365930E+01
        280.0000          1.75382641E+01          1.75382641E+01
        290.0000          1.73606708E+01          1.73606708E+01
        300.0000          1.72016843E+01          1.72016843E+01
        310.0000          1.70594521E+01          1.70594521E+01
        320.0000          1.69323546E+01          1.69323546E+01
        330.0000          1.68189700E+01          1.68189700E+01
        340.0000          1.67180449E+01          1.67180449E+01
        350.0000          1.66284704E+01          1.66284704E+01
        360.0000          1.65492619E+01          1.65492619E+01
        366.9990          1.64995170E+01          1.64995170E+01
        367.0010          1.64995034E+01          1.64995034E+01
        370.0000          1.64795423E+01          1.64795423E+01
        380.0000          1.64185279E+01          1.64185279E+01
        381.9990          1.64073120E+01          1.64073120E+01
        382.0010          1.64073009E+01          1.64073009E+01
        390.0000          1.63655161E+01          1.63655161E+01
        400.0000          1.63198757E+01          1.63198757E+01
        410.0000          1.62810377E+01          1.62810377E+01
        420.0000          1.62484882E+01          1.62484882E+01
        430.0000          1.62217617E+01          1.62217617E+01
        440.0000          1.62004357E+01          1.62004357E+01
        450.0000          1.61841261E+01          1.61841261E+01
        460.0000          1.61724825E+01          1.61724825E+01
        470.0000          1.61651851E+01          1.61651851E+01
        471.9990          1.61642214E+01          1.61642214E+01
        472.0010          1.61642205E+01          1.61642205E+01
        480.0000          1.61619412E+01          1.61619412E+01
        490.0000          1.61624826E+01          1.61624826E+01
        500.0000          1.61665629E+01          1.61665629E+01
        510.0000          1.61739555E+01          1.61739555E+01
        520.0000          1.61844516E+01          1.61844516E+01
        530.0000          1.61978588E+01          1.61978588E+01
        540.0000          1.62139991E+01          1.62139991E+01
