#Energy      Pb   S  Total
          0.1000          7.82855650E+05          3.33526836E+03          3.32111911E+03
          0.2000          3.91669057E+05          1.69435724E+03          1.68705903E+03
          0.3000          2.61236343E+05          1.14340447E+03          1.13842172E+03
          0.4000          1.96005575E+05          8.66390838E+02          8.62578040E+02
          0.5000          1.56859758E+05          6.99401237E+02          6.96296612E+02
          0.6000          1.30758201E+05          5.87614962E+02          5.84986090E+02
          0.7000          1.12111413E+05          5.07470694E+02          5.05183986E+02
          0.8000          9.81243726E+04          4.47158033E+02          4.45129554E+02
          0.9000          8.72441499E+04          4.00100562E+02          3.98274082E+02
          1.0000          7.85389083E+04          3.62344045E+02          3.60680026E+02
          2.0000          3.93475224E+04          1.90619262E+02          1.89700258E+02
          3.0000          2.62722921E+04          1.32246338E+02          1.31583986E+02
          4.0000          1.97303164E+04          1.02655022E+02          1.02123682E+02
          5.0000          1.58029411E+04          8.47113250E+01          8.42596530E+01
          6.0000          1.31834178E+04          7.26481028E+01          7.22499646E+01
          7.0000          1.13115178E+04          6.39734933E+01          6.36137192E+01
          8.0000          9.90704079E+03          5.74326355E+01          5.71016087E+01
          9.0000          8.81427632E+03          5.23238991E+01          5.20151235E+01
         10.0000          7.93977397E+03          4.82238358E+01          4.79327067E+01
         11.0000          7.22405095E+03          4.48615202E+01          4.45846485E+01
         12.0000          6.62744302E+03          4.20554267E+01          4.17902405E+01
         13.0000          6.12248444E+03          3.96792922E+01          3.94237900E+01
         14.0000          5.68955277E+03          3.76425293E+01          3.73951202E+01
         15.0000          5.31425543E+03          3.58784293E+01          3.56378257E+01
         16.0000          4.98579593E+03          3.43367627E+01          3.41019057E+01
         17.0000          4.69591666E+03          3.29789738E+01          3.27489808E+01
         18.0000          4.43819392E+03          3.17749671E+01          3.15490934E+01
         19.0000          4.20755548E+03          3.07009018E+01          3.04785119E+01
         20.0000          3.99994294E+03          2.97376426E+01          2.95181891E+01
         21.0000          3.81207038E+03          2.88696502E+01          2.86526573E+01
         22.0000          3.64124892E+03          2.80841725E+01          2.78692232E+01
         23.0000          3.48525698E+03          2.73706446E+01          2.71573706E+01
         24.0000          3.34224297E+03          2.67202376E+01          2.65083116E+01
         24.9990          3.21077769E+03          2.61260848E+01          2.59152128E+01
         25.0000          3.21065135E+03          2.61255157E+01          2.59146446E+01
         25.0010          3.21052501E+03          2.61249467E+01          2.59140765E+01
         26.0000          3.08916568E+03          2.55801705E+01          2.53700907E+01
         26.9990          2.97677278E+03          2.50792957E+01          2.48697681E+01
         27.0000          2.97666444E+03          2.50788147E+01          2.48692875E+01
         27.0010          2.97655610E+03          2.50783338E+01          2.48688070E+01
         28.0000          2.87218616E+03          2.46168198E+01          2.44076279E+01
         29.0000          2.77490192E+03          2.41901862E+01          2.39811309E+01
         30.0000          2.68409320E+03          2.37954397E+01          2.35863385E+01
         31.0000          2.59913413E+03          2.34295480E+01          2.32202323E+01
         32.0000          2.51947701E+03          2.30898520E+01          2.28801658E+01
         33.0000          2.44464046E+03          2.27740104E+01          2.25638084E+01
         34.0000          2.37419970E+03          2.24799531E+01          2.22690996E+01
         35.0000          2.30777843E+03          2.22058430E+01          2.19942109E+01
         36.0000          2.24504216E+03          2.19500443E+01          2.17375141E+01
         37.0000          2.18569249E+03          2.17110953E+01          2.14975541E+01
         38.0000          2.12946242E+03          2.14876859E+01          2.12730269E+01
