#Energy      Al   S  Total
          0.1000          1.29625913E+03          1.71598352E+03          7.38439617E+02
          0.2000          6.63755728E+02          8.71740678E+02          3.76831145E+02
          0.3000          4.50626537E+02          5.88277472E+02          2.55166443E+02
          0.4000          3.43177237E+02          4.45754956E+02          1.93898735E+02
          0.5000          2.78258528E+02          3.59839410E+02          1.56916954E+02
          0.6000          2.34715437E+02          3.02325775E+02          1.32132367E+02
          0.7000          2.03443052E+02          2.61091839E+02          1.14345169E+02
          0.8000          1.79871762E+02          2.30061193E+02          1.00947025E+02
          0.9000          1.61454197E+02          2.05850294E+02          9.04845835E+01
          1.0000          1.46657098E+02          1.86424702E+02          8.20834575E+01
          2.0000          7.90384217E+01          9.80729216E+01          4.37664172E+01
          3.0000          5.58667081E+01          6.80402630E+01          3.06777373E+01
          4.0000          4.40614352E+01          5.28156379E+01          2.40215020E+01
          5.0000          3.68800076E+01          4.35836707E+01          1.99762942E+01
          6.0000          3.20428489E+01          3.73771865E+01          1.72525342E+01
          7.0000          2.85614034E+01          3.29141312E+01          1.52918358E+01
          8.0000          2.59362837E+01          2.95488835E+01          1.38124884E+01
          9.0000          2.38874900E+01          2.69204571E+01          1.26567237E+01
         10.0000          2.22456138E+01          2.48109893E+01          1.17291867E+01
         11.0000          2.09020194E+01          2.30810901E+01          1.09687878E+01
         12.0000          1.97837670E+01          2.16373651E+01          1.03345459E+01
         13.0000          1.88400239E+01          2.04148525E+01          9.79792434E+00
         14.0000          1.80342549E+01          1.93669453E+01          9.33842837E+00
         15.0000          1.73395108E+01          1.84593223E+01          8.94095116E+00
         16.0000          1.67354676E+01          1.76661404E+01          8.59410758E+00
         17.0000          1.62065020E+01          1.69675629E+01          8.28915127E+00
         18.0000          1.57404023E+01          1.63481058E+01          8.01924979E+00
         19.0000          1.53274817E+01          1.57955031E+01          7.77898668E+00
         20.0000          1.49599560E+01          1.52999097E+01          7.56401161E+00
         21.0000          1.46314964E+01          1.48533307E+01          7.37078954E+00
         22.0000          1.43369036E+01          1.44492053E+01          7.19641770E+00
         23.0000          1.40718654E+01          1.40820978E+01          7.03848986E+00
         24.0000          1.38327748E+01          1.37474657E+01          6.89499416E+00
         25.0000          1.36165907E+01          1.34414835E+01          6.76423525E+00
         26.0000          1.34207313E+01          1.31609053E+01          6.64477421E+00
         27.0000          1.32429894E+01          1.29029596E+01          6.53538171E+00
         28.0000          1.30814673E+01          1.26652649E+01          6.43500105E+00
         29.0000          1.29345240E+01          1.24457634E+01          6.34271877E+00
         30.0000          1.28007328E+01          1.22426678E+01          6.25774118E+00
         31.0000          1.26788477E+01          1.20544178E+01          6.17937521E+00
         32.0000          1.25677754E+01          1.18796455E+01          6.10701297E+00
         33.0000          1.24665525E+01          1.17171461E+01          6.04011898E+00
         34.0000          1.23743266E+01          1.15658547E+01          5.97821970E+00
         35.0000          1.22903412E+01          1.14248260E+01          5.92089478E+00
         36.0000          1.22139217E+01          1.12932185E+01          5.86776978E+00
         37.0000          1.21444656E+01          1.11702801E+01          5.81851006E+00
         38.0000          1.20814321E+01          1.10553367E+01          5.77281561E+00
         39.0000          1.20243352E+01          1.09477825E+01          5.73041668E+00
         40.0000          1.19727363E+01          1.08470711E+01          5.69107002E+00
         41.0000          1.19262390E+01          1.07527088E+01          5.65455576E+00
         42.0000          1.18844838E+01          1.06642482E+01          5.62067458E+00
         43.0000          1.18471440E+01          1.05812829E+01          5.58924543E+00
         44.0000          1.18139223E+01          1.05034430E+01          5.56010342E+00
         45.0000          1.17845470E+01          1.04303908E+01          5.53309811E+00
         46.0000          1.17587699E+01          1.03618176E+01          5.50809190E+00
         47.0000          1.17363633E+01          1.02974408E+01          5.48495874E+00
         48.0000          1.17171184E+01          1.02370008E+01          5.46358291E+00
         49.0000          1.17008430E+01          1.01802589E+01          5.44385796E+00
         50.0000          1.16873600E+01          1.01269953E+01          5.42568588E+00
         51.0000          1.16765059E+01          1.00770072E+01          5.40897617E+00
         52.0000          1.16681298E+01          1.00301071E+01          5.39364522E+00
         53.0000          1.16620917E+01          9.98612164E+00          5.37961562E+00
         54.0000          1.16582622E+01          9.94488991E+00          5.36681561E+00
         55.0000          1.16565206E+01          9.90626267E+00          5.35517858E+00
         56.0000          1.16567553E+01          9.87010117E+00          5.34464260E+00
         57.0000          1.16588620E+01          9.83627625E+00          5.33515002E+00
         58.0000          1.16627435E+01          9.80466758E+00          5.32664712E+00
         59.0000          1.16683094E+01          9.77516286E+00          5.31908375E+00
         60.0000          1.16754750E+01          9.74765718E+00          5.31241308E+00
         61.0000          1.16841610E+01          9.72205243E+00          5.30659129E+00
         62.0000          1.16942933E+01          9.69825675E+00          5.30157737E+00
         63.0000          1.17058025E+01          9.67618404E+00          5.29733284E+00
         64.0000          1.17186234E+01          9.65575353E+00          5.29382164E+00
         65.0000          1.17326946E+01          9.63688935E+00          5.29100987E+00
         66.0000          1.17479586E+01          9.61952017E+00          5.28886566E+00
         67.0000          1.17643613E+01          9.60357887E+00          5.28735903E+00
         68.0000          1.17818515E+01          9.58900226E+00          5.28646174E+00
         69.0000          1.18003813E+01          9.57573075E+00          5.28614715E+00
         70.0000          1.18199051E+01          9.56370811E+00          5.28639015E+00
         71.0000          1.18403802E+01          9.55288128E+00          5.28716701E+00
         72.0000          1.18617660E+01          9.54320008E+00          5.28845530E+00
         73.0000          1.18840243E+01          9.53461707E+00          5.29023382E+00
         74.0000          1.19071188E+01          9.52708735E+00          5.29248249E+00
         75.0000          1.19310151E+01          9.52056839E+00          5.29518231E+00
         76.0000          1.19556808E+01          9.51501988E+00          5.29831524E+00
         76.9990          1.19810592E+01          9.51040773E+00          5.30186043E+00
         77.0000          1.19810850E+01          9.51040357E+00          5.30186418E+00
         77.0010          1.19811107E+01          9.51039941E+00          5.30186793E+00
         78.0000          1.20071983E+01          9.50668318E+00          5.30581291E+00
         79.0000          1.20339930E+01          9.50382423E+00          5.31014601E+00
         80.0000          1.20614426E+01          9.50179396E+00          5.31484882E+00
         81.0000          1.20895220E+01          9.50056122E+00          5.31990741E+00
         82.0000          1.21182072E+01          9.50009634E+00          5.32530852E+00
         83.0000          1.21474756E+01          9.50037111E+00          5.33103951E+00
         84.0000          1.21773053E+01          9.50135862E+00          5.33708835E+00
         85.0000          1.22076758E+01          9.50303324E+00          5.34344358E+00
         86.0000          1.22385673E+01          9.50537052E+00          5.35009425E+00
         87.0000          1.22699609E+01          9.50834710E+00          5.35702991E+00
         88.0000          1.23018389E+01          9.51194072E+00          5.36424060E+00
         89.0000          1.23341839E+01          9.51613008E+00          5.37171678E+00
         90.0000          1.23669796E+01          9.52089484E+00          5.37944936E+00
         91.0000          1.24002103E+01          9.52621554E+00          5.38742961E+00
         92.0000          1.24338610E+01          9.53207357E+00          5.39564922E+00
         93.0000          1.24679174E+01          9.53845111E+00          5.40410021E+00
         94.0000          1.25023658E+01          9.54533110E+00          5.41277493E+00
         95.0000          1.25371929E+01          9.55269719E+00          5.42166606E+00
         96.0000          1.25723863E+01          9.56053371E+00          5.43076660E+00
         97.0000          1.26079337E+01          9.56882564E+00          5.44006982E+00
         98.0000          1.26438236E+01          9.57755858E+00          5.44956926E+00
         99.0000          1.26800449E+01          9.58671868E+00          5.45925872E+00
        100.0000          1.27165869E+01          9.59629266E+00          5.46913227E+00
        110.0000          1.30975769E+01          9.71221980E+00          5.57683820E+00
        120.0000          1.35015079E+01          9.85815654E+00          5.69785489E+00
        120.9990          1.35428802E+01          9.87408357E+00          5.71054097E+00
        121.0010          1.35429632E+01          9.87411568E+00          5.71056647E+00
        130.0000          1.39225603E+01          1.00268252E+01          5.82892112E+00
        140.0000          1.43566034E+01          1.02130383E+01          5.96771179E+00
        150.0000          1.48006328E+01          1.04130040E+01          6.11252750E+00
        160.0000          1.52524175E+01          1.06238912E+01          6.26209965E+00
        167.9990          1.56182361E+01          1.07989777E+01          6.38451069E+00
        168.0010          1.56183280E+01          1.07990221E+01          6.38454156E+00
        169.9990          1.57102256E+01          1.08435245E+01          6.41544850E+00
        170.0000          1.57102717E+01          1.08435468E+01          6.41546400E+00
        170.0010          1.57103177E+01          1.08435692E+01          6.41547950E+00
        180.0000          1.61729017E+01          1.10703075E+01          6.57187609E+00
