#Energy      C   H   F  Total
         67.0000          7.93695120E+00          3.26313859E+01          7.14861402E+00          3.37239054E+00
         68.0000          8.01149321E+00          3.30828402E+01          7.19157328E+00          3.40021027E+00
         69.0000          8.08610368E+00          3.35342847E+01          7.23477268E+00          3.42805592E+00
         70.0000          8.16077885E+00          3.39857195E+01          7.27820112E+00          3.45592615E+00
         71.0000          8.23551518E+00          3.44371446E+01          7.32184813E+00          3.48381967E+00
         72.0000          8.31030935E+00          3.48885602E+01          7.36570381E+00          3.51173527E+00
         73.0000          8.38515820E+00          3.53399663E+01          7.40975881E+00          3.53967179E+00
         74.0000          8.46005877E+00          3.57913629E+01          7.45400429E+00          3.56762815E+00
         75.0000          8.53500827E+00          3.62427502E+01          7.49843186E+00          3.59560329E+00
         76.0000          8.61000403E+00          3.66941283E+01          7.54303361E+00          3.62359623E+00
         77.0000          8.68504357E+00          3.71454972E+01          7.58780200E+00          3.65160604E+00
         78.0000          8.76012450E+00          3.75968569E+01          7.63272992E+00          3.67963182E+00
         79.0000          8.83524459E+00          3.80482076E+01          7.67781059E+00          3.70767272E+00
         80.0000          8.91040173E+00          3.84995493E+01          7.72303759E+00          3.73572793E+00
         81.0000          8.98559388E+00          3.89508822E+01          7.76840482E+00          3.76379669E+00
         82.0000          9.06081915E+00          3.94022062E+01          7.81390648E+00          3.79187825E+00
         83.0000          9.13607573E+00          3.98535214E+01          7.85953703E+00          3.81997193E+00
         84.0000          9.21136191E+00          4.03048279E+01          7.90529123E+00          3.84807705E+00
         85.0000          9.28667604E+00          4.07561258E+01          7.95116407E+00          3.87619297E+00
         86.0000          9.36201659E+00          4.12074152E+01          7.99715079E+00          3.90431910E+00
         87.0000          9.43738207E+00          4.16586961E+01          8.04324683E+00          3.93245486E+00
         88.0000          9.51277110E+00          4.21099685E+01          8.08944787E+00          3.96059968E+00
         89.0000          9.58818234E+00          4.25612326E+01          8.13574977E+00          3.98875305E+00
         90.0000          9.66361452E+00          4.30124883E+01          8.18214857E+00          4.01691446E+00
         91.0000          9.73906644E+00          4.34637359E+01          8.22864052E+00          4.04508343E+00
         92.0000          9.81453696E+00          4.39149752E+01          8.27522200E+00          4.07325949E+00
         93.0000          9.89002496E+00          4.43662065E+01          8.32188957E+00          4.10144222E+00
         94.0000          9.96552943E+00          4.48174297E+01          8.36863993E+00          4.12963118E+00
         95.0000          1.00410494E+01          4.52686449E+01          8.41546994E+00          4.15782597E+00
         96.0000          1.01165838E+01          4.57198522E+01          8.46237657E+00          4.18602621E+00
         97.0000          1.01921319E+01          4.61710516E+01          8.50935694E+00          4.21423153E+00
         98.0000          1.02676927E+01          4.66222432E+01          8.55640828E+00          4.24244158E+00
         99.0000          1.03432654E+01          4.70734270E+01          8.60352793E+00          4.27065602E+00
        100.0000          1.04188493E+01          4.75246031E+01          8.65071337E+00          4.29887452E+00
        110.0000          1.11751509E+01          5.20359519E+01          9.12569464E+00          4.58122071E+00
