#Energy      C-K-shell   O-K-shell   Valence  Total
          0.1000          1.00000000E+30          1.00000000E+30          1.42857143E+29          1.00000000E+30
          0.2000          1.00000000E+30          1.00000000E+30          1.00000000E-01          1.00000000E-01
          0.3000          1.00000000E+30          1.00000000E+30          1.00000000E-01          1.00000000E-01
          0.4000          1.00000000E+30          1.00000000E+30          2.00000000E-01          2.00000000E-01
          0.5000          1.00000000E+30          1.00000000E+30          3.00000000E-01          3.00000000E-01
          0.6000          1.00000000E+30          1.00000000E+30          4.00000000E-01          4.00000000E-01
          0.7000          1.00000000E+30          1.00000000E+30          5.00000000E-01          5.00000000E-01
          0.8000          1.00000000E+30          1.00000000E+30          6.00000000E-01          6.00000000E-01
          0.9000          1.00000000E+30          1.00000000E+30          7.00000000E-01          7.00000000E-01
          1.0000          1.00000000E+30          1.00000000E+30          8.00000000E-01          8.00000000E-01
          2.0000          1.00000000E+30          1.00000000E+30          9.00000000E-01          9.00000000E-01
          3.0000          1.00000000E+30          1.00000000E+30          1.00000000E+00          1.00000000E+00
          4.0000          1.00000000E+30          1.00000000E+30          2.00000000E+00          2.00000000E+00
          5.0000          1.00000000E+30          1.00000000E+30          3.00000000E+00          3.00000000E+00
          6.0000          1.00000000E+30          1.00000000E+30          4.00000000E+00          4.00000000E+00
          7.0000          1.00000000E+30          1.00000000E+30          5.00000000E+00          5.00000000E+00
          8.0000          1.00000000E+30          1.00000000E+30          6.00000000E+00          6.00000000E+00
          9.0000          1.00000000E+30          1.00000000E+30          7.00000000E+00          7.00000000E+00
         10.0000          1.00000000E+30          1.00000000E+30          8.00000000E+00          8.00000000E+00
         11.0000          1.00000000E+30          1.00000000E+30          9.00000000E+00          9.00000000E+00
         12.0000          1.00000000E+30          1.00000000E+30          9.63499279E+00          9.63499279E+00
         13.0000          1.00000000E+30          1.00000000E+30          1.05879224E+01          1.05879224E+01
         14.0000          1.00000000E+30          1.00000000E+30          1.10479021E+01          1.10479021E+01
         15.0000          1.00000000E+30          1.00000000E+30          1.19610495E+01          1.19610495E+01
         16.0000          1.00000000E+30          1.00000000E+30          1.28736184E+01          1.28736184E+01
         17.0000          1.00000000E+30          1.00000000E+30          1.37380830E+01          1.37380830E+01
         18.0000          1.00000000E+30          1.00000000E+30          1.46402045E+01          1.46402045E+01
         19.0000          1.00000000E+30          1.00000000E+30          1.55391014E+01          1.55391014E+01
         20.0000          1.00000000E+30          1.00000000E+30          1.64421071E+01          1.64421071E+01
         21.0000          1.00000000E+30          1.00000000E+30          1.73435352E+01          1.73435352E+01
         22.0000          1.00000000E+30          1.00000000E+30          1.82477972E+01          1.82477972E+01
         23.0000          1.00000000E+30          1.00000000E+30          1.91554671E+01          1.91554671E+01
         24.0000          1.00000000E+30          1.00000000E+30          2.00616185E+01          2.00616185E+01
         25.0000          1.00000000E+30          1.00000000E+30          2.09722509E+01          2.09722509E+01
         26.0000          1.00000000E+30          1.00000000E+30          2.18836036E+01          2.18836036E+01
         27.0000          1.00000000E+30          1.00000000E+30          2.28002991E+01          2.28002991E+01
         28.0000          1.00000000E+30          1.00000000E+30          2.37163141E+01          2.37163141E+01
         29.0000          1.00000000E+30          1.00000000E+30          2.45899009E+01          2.45899009E+01
         30.0000          1.00000000E+30          1.00000000E+30          2.55017242E+01          2.55017242E+01
         31.0000          1.00000000E+30          1.00000000E+30          2.64183632E+01          2.64183632E+01
         32.0000          1.00000000E+30          1.00000000E+30          2.73332118E+01          2.73332118E+01
         33.0000          1.00000000E+30          1.00000000E+30          2.82536274E+01          2.82536274E+01
         34.0000          1.00000000E+30          1.00000000E+30          2.91720680E+01          2.91720680E+01
         35.0000          1.00000000E+30          1.00000000E+30          3.00974248E+01          3.00974248E+01
         36.0000          1.00000000E+30          1.00000000E+30          3.10267450E+01          3.10267450E+01
         37.0000          1.00000000E+30          1.00000000E+30          3.19512604E+01          3.19512604E+01
         38.0000          1.00000000E+30          1.00000000E+30          3.28825064E+01          3.28825064E+01
         39.0000          1.00000000E+30          1.00000000E+30          3.38140793E+01          3.38140793E+01
         40.0000          1.00000000E+30          1.00000000E+30          3.47506880E+01          3.47506880E+01
         41.0000          1.00000000E+30          1.00000000E+30          3.56876722E+01          3.56876722E+01
         42.0000          1.00000000E+30          1.00000000E+30          3.66310059E+01          3.66310059E+01
         43.0000          1.00000000E+30          1.00000000E+30          3.75697568E+01          3.75697568E+01
         44.0000          1.00000000E+30          1.00000000E+30          3.85172168E+01          3.85172168E+01
         45.0000          1.00000000E+30          1.00000000E+30          3.94651067E+01          3.94651067E+01
         46.0000          1.00000000E+30          1.00000000E+30          4.04112681E+01          4.04112681E+01
         47.0000          1.00000000E+30          1.00000000E+30          4.13612446E+01          4.13612446E+01
         48.0000          1.00000000E+30          1.00000000E+30          4.23181761E+01          4.23181761E+01
         49.0000          1.00000000E+30          1.00000000E+30          4.32706059E+01          4.32706059E+01
         50.0000          1.00000000E+30          1.00000000E+30          4.42316273E+01          4.42316273E+01
         51.0000          1.00000000E+30          1.00000000E+30          4.51892440E+01          4.51892440E+01
         52.0000          1.00000000E+30          1.00000000E+30          4.61473564E+01          4.61473564E+01
         53.0000          1.00000000E+30          1.00000000E+30          4.71170741E+01          4.71170741E+01
         54.0000          1.00000000E+30          1.00000000E+30          4.80810978E+01          4.80810978E+01
         55.0000          1.00000000E+30          1.00000000E+30          4.90431780E+01          4.90431780E+01
         56.0000          1.00000000E+30          1.00000000E+30          5.00131255E+01          5.00131255E+01
         57.0000          1.00000000E+30          1.00000000E+30          5.09850759E+01          5.09850759E+01
         58.0000          1.00000000E+30          1.00000000E+30          5.19621995E+01          5.19621995E+01
         59.0000          1.00000000E+30          1.00000000E+30          5.29272727E+01          5.29272727E+01
         60.0000          1.00000000E+30          1.00000000E+30          5.39058733E+01          5.39058733E+01
         61.0000          1.00000000E+30          1.00000000E+30          5.48827132E+01          5.48827132E+01
         62.0000          1.00000000E+30          1.00000000E+30          5.58581514E+01          5.58581514E+01
         63.0000          1.00000000E+30          1.00000000E+30          5.68408185E+01          5.68408185E+01
         64.0000          1.00000000E+30          1.00000000E+30          5.78184731E+01          5.78184731E+01
         65.0000          1.00000000E+30          1.00000000E+30          5.88017909E+01          5.88017909E+01
         66.0000          1.00000000E+30          1.00000000E+30          5.97919728E+01          5.97919728E+01
         67.0000          1.00000000E+30          1.00000000E+30          6.07694869E+01          6.07694869E+01
         68.0000          1.00000000E+30          1.00000000E+30          6.17593386E+01          6.17593386E+01
         69.0000          1.00000000E+30          1.00000000E+30          6.27409818E+01          6.27409818E+01
         70.0000          1.00000000E+30          1.00000000E+30          6.37279058E+01          6.37279058E+01
         71.0000          1.00000000E+30          1.00000000E+30          6.47115382E+01          6.47115382E+01
         72.0000          1.00000000E+30          1.00000000E+30          6.57027041E+01          6.57027041E+01
         73.0000          1.00000000E+30          1.00000000E+30          6.66952332E+01          6.66952332E+01
         74.0000          1.00000000E+30          1.00000000E+30          6.76822027E+01          6.76822027E+01
         75.0000          1.00000000E+30          1.00000000E+30          6.86711808E+01          6.86711808E+01
         76.0000          1.00000000E+30          1.00000000E+30          6.96614425E+01          6.96614425E+01
         77.0000          1.00000000E+30          1.00000000E+30          7.06563599E+01          7.06563599E+01
         78.0000          1.00000000E+30          1.00000000E+30          7.16539970E+01          7.16539970E+01
         79.0000          1.00000000E+30          1.00000000E+30          7.26469922E+01          7.26469922E+01
         80.0000          1.00000000E+30          1.00000000E+30          7.36416106E+01          7.36416106E+01
         81.0000          1.00000000E+30          1.00000000E+30          7.46417798E+01          7.46417798E+01
         82.0000          1.00000000E+30          1.00000000E+30          7.56368014E+01          7.56368014E+01
         83.0000          1.00000000E+30          1.00000000E+30          7.66245010E+01          7.66245010E+01
         84.0000          1.00000000E+30          1.00000000E+30          7.76235315E+01          7.76235315E+01
         85.0000          1.00000000E+30          1.00000000E+30          7.86234244E+01          7.86234244E+01
         86.0000          1.00000000E+30          1.00000000E+30          7.96219311E+01          7.96219311E+01
         87.0000          1.00000000E+30          1.00000000E+30          8.06187598E+01          8.06187598E+01
         88.0000          1.00000000E+30          1.00000000E+30          8.16233466E+01          8.16233466E+01
         89.0000          1.00000000E+30          1.00000000E+30          8.26161947E+01          8.26161947E+01
         90.0000          1.00000000E+30          1.00000000E+30          8.36102694E+01          8.36102694E+01
         91.0000          1.00000000E+30          1.00000000E+30          8.46111922E+01          8.46111922E+01
         92.0000          1.00000000E+30          1.00000000E+30          8.56111919E+01          8.56111919E+01
         93.0000          1.00000000E+30          1.00000000E+30          8.66192019E+01          8.66192019E+01
