#Energy      C-K-shell   O-K-shell   Valence  Total
          0.1000          1.00000000E+30          1.00000000E+30          7.16068581E+02          7.16068581E+02
          0.2000          1.00000000E+30          1.00000000E+30          4.51174435E+02          4.51174435E+02
          0.3000          1.00000000E+30          1.00000000E+30          3.28082167E+02          3.28082167E+02
          0.4000          1.00000000E+30          1.00000000E+30          2.59631511E+02          2.59631511E+02
          0.5000          1.00000000E+30          1.00000000E+30          2.15180352E+02          2.15180352E+02
          0.6000          1.00000000E+30          1.00000000E+30          1.84123903E+02          1.84123903E+02
          0.7000          1.00000000E+30          1.00000000E+30          1.61242402E+02          1.61242402E+02
          0.8000          1.00000000E+30          1.00000000E+30          1.43697615E+02          1.43697615E+02
          0.9000          1.00000000E+30          1.00000000E+30          1.29854946E+02          1.29854946E+02
          1.0000          1.00000000E+30          1.00000000E+30          1.18622437E+02          1.18622437E+02
          2.0000          1.00000000E+30          1.00000000E+30          6.64112887E+01          6.64112887E+01
          3.0000          1.00000000E+30          1.00000000E+30          4.81514979E+01          4.81514979E+01
          4.0000          1.00000000E+30          1.00000000E+30          3.86986684E+01          3.86986684E+01
          5.0000          1.00000000E+30          1.00000000E+30          3.28417872E+01          3.28417872E+01
          6.0000          1.00000000E+30          1.00000000E+30          2.88142392E+01          2.88142392E+01
          7.0000          1.00000000E+30          1.00000000E+30          2.58509290E+01          2.58509290E+01
          8.0000          1.00000000E+30          1.00000000E+30          2.35638107E+01          2.35638107E+01
          9.0000          1.00000000E+30          1.00000000E+30          2.17347041E+01          2.17347041E+01
         10.0000          1.00000000E+30          1.00000000E+30          2.02309106E+01          2.02309106E+01
         11.0000          1.00000000E+30          1.00000000E+30          1.89671798E+01          1.89671798E+01
         12.0000          1.00000000E+30          1.00000000E+30          1.78860112E+01          1.78860112E+01
         13.0000          1.00000000E+30          1.00000000E+30          1.69472446E+01          1.69472446E+01
         14.0000          1.00000000E+30          1.00000000E+30          1.61217381E+01          1.61217381E+01
         15.0000          1.00000000E+30          1.00000000E+30          1.53879537E+01          1.53879537E+01
         16.0000          1.00000000E+30          1.00000000E+30          1.47296358E+01          1.47296358E+01
         17.0000          1.00000000E+30          1.00000000E+30          1.41341854E+01          1.41341854E+01
         18.0000          1.00000000E+30          1.00000000E+30          1.35917636E+01          1.35917636E+01
         19.0000          1.00000000E+30          1.00000000E+30          1.30945398E+01          1.30945398E+01
         20.0000          1.00000000E+30          1.00000000E+30          1.26362055E+01          1.26362055E+01
         21.0000          1.00000000E+30          1.00000000E+30          1.22116266E+01          1.22116266E+01
