#Energy      H   C   O  Total
          0.1000          2.61608303E+00          7.81624889E+01          3.78924588E+02          2.51456074E+00
          0.2000          2.41019176E+00          4.31791227E+01          2.01121145E+02          2.25715183E+00
          0.3000          2.34414765E+00          3.09952374E+01          1.40249476E+02          2.14598049E+00
          0.4000          2.32118957E+00          2.47040904E+01          1.09198497E+02          2.08138054E+00
          0.5000          2.31795474E+00          2.08296005E+01          9.02574140E+01          2.03872421E+00
          0.6000          2.32563348E+00          1.81888120E+01          7.74486905E+01          2.00851209E+00
          0.7000          2.34007833E+00          1.62658737E+01          6.81834852E+01          1.98617291E+00
          0.8000          2.35905069E+00          1.47989102E+01          6.11553325E+01          1.96918744E+00
          0.9000          2.38122379E+00          1.36404339E+01          5.56323137E+01          1.95603328E+00
          1.0000          2.40575559E+00          1.27008408E+01          5.11718853E+01          1.94572688E+00
          2.0000          2.70926637E+00          8.28043982E+00          3.04348633E+01          1.91304375E+00
          3.0000          3.04983820E+00          6.71419120E+00          2.31468366E+01          1.92297722E+00
          4.0000          3.40170793E+00          5.91868628E+00          1.93974124E+01          1.94371145E+00
          5.0000          3.75863529E+00          5.44856401E+00          1.71164655E+01          1.96845788E+00
          6.0000          4.11828401E+00          5.14817265E+00          1.55917651E+01          1.99521276E+00
          7.0000          4.47956691E+00          4.94822351E+00          1.45100815E+01          2.02328314E+00
          8.0000          4.84190551E+00          4.81294516E+00          1.37112977E+01          2.05239432E+00
          9.0000          5.20496246E+00          4.72190472E+00          1.31047124E+01          2.08241483E+00
         10.0000          5.56852741E+00          4.66253759E+00          1.26349493E+01          2.11326365E+00
         11.0000          5.93246231E+00          4.62667023E+00          1.22662092E+01          2.14487786E+00
         12.0000          6.29667288E+00          4.60874406E+00          1.19742792E+01          2.17720148E+00
         13.0000          6.66109257E+00          4.60484041E+00          1.17421729E+01          2.21018200E+00
         14.0000          7.02567316E+00          4.61211327E+00          1.15576071E+01          2.24376957E+00
         15.0000          7.39037888E+00          4.62844334E+00          1.14114707E+01          2.27791706E+00
         16.0000          7.75518272E+00          4.65221846E+00          1.12968571E+01          2.31258020E+00
         17.0000          8.12006395E+00          4.68218947E+00          1.12084319E+01          2.34771774E+00
         18.0000          8.48500642E+00          4.71737283E+00          1.11420068E+01          2.38329149E+00
         19.0000          8.84999739E+00          4.75698315E+00          1.10942460E+01          2.41926627E+00
         20.0000          9.21502673E+00          4.80038538E+00          1.10624589E+01          2.45560976E+00
         21.0000          9.58008627E+00          4.84706026E+00          1.10444497E+01          2.49229241E+00
         22.0000          9.94516939E+00          4.89657895E+00          1.10384087E+01          2.52928716E+00
         23.0000          1.03102707E+01          4.94858406E+00          1.10428304E+01          2.56656934E+00
         24.0000          1.06753858E+01          5.00277530E+00          1.10564517E+01          2.60411642E+00
         25.0000          1.10405109E+01          5.05889847E+00          1.10782049E+01          2.64190782E+00
         26.0000          1.14056431E+01          5.11673690E+00          1.11071810E+01          2.67992479E+00
         27.0000          1.17707797E+01          5.17610474E+00          1.11426015E+01          2.71815017E+00
         28.0000          1.21359187E+01          5.23684168E+00          1.11837952E+01          2.75656828E+00
         29.0000          1.25010582E+01          5.29880866E+00          1.12301805E+01          2.79516480E+00
         30.0000          1.28661967E+01          5.36188450E+00          1.12812511E+01          2.83392661E+00
         31.0000          1.32313331E+01          5.42596306E+00          1.13365637E+01          2.87284166E+00
         32.0000          1.35964661E+01          5.49095102E+00          1.13957288E+01          2.91189892E+00
         33.0000          1.39615949E+01          5.55676599E+00          1.14584025E+01          2.95108826E+00
         34.0000          1.43267186E+01          5.62333492E+00          1.15242805E+01          2.99040035E+00
         35.0000          1.46918368E+01          5.69059287E+00          1.15930918E+01          3.02982662E+00
         36.0000          1.50569487E+01          5.75848189E+00          1.16645949E+01          3.06935916E+00
         37.0000          1.54220539E+01          5.82695009E+00          1.17385737E+01          3.10899066E+00
         38.0000          1.57871521E+01          5.89595090E+00          1.18148339E+01          3.14871441E+00
         39.0000          1.61522429E+01          5.96544240E+00          1.18932009E+01          3.18852416E+00
         40.0000          1.65173260E+01          6.03538674E+00          1.19735169E+01          3.22841415E+00
         41.0000          1.68824011E+01          6.10574968E+00          1.20556393E+01          3.26837904E+00
         42.0000          1.72474682E+01          6.17650015E+00          1.21394384E+01          3.30841387E+00
         43.0000          1.76125270E+01          6.24760994E+00          1.22247966E+01          3.34851404E+00
         44.0000          1.79775774E+01          6.31905333E+00          1.23116066E+01          3.38867528E+00
         45.0000          1.83426193E+01          6.39080683E+00          1.23997703E+01          3.42889361E+00
         46.0000          1.87076527E+01          6.46284899E+00          1.24891982E+01          3.46916533E+00
         47.0000          1.90726774E+01          6.53516012E+00          1.25798080E+01          3.50948698E+00
