#Energy      C   H  Total
         88.0000          7.18888165E+00          1.59114298E+01          4.95168154E+00
         89.0000          7.24587056E+00          1.60819419E+01          4.99522489E+00
         90.0000          7.30287530E+00          1.62524508E+01          5.03875943E+00
         91.0000          7.35989496E+00          1.64229566E+01          5.08228524E+00
         92.0000          7.41692866E+00          1.65934593E+01          5.12580238E+00
         93.0000          7.47397559E+00          1.67639589E+01          5.16931093E+00
         94.0000          7.53103496E+00          1.69344555E+01          5.21281094E+00
         95.0000          7.58810600E+00          1.71049491E+01          5.25630249E+00
         96.0000          7.64518802E+00          1.72754397E+01          5.29978563E+00
         97.0000          7.70228033E+00          1.74459273E+01          5.34326042E+00
         98.0000          7.75938226E+00          1.76164119E+01          5.38672694E+00
         99.0000          7.81649321E+00          1.77868936E+01          5.43018524E+00
        100.0000          7.87361258E+00          1.79573725E+01          5.47363538E+00
        110.0000          8.44515612E+00          1.96620047E+01          5.90770090E+00
        120.0000          9.01705106E+00          2.13663664E+01          6.34101207E+00
        130.0000          9.58900373E+00          2.30704739E+01          6.77361906E+00
        140.0000          1.01608215E+01          2.47743412E+01          7.20556709E+00
        150.0000          1.07323770E+01          2.64779804E+01          7.63689705E+00
        160.0000          1.13035863E+01          2.81814021E+01          8.06764603E+00
        170.0000          1.18743942E+01          2.98846155E+01          8.49784773E+00
        180.0000          1.24447661E+01          3.15876287E+01          8.92753284E+00
        190.0000          1.30146809E+01          3.32904489E+01          9.35672939E+00
        200.0000          1.35841273E+01          3.49930825E+01          9.78546297E+00
        210.0000          1.41531011E+01          3.66955352E+01          1.02137571E+01
        220.0000          1.47216025E+01          3.83978120E+01          1.06416332E+01
        230.0000          1.52896356E+01          4.00999177E+01          1.10691113E+01
        240.0000          1.58572064E+01          4.18018563E+01          1.14962095E+01
        250.0000          1.64243229E+01          4.35036317E+01          1.19229448E+01
        260.0000          1.69909940E+01          4.52052473E+01          1.23493328E+01
        270.0000          1.75572292E+01          4.69067063E+01          1.27753881E+01
        280.0000          1.81230388E+01          4.86080115E+01          1.32011241E+01
        287.9990          1.85753302E+01          4.99687766E+01          1.35414490E+01
        288.0010          1.85754432E+01          4.99691168E+01          1.35415340E+01
        290.0000          1.86884328E+01          5.03091656E+01          1.36265534E+01
        300.0000          1.92534216E+01          5.20101710E+01          1.40516877E+01
        310.0000          1.98180154E+01          5.37110300E+01          1.44765380E+01
        320.0000          2.03822242E+01          5.54117447E+01          1.49011144E+01
        330.0000          2.09460580E+01          5.71123171E+01          1.53254267E+01
        340.0000          2.15095263E+01          5.88127489E+01          1.57494838E+01
        350.0000          2.20726386E+01          6.05130419E+01          1.61732941E+01
        360.0000          2.26354038E+01          6.22131975E+01          1.65968658E+01
        370.0000          2.31978307E+01          6.39132174E+01          1.70202062E+01
        380.0000          2.37599279E+01          6.56131028E+01          1.74433224E+01
        390.0000          2.43217035E+01          6.73128551E+01          1.78662213E+01
        400.0000          2.48831653E+01          6.90124754E+01          1.82889091E+01
        410.0000          2.54443211E+01          7.07119650E+01          1.87113918E+01
        420.0000          2.60051780E+01          7.24113249E+01          1.91336751E+01
        430.0000          2.65657431E+01          7.41105562E+01          1.95557645E+01
        440.0000          2.71260233E+01          7.58096598E+01          1.99776650E+01
        450.0000          2.76860249E+01          7.75086366E+01          2.03993816E+01
        460.0000          2.82457544E+01          7.92074875E+01          2.08209189E+01
        470.0000          2.88052178E+01          8.09062133E+01          2.12422814E+01
        480.0000          2.93644208E+01          8.26048148E+01          2.16634733E+01
        490.0000          2.99233691E+01          8.43032927E+01          2.20844985E+01
        500.0000          3.04820680E+01          8.60016478E+01          2.25053610E+01
        510.0000          3.10405229E+01          8.76998808E+01          2.29260645E+01
        520.0000          3.15987386E+01          8.93979922E+01          2.33466125E+01
        530.0000          3.21567200E+01          9.10959827E+01          2.37670083E+01
        540.0000          3.27144718E+01          9.27938529E+01          2.41872552E+01
        550.0000          3.32719985E+01          9.44916033E+01          2.46073564E+01
        560.0000          3.38293043E+01          9.61892345E+01          2.50273147E+01
        570.0000          3.43863935E+01          9.78867470E+01          2.54471330E+01
        580.0000          3.49432702E+01          9.95841412E+01          2.58668142E+01
        590.0000          3.54999381E+01          1.01281418E+02          2.62863607E+01
        600.0000          3.60564012E+01          1.02978577E+02          2.67057753E+01
        610.0000          3.66126629E+01          1.04675619E+02          2.71250603E+01
        620.0000          3.71687270E+01          1.06372545E+02          2.75442180E+01
        630.0000          3.77245967E+01          1.08069355E+02          2.79632508E+01
        640.0000          3.82802753E+01          1.09766050E+02          2.83821608E+01
        650.0000          3.88357661E+01          1.11462629E+02          2.88009502E+01
        660.0000          3.93910722E+01          1.13159093E+02          2.92196209E+01
        670.0000          3.99461964E+01          1.14855443E+02          2.96381750E+01
