#Energy      Ca-K-shell   Ca-L1-shell   Ca-L2-shell   Ca-L3-shell   Ca-M1-shell   Ca-M2-shell   Ca-M3-shell   F-K-shell   Valence  Total
          0.1000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.68774366E+03          1.68774366E+03
          0.2000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.06132630E+03          1.06132630E+03
          0.3000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.70303740E+02          7.70303740E+02
          0.4000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.08485238E+02          6.08485238E+02
          0.5000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.03436580E+02          5.03436580E+02
          0.6000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.30067117E+02          4.30067117E+02
          0.7000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.76028848E+02          3.76028848E+02
          0.8000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.34608030E+02          3.34608030E+02
          0.9000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.01942515E+02          3.01942515E+02
          1.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.75444771E+02          2.75444771E+02
          2.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.52515689E+02          1.52515689E+02
          3.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.09725837E+02          1.09725837E+02
          4.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.76694750E+01          8.76694750E+01
          5.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.40516353E+01          7.40516353E+01
          6.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.47120647E+01          6.47120647E+01
          7.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.78542062E+01          5.78542062E+01
          8.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.25687383E+01          5.25687383E+01
          9.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.83456001E+01          4.83456001E+01
         10.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.48750593E+01          4.48750593E+01
         11.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.19586468E+01          4.19586468E+01
         12.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.94626853E+01          3.94626853E+01
         13.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.72940195E+01          3.72940195E+01
         14.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.53849746E+01          3.53849746E+01
         15.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.36855989E+01          3.36855989E+01
         16.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.21582380E+01          3.21582380E+01
         17.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.07736387E+01          3.07736387E+01
         18.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.95089670E+01          2.95089670E+01
         19.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.83460100E+01          2.83460100E+01
         20.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.72700537E+01          2.72700537E+01
         21.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.62690798E+01          2.62690798E+01
         22.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.53332260E+01          2.53332260E+01
         23.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.44542666E+01          2.44542666E+01
         24.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.36252752E+01          2.36252752E+01
         25.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.28404087E+01          2.28404087E+01
         26.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.20946897E+01          2.20946897E+01
         27.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.13838537E+01          2.13838537E+01
         27.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.07048964E+01          2.07048964E+01
         28.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.23245909E+08          1.61622954E+08          1.00000000E+30          2.07042312E+01          2.07042273E+01
         28.0010          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.23286240E+08          1.61643120E+08          1.00000000E+30          2.07035661E+01          2.07035622E+01
         29.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.68387295E+04          8.41936474E+03          1.00000000E+30          2.00526402E+01          1.99812553E+01
         30.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.98928464E+03          2.99464232E+03          1.00000000E+30          1.94263197E+01          1.92391128E+01
         31.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.27875594E+03          1.63937797E+03          1.00000000E+30          1.88228584E+01          1.85041692E+01
         32.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.14301538E+03          1.07150769E+03          1.00000000E+30          1.82401548E+01          1.77860011E+01
         33.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.54423912E+03          7.72119562E+02          1.00000000E+30          1.76763643E+01          1.70895113E+01
         34.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.18380149E+03          5.91900746E+02          1.00000000E+30          1.71298748E+01          1.64171933E+01
         35.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.47218625E+02          4.73609313E+02          1.00000000E+30          1.65992773E+01          1.57701957E+01
         36.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.82131317E+02          3.91065659E+02          1.00000000E+30          1.60833451E+01          1.51488083E+01
         37.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.61475434E+02          3.30737717E+02          1.00000000E+30          1.55810177E+01          1.45526566E+01
         38.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.70156872E+02          2.85078436E+02          1.00000000E+30          1.50913876E+01          1.39811902E+01
         39.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.99049114E+02          2.49524557E+02          1.00000000E+30          1.46136911E+01          1.34335631E+01
         40.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.42365092E+02          2.21182546E+02          1.00000000E+30          1.41473032E+01          1.29087927E+01
         41.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.96310246E+02          1.98155123E+02          1.00000000E+30          1.36917322E+01          1.24059313E+01
         42.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.58271057E+02          1.79135528E+02          1.00000000E+30          1.32466194E+01          1.19239955E+01
