#Energy      Ca   F  Total
          0.1000          5.27805665E+03          1.91515650E+02          1.84809780E+02
          0.2000          2.66621645E+03          1.00467795E+02          9.68194652E+01
          0.3000          1.79150712E+03          6.94565771E+01          6.68642557E+01
          0.4000          1.35256980E+03          5.36966543E+01          5.16463098E+01
          0.5000          1.08840208E+03          4.41120874E+01          4.23938959E+01
          0.6000          9.11815815E+02          3.76471036E+01          3.61543603E+01
          0.7000          7.85376081E+02          3.29809446E+01          3.16517659E+01
          0.8000          6.90334853E+02          2.94482676E+01          2.82434596E+01
          0.9000          6.16261058E+02          2.66769223E+01          2.55700376E+01
          1.0000          5.56887432E+02          2.44422199E+01          2.34145378E+01
          2.0000          2.87810203E+02          1.41036726E+01          1.34448305E+01
          3.0000          1.96927775E+02          1.04930169E+01          9.96219546E+00
          4.0000          1.51051961E+02          8.63728448E+00          8.17011036E+00
          5.0000          1.23318478E+02          7.50551344E+00          7.07491405E+00
          6.0000          1.04714954E+02          6.74487128E+00          6.33671266E+00
          7.0000          9.13580360E+01          6.20083526E+00          5.80671059E+00
          8.0000          8.12967999E+01          5.79469115E+00          5.40913747E+00
          9.0000          7.34427489E+01          5.48198299E+00          5.10121341E+00
         10.0000          6.71402196E+01          5.23563969E+00          4.85689568E+00
         11.0000          6.19704547E+01          5.03820085E+00          4.65939206E+00
         12.0000          5.76533361E+01          4.87788164E+00          4.49737203E+00
         13.0000          5.39943183E+01          4.74642974E+00          4.36290389E+00
         14.0000          5.08540228E+01          4.63788786E+00          4.25026373E+00
         15.0000          4.81299480E+01          4.54784393E+00          4.15521387E+00
         16.0000          4.57450095E+01          4.47295811E+00          4.07454783E+00
         17.0000          4.36401085E+01          4.41065409E+00          4.00579331E+00
         18.0000          4.17691659E+01          4.35891160E+00          3.94701257E+00
         19.0000          4.00957176E+01          4.31612328E+00          3.89666487E+00
         20.0000          3.85905262E+01          4.28099382E+00          3.85350938E+00
         21.0000          3.72298718E+01          4.25246734E+00          3.81653535E+00
         22.0000          3.59943067E+01          4.22967421E+00          3.78491107E+00
         23.0000          3.48677326E+01          4.21189155E+00          3.75794577E+00
         24.0000          3.38367084E+01          4.19851337E+00          3.73506098E+00
         25.0000          3.28899223E+01          4.18902775E+00          3.71576857E+00
         26.0000          3.20177853E+01          4.18299916E+00          3.69965378E+00
         27.0000          3.12121145E+01          4.18005471E+00          3.68636196E+00
         27.9990          3.04666028E+01          4.17987208E+00          3.67559768E+00
         28.0000          3.04658842E+01          4.17987319E+00          3.67558807E+00
         28.0010          3.04651656E+01          4.17987429E+00          3.67557846E+00
         29.0000          2.97730276E+01          4.18217638E+00          3.66706832E+00
         30.0000          2.91282786E+01          4.18672211E+00          3.66057348E+00
         31.0000          2.85270431E+01          4.19329852E+00          3.65590339E+00
         32.0000          2.79652956E+01          4.20171950E+00          3.65288254E+00
         33.0000          2.74394931E+01          4.21182083E+00          3.65135643E+00
         34.0000          2.69465050E+01          4.22345710E+00          3.65118852E+00
         35.0000          2.64835546E+01          4.23649903E+00          3.65225773E+00
         36.0000          2.60481707E+01          4.25083133E+00          3.65445634E+00
         37.0000          2.56381459E+01          4.26635084E+00          3.65768822E+00
         38.0000          2.52515030E+01          4.28296495E+00          3.66186730E+00
         39.0000          2.48864652E+01          4.30059033E+00          3.66691637E+00
         40.0000          2.45414316E+01          4.31915174E+00          3.67276592E+00
         41.0000          2.42149556E+01          4.33858112E+00          3.67935329E+00
         42.0000          2.39057270E+01          4.35881673E+00          3.68662179E+00
         43.0000          2.36125561E+01          4.37980242E+00          3.69452007E+00
         44.0000          2.33343602E+01          4.40148703E+00          3.70300150E+00
         45.0000          2.30701518E+01          4.42382386E+00          3.71202365E+00
         45.9990          2.28192732E+01          4.44674692E+00          3.72153810E+00
         46.0000          2.28190283E+01          4.44677016E+00          3.72154787E+00
         46.0010          2.28187835E+01          4.44679340E+00          3.72155763E+00
         47.0000          2.25801632E+01          4.47028675E+00          3.73153883E+00
         48.0000          2.23527979E+01          4.49433764E+00          3.74196423E+00
         49.0000          2.21362353E+01          4.51888972E+00          3.75279448E+00
         50.0000          2.19298333E+01          4.54391248E+00          3.76400242E+00
         51.0000          2.17329997E+01          4.56937776E+00          3.77556309E+00
         52.0000          2.15451874E+01          4.59525952E+00          3.78745351E+00
         53.0000          2.13658900E+01          4.62153365E+00          3.79965251E+00
         54.0000          2.11946384E+01          4.64817779E+00          3.81214055E+00
         55.0000          2.10309972E+01          4.67517121E+00          3.82489957E+00
         56.0000          2.08745618E+01          4.70249459E+00          3.83791287E+00
         57.0000          2.07249555E+01          4.73012999E+00          3.85116497E+00
         58.0000          2.05818275E+01          4.75806066E+00          3.86464152E+00
         59.0000          2.04448506E+01          4.78627100E+00          3.87832919E+00
         60.0000          2.03137191E+01          4.81474640E+00          3.89221562E+00
         61.0000          2.01881470E+01          4.84347323E+00          3.90628927E+00
         62.0000          2.00678668E+01          4.87243871E+00          3.92053942E+00
         63.0000          1.99526277E+01          4.90163088E+00          3.93495609E+00
         64.0000          1.98421944E+01          4.93103851E+00          3.94952993E+00
         65.0000          1.97363460E+01          4.96065106E+00          3.96425223E+00
         66.0000          1.96348749E+01          4.99045862E+00          3.97911487E+00
         67.0000          1.95375857E+01          5.02045187E+00          3.99411021E+00
         68.0000          1.94442943E+01          5.05062204E+00          4.00923114E+00
         69.0000          1.93548274E+01          5.08096086E+00          4.02447097E+00
         70.0000          1.92690213E+01          5.11146053E+00          4.03982344E+00
         71.0000          1.91867216E+01          5.14211371E+00          4.05528267E+00
         72.0000          1.91077822E+01          5.17291343E+00          4.07084314E+00
         73.0000          1.90320651E+01          5.20385314E+00          4.08649966E+00
         74.0000          1.89594397E+01          5.23492661E+00          4.10224736E+00
         75.0000          1.88897823E+01          5.26612797E+00          4.11808165E+00
         76.0000          1.88229755E+01          5.29745165E+00          4.13399821E+00
         77.0000          1.87589080E+01          5.32889237E+00          4.14999295E+00
         78.0000          1.86974744E+01          5.36044512E+00          4.16606205E+00
         79.0000          1.86385743E+01          5.39210516E+00          4.18220187E+00
         80.0000          1.85821124E+01          5.42386796E+00          4.19840900E+00
         81.0000          1.85279981E+01          5.45572924E+00          4.21468021E+00
         82.0000          1.84761451E+01          5.48768492E+00          4.23101244E+00
         83.0000          1.84264713E+01          5.51973113E+00          4.24740280E+00
         84.0000          1.83788985E+01          5.55186418E+00          4.26384857E+00
         85.0000          1.83333520E+01          5.58408055E+00          4.28034715E+00
         86.0000          1.82897607E+01          5.61637689E+00          4.29689610E+00
         87.0000          1.82480567E+01          5.64875002E+00          4.31349309E+00
         88.0000          1.82081752E+01          5.68119688E+00          4.33013592E+00
         89.0000          1.81700542E+01          5.71371458E+00          4.34682250E+00
         90.0000          1.81336345E+01          5.74630033E+00          4.36355085E+00
         91.0000          1.80988596E+01          5.77895149E+00          4.38031909E+00
         92.0000          1.80656752E+01          5.81166554E+00          4.39712542E+00
         93.0000          1.80340295E+01          5.84444004E+00          4.41396816E+00
         94.0000          1.80038729E+01          5.87727269E+00          4.43084567E+00
         95.0000          1.79751576E+01          5.91016128E+00          4.44775642E+00
         96.0000          1.79478383E+01          5.94310367E+00          4.46469896E+00
         97.0000          1.79218710E+01          5.97609786E+00          4.48167187E+00
         98.0000          1.78972138E+01          6.00914188E+00          4.49867385E+00
         99.0000          1.78738265E+01          6.04223389E+00          4.51570361E+00
        100.0000          1.78516704E+01          6.07537209E+00          4.53275996E+00
        110.0000          1.76903176E+01          6.40895012E+00          4.70455636E+00
        120.0000          1.76189160E+01          6.74563341E+00          4.87801955E+00
        130.0000          1.76162183E+01          7.08447084E+00          5.05255478E+00
        140.0000          1.76670463E+01          7.42479935E+00          5.22776506E+00
        150.0000          1.77602766E+01          7.76614651E+00          5.40337789E+00
        160.0000          1.78875780E+01          8.10816968E+00          5.57920162E+00
        170.0000          1.80425928E+01          8.45061678E+00          5.75509876E+00
        180.0000          1.82203893E+01          8.79330014E+00          5.93096890E+00
        190.0000          1.84170868E+01          9.13607879E+00          6.10673774E+00
        200.0000          1.86295929E+01          9.47884606E+00          6.28234971E+00
        210.0000          1.88554151E+01          9.82152091E+00          6.45776291E+00
        220.0000          1.90925242E+01          1.01640416E+01          6.63294562E+00
        230.0000          1.93392531E+01          1.05063610E+01          6.80787382E+00
        240.0000          1.95942209E+01          1.08484435E+01          6.98252936E+00
        250.0000          1.98562751E+01          1.11902619E+01          7.15689867E+00
        260.0000          2.01244473E+01          1.15317963E+01          7.33097172E+00
        270.0000          2.03979186E+01          1.18730317E+01          7.50474131E+00
        280.0000          2.06759928E+01          1.22139575E+01          7.67820246E+00
        290.0000          2.09580748E+01          1.25545665E+01          7.85135201E+00
        300.0000          2.12436533E+01          1.28948540E+01          8.02418819E+00
        310.0000          2.15322871E+01          1.32348174E+01          8.19671045E+00
        320.0000          2.18235942E+01          1.35744560E+01          8.36891913E+00
        330.0000          2.21172421E+01          1.39137701E+01          8.54081535E+00
        340.0000          2.24129407E+01          1.42527613E+01          8.71240085E+00
        348.9990          2.26805823E+01          1.45575452E+01          8.86654685E+00
        349.0010          2.26806419E+01          1.45576129E+01          8.86658108E+00
        350.0000          2.27104359E+01          1.45914317E+01          8.88367785E+00
        352.9990          2.27999709E+01          1.46929369E+01          8.93498408E+00
        353.0010          2.28000306E+01          1.46930046E+01          8.93501828E+00
        360.0000          2.30095047E+01          1.49297845E+01          9.05464900E+00
        370.0000          2.33099503E+01          1.52678231E+01          9.22531723E+00
        380.0000          2.36115992E+01          1.56055513E+01          9.39568576E+00
        390.0000          2.39142976E+01          1.59429733E+01          9.56575800E+00
        400.0000          2.42179090E+01          1.62800935E+01          9.73553751E+00
        410.0000          2.45223121E+01          1.66169164E+01          9.90502798E+00
        420.0000          2.48273987E+01          1.69534466E+01          1.00742332E+01
        430.0000          2.51330722E+01          1.72896888E+01          1.02431569E+01
        440.0000          2.54392462E+01          1.76256479E+01          1.04118031E+01
        440.9990          2.54698575E+01          1.76591948E+01          1.04286357E+01
        441.0010          2.54699188E+01          1.76592620E+01          1.04286694E+01
        450.0000          2.57458435E+01          1.79613285E+01          1.05801755E+01
        460.0000          2.60527944E+01          1.82967353E+01          1.07482782E+01
        470.0000          2.63600367E+01          1.86318731E+01          1.09161149E+01
        480.0000          2.66675143E+01          1.89667464E+01          1.10836896E+01
        490.0000          2.69751767E+01          1.93013599E+01          1.12510061E+01
        500.0000          2.72829783E+01          1.96357181E+01          1.14180681E+01
        510.0000          2.75908780E+01          1.99698253E+01          1.15848794E+01
        520.0000          2.78988388E+01          2.03036860E+01          1.17514438E+01
        530.0000          2.82068272E+01          2.06373044E+01          1.19177649E+01
        540.0000          2.85148127E+01          2.09706847E+01          1.20838463E+01
        550.0000          2.88227681E+01          2.13038310E+01          1.22496916E+01
        560.0000          2.91306685E+01          2.16367472E+01          1.24153042E+01
        570.0000          2.94384914E+01          2.19694373E+01          1.25806876E+01
        580.0000          2.97462166E+01          2.23019051E+01          1.27458452E+01
        590.0000          3.00538256E+01          2.26341543E+01          1.29107802E+01
        600.0000          3.03613017E+01          2.29661886E+01          1.30754959E+01
        610.0000          3.06686299E+01          2.32980114E+01          1.32399955E+01
        620.0000          3.09757966E+01          2.36296264E+01          1.34042822E+01
        630.0000          3.12827893E+01          2.39610367E+01          1.35683590E+01
        640.0000          3.15895970E+01          2.42922458E+01          1.37322289E+01
        650.0000          3.18962095E+01          2.46232568E+01          1.38958948E+01
        660.0000          3.22026178E+01          2.49540728E+01          1.40593596E+01
        670.0000          3.25088137E+01          2.52846970E+01          1.42226263E+01
        680.0000          3.28147898E+01          2.56151322E+01          1.43856974E+01
        690.0000          3.31205395E+01          2.59453815E+01          1.45485759E+01
        693.9990          3.32427441E+01          2.60773967E+01          1.46136576E+01
        694.0010          3.32428052E+01          2.60774627E+01          1.46136901E+01
        700.0000          3.34260569E+01          2.62754475E+01          1.47112642E+01
        710.0000          3.37313367E+01          2.66053331E+01          1.48737650E+01
        720.0000          3.40363742E+01          2.69350409E+01          1.50360809E+01
        730.0000          3.43411652E+01          2.72645736E+01          1.51982144E+01
        740.0000          3.46457059E+01          2.75939338E+01          1.53601679E+01
        750.0000          3.49499931E+01          2.79231238E+01          1.55219438E+01
        760.0000          3.52540239E+01          2.82521462E+01          1.56835444E+01
        770.0000          3.55577958E+01          2.85810034E+01          1.58449721E+01
        780.0000          3.58613067E+01          2.89096976E+01          1.60062291E+01
        790.0000          3.61645548E+01          2.92382311E+01          1.61673176E+01
        800.0000          3.64675385E+01          2.95666061E+01          1.63282398E+01
        810.0000          3.67702565E+01          2.98948248E+01          1.64889977E+01
        820.0000          3.70727077E+01          3.02228892E+01          1.66495936E+01
        830.0000          3.73748915E+01          3.05508015E+01          1.68100293E+01
        840.0000          3.76768071E+01          3.08785636E+01          1.69703069E+01
        850.0000          3.79784541E+01          3.12061774E+01          1.71304284E+01
        860.0000          3.82798324E+01          3.15336450E+01          1.72903956E+01
        870.0000          3.85809417E+01          3.18609681E+01          1.74502105E+01
        880.0000          3.88817823E+01          3.21881487E+01          1.76098748E+01
        890.0000          3.91823542E+01          3.25151884E+01          1.77693904E+01
        900.0000          3.94826578E+01          3.28420890E+01          1.79287591E+01
        910.0000          3.97826935E+01          3.31688523E+01          1.80879825E+01
        920.0000          4.00824619E+01          3.34954798E+01          1.82470624E+01
        930.0000          4.03819636E+01          3.38219733E+01          1.84060004E+01
        940.0000          4.06811993E+01          3.41483343E+01          1.85647982E+01
        950.0000          4.09801697E+01          3.44745644E+01          1.87234574E+01
        960.0000          4.12788759E+01          3.48006651E+01          1.88819795E+01
        970.0000          4.15773187E+01          3.51266379E+01          1.90403662E+01
        980.0000          4.18754992E+01          3.54524843E+01          1.91986188E+01
        990.0000          4.21734183E+01          3.57782056E+01          1.93567389E+01
       1000.0000          4.24710771E+01          3.61038034E+01          1.95147280E+01
       1100.0000          4.54336243E+01          3.93532714E+01          2.10877133E+01
       1200.0000          4.83715950E+01          4.25917263E+01          2.26490162E+01
       1300.0000          5.12864332E+01          4.58201819E+01          2.41997283E+01
       1400.0000          5.41795823E+01          4.90394821E+01          2.57407744E+01
       1500.0000          5.70524180E+01          5.22503380E+01          2.72729457E+01
       1600.0000          5.99062210E+01          5.54533549E+01          2.87969240E+01
       1700.0000          6.27421688E+01          5.86490528E+01          3.03133021E+01
       1800.0000          6.55613372E+01          6.18378825E+01          3.18225989E+01
       1900.0000          6.83647066E+01          6.50202373E+01          3.33252713E+01
