#Energy      C-K-shell   Valence  Total
         88.0000          1.00000000E+30          6.57560402E+00          6.57560402E+00
         89.0000          1.00000000E+30          6.61266869E+00          6.61266869E+00
         90.0000          1.00000000E+30          6.64990158E+00          6.64990158E+00
         91.0000          1.00000000E+30          6.68729318E+00          6.68729318E+00
         92.0000          1.00000000E+30          6.72483455E+00          6.72483455E+00
         93.0000          1.00000000E+30          6.76251724E+00          6.76251724E+00
         94.0000          1.00000000E+30          6.80033332E+00          6.80033332E+00
         95.0000          1.00000000E+30          6.83827528E+00          6.83827528E+00
         96.0000          1.00000000E+30          6.87633606E+00          6.87633606E+00
         97.0000          1.00000000E+30          6.91450896E+00          6.91450896E+00
         98.0000          1.00000000E+30          6.95278768E+00          6.95278768E+00
         99.0000          1.00000000E+30          6.99116625E+00          6.99116625E+00
        100.0000          1.00000000E+30          7.02963902E+00          7.02963902E+00
        110.0000          1.00000000E+30          7.41850001E+00          7.41850001E+00
        120.0000          1.00000000E+30          7.81234327E+00          7.81234327E+00
        130.0000          1.00000000E+30          8.20868050E+00          8.20868050E+00
        140.0000          1.00000000E+30          8.60596511E+00          8.60596511E+00
        150.0000          1.00000000E+30          9.00049796E+00          9.00049796E+00
        160.0000          1.00000000E+30          9.39434125E+00          9.39434125E+00
        170.0000          1.00000000E+30          9.79053041E+00          9.79053041E+00
        180.0000          1.00000000E+30          1.01885662E+01          1.01885662E+01
        190.0000          1.00000000E+30          1.05784087E+01          1.05784087E+01
        200.0000          1.00000000E+30          1.09701718E+01          1.09701718E+01
        210.0000          1.00000000E+30          1.13590480E+01          1.13590480E+01
        220.0000          1.00000000E+30          1.17452329E+01          1.17452329E+01
        230.0000          1.00000000E+30          1.21330886E+01          1.21330886E+01
        240.0000          1.00000000E+30          1.25183293E+01          1.25183293E+01
        250.0000          1.00000000E+30          1.29011061E+01          1.29011061E+01
        260.0000          1.00000000E+30          1.32815569E+01          1.32815569E+01
        270.0000          1.00000000E+30          1.36598081E+01          1.36598081E+01
        280.0000          1.00000000E+30          1.40359756E+01          1.40359756E+01
        287.9990          1.00000000E+30          1.43361668E+01          1.43361668E+01
        288.0010          6.86746929E+11          1.43362444E+01          1.43362444E+01
        290.0000          3.18506851E+07          1.44137856E+01          1.44137791E+01
        300.0000          2.13598070E+06          1.47859981E+01          1.47858957E+01
        310.0000          8.43043972E+05          1.51598889E+01          1.51596163E+01
        320.0000          4.72369933E+05          1.55319236E+01          1.55314129E+01
        330.0000          3.09868437E+05          1.59021814E+01          1.59013654E+01
        340.0000          2.22526691E+05          1.62707363E+01          1.62695467E+01
        350.0000          1.69539442E+05          1.66376574E+01          1.66360249E+01
        360.0000          1.34684030E+05          1.70030095E+01          1.70008633E+01
        370.0000          1.10383788E+05          1.73668532E+01          1.73641213E+01
        380.0000          9.26853689E+04          1.77323522E+01          1.77289604E+01
        390.0000          7.93440640E+04          1.80932894E+01          1.80891644E+01
        400.0000          6.90081604E+04          1.84528791E+01          1.84479461E+01
        410.0000          6.08167352E+04          1.88141401E+01          1.88083216E+01
        420.0000          5.42005004E+04          1.91711178E+01          1.91643393E+01
        430.0000          4.87711090E+04          1.95297747E+01          1.95219574E+01
        440.0000          4.42533325E+04          1.98871792E+01          1.98782460E+01
        450.0000          4.04493662E+04          2.02433685E+01          2.02332425E+01
        460.0000          3.72125180E+04          2.05955583E+01          2.05841658E+01
        470.0000          3.44331925E+04          2.09494482E+01          2.09367101E+01
        480.0000          3.20270897E+04          2.13022257E+01          2.12880663E+01
        490.0000          2.99290410E+04          2.16539216E+01          2.16382662E+01
        500.0000          2.80876667E+04          2.20045656E+01          2.19873401E+01
        510.0000          2.64621553E+04          2.23541856E+01          2.23353176E+01
        520.0000          2.50195938E+04          2.27028088E+01          2.26822269E+01
        530.0000          2.37333211E+04          2.30504608E+01          2.30280953E+01
        540.0000          2.25814249E+04          2.33971664E+01          2.33729491E+01
        550.0000          2.15457738E+04          2.37429491E+01          2.37168137E+01
        560.0000          2.06112660E+04          2.40903896E+01          2.40622657E+01
        570.0000          1.97652586E+04          2.44343659E+01          2.44041967E+01
        580.0000          1.89970201E+04          2.47774847E+01          2.47452099E+01
        590.0000          1.82974171E+04          2.51197662E+01          2.50853276E+01
        600.0000          1.76587056E+04          2.54637061E+01          2.54270405E+01
        610.0000          1.70741664E+04          2.58043401E+01          2.57654006E+01
        620.0000          1.65380143E+04          2.61441930E+01          2.61029281E+01
        630.0000          1.60452292E+04          2.64857024E+01          2.64420548E+01
        640.0000          1.55914334E+04          2.68240121E+01          2.67779424E+01
        650.0000          1.51727808E+04          2.71639847E+01          2.71154396E+01
        660.0000          1.47859108E+04          2.75008156E+01          2.74497608E+01
        670.0000          1.44278474E+04          2.78393103E+01          2.77856963E+01
        680.0000          1.40959607E+04          2.81747224E+01          2.81185197E+01
        690.0000          1.37879047E+04          2.85117955E+01          2.84529581E+01
        700.0000          1.35016141E+04          2.88458438E+01          2.87843468E+01
        710.0000          1.32352178E+04          2.91815488E+01          2.91173497E+01
        720.0000          1.29870635E+04          2.95142843E+01          2.94473625E+01
        730.0000          1.27556553E+04          2.98486710E+01          2.97789871E+01
        740.0000          1.25396432E+04          3.01824096E+01          3.01099362E+01
        750.0000          1.23378297E+04          3.05132557E+01          3.04379782E+01
        760.0000          1.21491090E+04          3.08457474E+01          3.07676306E+01
        770.0000          1.19724956E+04          3.11776223E+01          3.10966434E+01
        780.0000          1.18070903E+04          3.15066772E+01          3.14228268E+01
        790.0000          1.16520747E+04          3.18373697E+01          3.17506164E+01
        800.0000          1.15067057E+04          3.21674757E+01          3.20778008E+01
        810.0000          1.13703030E+04          3.24948257E+01          3.24022244E+01
        820.0000          1.12422491E+04          3.28238070E+01          3.27282508E+01
        830.0000          1.11219790E+04          3.31522315E+01          3.30537055E+01
        840.0000          1.10089661E+04          3.34801059E+01          3.33785960E+01
        850.0000          1.09027383E+04          3.38074406E+01          3.37029338E+01
        860.0000          1.08028565E+04          3.41321232E+01          3.40246209E+01
        870.0000          1.07089188E+04          3.44584206E+01          3.43478983E+01
        880.0000          1.06205498E+04          3.47842021E+01          3.46706495E+01
        890.0000          1.05374091E+04          3.51094745E+01          3.49928821E+01
        900.0000          1.04591798E+04          3.54342458E+01          3.53146048E+01
        910.0000          1.03855679E+04          3.57585247E+01          3.56358270E+01
        920.0000          1.03163006E+04          3.60823197E+01          3.59565579E+01
        930.0000          1.02511322E+04          3.64056379E+01          3.62768053E+01
        940.0000          1.01898223E+04          3.67284859E+01          3.65965761E+01
        950.0000          1.01321560E+04          3.70488329E+01          3.69138552E+01
        960.0000          1.00779346E+04          3.73707650E+01          3.72326996E+01
        970.0000          1.00269654E+04          3.76922439E+01          3.75510861E+01
        980.0000          9.97907510E+03          3.80132757E+01          3.78690213E+01
        990.0000          9.93410251E+03          3.83338664E+01          3.81865117E+01
       1000.0000          9.89189195E+03          3.86540220E+01          3.85035636E+01
       1100.0000          9.59444275E+03          4.18347341E+01          4.16531137E+01
       1200.0000          9.46080982E+03          4.49772557E+01          4.47644428E+01
       1300.0000          9.43277318E+03          4.80874449E+01          4.78435427E+01
       1400.0000          9.47608676E+03          5.11667007E+01          5.08919068E+01
       1500.0000          9.56946706E+03          5.42212952E+01          5.39158044E+01
       1600.0000          9.69907021E+03          5.72481865E+01          5.69122652E+01
       1700.0000          9.85554424E+03          6.02529567E+01          5.98868319E+01
       1800.0000          1.00323693E+04          6.32355339E+01          6.28394474E+01
       1900.0000          1.02248743E+04          6.61991828E+01          6.57733446E+01
       2000.0000          1.04296363E+04          6.91435385E+01          6.86881686E+01
       2100.0000          1.06440943E+04          7.20697641E+01          7.15850710E+01
       2200.0000          1.08663003E+04          7.49788248E+01          7.44650070E+01
       2300.0000          1.10947485E+04          7.78734359E+01          7.73306562E+01
       2400.0000          1.13282600E+04          8.07514472E+01          8.01798993E+01
       2500.0000          1.15659002E+04          8.36163284E+01          8.30161584E+01
       2600.0000          1.18069207E+04          8.64675956E+01          8.58389568E+01
       2700.0000          1.20507164E+04          8.93058471E+01          8.86488850E+01
       2800.0000          1.22967933E+04          9.21329570E+01          9.14477902E+01
       2900.0000          1.25447459E+04          9.49465225E+01          9.42333056E+01
       3000.0000          1.27942384E+04          9.77505053E+01          9.70093349E+01
       3100.0000          1.30449912E+04          1.00543079E+02          9.97740792E+01
       3200.0000          1.32967704E+04          1.03323917E+02          1.02527219E+02
       3300.0000          1.35384395E+04          1.06095793E+02          1.05270824E+02
       3400.0000          1.37881867E+04          1.08858121E+02          1.08005416E+02
       3500.0000          1.40531009E+04          1.11611076E+02          1.10731635E+02
       3600.0000          1.43015175E+04          1.14356675E+02          1.13449519E+02
       3700.0000          1.45645061E+04          1.17091356E+02          1.16157507E+02
       3800.0000          1.48116900E+04          1.19818811E+02          1.18857318E+02
       3900.0000          1.50728736E+04          1.22537906E+02          1.21549743E+02
       4000.0000          1.53189214E+04          1.25248234E+02          1.24232504E+02
       4100.0000          1.55784173E+04          1.27952179E+02          1.26909814E+02
       4200.0000          1.58370170E+04          1.30648177E+02          1.29579207E+02
       4300.0000          1.60813393E+04          1.33337459E+02          1.32240990E+02
       4400.0000          1.63384177E+04          1.36017855E+02          1.34894851E+02
       4500.0000          1.65946823E+04          1.38694293E+02          1.37544728E+02
       4600.0000          1.68501590E+04          1.41361944E+02          1.40185875E+02
       4700.0000          1.71048728E+04          1.44024909E+02          1.42822329E+02
       4800.0000          1.73588480E+04          1.46680784E+02          1.45451730E+02
       4900.0000          1.76121078E+04          1.49329754E+02          1.48074260E+02
       5000.0000          1.78646746E+04          1.51973224E+02          1.50691306E+02
       5100.0000          1.81165699E+04          1.54611058E+02          1.53302737E+02
       5200.0000          1.83678143E+04          1.57243471E+02          1.55908765E+02
       5300.0000          1.86300387E+04          1.59870987E+02          1.58510750E+02
       5400.0000          1.88798692E+04          1.62492117E+02          1.61105541E+02
       5500.0000          1.91291079E+04          1.65107176E+02          1.63694298E+02
       5600.0000          1.93777723E+04          1.67717965E+02          1.66278793E+02
       5700.0000          1.96369645E+04          1.70323987E+02          1.68859361E+02
       5800.0000          1.98843638E+04          1.72924013E+02          1.71433148E+02
       5900.0000          2.01312392E+04          1.75520726E+02          1.74003619E+02
       6000.0000          2.03883385E+04          1.78112109E+02          1.76569601E+02
       6100.0000          2.06340472E+04          1.80697384E+02          1.79128710E+02
       6200.0000          2.08898227E+04          1.83280086E+02          1.81686035E+02
       6300.0000          2.11344250E+04          1.85858160E+02          1.84237954E+02
       6400.0000          2.13889345E+04          1.88430762E+02          1.86785234E+02
       6500.0000          2.16324865E+04          1.90997712E+02          1.89326113E+02
       6600.0000          2.18857842E+04          1.93561794E+02          1.91864907E+02
       6700.0000          2.21283384E+04          1.96121663E+02          1.94398723E+02
       6800.0000          2.23804752E+04          1.98678041E+02          1.96929837E+02
       6900.0000          2.26220805E+04          2.01230073E+02          1.99455854E+02
       7000.0000          2.28731043E+04          2.03779685E+02          2.01980215E+02
       7100.0000          2.31235729E+04          2.06325571E+02          2.04500863E+02
       7200.0000          2.33637619E+04          2.08865402E+02          2.07014749E+02
       7300.0000          2.36131835E+04          2.11402459E+02          2.09526624E+02
       7400.0000          2.38620807E+04          2.13932545E+02          2.12031602E+02
       7500.0000          2.41009487E+04          2.16465156E+02          2.14538258E+02
       7600.0000          2.43488593E+04          2.18989938E+02          2.17037932E+02
       7700.0000          2.45962736E+04          2.21510167E+02          2.19533086E+02
       7800.0000          2.48339072E+04          2.24032632E+02          2.22029649E+02
       7900.0000          2.50803902E+04          2.26547300E+02          2.24519252E+02
       8000.0000          2.53264030E+04          2.29060065E+02          2.27006942E+02
       8100.0000          2.55719534E+04          2.31567658E+02          2.29489508E+02
       8200.0000          2.58170494E+04          2.34074908E+02          2.31971695E+02
       8300.0000          2.60526990E+04          2.36575779E+02          2.34446846E+02
       8400.0000          2.62969459E+04          2.39076189E+02          2.36922233E+02
       8500.0000          2.65407609E+04          2.41568415E+02          2.39389542E+02
       8600.0000          2.67841512E+04          2.44064462E+02          2.41860563E+02
       8700.0000          2.70271236E+04          2.46555959E+02          2.44327076E+02
       8800.0000          2.72696848E+04          2.49038424E+02          2.46784681E+02
       8900.0000          2.75118412E+04          2.51526215E+02          2.49247477E+02
       9000.0000          2.77535994E+04          2.54006641E+02          2.51703003E+02
       9100.0000          2.79863800E+04          2.56487016E+02          2.54157735E+02
       9200.0000          2.82273997E+04          2.58958295E+02          2.56604207E+02
       9300.0000          2.84680396E+04          2.61431088E+02          2.59052130E+02
       9400.0000          2.87083055E+04          2.63903210E+02          2.61499358E+02
       9500.0000          2.89482030E+04          2.66370861E+02          2.63942161E+02
       9600.0000          2.91877377E+04          2.68835643E+02          2.66382112E+02
       9700.0000          2.94269149E+04          2.71298074E+02          2.68819721E+02
       9800.0000          2.96657400E+04          2.73757873E+02          2.71254713E+02
       9900.0000          2.99042181E+04          2.76214915E+02          2.73686963E+02
      10000.0000          3.01423541E+04          2.78669150E+02          2.76116425E+02
      11000.0000          3.25137380E+04          3.03072090E+02          3.00273137E+02
      12000.0000          3.48549516E+04          3.27256530E+02          3.24212468E+02
      13000.0000          3.71840095E+04          3.51235236E+02          3.47948560E+02
      14000.0000          3.94811712E+04          3.75029084E+02          3.71500227E+02
      15000.0000          4.17632081E+04          3.98655631E+02          3.94886199E+02
      16000.0000          4.40315196E+04          4.22125129E+02          4.18116692E+02
      17000.0000          4.62808352E+04          4.45448680E+02          4.41202151E+02
      18000.0000          4.85126644E+04          4.68632640E+02          4.64148958E+02
      19000.0000          5.07345305E+04          4.91699184E+02          4.86979569E+02
      20000.0000          5.29410947E+04          5.14655688E+02          5.09700740E+02
      21000.0000          5.51333556E+04          5.37481030E+02          5.32291852E+02
      22000.0000          5.73181142E+04          5.60219709E+02          5.54797194E+02
      23000.0000          5.94842975E+04          5.82863809E+02          5.77207970E+02
      24000.0000          6.16442896E+04          6.05391691E+02          5.99504125E+02
      25000.0000          6.37929045E+04          6.27853650E+02          6.21734501E+02
      26000.0000          6.59307135E+04          6.50210268E+02          6.43860500E+02
      27000.0000          6.80582565E+04          6.72516165E+02          6.65935735E+02
      28000.0000          7.01815328E+04          6.94715703E+02          6.87906230E+02
      29000.0000          7.22898590E+04          7.16836994E+02          7.09798527E+02
      30000.0000          7.43947144E+04          7.38934762E+02          7.31667384E+02
      31000.0000          7.64908579E+04          7.60907170E+02          7.53412458E+02
      32000.0000          7.85734639E+04          7.82846771E+02          7.75124019E+02
      33000.0000          8.06534573E+04          8.04698157E+02          7.96748811E+02
      34000.0000          8.27257906E+04          8.26507107E+02          8.18331222E+02
      35000.0000          8.47907533E+04          8.48272464E+02          8.39870148E+02
      36000.0000          8.68535961E+04          8.69946528E+02          8.61319346E+02
      37000.0000          8.89046863E+04          8.91571097E+02          8.82718846E+02
      38000.0000          9.09491207E+04          9.13180349E+02          9.04102649E+02
      39000.0000          9.29918832E+04          9.34713053E+02          9.25411231E+02
      40000.0000          9.50238589E+04          9.56186279E+02          9.46660422E+02
      41000.0000          9.70543330E+04          9.77635620E+02          9.67886031E+02
      42000.0000          9.90745403E+04          9.99000799E+02          9.89028107E+02
      43000.0000          1.01093446E+05          1.02034695E+03          1.01015138E+03
      44000.0000          1.03107079E+05          1.04165930E+03          1.03124099E+03
      45000.0000          1.05110869E+05          1.06287352E+03          1.05223341E+03
      46000.0000          1.07113717E+05          1.08408716E+03          1.07322516E+03
      47000.0000          1.09111664E+05          1.10525255E+03          1.09416911E+03
      48000.0000          1.11104718E+05          1.12639481E+03          1.11508987E+03
      49000.0000          1.13092962E+05          1.14749438E+03          1.13596831E+03
      50000.0000          1.15076542E+05          1.16855343E+03          1.15680655E+03
