#Energy      Mg   Si   O  Total
          0.1000          8.69536273E+02          2.88733037E+03          1.17664296E+02          1.00048686E+02
          0.2000          4.47026590E+02          1.47376020E+03          6.24524740E+01          5.28325770E+01
          0.3000          3.04402898E+02          9.98124639E+02          4.35505014E+01          3.66988007E+01
          0.4000          2.32402447E+02          7.58592115E+02          3.39084998E+01          2.84800946E+01
          0.5000          1.88852819E+02          6.14001650E+02          2.80268830E+01          2.34720747E+01
          0.6000          1.59614557E+02          5.17095870E+02          2.40494967E+01          2.00884366E+01
          0.7000          1.38597896E+02          4.47547074E+02          2.11724497E+01          1.76426869E+01
          0.8000          1.22744586E+02          3.95158192E+02          1.89900560E+01          1.57886169E+01
          0.9000          1.10348825E+02          3.54247340E+02          1.72750390E+01          1.43323872E+01
          1.0000          1.00383362E+02          3.21396021E+02          1.58899793E+01          1.31568594E+01
          2.0000          5.47418967E+01          1.71553047E+02          9.45068460E+00          7.69769104E+00
          3.0000          3.90434335E+01          1.20365432E+02          7.18759435E+00          5.77870529E+00
          4.0000          3.10287847E+01          9.43357449E+01          6.02331691E+00          4.78812414E+00
          5.0000          2.61476751E+01          7.85192834E+01          5.31503347E+00          4.18190251E+00
          6.0000          2.28584270E+01          6.78723172E+01          4.84158094E+00          3.77322617E+00
          7.0000          2.04913116E+01          6.02107425E+01          4.50569476E+00          3.48006617E+00
          8.0000          1.87074967E+01          5.44325826E+01          4.25765506E+00          3.26054784E+00
          9.0000          1.73167538E+01          4.99206485E+01          4.06929717E+00          3.09097974E+00
         10.0000          1.62038537E+01          4.63018870E+01          3.92342557E+00          2.95691407E+00
         11.0000          1.52948255E+01          4.33372857E+01          3.80892376E+00          2.84902102E+00
         12.0000          1.45399554E+01          4.08664970E+01          3.71827317E+00          2.76099727E+00
         13.0000          1.39045667E+01          3.87778572E+01          3.64619914E+00          2.68842551E+00
         14.0000          1.33637154E+01          3.69911655E+01          3.58888746E+00          2.62811500E+00
         15.0000          1.28989879E+01          3.54473017E+01          3.54350895E+00          2.57770160E+00
         16.0000          1.24964879E+01          3.41017072E+01          3.50791895E+00          2.53539520E+00
         17.0000          1.21455260E+01          3.29201487E+01          3.48046099E+00          2.49981476E+00
         18.0000          1.18377414E+01          3.18758818E+01          3.45983455E+00          2.46987727E+00
         19.0000          1.15664986E+01          3.09477033E+01          3.44500381E+00          2.44472117E+00
         20.0000          1.13264622E+01          3.01185821E+01          3.43513320E+00          2.42365228E+00
         21.0000          1.11132922E+01          2.93746778E+01          3.42954095E+00          2.40610491E+00
         22.0000          1.09234213E+01          2.87046246E+01          3.42766510E+00          2.39161334E+00
         23.0000          1.07538895E+01          2.80989999E+01          3.42903813E+00          2.37979062E+00
         24.0000          1.06022199E+01          2.75499249E+01          3.43326784E+00          2.37031249E+00
         25.0000          1.04663234E+01          2.70507597E+01          3.44002268E+00          2.36290523E+00
         26.0000          1.03444253E+01          2.65958682E+01          3.44902041E+00          2.35733609E+00
         27.0000          1.02350083E+01          2.61804347E+01          3.46001923E+00          2.35340590E+00
         28.0000          1.01367673E+01          2.58003196E+01          3.47281076E+00          2.35094325E+00
         29.0000          1.00485732E+01          2.54519439E+01          3.48721442E+00          2.34979975E+00
         30.0000          9.96944420E+00          2.51321976E+01          3.50307294E+00          2.34984632E+00
         31.0000          9.89852253E+00          2.48383649E+01          3.52024869E+00          2.35097014E+00
         32.0000          9.83505531E+00          2.45680632E+01          3.53862073E+00          2.35307217E+00
         33.0000          9.77837895E+00          2.43191940E+01          3.55808230E+00          2.35606506E+00
         34.0000          9.72790629E+00          2.40899009E+01          3.57853883E+00          2.35987155E+00
         35.0000          9.68311583E+00          2.38785360E+01          3.59990624E+00          2.36442298E+00
         36.0000          9.64354279E+00          2.36836315E+01          3.62210951E+00          2.36965816E+00
         37.0000          9.60877160E+00          2.35038753E+01          3.64508150E+00          2.37552239E+00
         38.0000          9.57842948E+00          2.33380909E+01          3.66876196E+00          2.38196659E+00
         39.0000          9.55218114E+00          2.31852205E+01          3.69309661E+00          2.38894662E+00
         40.0000          9.52972410E+00          2.30443102E+01          3.71803647E+00          2.39642265E+00
         41.0000          9.51078480E+00          2.29144975E+01          3.74353724E+00          2.40435868E+00
         42.0000          9.49511520E+00          2.27950007E+01          3.76955869E+00          2.41272206E+00
         43.0000          9.48248987E+00          2.26851095E+01          3.79606426E+00          2.42148311E+00
         44.0000          9.47270350E+00          2.25841772E+01          3.82302063E+00          2.43061482E+00
         45.0000          9.46556863E+00          2.24916134E+01          3.85039739E+00          2.44009252E+00
         46.0000          9.46091383E+00          2.24068784E+01          3.87816668E+00          2.44989365E+00
         47.0000          9.45858195E+00          2.23294776E+01          3.90630300E+00          2.45999754E+00
         48.0000          9.45842870E+00          2.22589568E+01          3.93478290E+00          2.47038521E+00
         49.0000          9.46032137E+00          2.21948985E+01          3.96358482E+00          2.48103920E+00
         50.0000          9.46413764E+00          2.21369179E+01          3.99268889E+00          2.49194343E+00
         51.0000          9.46976466E+00          2.20846600E+01          4.02207677E+00          2.50308305E+00
         52.0000          9.47709806E+00          2.20377967E+01          4.05173150E+00          2.51444434E+00
         53.0000          9.48604124E+00          2.19960240E+01          4.08163740E+00          2.52601461E+00
         53.9990          9.49649344E+00          2.19590952E+01          4.11174966E+00          2.53777020E+00
         54.0000          9.49650463E+00          2.19590605E+01          4.11177992E+00          2.53778206E+00
         54.0010          9.49651583E+00          2.19590259E+01          4.11181018E+00          2.53779393E+00
         55.0000          9.50840508E+00          2.19266447E+01          4.14214555E+00          2.54973578E+00
         56.0000          9.52166525E+00          2.18985335E+01          4.17272172E+00          2.56186560E+00
         57.0000          9.53621317E+00          2.18745007E+01          4.20349677E+00          2.57416206E+00
         58.0000          9.55198176E+00          2.18543355E+01          4.23445981E+00          2.58661634E+00
         59.0000          9.56890839E+00          2.18378410E+01          4.26560067E+00          2.59922021E+00
         60.0000          9.58693458E+00          2.18248334E+01          4.29690987E+00          2.61196599E+00
         61.0000          9.60600561E+00          2.18151409E+01          4.32837855E+00          2.62484648E+00
         62.0000          9.62607025E+00          2.18086023E+01          4.35999840E+00          2.63785496E+00
         63.0000          9.64708047E+00          2.18050668E+01          4.39176166E+00          2.65098511E+00
         64.0000          9.66899122E+00          2.18043929E+01          4.42366102E+00          2.66423101E+00
         65.0000          9.69176016E+00          2.18064474E+01          4.45568965E+00          2.67758710E+00
         66.0000          9.71534752E+00          2.18111054E+01          4.48784111E+00          2.69104816E+00
         67.0000          9.73971585E+00          2.18182493E+01          4.52010936E+00          2.70460926E+00
         68.0000          9.76482989E+00          2.18277681E+01          4.55248871E+00          2.71826577E+00
         69.0000          9.79065640E+00          2.18395576E+01          4.58497379E+00          2.73201332E+00
         70.0000          9.81716403E+00          2.18535190E+01          4.61755956E+00          2.74584780E+00
         71.0000          9.84432317E+00          2.18695594E+01          4.65024125E+00          2.75976531E+00
         72.0000          9.87210582E+00          2.18875908E+01          4.68301435E+00          2.77376218E+00
         73.0000          9.90048555E+00          2.19075301E+01          4.71587462E+00          2.78783493E+00
         74.0000          9.92943731E+00          2.19292984E+01          4.74881804E+00          2.80198027E+00
         75.0000          9.95893737E+00          2.19528213E+01          4.78184079E+00          2.81619508E+00
         76.0000          9.98896328E+00          2.19780280E+01          4.81493929E+00          2.83047641E+00
         77.0000          1.00194937E+01          2.20048516E+01          4.84811012E+00          2.84482147E+00
         78.0000          1.00505084E+01          2.20332285E+01          4.88135004E+00          2.85922758E+00
         79.0000          1.00819882E+01          2.20630981E+01          4.91465599E+00          2.87369224E+00
         80.0000          1.01139149E+01          2.20944031E+01          4.94802506E+00          2.88821303E+00
         81.0000          1.01462710E+01          2.21270889E+01          4.98145448E+00          2.90278768E+00
         82.0000          1.01790401E+01          2.21611035E+01          5.01494162E+00          2.91741402E+00
         83.0000          1.02122064E+01          2.21963974E+01          5.04848399E+00          2.93208998E+00
         84.0000          1.02457550E+01          2.22329236E+01          5.08207921E+00          2.94681360E+00
