#Energy      Co  Total
          0.1000          3.53761818E+03          3.53761818E+03
          0.2000          1.77884134E+03          1.77884134E+03
          0.3000          1.19105666E+03          1.19105666E+03
          0.4000          8.96574206E+02          8.96574206E+02
          0.5000          7.19584149E+02          7.19584149E+02
          0.6000          6.01413506E+02          6.01413506E+02
          0.7000          5.16891192E+02          5.16891192E+02
          0.8000          4.53420289E+02          4.53420289E+02
          0.9000          4.03996735E+02          4.03996735E+02
          1.0000          3.64414886E+02          3.64414886E+02
          2.0000          1.85582033E+02          1.85582033E+02
          3.0000          1.25518674E+02          1.25518674E+02
          4.0000          9.53189644E+01          9.53189644E+01
          5.0000          7.71171143E+01          7.71171143E+01
          6.0000          6.49363141E+01          6.49363141E+01
          7.0000          5.62072391E+01          5.62072391E+01
          8.0000          4.96417572E+01          4.96417572E+01
          9.0000          4.45224910E+01          4.45224910E+01
         10.0000          4.04180478E+01          4.04180478E+01
         11.0000          3.70533329E+01          3.70533329E+01
         12.0000          3.42445920E+01          3.42445920E+01
         13.0000          3.18643768E+01          3.18643768E+01
         14.0000          2.98214945E+01          2.98214945E+01
         15.0000          2.80489598E+01          2.80489598E+01
         16.0000          2.64964547E+01          2.64964547E+01
         17.0000          2.51254426E+01          2.51254426E+01
         18.0000          2.39059072E+01          2.39059072E+01
         19.0000          2.28141188E+01          2.28141188E+01
         20.0000          2.18310681E+01          2.18310681E+01
         21.0000          2.09413468E+01          2.09413468E+01
         22.0000          2.01323324E+01          2.01323324E+01
         23.0000          1.93935854E+01          1.93935854E+01
         24.0000          1.87163956E+01          1.87163956E+01
         25.0000          1.80934387E+01          1.80934387E+01
         26.0000          1.75185100E+01          1.75185100E+01
         27.0000          1.69863187E+01          1.69863187E+01
         28.0000          1.64923251E+01          1.64923251E+01
         29.0000          1.60326117E+01          1.60326117E+01
         30.0000          1.56037801E+01          1.56037801E+01
         31.0000          1.52028674E+01          1.52028674E+01
         32.0000          1.48272789E+01          1.48272789E+01
         33.0000          1.44747324E+01          1.44747324E+01
         34.0000          1.41432121E+01          1.41432121E+01
         35.0000          1.38309313E+01          1.38309313E+01
         36.0000          1.35363006E+01          1.35363006E+01
         37.0000          1.32579009E+01          1.32579009E+01
         38.0000          1.29944619E+01          1.29944619E+01
         39.0000          1.27448424E+01          1.27448424E+01
         40.0000          1.25080146E+01          1.25080146E+01
         41.0000          1.22830504E+01          1.22830504E+01
         42.0000          1.20691094E+01          1.20691094E+01
         43.0000          1.18654289E+01          1.18654289E+01
         44.0000          1.16713148E+01          1.16713148E+01
         45.0000          1.14861347E+01          1.14861347E+01
         46.0000          1.13093104E+01          1.13093104E+01
         47.0000          1.11403129E+01          1.11403129E+01
         48.0000          1.09786567E+01          1.09786567E+01
         49.0000          1.08238958E+01          1.08238958E+01
         50.0000          1.06756197E+01          1.06756197E+01
         51.0000          1.05334496E+01          1.05334496E+01
         52.0000          1.03970359E+01          1.03970359E+01
         53.0000          1.02660552E+01          1.02660552E+01
         54.0000          1.01402076E+01          1.01402076E+01
         55.0000          1.00192153E+01          1.00192153E+01
         56.0000          9.90281974E+00          9.90281974E+00
         57.0000          9.79078071E+00          9.79078071E+00
         58.0000          9.68287432E+00          9.68287432E+00
         59.0000          9.57889177E+00          9.57889177E+00
         60.0000          9.47863809E+00          9.47863809E+00
         61.0000          9.38193100E+00          9.38193100E+00
         62.0000          9.28859991E+00          9.28859991E+00
         63.0000          9.19848497E+00          9.19848497E+00
         64.0000          9.11143626E+00          9.11143626E+00
         65.0000          9.02731304E+00          9.02731304E+00
         65.9990          8.94606299E+00          8.94606299E+00
         66.0000          8.94598301E+00          8.94598301E+00
         66.0010          8.94590304E+00          8.94590304E+00
         67.0000          8.86732174E+00          8.86732174E+00
         67.9990          8.79128693E+00          8.79128693E+00
         68.0000          8.79121206E+00          8.79121206E+00
         68.0010          8.79113719E+00          8.79113719E+00
         69.0000          8.71754354E+00          8.71754354E+00
         70.0000          8.64621204E+00          8.64621204E+00
         71.0000          8.57711922E+00          8.57711922E+00
         72.0000          8.51017220E+00          8.51017220E+00
         73.0000          8.44528312E+00          8.44528312E+00
         74.0000          8.38236887E+00          8.38236887E+00
         75.0000          8.32135072E+00          8.32135072E+00
         76.0000          8.26215407E+00          8.26215407E+00
         77.0000          8.20470817E+00          8.20470817E+00
         78.0000          8.14894587E+00          8.14894587E+00
         79.0000          8.09480341E+00          8.09480341E+00
         80.0000          8.04222018E+00          8.04222018E+00
         81.0000          7.99113855E+00          7.99113855E+00
         82.0000          7.94150371E+00          7.94150371E+00
         83.0000          7.89326343E+00          7.89326343E+00
         84.0000          7.84636798E+00          7.84636798E+00
         85.0000          7.80076996E+00          7.80076996E+00
         86.0000          7.75642416E+00          7.75642416E+00
         87.0000          7.71328741E+00          7.71328741E+00
         88.0000          7.67131852E+00          7.67131852E+00
         89.0000          7.63047814E+00          7.63047814E+00
         90.0000          7.59072864E+00          7.59072864E+00
         91.0000          7.55203405E+00          7.55203405E+00
         92.0000          7.51435995E+00          7.51435995E+00
         93.0000          7.47767339E+00          7.47767339E+00
         94.0000          7.44194282E+00          7.44194282E+00
