#Energy      Al   Cu  Total
          0.1000          1.02976338E+03          1.48430974E+04          9.62956734E+02
          0.2000          5.27295296E+02          7.45805400E+03          4.92476490E+02
          0.3000          3.57982980E+02          4.99081188E+03          3.34023973E+02
          0.4000          2.72624002E+02          3.75503952E+03          2.54170661E+02
          0.5000          2.21051822E+02          3.01248011E+03          2.05940201E+02
          0.6000          1.86460682E+02          2.51679400E+03          1.73599302E+02
          0.7000          1.61617535E+02          2.16231406E+03          1.50377863E+02
          0.8000          1.42892227E+02          1.89616526E+03          1.32878685E+02
          0.9000          1.28261098E+02          1.68895156E+03          1.19208273E+02
          1.0000          1.16506110E+02          1.52302362E+03          1.08227106E+02
          2.0000          6.27890445E+01          7.73737795E+02          5.80761484E+01
          3.0000          4.43811648E+01          5.22320676E+02          4.09054609E+01
          4.0000          3.50029183E+01          3.95995542E+02          3.21602068E+01
          5.0000          2.92979084E+01          3.19898476E+02          2.68397861E+01
          6.0000          2.54552130E+01          2.68996235E+02          2.32546198E+01
          7.0000          2.26895122E+01          2.32531695E+02          2.06723837E+01
          8.0000          2.06040864E+01          2.05113629E+02          1.87232931E+01
          9.0000          1.89765008E+01          1.83740524E+02          1.72000956E+01
         10.0000          1.76721752E+01          1.66607943E+02          1.59774412E+01
         11.0000          1.66048082E+01          1.52565517E+02          1.49749735E+01
         12.0000          1.57164554E+01          1.40845026E+02          1.41387559E+01
         13.0000          1.49667348E+01          1.30913769E+02          1.34312099E+01
         14.0000          1.43266226E+01          1.22390668E+02          1.28253339E+01
         15.0000          1.37747097E+01          1.14995859E+02          1.23012160E+01
         16.0000          1.32948507E+01          1.08519157E+02          1.18438431E+01
         17.0000          1.28746343E+01          1.02799616E+02          1.14416775E+01
         18.0000          1.25043592E+01          9.77119010E+01          1.10857029E+01
         19.0000          1.21763303E+01          9.31569403E+01          1.07687691E+01
         20.0000          1.18843636E+01          8.90553845E+01          1.04851319E+01
         21.0000          1.16234315E+01          8.53429254E+01          1.02301218E+01
         22.0000          1.13894035E+01          8.19668898E+01          9.99990413E+00
         23.0000          1.11788541E+01          7.88837192E+01          9.79129903E+00
         24.0000          1.09889177E+01          7.60570773E+01          9.60164752E+00
         25.0000          1.08171786E+01          7.34564116E+01          9.42870857E+00
         26.0000          1.06615855E+01          7.10558451E+01          9.27057990E+00
         27.0000          1.05203853E+01          6.88333137E+01          9.12563612E+00
         28.0000          1.03920703E+01          6.67698882E+01          8.99248004E+00
         29.0000          1.02753368E+01          6.48492360E+01          8.86990388E+00
         30.0000          1.01690515E+01          6.30571896E+01          8.75685819E+00
         31.0000          1.00722246E+01          6.13813998E+01          8.65242666E+00
         32.0000          9.98398746E+00          5.98110518E+01          8.55580565E+00
         33.0000          9.90357477E+00          5.83366344E+01          8.46628736E+00
         34.0000          9.83030949E+00          5.69497485E+01          8.38324598E+00
         35.0000          9.76359043E+00          5.56429496E+01          8.30612612E+00
         36.0000          9.70288195E+00          5.44096154E+01          8.23443318E+00
         37.0000          9.64770517E+00          5.32438352E+01          8.16772528E+00
         38.0000          9.59763065E+00          5.21403166E+01          8.10560641E+00
         39.0000          9.55227219E+00          5.10943071E+01          8.04772065E+00
         40.0000          9.51128144E+00          5.01015263E+01          7.99374724E+00
         41.0000          9.47434342E+00          4.91581088E+01          7.94339631E+00
         42.0000          9.44117259E+00          4.82605553E+01          7.89640533E+00
         43.0000          9.41150945E+00          4.74056900E+01          7.85253592E+00
         44.0000          9.38511771E+00          4.65906237E+01          7.81157116E+00
         45.0000          9.36178165E+00          4.58127228E+01          7.77331327E+00
         46.0000          9.34130401E+00          4.50695811E+01          7.73758151E+00
         47.0000          9.32350399E+00          4.43589961E+01          7.70421043E+00
         48.0000          9.30821562E+00          4.36789473E+01          7.67304828E+00
         49.0000          9.29528622E+00          4.30275785E+01          7.64395566E+00
         50.0000          9.28457514E+00          4.24031810E+01          7.61680424E+00
         51.0000          9.27595255E+00          4.18041790E+01          7.59147577E+00
         52.0000          9.26929846E+00          4.12291175E+01          7.56786105E+00
         53.0000          9.26450177E+00          4.06766504E+01          7.54585914E+00
         54.0000          9.26145950E+00          4.01455308E+01          7.52537658E+00
         55.0000          9.26007602E+00          3.96346019E+01          7.50632671E+00
         56.0000          9.26026244E+00          3.91427889E+01          7.48862908E+00
         57.0000          9.26193600E+00          3.86690921E+01          7.47220893E+00
         58.0000          9.26501957E+00          3.82125801E+01          7.45699667E+00
         59.0000          9.26944118E+00          3.77723846E+01          7.44292747E+00
         60.0000          9.27513357E+00          3.73476946E+01          7.42994085E+00
         61.0000          9.28203384E+00          3.69377518E+01          7.41798036E+00
         62.0000          9.29008310E+00          3.65418469E+01          7.40699321E+00
         63.0000          9.29922614E+00          3.61593149E+01          7.39693001E+00
         64.0000          9.30941116E+00          3.57895326E+01          7.38774451E+00
         65.0000          9.32058949E+00          3.54319145E+01          7.37939334E+00
         66.0000          9.33271541E+00          3.50859105E+01          7.37183582E+00
         67.0000          9.34574587E+00          3.47510033E+01          7.36503374E+00
         68.0000          9.35964033E+00          3.44267056E+01          7.35895118E+00
         69.0000          9.37436057E+00          3.41125584E+01          7.35355435E+00
         70.0000          9.38987053E+00          3.38081285E+01          7.34881144E+00
         71.0000          9.40613618E+00          3.35130073E+01          7.34469248E+00
         72.0000          9.42312534E+00          3.32268084E+01          7.34116920E+00
         73.0000          9.44080758E+00          3.29491667E+01          7.33821494E+00
         74.0000          9.45915411E+00          3.26797367E+01          7.33580452E+00
         75.0000          9.47813765E+00          3.24181910E+01          7.33391413E+00
         76.0000          9.49773235E+00          3.21642197E+01          7.33252128E+00
         76.9990          9.51789324E+00          3.19177717E+01          7.33160537E+00
         77.0000          9.51791371E+00          3.19175285E+01          7.33160468E+00
         77.0010          9.51793417E+00          3.19172854E+01          7.33160399E+00
         78.0000          9.53865843E+00          3.16778384E+01          7.33114417E+00
