#Energy      Cu   Si  Total
       3400.0000          7.36661207E+01          1.16967507E+02          4.51994887E+01
       3500.0000          7.52276034E+01          1.20033540E+02          4.62449179E+01
       3600.0000          7.67824840E+01          1.23093932E+02          4.72865086E+01
       3700.0000          7.83309660E+01          1.26148842E+02          4.83243835E+01
       3800.0000          7.98732422E+01          1.29198419E+02          4.93586580E+01
       3900.0000          8.14094957E+01          1.32242803E+02          5.03894410E+01
       4000.0000          8.29399003E+01          1.35282123E+02          5.14168352E+01
       4100.0000          8.44646213E+01          1.38316506E+02          5.24409380E+01
       4200.0000          8.59838156E+01          1.41346065E+02          5.34618413E+01
       4300.0000          8.74976328E+01          1.44370913E+02          5.44796323E+01
       4400.0000          8.90062152E+01          1.47391152E+02          5.54943938E+01
       4500.0000          9.05096987E+01          1.50406881E+02          5.65062043E+01
       4600.0000          9.20082125E+01          1.53418193E+02          5.75151385E+01
       4700.0000          9.35018802E+01          1.56425177E+02          5.85212674E+01
       4800.0000          9.49908198E+01          1.59427916E+02          5.95246588E+01
       4900.0000          9.64751441E+01          1.62426491E+02          6.05253772E+01
       5000.0000          9.79549609E+01          1.65420978E+02          6.15234843E+01
       5100.0000          9.94303734E+01          1.68411449E+02          6.25190387E+01
       5200.0000          1.00901480E+02          1.71397973E+02          6.35120968E+01
       5300.0000          1.02368377E+02          1.74380617E+02          6.45027123E+01
       5400.0000          1.03831154E+02          1.77359443E+02          6.54909367E+01
       5500.0000          1.05289898E+02          1.80334512E+02          6.64768194E+01
       5600.0000          1.06744693E+02          1.83305881E+02          6.74604077E+01
       5700.0000          1.08195620E+02          1.86273606E+02          6.84417469E+01
       5800.0000          1.09642755E+02          1.89237739E+02          6.94208806E+01
       5900.0000          1.11086174E+02          1.92198332E+02          7.03978507E+01
       6000.0000          1.12525948E+02          1.95155433E+02          7.13726974E+01
       6100.0000          1.13962145E+02          1.98109090E+02          7.23454595E+01
       6200.0000          1.15394833E+02          2.01059347E+02          7.33161742E+01
       6300.0000          1.16824075E+02          2.04006248E+02          7.42848773E+01
       6400.0000          1.18249932E+02          2.06949834E+02          7.52516035E+01
       6500.0000          1.19672466E+02          2.09890146E+02          7.62163862E+01
       6600.0000          1.21091732E+02          2.12827223E+02          7.71792574E+01
       6700.0000          1.22507786E+02          2.15761101E+02          7.81402483E+01
       6800.0000          1.23920683E+02          2.18691817E+02          7.90993887E+01
       6900.0000          1.25330474E+02          2.21619407E+02          8.00567078E+01
       7000.0000          1.26737209E+02          2.24543902E+02          8.10122335E+01
       7100.0000          1.28140936E+02          2.27465337E+02          8.19659929E+01
       7200.0000          1.29541704E+02          2.30383742E+02          8.29180121E+01
       7300.0000          1.30939557E+02          2.33299148E+02          8.38683167E+01
       7400.0000          1.32334539E+02          2.36211585E+02          8.48169310E+01
       7500.0000          1.33726693E+02          2.39121081E+02          8.57638790E+01
       7600.0000          1.35116061E+02          2.42027663E+02          8.67091836E+01
       7700.0000          1.36502682E+02          2.44931358E+02          8.76528673E+01
       7800.0000          1.37886596E+02          2.47832193E+02          8.85949518E+01
       7900.0000          1.39267841E+02          2.50730193E+02          8.95354580E+01
       8000.0000          1.40646453E+02          2.53625381E+02          9.04744065E+01
       8100.0000          1.42022467E+02          2.56517783E+02          9.14118171E+01
       8200.0000          1.43395920E+02          2.59407420E+02          9.23477090E+01
       8300.0000          1.44766844E+02          2.62294316E+02          9.32821010E+01
       8400.0000          1.46135271E+02          2.65178492E+02          9.42150113E+01
       8500.0000          1.47501235E+02          2.68059969E+02          9.51464577E+01
       8600.0000          1.48864766E+02          2.70938769E+02          9.60764573E+01
       8700.0000          1.50225894E+02          2.73814910E+02          9.70050269E+01
       8800.0000          1.51584648E+02          2.76688414E+02          9.79321828E+01
       8900.0000          1.52941057E+02          2.79559298E+02          9.88579409E+01
       8985.9990          1.54105701E+02          2.82026149E+02          9.96529775E+01
       8986.0010          1.54105728E+02          2.82026206E+02          9.96529960E+01
       9000.0000          1.54295149E+02          2.82427581E+02          9.97823167E+01
       9100.0000          1.55646952E+02          2.85293282E+02          1.00705325E+02
       9200.0000          1.56996491E+02          2.88156418E+02          1.01626981E+02
       9300.0000          1.58343792E+02          2.91017006E+02          1.02547299E+02
       9400.0000          1.59688880E+02          2.93875063E+02          1.03466293E+02
       9500.0000          1.61031781E+02          2.96730605E+02          1.04383976E+02
       9600.0000          1.62372517E+02          2.99583649E+02          1.05300361E+02
       9700.0000          1.63711113E+02          3.02434210E+02          1.06215463E+02
       9800.0000          1.65047591E+02          3.05282302E+02          1.07129292E+02
       9900.0000          1.66381973E+02          3.08127942E+02          1.08041862E+02
      10000.0000          1.67714281E+02          3.10971143E+02          1.08953185E+02
      11000.0000          1.80927733E+02          3.39272022E+02          1.18000282E+02
      12000.0000          1.93954401E+02          3.67342923E+02          1.26934110E+02
      13000.0000          2.06809555E+02          3.95194220E+02          1.35763170E+02
      14000.0000          2.19505764E+02          4.22834562E+02          1.44494468E+02
      15000.0000          2.32053539E+02          4.50271289E+02          1.53133877E+02
      16000.0000          2.44461785E+02          4.77510727E+02          1.61686384E+02
      17000.0000          2.56738139E+02          5.04558404E+02          1.70156277E+02
      18000.0000          2.68889222E+02          5.31419206E+02          1.78547285E+02
      19000.0000          2.80920826E+02          5.58097501E+02          1.86862677E+02
