#Energy      C-K-shell   Valence  Total
         88.0000          1.00000000E+30          1.22475269E+01          1.22475269E+01
         89.0000          1.00000000E+30          1.23497922E+01          1.23497922E+01
         90.0000          1.00000000E+30          1.24477618E+01          1.24477618E+01
         91.0000          1.00000000E+30          1.25496938E+01          1.25496938E+01
         92.0000          1.00000000E+30          1.26514511E+01          1.26514511E+01
         93.0000          1.00000000E+30          1.27530363E+01          1.27530363E+01
         94.0000          1.00000000E+30          1.28544519E+01          1.28544519E+01
         95.0000          1.00000000E+30          1.29557004E+01          1.29557004E+01
         96.0000          1.00000000E+30          1.30567843E+01          1.30567843E+01
         97.0000          1.00000000E+30          1.31577060E+01          1.31577060E+01
         98.0000          1.00000000E+30          1.32584677E+01          1.32584677E+01
         99.0000          1.00000000E+30          1.33590719E+01          1.33590719E+01
        100.0000          1.00000000E+30          1.34595207E+01          1.34595207E+01
        110.0000          1.00000000E+30          1.44559214E+01          1.44559214E+01
        120.0000          1.00000000E+30          1.54457455E+01          1.54457455E+01
        130.0000          1.00000000E+30          1.64229897E+01          1.64229897E+01
        140.0000          1.00000000E+30          1.73889792E+01          1.73889792E+01
        150.0000          1.00000000E+30          1.83478407E+01          1.83478407E+01
        160.0000          1.00000000E+30          1.93001657E+01          1.93001657E+01
        170.0000          1.00000000E+30          2.02436292E+01          2.02436292E+01
        180.0000          1.00000000E+30          2.11789310E+01          2.11789310E+01
        190.0000          1.00000000E+30          2.21066837E+01          2.21066837E+01
        200.0000          1.00000000E+30          2.30300347E+01          2.30300347E+01
        210.0000          1.00000000E+30          2.39467012E+01          2.39467012E+01
        220.0000          1.00000000E+30          2.48596176E+01          2.48596176E+01
        230.0000          1.00000000E+30          2.57640777E+01          2.57640777E+01
        240.0000          1.00000000E+30          2.66654078E+01          2.66654078E+01
        250.0000          1.00000000E+30          2.75614040E+01          2.75614040E+01
        260.0000          1.00000000E+30          2.84523441E+01          2.84523441E+01
        270.0000          1.00000000E+30          2.93384830E+01          2.93384830E+01
        280.0000          1.00000000E+30          3.02200542E+01          3.02200542E+01
        287.9990          1.00000000E+30          3.09247638E+01          3.09247638E+01
        288.0010          4.81222908E+12          3.09249408E+01          3.09249408E+01
        290.0000          2.23186718E+08          3.10995030E+01          3.10994986E+01
        300.0000          1.49674181E+07          3.19725228E+01          3.19724545E+01
        310.0000          5.90744646E+06          3.28437368E+01          3.28435542E+01
        320.0000          3.31002911E+06          3.37110768E+01          3.37107335E+01
        330.0000          2.17133538E+06          3.45747001E+01          3.45741496E+01
        340.0000          1.55930718E+06          3.54347559E+01          3.54339507E+01
        350.0000          1.18801060E+06          3.62913813E+01          3.62902727E+01
        360.0000          9.43768916E+05          3.71447036E+01          3.71432417E+01
        370.0000          7.73490279E+05          3.79948377E+01          3.79929714E+01
        380.0000          6.49472474E+05          3.88438747E+01          3.88415516E+01
        390.0000          5.55986195E+05          3.96879419E+01          3.96851091E+01
        400.0000          4.83559608E+05          4.05310863E+01          4.05276893E+01
        410.0000          4.26159985E+05          4.13694650E+01          4.13654494E+01
        420.0000          3.79798166E+05          4.22070795E+01          4.22023895E+01
        430.0000          3.41752891E+05          4.30401420E+01          4.30347222E+01
        440.0000          3.10095560E+05          4.38725365E+01          4.38663302E+01
        450.0000          2.83440097E+05          4.47024622E+01          4.46954131E+01
        460.0000          2.60758590E+05          4.55299700E+01          4.55220215E+01
        470.0000          2.41283074E+05          4.63532437E+01          4.63443404E+01
        480.0000          2.24422835E+05          4.71760884E+01          4.71661736E+01
        490.0000          2.09721216E+05          4.79967101E+01          4.79857281E+01
        500.0000          1.96818188E+05          4.88151604E+01          4.88030562E+01
        510.0000          1.85427772E+05          4.96314916E+01          4.96182108E+01
        520.0000          1.75319338E+05          5.04457559E+01          5.04312450E+01
        530.0000          1.66306062E+05          5.12580043E+01          5.12422107E+01
        540.0000          1.58234402E+05          5.20682882E+01          5.20511603E+01
        550.0000          1.50977303E+05          5.28784404E+01          5.28599267E+01
        560.0000          1.44428944E+05          5.36849035E+01          5.36649560E+01
        570.0000          1.38500731E+05          5.44895251E+01          5.44680960E+01
        580.0000          1.33117468E+05          5.52923481E+01          5.52693912E+01
        590.0000          1.28215153E+05          5.60952048E+01          5.60706735E+01
        600.0000          1.23739522E+05          5.68945419E+01          5.68683942E+01
        610.0000          1.19643491E+05          5.76921903E+01          5.76643845E+01
        620.0000          1.15886523E+05          5.84899652E+01          5.84604592E+01
        630.0000          1.12433438E+05          5.92843437E+01          5.92531005E+01
        640.0000          1.09253564E+05          6.00771301E+01          6.00441126E+01
        650.0000          1.06319947E+05          6.08701087E+01          6.08352794E+01
        660.0000          1.03609040E+05          6.16598216E+01          6.16231484E+01
        670.0000          1.01099989E+05          6.24497701E+01          6.24112185E+01
        680.0000          9.87743649E+04          6.32365109E+01          6.31960521E+01
        690.0000          9.66157299E+04          6.40235278E+01          6.39811300E+01
        700.0000          9.46096114E+04          6.48074054E+01          6.47630428E+01
        710.0000          9.27428970E+04          6.55915962E+01          6.55452399E+01
        720.0000          9.10040100E+04          6.63727336E+01          6.63243607E+01
        730.0000          8.93824679E+04          6.71542309E+01          6.71038150E+01
        740.0000          8.78688104E+04          6.79343859E+01          6.78819041E+01
        750.0000          8.64546462E+04          6.87115073E+01          6.86569409E+01
        760.0000          8.51322273E+04          6.94890794E+01          6.94324053E+01
        770.0000          8.38946472E+04          7.02654216E+01          7.02066205E+01
        780.0000          8.27356056E+04          7.10387528E+01          7.09778096E+01
        790.0000          8.16493677E+04          7.18126349E+01          7.17495294E+01
        800.0000          8.06307261E+04          7.25852343E+01          7.25199506E+01
        810.0000          7.96749146E+04          7.33567024E+01          7.32892250E+01
        820.0000          7.87776045E+04          7.41253258E+01          7.40556436E+01
        830.0000          7.79348384E+04          7.48944991E+01          7.48225954E+01
        840.0000          7.71429250E+04          7.56624346E+01          7.55882969E+01
        850.0000          7.63985571E+04          7.64294434E+01          7.63530594E+01
        860.0000          7.56986569E+04          7.71950976E+01          7.71164567E+01
        870.0000          7.50404092E+04          7.79582443E+01          7.78773388E+01
        880.0000          7.44211824E+04          7.87219609E+01          7.86387776E+01
        890.0000          7.38385926E+04          7.94844799E+01          7.93990099E+01
        900.0000          7.32904178E+04          8.02459892E+01          8.01582236E+01
