#Energy      C  Total
          0.1000          7.29638822E+02          7.29638822E+02
          0.2000          4.03072684E+02          4.03072684E+02
          0.3000          2.89337364E+02          2.89337364E+02
          0.4000          2.30610151E+02          2.30610151E+02
          0.5000          1.94442185E+02          1.94442185E+02
          0.6000          1.69790696E+02          1.69790696E+02
          0.7000          1.51840264E+02          1.51840264E+02
          0.8000          1.38146310E+02          1.38146310E+02
          0.9000          1.27332052E+02          1.27332052E+02
          1.0000          1.18561047E+02          1.18561047E+02
          2.0000          7.72970569E+01          7.72970569E+01
          3.0000          6.26762866E+01          6.26762866E+01
          4.0000          5.52503297E+01          5.52503297E+01
          5.0000          5.08617865E+01          5.08617865E+01
          6.0000          4.80576640E+01          4.80576640E+01
          7.0000          4.61911592E+01          4.61911592E+01
          8.0000          4.49283497E+01          4.49283497E+01
          9.0000          4.40784966E+01          4.40784966E+01
         10.0000          4.35243105E+01          4.35243105E+01
         11.0000          4.31894923E+01          4.31894923E+01
         12.0000          4.30221534E+01          4.30221534E+01
         13.0000          4.29857132E+01          4.29857132E+01
         14.0000          4.30536046E+01          4.30536046E+01
         15.0000          4.32060441E+01          4.32060441E+01
         16.0000          4.34279824E+01          4.34279824E+01
         17.0000          4.37077587E+01          4.37077587E+01
         18.0000          4.40361918E+01          4.40361918E+01
         19.0000          4.44059501E+01          4.44059501E+01
         20.0000          4.48111055E+01          4.48111055E+01
         21.0000          4.52468107E+01          4.52468107E+01
         22.0000          4.57090626E+01          4.57090626E+01
         23.0000          4.61945249E+01          4.61945249E+01
         24.0000          4.67003946E+01          4.67003946E+01
         25.0000          4.72242987E+01          4.72242987E+01
         26.0000          4.77642144E+01          4.77642144E+01
         27.0000          4.83184072E+01          4.83184072E+01
         28.0000          4.88853802E+01          4.88853802E+01
         29.0000          4.94638357E+01          4.94638357E+01
         30.0000          5.00526422E+01          5.00526422E+01
         31.0000          5.06508090E+01          5.06508090E+01
         32.0000          5.12574650E+01          5.12574650E+01
         33.0000          5.18718409E+01          5.18718409E+01
         34.0000          5.24932551E+01          5.24932551E+01
         35.0000          5.31211012E+01          5.31211012E+01
         36.0000          5.37548382E+01          5.37548382E+01
         37.0000          5.43939818E+01          5.43939818E+01
         38.0000          5.50380973E+01          5.50380973E+01
         39.0000          5.56867933E+01          5.56867933E+01
         40.0000          5.63397166E+01          5.63397166E+01
         41.0000          5.69965474E+01          5.69965474E+01
         42.0000          5.76569958E+01          5.76569958E+01
         43.0000          5.83207984E+01          5.83207984E+01
         44.0000          5.89877151E+01          5.89877151E+01
         45.0000          5.96575267E+01          5.96575267E+01
         46.0000          6.03300328E+01          6.03300328E+01
         47.0000          6.10050499E+01          6.10050499E+01
         48.0000          6.16824093E+01          6.16824093E+01
         49.0000          6.23619561E+01          6.23619561E+01
         50.0000          6.30435476E+01          6.30435476E+01
         51.0000          6.37270523E+01          6.37270523E+01
         52.0000          6.44123486E+01          6.44123486E+01
         53.0000          6.50993240E+01          6.50993240E+01
         54.0000          6.57878744E+01          6.57878744E+01
         55.0000          6.64779032E+01          6.64779032E+01
         56.0000          6.71693207E+01          6.71693207E+01
         57.0000          6.78620437E+01          6.78620437E+01
         58.0000          6.85559944E+01          6.85559944E+01
         59.0000          6.92511006E+01          6.92511006E+01
         60.0000          6.99472947E+01          6.99472947E+01
         61.0000          7.06445139E+01          7.06445139E+01
         62.0000          7.13426993E+01          7.13426993E+01
         63.0000          7.20417957E+01          7.20417957E+01
         64.0000          7.27417516E+01          7.27417516E+01
         65.0000          7.34425186E+01          7.34425186E+01
         66.0000          7.41440515E+01          7.41440515E+01
         67.0000          7.48463075E+01          7.48463075E+01
         68.0000          7.55492467E+01          7.55492467E+01
         69.0000          7.62528315E+01          7.62528315E+01
         70.0000          7.69570264E+01          7.69570264E+01
         71.0000          7.76617981E+01          7.76617981E+01
         72.0000          7.83671152E+01          7.83671152E+01
         73.0000          7.90729479E+01          7.90729479E+01
         74.0000          7.97792684E+01          7.97792684E+01
         75.0000          8.04860503E+01          8.04860503E+01
         76.0000          8.11932684E+01          8.11932684E+01
         77.0000          8.19008993E+01          8.19008993E+01
         78.0000          8.26089207E+01          8.26089207E+01
         79.0000          8.33173113E+01          8.33173113E+01
         80.0000          8.40260511E+01          8.40260511E+01
         81.0000          8.47351213E+01          8.47351213E+01
         82.0000          8.54445037E+01          8.54445037E+01
         83.0000          8.61541814E+01          8.61541814E+01
         84.0000          8.68641382E+01          8.68641382E+01
         85.0000          8.75743586E+01          8.75743586E+01
         86.0000          8.82848281E+01          8.82848281E+01
         87.0000          8.89955327E+01          8.89955327E+01
         88.0000          8.97064594E+01          8.97064594E+01
         89.0000          9.04175956E+01          9.04175956E+01
         90.0000          9.11289292E+01          9.11289292E+01
         91.0000          9.18404490E+01          9.18404490E+01
         92.0000          9.25521441E+01          9.25521441E+01
         93.0000          9.32640041E+01          9.32640041E+01
         94.0000          9.39760194E+01          9.39760194E+01
         95.0000          9.46881805E+01          9.46881805E+01
         96.0000          9.54004784E+01          9.54004784E+01
         97.0000          9.61129047E+01          9.61129047E+01
         98.0000          9.68254513E+01          9.68254513E+01
         99.0000          9.75381103E+01          9.75381103E+01
        100.0000          9.82508743E+01          9.82508743E+01
        110.0000          1.05382880E+02          1.05382880E+02
        120.0000          1.12519271E+02          1.12519271E+02
        130.0000          1.19656383E+02          1.19656383E+02
        140.0000          1.26791811E+02          1.26791811E+02
        150.0000          1.33923966E+02          1.33923966E+02
        160.0000          1.41051801E+02          1.41051801E+02
        170.0000          1.48174628E+02          1.48174628E+02
        180.0000          1.55292013E+02          1.55292013E+02
        190.0000          1.62403695E+02          1.62403695E+02
        200.0000          1.69509532E+02          1.69509532E+02
