#Energy      Mo  Total
          0.1000          2.27555066E+04          2.27555066E+04
          0.2000          1.14044730E+04          1.14044730E+04
          0.3000          7.61669952E+03          7.61669952E+03
          0.4000          5.72122708E+03          5.72122708E+03
          0.5000          4.58313510E+03          4.58313510E+03
          0.6000          3.82392977E+03          3.82392977E+03
          0.7000          3.28133105E+03          3.28133105E+03
          0.8000          2.87416838E+03          2.87416838E+03
          0.9000          2.55733152E+03          2.55733152E+03
          1.0000          2.30374573E+03          2.30374573E+03
          2.0000          1.16066973E+03          1.16066973E+03
          3.0000          7.78406479E+02          7.78406479E+02
          4.0000          5.86808393E+02          5.86808393E+02
          5.0000          4.71618186E+02          4.71618186E+02
          6.0000          3.94691976E+02          3.94691976E+02
          7.0000          3.39661214E+02          3.39661214E+02
          8.0000          2.98332230E+02          2.98332230E+02
          9.0000          2.66148240E+02          2.66148240E+02
         10.0000          2.40372548E+02          2.40372548E+02
         11.0000          2.19262063E+02          2.19262063E+02
         12.0000          2.01653748E+02          2.01653748E+02
         13.0000          1.86741782E+02          1.86741782E+02
         14.0000          1.73950147E+02          1.73950147E+02
         15.0000          1.62856126E+02          1.62856126E+02
         16.0000          1.53142463E+02          1.53142463E+02
         17.0000          1.44566391E+02          1.44566391E+02
         18.0000          1.36938971E+02          1.36938971E+02
         19.0000          1.30110950E+02          1.30110950E+02
         20.0000          1.23962855E+02          1.23962855E+02
         21.0000          1.18397915E+02          1.18397915E+02
         22.0000          1.13336910E+02          1.13336910E+02
         23.0000          1.08714362E+02          1.08714362E+02
         24.0000          1.04475679E+02          1.04475679E+02
         25.0000          1.00574978E+02          1.00574978E+02
         26.0000          9.69734192E+01          9.69734192E+01
         27.0000          9.36378980E+01          9.36378980E+01
         28.0000          9.05400276E+01          9.05400276E+01
         29.0000          8.76553250E+01          8.76553250E+01
         30.0000          8.49625623E+01          8.49625623E+01
         31.0000          8.24432427E+01          8.24432427E+01
         32.0000          8.00811746E+01          8.00811746E+01
         33.0000          7.78621233E+01          7.78621233E+01
         34.0000          7.57735235E+01          7.57735235E+01
         35.0000          7.38042416E+01          7.38042416E+01
         36.0000          7.19443774E+01          7.19443774E+01
         37.0000          7.01850975E+01          7.01850975E+01
         38.0000          6.85184955E+01          6.85184955E+01
         39.0000          6.69374732E+01          6.69374732E+01
         40.0000          6.54356401E+01          6.54356401E+01
         41.0000          6.40072271E+01          6.40072271E+01
         41.9990          6.26483405E+01          6.26483405E+01
         42.0000          6.26470127E+01          6.26470127E+01
         42.0010          6.26456850E+01          6.26456850E+01
         43.0000          6.13502596E+01          6.13502596E+01
         44.0000          6.01126597E+01          6.01126597E+01
         44.9990          5.89314426E+01          5.89314426E+01
         45.0000          5.89302866E+01          5.89302866E+01
         45.0010          5.89291307E+01          5.89291307E+01
         46.0000          5.77995542E+01          5.77995542E+01
         47.0000          5.67171806E+01          5.67171806E+01
         48.0000          5.56801563E+01          5.56801563E+01
         49.0000          5.46857169E+01          5.46857169E+01
         50.0000          5.37313182E+01          5.37313182E+01
         51.0000          5.28146150E+01          5.28146150E+01
         52.0000          5.19334418E+01          5.19334418E+01
         53.0000          5.10857959E+01          5.10857959E+01
         54.0000          5.02698226E+01          5.02698226E+01
         55.0000          4.94838016E+01          4.94838016E+01
         56.0000          4.87261350E+01          4.87261350E+01
         57.0000          4.79953365E+01          4.79953365E+01
         58.0000          4.72900222E+01          4.72900222E+01
         59.0000          4.66089016E+01          4.66089016E+01
         60.0000          4.59507699E+01          4.59507699E+01
         61.0000          4.53145010E+01          4.53145010E+01
         62.0000          4.46990413E+01          4.46990413E+01
         63.0000          4.41034038E+01          4.41034038E+01
         64.0000          4.35266629E+01          4.35266629E+01
         65.0000          4.29679498E+01          4.29679498E+01
         66.0000          4.24264484E+01          4.24264484E+01
         67.0000          4.19013907E+01          4.19013907E+01
         67.9990          4.13925559E+01          4.13925559E+01
         68.0000          4.13920542E+01          4.13920542E+01
         68.0010          4.13915525E+01          4.13915525E+01
         69.0000          4.08977577E+01          4.08977577E+01
         70.0000          4.04178591E+01          4.04178591E+01
         71.0000          3.99517522E+01          3.99517522E+01
         72.0000          3.94988645E+01          3.94988645E+01
         73.0000          3.90586545E+01          3.90586545E+01
         74.0000          3.86306101E+01          3.86306101E+01
         75.0000          3.82142463E+01          3.82142463E+01
         76.0000          3.78091036E+01          3.78091036E+01
         77.0000          3.74147463E+01          3.74147463E+01
         78.0000          3.70307609E+01          3.70307609E+01
         79.0000          3.66567547E+01          3.66567547E+01
         80.0000          3.62923548E+01          3.62923548E+01
         81.0000          3.59372065E+01          3.59372065E+01
         82.0000          3.55909722E+01          3.55909722E+01
         83.0000          3.52533308E+01          3.52533308E+01
         84.0000          3.49239762E+01          3.49239762E+01
         85.0000          3.46026169E+01          3.46026169E+01
         86.0000          3.42889746E+01          3.42889746E+01
         87.0000          3.39827841E+01          3.39827841E+01
         88.0000          3.36837918E+01          3.36837918E+01
         89.0000          3.33917559E+01          3.33917559E+01
         90.0000          3.31064450E+01          3.31064450E+01
         91.0000          3.28276379E+01          3.28276379E+01
         92.0000          3.25551231E+01          3.25551231E+01
         93.0000          3.22886981E+01          3.22886981E+01
         94.0000          3.20281689E+01          3.20281689E+01
         95.0000          3.17733498E+01          3.17733498E+01
         96.0000          3.15240627E+01          3.15240627E+01
         97.0000          3.12801368E+01          3.12801368E+01
         98.0000          3.10414083E+01          3.10414083E+01
         99.0000          3.08077200E+01          3.08077200E+01
        100.0000          3.05789211E+01          3.05789211E+01
        110.0000          2.85305477E+01          2.85305477E+01
        120.0000          2.68416720E+01          2.68416720E+01
        130.0000          2.54293615E+01          2.54293615E+01
        140.0000          2.42343204E+01          2.42343204E+01
        150.0000          2.32130297E+01          2.32130297E+01
        160.0000          2.23328282E+01          2.23328282E+01
        170.0000          2.15687261E+01          2.15687261E+01
        180.0000          2.09012792E+01          2.09012792E+01
        190.0000          2.03151319E+01          2.03151319E+01
        200.0000          1.97979978E+01          1.97979978E+01
        210.0000          1.93399297E+01          1.93399297E+01
        220.0000          1.89327894E+01          1.89327894E+01
        230.0000          1.85698546E+01          1.85698546E+01
        233.9990          1.84358042E+01          1.84358042E+01
