#Energy      In  Total
          0.1000          6.45119077E+04          6.45119077E+04
          0.2000          3.23116200E+04          3.23116200E+04
          0.3000          2.15696435E+04          2.15696435E+04
          0.4000          1.61953449E+04          1.61953449E+04
          0.5000          1.29690774E+04          1.29690774E+04
          0.6000          1.08172354E+04          1.08172354E+04
          0.7000          9.27955942E+03          9.27955942E+03
          0.8000          8.12585594E+03          8.12585594E+03
          0.9000          7.22820745E+03          7.22820745E+03
          1.0000          6.50984546E+03          6.50984546E+03
          2.0000          3.27315586E+03          3.27315586E+03
          3.0000          2.19166311E+03          2.19166311E+03
          4.0000          1.64993504E+03          1.64993504E+03
          5.0000          1.32440950E+03          1.32440950E+03
          6.0000          1.10711097E+03          1.10711097E+03
          7.0000          9.51719950E+02          9.51719950E+02
          8.0000          8.35057048E+02          8.35057048E+02
          9.0000          7.44234884E+02          7.44234884E+02
         10.0000          6.71515533E+02          6.71515533E+02
         11.0000          6.11971596E+02          6.11971596E+02
         12.0000          5.62316091E+02          5.62316091E+02
         13.0000          5.20272076E+02          5.20272076E+02
         14.0000          4.84212253E+02          4.84212253E+02
         15.0000          4.52942632E+02          4.52942632E+02
         16.0000          4.25567264E+02          4.25567264E+02
         17.0000          4.01400674E+02          4.01400674E+02
         18.0000          3.79909464E+02          3.79909464E+02
         19.0000          3.60672339E+02          3.60672339E+02
         19.9990          3.43368572E+02          3.43368572E+02
         20.0000          3.43352114E+02          3.43352114E+02
         20.0010          3.43335657E+02          3.43335657E+02
         20.9990          3.27690647E+02          3.27690647E+02
         21.0000          3.27675713E+02          3.27675713E+02
         21.0010          3.27660782E+02          3.27660782E+02
         22.0000          3.13419621E+02          3.13419621E+02
         23.0000          3.00399118E+02          3.00399118E+02
         24.0000          2.88460212E+02          2.88460212E+02
         25.0000          2.77473501E+02          2.77473501E+02
         26.0000          2.67329452E+02          2.67329452E+02
         27.0000          2.57934723E+02          2.57934723E+02
         28.0000          2.49209281E+02          2.49209281E+02
         29.0000          2.41084108E+02          2.41084108E+02
         30.0000          2.33499367E+02          2.33499367E+02
         31.0000          2.26402927E+02          2.26402927E+02
         32.0000          2.19749158E+02          2.19749158E+02
         33.0000          2.13497948E+02          2.13497948E+02
         34.0000          2.07613894E+02          2.07613894E+02
         35.0000          2.02065629E+02          2.02065629E+02
         36.0000          1.96825264E+02          1.96825264E+02
         37.0000          1.91867918E+02          1.91867918E+02
         38.0000          1.87171322E+02          1.87171322E+02
         39.0000          1.82715485E+02          1.82715485E+02
         40.0000          1.78482411E+02          1.78482411E+02
         41.0000          1.74455857E+02          1.74455857E+02
         42.0000          1.70621120E+02          1.70621120E+02
         43.0000          1.66964864E+02          1.66964864E+02
         44.0000          1.63474961E+02          1.63474961E+02
         45.0000          1.60140358E+02          1.60140358E+02
         46.0000          1.56950961E+02          1.56950961E+02
         47.0000          1.53897535E+02          1.53897535E+02
         48.0000          1.50971609E+02          1.50971609E+02
         49.0000          1.48165404E+02          1.48165404E+02
         50.0000          1.45471761E+02          1.45471761E+02
         51.0000          1.42884081E+02          1.42884081E+02
         52.0000          1.40396272E+02          1.40396272E+02
         53.0000          1.38002700E+02          1.38002700E+02
         54.0000          1.35698147E+02          1.35698147E+02
         55.0000          1.33477774E+02          1.33477774E+02
         56.0000          1.31337086E+02          1.31337086E+02
         57.0000          1.29271904E+02          1.29271904E+02
         58.0000          1.27278335E+02          1.27278335E+02
         59.0000          1.25352749E+02          1.25352749E+02
         60.0000          1.23491758E+02          1.23491758E+02
         61.0000          1.21692197E+02          1.21692197E+02
         62.0000          1.19951103E+02          1.19951103E+02
         63.0000          1.18265700E+02          1.18265700E+02
         64.0000          1.16633386E+02          1.16633386E+02
         65.0000          1.15051719E+02          1.15051719E+02
         66.0000          1.13518404E+02          1.13518404E+02
         67.0000          1.12031283E+02          1.12031283E+02
         68.0000          1.10588324E+02          1.10588324E+02
         69.0000          1.09187614E+02          1.09187614E+02
         70.0000          1.07827347E+02          1.07827347E+02
         71.0000          1.06505819E+02          1.06505819E+02
         72.0000          1.05221421E+02          1.05221421E+02
         73.0000          1.03972632E+02          1.03972632E+02
         74.0000          1.02758013E+02          1.02758013E+02
         75.0000          1.01576201E+02          1.01576201E+02
         76.0000          1.00425904E+02          1.00425904E+02
         77.0000          9.93058981E+01          9.93058981E+01
         78.0000          9.82150221E+01          9.82150221E+01
         79.0000          9.71521725E+01          9.71521725E+01
         80.0000          9.61163013E+01          9.61163013E+01
         81.0000          9.51064120E+01          9.51064120E+01
         81.9990          9.41225292E+01          9.41225292E+01
         82.0000          9.41215566E+01          9.41215566E+01
         82.0010          9.41205840E+01          9.41205840E+01
         83.0000          9.31608327E+01          9.31608327E+01
         84.0000          9.22233808E+01          9.22233808E+01
         85.0000          9.13083816E+01          9.13083816E+01
         86.0000          9.04150539E+01          9.04150539E+01
         87.0000          8.95426522E+01          8.95426522E+01
         88.0000          8.86904650E+01          8.86904650E+01
         89.0000          8.78578125E+01          8.78578125E+01
         89.9990          8.70448497E+01          8.70448497E+01
         90.0000          8.70440452E+01          8.70440452E+01
         90.0010          8.70432407E+01          8.70432407E+01
         91.0000          8.62485419E+01          8.62485419E+01
         92.0000          8.54707083E+01          8.54707083E+01
         93.0000          8.47099759E+01          8.47099759E+01
         94.0000          8.39658001E+01          8.39658001E+01
         95.0000          8.32376591E+01          8.32376591E+01
         96.0000          8.25250529E+01          8.25250529E+01
         97.0000          8.18275021E+01          8.18275021E+01
         98.0000          8.11445468E+01          8.11445468E+01
         99.0000          8.04757454E+01          8.04757454E+01
        100.0000          7.98206743E+01          7.98206743E+01
        110.0000          7.39428820E+01          7.39428820E+01
        120.0000          6.90747581E+01          6.90747581E+01
        125.9990          6.65390239E+01          6.65390239E+01
        126.0010          6.65382205E+01          6.65382205E+01
        130.0000          6.49835253E+01          6.49835253E+01
        140.0000          6.15027749E+01          6.15027749E+01
        150.0000          5.85103859E+01          5.85103859E+01
        160.0000          5.59147113E+01          5.59147113E+01
        170.0000          5.36456314E+01          5.36456314E+01
        180.0000          5.16485856E+01          5.16485856E+01
        190.0000          4.98804846E+01          4.98804846E+01
        200.0000          4.83068478E+01          4.83068478E+01
        210.0000          4.68997569E+01          4.68997569E+01
        220.0000          4.56363666E+01          4.56363666E+01
        230.0000          4.44978037E+01          4.44978037E+01
        240.0000          4.34683407E+01          4.34683407E+01
        250.0000          4.25347671E+01          4.25347671E+01
        260.0000          4.16859063E+01          4.16859063E+01
        270.0000          4.09122390E+01          4.09122390E+01
        280.0000          4.02056077E+01          4.02056077E+01
        290.0000          3.95589821E+01          3.95589821E+01
        300.0000          3.89662712E+01          3.89662712E+01
        310.0000          3.84221719E+01          3.84221719E+01
        320.0000          3.79220460E+01          3.79220460E+01
        330.0000          3.74618194E+01          3.74618194E+01
        340.0000          3.70378992E+01          3.70378992E+01
        350.0000          3.66471046E+01          3.66471046E+01
        360.0000          3.62866103E+01          3.62866103E+01
        370.0000          3.59538977E+01          3.59538977E+01
        380.0000          3.56467150E+01          3.56467150E+01
        390.0000          3.53630427E+01          3.53630427E+01
        400.0000          3.51010648E+01          3.51010648E+01
        410.0000          3.48591435E+01          3.48591435E+01
        420.0000          3.46357983E+01          3.46357983E+01
        430.0000          3.44296876E+01          3.44296876E+01
        440.0000          3.42395929E+01          3.42395929E+01
        446.9990          3.41154754E+01          3.41154754E+01
        447.0010          3.41154409E+01          3.41154409E+01
        450.0000          3.40644050E+01          3.40644050E+01
        454.9990          3.39820975E+01          3.39820975E+01
        455.0010          3.39820652E+01          3.39820652E+01
        460.0000          3.39031120E+01          3.39031120E+01
        470.0000          3.37547893E+01          3.37547893E+01
        480.0000          3.36185899E+01          3.36185899E+01
        490.0000          3.34937370E+01          3.34937370E+01
        500.0000          3.33795168E+01          3.33795168E+01
        510.0000          3.32752718E+01          3.32752718E+01
        520.0000          3.31803963E+01          3.31803963E+01
        530.0000          3.30943307E+01          3.30943307E+01
        540.0000          3.30165574E+01          3.30165574E+01
        550.0000          3.29465972E+01          3.29465972E+01
        560.0000          3.28840057E+01          3.28840057E+01
        570.0000          3.28283701E+01          3.28283701E+01
        580.0000          3.27793068E+01          3.27793068E+01
        590.0000          3.27364584E+01          3.27364584E+01
        600.0000          3.26994920E+01          3.26994920E+01
        610.0000          3.26680969E+01          3.26680969E+01
        620.0000          3.26419829E+01          3.26419829E+01
        630.0000          3.26208786E+01          3.26208786E+01
        640.0000          3.26045300E+01          3.26045300E+01
        650.0000          3.25926989E+01          3.25926989E+01
        660.0000          3.25851622E+01          3.25851622E+01
        668.9990          3.25818774E+01          3.25818774E+01
        669.0010          3.25818770E+01          3.25818770E+01
        670.0000          3.25817101E+01          3.25817101E+01
        680.0000          3.25821458E+01          3.25821458E+01
        690.0000          3.25862840E+01          3.25862840E+01
        700.0000          3.25939504E+01          3.25939504E+01
        706.9990          3.26013265E+01          3.26013265E+01
        707.0010          3.26013288E+01          3.26013288E+01
        710.0000          3.26049806E+01          3.26049806E+01
        720.0000          3.26192197E+01          3.26192197E+01
        730.0000          3.26365218E+01          3.26365218E+01
        740.0000          3.26567487E+01          3.26567487E+01
        750.0000          3.26797701E+01          3.26797701E+01
        760.0000          3.27054626E+01          3.27054626E+01
        770.0000          3.27337097E+01          3.27337097E+01
        780.0000          3.27644008E+01          3.27644008E+01
        790.0000          3.27974311E+01          3.27974311E+01
        800.0000          3.28327015E+01          3.28327015E+01
        810.0000          3.28701177E+01          3.28701177E+01
        820.0000          3.29095904E+01          3.29095904E+01
        829.9990          3.29510303E+01          3.29510303E+01
        830.0000          3.29510345E+01          3.29510345E+01
        830.0010          3.29510387E+01          3.29510387E+01
        840.0000          3.29943694E+01          3.29943694E+01
        850.0000          3.30395183E+01          3.30395183E+01
        860.0000          3.30864082E+01          3.30864082E+01
