#Energy      Cr   Mn   Fe   Co   Ni  Total
          0.1000          1.00000000E+20          1.30535680E+04          1.48809143E+04          1.68809405E+04          1.90626493E+04          3.91382401E+03
          0.2000          1.00000000E+20          6.56993464E+03          7.48595269E+03          8.48834250E+03          9.58160464E+03          1.96863054E+03
          0.3000          1.00000000E+20          4.40217419E+03          5.01405299E+03          5.68352932E+03          6.41360312E+03          1.31845145E+03
          0.4000          1.00000000E+20          3.31576139E+03          3.77542982E+03          4.27830677E+03          4.82664192E+03          9.92673009E+02
          0.5000          1.00000000E+20          2.66262401E+03          3.03089439E+03          3.43373891E+03          3.87295711E+03          7.96855070E+02
          0.6000          1.00000000E+20          2.22643866E+03          2.53373455E+03          2.86984776E+03          3.23627775E+03          6.66102865E+02
          0.7000          1.00000000E+20          1.91438575E+03          2.17810089E+03          2.46652098E+03          2.78093113E+03          5.72574552E+02
          0.8000          1.00000000E+20          1.68000662E+03          1.91101717E+03          2.16364812E+03          2.43902383E+03          5.02335927E+02
          0.9000          1.00000000E+20          1.49746615E+03          1.70302598E+03          1.92780693E+03          2.17280835E+03          4.47639026E+02
          1.0000          1.00000000E+20          1.35124947E+03          1.53643834E+03          1.73892876E+03          1.95962008E+03          4.03831325E+02
          2.0000          1.00000000E+20          6.90215168E+02          7.83560712E+02          8.85567377E+02          9.96684532E+02          2.05863193E+02
          3.0000          1.00000000E+20          4.67937047E+02          5.30556184E+02          5.98954767E+02          6.73432206E+02          1.39346415E+02
          4.0000          1.00000000E+20          3.56082460E+02          4.03295542E+02          4.54846647E+02          5.10960215E+02          1.05892357E+02
          5.0000          1.00000000E+20          2.88621843E+02          3.26569669E+02          3.67990368E+02          4.13063407E+02          8.57245245E+01
          6.0000          1.00000000E+20          2.43452938E+02          2.75211283E+02          3.09865564E+02          3.47565269E+02          7.22256045E+01
          7.0000          1.00000000E+20          2.11069767E+02          2.38398933E+02          2.68211834E+02          3.00636539E+02          6.25504645E+01
