#Energy      C-K-shell   N-K-shell   O-K-shell   Valence  Total
         54.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.22399312E+03          2.22399312E+03
         55.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.29185992E+03          2.29185992E+03
         56.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.36517511E+03          2.36517511E+03
         57.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.44032835E+03          2.44032835E+03
         58.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.51967689E+03          2.51967689E+03
         59.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.59136177E+03          2.59136177E+03
         60.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.67250845E+03          2.67250845E+03
         61.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.75541063E+03          2.75541063E+03
         62.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.83606093E+03          2.83606093E+03
         63.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.92445131E+03          2.92445131E+03
         64.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.00632493E+03          3.00632493E+03
         65.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.09483992E+03          3.09483992E+03
         66.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.19031723E+03          3.19031723E+03
         67.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.27900478E+03          3.27900478E+03
         68.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.37485569E+03          3.37485569E+03
         69.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.46714461E+03          3.46714461E+03
         70.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.56118170E+03          3.56118170E+03
         71.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.65959477E+03          3.65959477E+03
         72.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.76185450E+03          3.76185450E+03
         73.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.86739592E+03          3.86739592E+03
         74.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.96797013E+03          3.96797013E+03
         75.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.06970896E+03          4.06970896E+03
         76.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.17721518E+03          4.17721518E+03
         77.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.28896374E+03          4.28896374E+03
         78.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.40637279E+03          4.40637279E+03
         79.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.51659959E+03          4.51659959E+03
         80.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.63474744E+03          4.63474744E+03
         81.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.75597022E+03          4.75597022E+03
         82.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.87107645E+03          4.87107645E+03
         83.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.99106074E+03          4.99106074E+03
         84.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.11584444E+03          5.11584444E+03
         85.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.23843383E+03          5.23843383E+03
         86.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.36762708E+03          5.36762708E+03
         87.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.49664684E+03          5.49664684E+03
         88.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.63648385E+03          5.63648385E+03
         89.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.75870957E+03          5.75870957E+03
         90.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.89180938E+03          5.89180938E+03
         91.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.03021462E+03          6.03021462E+03
         92.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.16877759E+03          6.16877759E+03
         93.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.31817584E+03          6.31817584E+03
         94.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.45045253E+03          6.45045253E+03
         95.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.59780809E+03          6.59780809E+03
         96.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.75197051E+03          6.75197051E+03
         97.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.88752124E+03          6.88752124E+03
         98.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.04403294E+03          7.04403294E+03
         99.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.18863913E+03          7.18863913E+03
        100.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.35222636E+03          7.35222636E+03
        110.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.01935951E+03          9.01935951E+03
        120.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.08950157E+04          1.08950157E+04
        130.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.30110032E+04          1.30110032E+04
        140.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.53288203E+04          1.53288203E+04
        150.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.79055741E+04          1.79055741E+04
        160.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.07630732E+04          2.07630732E+04
        170.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.38591087E+04          2.38591087E+04
        180.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.72357659E+04          2.72357659E+04
        190.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.08203066E+04          3.08203066E+04
        200.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.47720581E+04          3.47720581E+04
        210.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.89351005E+04          3.89351005E+04
        220.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.34455046E+04          4.34455046E+04
        230.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.82924143E+04          4.82924143E+04
        240.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.34410478E+04          5.34410478E+04
        250.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.89823269E+04          5.89823269E+04
        260.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.48378516E+04          6.48378516E+04
        270.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.09771348E+04          7.09771348E+04
        280.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.74157295E+04          7.74157295E+04
        287.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.28799074E+04          8.28799074E+04
        288.0010          8.98665040E+03          1.00000000E+30          1.00000000E+30          8.28814160E+04          8.10756489E+03
        290.0000          9.26462034E+03          1.00000000E+30          1.00000000E+30          8.43528956E+04          8.34777066E+03
        300.0000          1.05468960E+04          1.00000000E+30          1.00000000E+30          9.14299915E+04          9.45608986E+03
        310.0000          1.13122739E+04          1.00000000E+30          1.00000000E+30          9.90847802E+04          1.01531167E+04
        320.0000          1.19168835E+04          1.00000000E+30          1.00000000E+30          1.06873580E+05          1.07213994E+04
        330.0000          1.25333969E+04          1.00000000E+30          1.00000000E+30          1.15265621E+05          1.13042322E+04
        340.0000          1.32651699E+04          1.00000000E+30          1.00000000E+30          1.23967843E+05          1.19829366E+04
        350.0000          1.41480246E+04          1.00000000E+30          1.00000000E+30          1.33232370E+05          1.27898616E+04
        360.0000          1.50866758E+04          1.00000000E+30          1.00000000E+30          1.42496694E+05          1.36423115E+04
        370.0000          1.62011590E+04          1.00000000E+30          1.00000000E+30          1.52468311E+05          1.46449938E+04
        380.0000          1.72803734E+04          1.00000000E+30          1.00000000E+30          1.62942296E+05          1.56234714E+04
        390.0000          1.83840105E+04          1.00000000E+30          1.00000000E+30          1.73683599E+05          1.66243601E+04
        400.0000          1.94583005E+04          1.00000000E+30          1.00000000E+30          1.84662622E+05          1.76033928E+04
        402.9990          1.98319671E+04          1.00000000E+30          1.00000000E+30          1.88012191E+05          1.79396507E+04
        403.0010          1.98322211E+04          5.22280935E+04          1.00000000E+30          1.88014647E+05          1.33531826E+04
        410.0000          2.06664639E+04          5.40830060E+04          1.00000000E+30          1.96704517E+05          1.38963321E+04
        420.0000          2.18831324E+04          5.73527255E+04          1.00000000E+30          2.08847870E+05          1.47228929E+04
        430.0000          2.31557944E+04          5.97421238E+04          1.00000000E+30          2.21067501E+05          1.55164218E+04
        440.0000          2.44866228E+04          6.14761192E+04          1.00000000E+30          2.34587573E+05          1.62951630E+04
