#Energy      C   H   N   O  Total
          0.1000          2.33756869E+02          6.88714448E+00          1.43637025E+03          2.36089977E+03          6.64029261E+00
          0.2000          1.29133765E+02          6.34511163E+00          7.74947245E+02          1.25309067E+03          5.97250312E+00
          0.3000          9.26959946E+01          6.17124278E+00          5.46897668E+02          8.73828107E+02          5.68819305E+00
          0.4000          7.38813578E+01          6.11080297E+00          4.29974763E+02          6.80364157E+02          5.52561445E+00
          0.5000          6.22941036E+01          6.10228689E+00          3.58362363E+02          5.62351231E+02          5.42021303E+00
          0.6000          5.43964221E+01          6.12250208E+00          3.09771616E+02          4.82546136E+02          5.34713595E+00
          0.7000          4.86455813E+01          6.16052982E+00          2.74522125E+02          4.24819027E+02          5.29444556E+00
          0.8000          4.42584026E+01          6.21047678E+00          2.47716669E+02          3.81029934E+02          5.25557469E+00
          0.9000          4.07938023E+01          6.26885006E+00          2.26605673E+02          3.46618618E+02          5.22656139E+00
          1.0000          3.79838056E+01          6.33343290E+00          2.09523341E+02          3.18827799E+02          5.20485012E+00
          2.0000          2.47639208E+01          7.13246052E+00          1.29647336E+02          1.89625230E+02          5.16603132E+00
          3.0000          2.00798149E+01          8.02905566E+00          1.01410982E+02          1.44216984E+02          5.23166424E+00
          4.0000          1.77007359E+01          8.95539389E+00          8.69154548E+01          1.20856097E+02          5.32087227E+00
          5.0000          1.62947634E+01          9.89504690E+00          7.81653907E+01          1.06644596E+02          5.41710641E+00
          6.0000          1.53963971E+01          1.08418642E+01          7.23911205E+01          9.71449091E+01          5.51593065E+00
          7.0000          1.47984186E+01          1.17929837E+01          6.83680726E+01          9.04054509E+01          5.61611724E+00
          8.0000          1.43938481E+01          1.27468824E+01          6.54675166E+01          8.54286068E+01          5.71738579E+00
          9.0000          1.41215777E+01          1.37026723E+01          6.33319693E+01          8.16492607E+01          5.81972567E+00
         10.0000          1.39440313E+01          1.46597995E+01          6.17424711E+01          7.87223894E+01          5.92318099E+00
         11.0000          1.38367644E+01          1.56179007E+01          6.05570696E+01          7.64249440E+01          6.02778550E+00
         12.0000          1.37831535E+01          1.65767276E+01          5.96795154E+01          7.46060665E+01          6.13354775E+00
         13.0000          1.37714790E+01          1.75361051E+01          5.90421336E+01          7.31599220E+01          6.24045246E+00
         14.0000          1.37932296E+01          1.84959061E+01          5.85958890E+01          7.20099800E+01          6.34846618E+00
         15.0000          1.38420672E+01          1.94560365E+01          5.83043436E+01          7.10994733E+01          6.45754313E+00
         16.0000          1.39131703E+01          2.04164253E+01          5.81398305E+01          7.03853704E+01          6.56763004E+00
         17.0000          1.40028032E+01          2.13770178E+01          5.80809485E+01          6.98344344E+01          6.67866979E+00
         18.0000          1.41080244E+01          2.23377715E+01          5.81108725E+01          6.94205709E+01          6.79060400E+00
         19.0000          1.42264851E+01          2.32986530E+01          5.82161852E+01          6.91229965E+01          6.90337481E+00
         20.0000          1.43562861E+01          2.42596354E+01          5.83860509E+01          6.89249456E+01          7.01692604E+00
         21.0000          1.44958745E+01          2.52206973E+01          5.86116193E+01          6.88127388E+01          7.13120397E+00
         22.0000          1.46439677E+01          2.61818213E+01          5.88855886E+01          6.87751004E+01          7.24615767E+00
         23.0000          1.47994969E+01          2.71429932E+01          5.92018787E+01          6.88026499E+01          7.36173928E+00
         24.0000          1.49615641E+01          2.81042013E+01          5.95553851E+01          6.88875177E+01          7.47790404E+00
         25.0000          1.51294090E+01          2.90654359E+01          5.99417895E+01          6.90230515E+01          7.59461022E+00
         26.0000          1.53023837E+01          3.00266890E+01          6.03574137E+01          6.92035883E+01          7.71181907E+00
         27.0000          1.54799323E+01          3.09879539E+01          6.07991044E+01          6.94242765E+01          7.82949465E+00
         28.0000          1.56615754E+01          3.19492249E+01          6.12641427E+01          6.96809348E+01          7.94760365E+00
         29.0000          1.58468971E+01          3.29104974E+01          6.17501715E+01          6.99699401E+01          8.06611527E+00
         30.0000          1.60355350E+01          3.38717673E+01          6.22551367E+01          7.02881366E+01          8.18500100E+00
         31.0000          1.62271718E+01          3.48330314E+01          6.27772405E+01          7.06327631E+01          8.30423449E+00
         32.0000          1.64215282E+01          3.57942867E+01          6.33149021E+01          7.10013927E+01          8.42379134E+00
         33.0000          1.66183579E+01          3.67555310E+01          6.38667261E+01          7.13918833E+01          8.54364901E+00
         34.0000          1.68174425E+01          3.77167620E+01          6.44314757E+01          7.18023376E+01          8.66378663E+00
         35.0000          1.70185877E+01          3.86779782E+01          6.50080514E+01          7.22310685E+01          8.78418485E+00
         36.0000          1.72216202E+01          3.96391780E+01          6.55954717E+01          7.26765706E+01          8.90482577E+00
         37.0000          1.74263848E+01          4.06003603E+01          6.61928584E+01          7.31374971E+01          9.02569280E+00
         38.0000          1.76327423E+01          4.15615239E+01          6.67994228E+01          7.36126384E+01          9.14677054E+00
         39.0000          1.78405672E+01          4.25226681E+01          6.74144549E+01          7.41009061E+01          9.26804470E+00
         40.0000          1.80497464E+01          4.34837920E+01          6.80373138E+01          7.46013172E+01          9.38950200E+00
         41.0000          1.82601776E+01          4.44448951E+01          6.86674194E+01          7.51129826E+01          9.51113011E+00
         42.0000          1.84717677E+01          4.54059768E+01          6.93042456E+01          7.56350954E+01          9.63291756E+00
         43.0000          1.86844324E+01          4.63670368E+01          6.99473138E+01          7.61669219E+01          9.75485365E+00
         44.0000          1.88980947E+01          4.73280746E+01          7.05961881E+01          7.67077938E+01          9.87692844E+00
         45.0000          1.91126845E+01          4.82890901E+01          7.12504705E+01          7.72571003E+01          9.99913265E+00
         46.0000          1.93281376E+01          4.92500831E+01          7.19097967E+01          7.78142832E+01          1.01214576E+01
         47.0000          1.95443951E+01          5.02110533E+01          7.25738330E+01          7.83788301E+01          1.02438953E+01
         48.0000          1.97614031E+01          5.11720007E+01          7.32422728E+01          7.89502710E+01          1.03664381E+01
         49.0000          1.99791118E+01          5.21329252E+01          7.39148342E+01          7.95281731E+01          1.04890790E+01
         50.0000          2.01974756E+01          5.30938267E+01          7.45912574E+01          8.01121377E+01          1.06118113E+01
         51.0000          2.04164523E+01          5.40547053E+01          7.52713027E+01          8.07017970E+01          1.07346290E+01
         52.0000          2.06360030E+01          5.50155610E+01          7.59547487E+01          8.12968107E+01          1.08575262E+01
         53.0000          2.08560916E+01          5.59763937E+01          7.66413903E+01          8.18968639E+01          1.09804974E+01
         54.0000          2.10766849E+01          5.69372036E+01          7.73310375E+01          8.25016646E+01          1.11035377E+01
         55.0000          2.12977517E+01          5.78979908E+01          7.80235140E+01          8.31109420E+01          1.12266422E+01
         56.0000          2.15192635E+01          5.88587553E+01          7.87186561E+01          8.37244441E+01          1.13498064E+01
         57.0000          2.17411935E+01          5.98194972E+01          7.94163112E+01          8.43419365E+01          1.14730262E+01
         58.0000          2.19635169E+01          6.07802167E+01          8.01163374E+01          8.49632008E+01          1.15962975E+01
         59.0000          2.21862104E+01          6.17409139E+01          8.08186024E+01          8.55880331E+01          1.17196167E+01
         60.0000          2.24092525E+01          6.27015888E+01          8.15229826E+01          8.62162431E+01          1.18429802E+01
         61.0000          2.26326230E+01          6.36622417E+01          8.22293624E+01          8.68476530E+01          1.19663848E+01
         62.0000          2.28563030E+01          6.46228727E+01          8.29376338E+01          8.74820961E+01          1.20898273E+01
         63.0000          2.30802749E+01          6.55834818E+01          8.36476958E+01          8.81194165E+01          1.22133048E+01
         64.0000          2.33045221E+01          6.65440694E+01          8.43594534E+01          8.87594679E+01          1.23368145E+01
         65.0000          2.35290293E+01          6.75046355E+01          8.50728176E+01          8.94021130E+01          1.24603539E+01
         66.0000          2.37537817E+01          6.84651803E+01          8.57877051E+01          9.00472227E+01          1.25839205E+01
         67.0000          2.39787659E+01          6.94257039E+01          8.65040372E+01          9.06946757E+01          1.27075119E+01
         68.0000          2.42039689E+01          7.03862065E+01          8.72217402E+01          9.13443578E+01          1.28311261E+01
         69.0000          2.44293787E+01          7.13466883E+01          8.79407445E+01          9.19961616E+01          1.29547608E+01
         70.0000          2.46549840E+01          7.23071494E+01          8.86609846E+01          9.26499855E+01          1.30784142E+01
         71.0000          2.48807742E+01          7.32675900E+01          8.93823989E+01          9.33057340E+01          1.32020844E+01
         72.0000          2.51067390E+01          7.42280103E+01          9.01049290E+01          9.39633168E+01          1.33257696E+01
         73.0000          2.53328690E+01          7.51884104E+01          9.08285199E+01          9.46226485E+01          1.34494683E+01
         74.0000          2.55591553E+01          7.61487904E+01          9.15531198E+01          9.52836486E+01          1.35731787E+01
         75.0000          2.57855894E+01          7.71091505E+01          9.22786794E+01          9.59462406E+01          1.36968996E+01
         76.0000          2.60121633E+01          7.80694910E+01          9.30051523E+01          9.66103523E+01          1.38206294E+01
         77.0000          2.62388694E+01          7.90298119E+01          9.37324946E+01          9.72759153E+01          1.39443668E+01
         78.0000          2.64657006E+01          7.99901133E+01          9.44606644E+01          9.79428647E+01          1.40681106E+01
