#Energy      C-K-shell   N-K-shell   O-K-shell   Valence  Total
          0.1000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.16060614E+02          4.16060614E+02
          0.2000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.64523844E+02          2.64523844E+02
          0.3000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.94010385E+02          1.94010385E+02
          0.4000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.54761609E+02          1.54761609E+02
          0.5000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.29222071E+02          1.29222071E+02
          0.6000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11341253E+02          1.11341253E+02
          0.7000          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.81389282E+01          9.81389282E+01
          0.8000          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.79938581E+01          8.79938581E+01
          0.9000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.99678159E+01          7.99678159E+01
          1.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.34414628E+01          7.34414628E+01
          2.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.27584252E+01          4.27584252E+01
          3.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.17427765E+01          3.17427765E+01
          4.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.59062686E+01          2.59062686E+01
          5.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.22156079E+01          2.22156079E+01
          6.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.96306183E+01          1.96306183E+01
          7.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.76950931E+01          1.76950931E+01
          8.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.61756426E+01          1.61756426E+01
          9.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.49400044E+01          1.49400044E+01
         10.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.39073668E+01          1.39073668E+01
         11.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.30255560E+01          1.30255560E+01
         12.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.22593599E+01          1.22593599E+01
         13.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.15841989E+01          1.15841989E+01
         14.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.09824142E+01          1.09824142E+01
         15.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.04410745E+01          1.04410745E+01
         16.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.95055837E+00          9.95055837E+00
         17.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.50360668E+00          9.50360668E+00
         18.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.09470679E+00          9.09470679E+00
         19.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.71963895E+00          8.71963895E+00
         20.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.37515149E+00          8.37515149E+00
         21.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.05871458E+00          8.05871458E+00
         22.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.76832861E+00          7.76832861E+00
         23.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.50236567E+00          7.50236567E+00
         24.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.25944395E+00          7.25944395E+00
         25.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.03833002E+00          7.03833002E+00
         26.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.83786359E+00          6.83786359E+00
         27.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.65690683E+00          6.65690683E+00
         28.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.49431534E+00          6.49431534E+00
         29.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.34892715E+00          6.34892715E+00
         30.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.21956628E+00          6.21956628E+00
         31.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.10505463E+00          6.10505463E+00
         32.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.00422892E+00          6.00422892E+00
         33.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.91595740E+00          5.91595740E+00
         34.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.83915534E+00          5.83915534E+00
         35.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.77279686E+00          5.77279686E+00
         36.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.71592302E+00          5.71592302E+00
         37.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.66764631E+00          5.66764631E+00
         38.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.62715203E+00          5.62715203E+00
         39.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.59369724E+00          5.59369724E+00
         40.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.56660804E+00          5.56660804E+00
         41.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.54527548E+00          5.54527548E+00
         42.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.52915105E+00          5.52915105E+00
         43.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51774167E+00          5.51774167E+00
         44.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51060472E+00          5.51060472E+00
         45.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.50734317E+00          5.50734317E+00
         46.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.50760101E+00          5.50760101E+00
         47.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51105895E+00          5.51105895E+00
         48.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51743055E+00          5.51743055E+00
         49.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.52645862E+00          5.52645862E+00
         50.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.53791206E+00          5.53791206E+00
         51.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.55158297E+00          5.55158297E+00
         52.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.56728411E+00          5.56728411E+00
         53.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.58484662E+00          5.58484662E+00
