#Energy      Al   Cu  Total
          0.1000          7.32021743E+02          1.05514240E+04          6.84531301E+02
          0.2000          3.74835257E+02          5.30166230E+03          3.50083820E+02
          0.3000          2.54477222E+02          3.54778863E+03          2.37445626E+02
          0.4000          1.93798595E+02          2.66932251E+03          1.80680780E+02
          0.5000          1.57137788E+02          2.14146374E+03          1.46395480E+02
          0.6000          1.32548191E+02          1.78909832E+03          1.23405499E+02
          0.7000          1.14888092E+02          1.53711128E+03          1.06898213E+02
          0.8000          1.01576944E+02          1.34791567E+03          9.44586768E+01
          0.9000          9.11762006E+01          1.20061490E+03          8.47408726E+01
          1.0000          8.28200024E+01          1.08266270E+03          7.69347560E+01
          2.0000          4.46344730E+01          5.50022364E+02          4.12842447E+01
          3.0000          3.15489735E+01          3.71298979E+02          2.90782206E+01
          4.0000          2.48823154E+01          2.81498986E+02          2.28615341E+01
          5.0000          2.08268291E+01          2.27404319E+02          1.90794384E+01
          6.0000          1.80951952E+01          1.91219746E+02          1.65308727E+01
          7.0000          1.61291580E+01          1.65298417E+02          1.46952539E+01
          8.0000          1.46467038E+01          1.45807900E+02          1.33097155E+01
          9.0000          1.34897118E+01          1.30614528E+02          1.22269292E+01
         10.0000          1.25625136E+01          1.18435593E+02          1.13577882E+01
         11.0000          1.18037608E+01          1.08453338E+02          1.06451700E+01
         12.0000          1.11722627E+01          1.00121662E+02          1.00507329E+01
         13.0000          1.06393134E+01          9.30618890E+01          9.54776394E+00
         14.0000          1.01842806E+01          8.70031229E+01          9.11706852E+00
         15.0000          9.79194562E+00          8.17464195E+01          8.74449192E+00
         16.0000          9.45083113E+00          7.71423646E+01          8.41936199E+00
         17.0000          9.15211440E+00          7.30765490E+01          8.13347693E+00
         18.0000          8.88889916E+00          6.94598753E+01          7.88042737E+00
         19.0000          8.65571518E+00          6.62219177E+01          7.65513059E+00
         20.0000          8.44816655E+00          6.33062692E+01          7.45350305E+00
         21.0000          8.26267930E+00          6.06672156E+01          7.27222561E+00
         22.0000          8.09631724E+00          5.82673133E+01          7.10857211E+00
         23.0000          7.94664522E+00          5.60755982E+01          6.96028225E+00
         24.0000          7.81162627E+00          5.40662402E+01          6.82546582E+00
         25.0000          7.68954312E+00          5.22175205E+01          6.70252974E+00
         26.0000          7.57893761E+00          5.05110441E+01          6.59012175E+00
         27.0000          7.47856345E+00          4.89311265E+01          6.48708643E+00
         28.0000          7.38734893E+00          4.74643116E+01          6.39243057E+00
         29.0000          7.30436727E+00          4.60989890E+01          6.30529559E+00
         30.0000          7.22881290E+00          4.48250877E+01          6.22493547E+00
         31.0000          7.15998213E+00          4.36338290E+01          6.15069885E+00
         32.0000          7.09725752E+00          4.25175251E+01          6.08201445E+00
         33.0000          7.04009504E+00          4.14694148E+01          6.01837912E+00
         34.0000          6.98801338E+00          4.04835275E+01          5.95934799E+00
         35.0000          6.94058521E+00          3.95545712E+01          5.90452626E+00
         36.0000          6.89742973E+00          3.86778383E+01          5.85356232E+00
         37.0000          6.85820654E+00          3.78491270E+01          5.80614208E+00
         38.0000          6.82261037E+00          3.70646754E+01          5.76198401E+00
         39.0000          6.79036667E+00          3.63211049E+01          5.72083511E+00
         40.0000          6.76122782E+00          3.56153727E+01          5.68246735E+00
         41.0000          6.73496991E+00          3.49447312E+01          5.64667469E+00
         42.0000          6.71138996E+00          3.43066927E+01          5.61327049E+00
         43.0000          6.69030350E+00          3.36989996E+01          5.58208530E+00
         44.0000          6.67154256E+00          3.31195983E+01          5.55296493E+00
         45.0000          6.65495380E+00          3.25666166E+01          5.52576877E+00
         46.0000          6.64039698E+00          3.20383439E+01          5.50036835E+00
         47.0000          6.62774359E+00          3.15332145E+01          5.47664605E+00
         48.0000          6.61687563E+00          3.10497924E+01          5.45449400E+00
         49.0000          6.60768459E+00          3.05867577E+01          5.43381310E+00
         50.0000          6.60007047E+00          3.01428960E+01          5.41451213E+00
         51.0000          6.59394098E+00          2.97170870E+01          5.39650703E+00
         52.0000          6.58921082E+00          2.93082965E+01          5.37972018E+00
         53.0000          6.58580103E+00          2.89155675E+01          5.36407981E+00
         54.0000          6.58363839E+00          2.85380137E+01          5.34951949E+00
         55.0000          6.58265492E+00          2.81748127E+01          5.33597762E+00
         56.0000          6.58278744E+00          2.78252005E+01          5.32339702E+00
         57.0000          6.58397712E+00          2.74884665E+01          5.31172452E+00
         58.0000          6.58616912E+00          2.71639486E+01          5.30091068E+00
         59.0000          6.58931228E+00          2.68510294E+01          5.29090939E+00
         60.0000          6.59335879E+00          2.65491325E+01          5.28167767E+00
         61.0000          6.59826395E+00          2.62577190E+01          5.27317539E+00
         62.0000          6.60398588E+00          2.59762844E+01          5.26536502E+00
         63.0000          6.61048534E+00          2.57043562E+01          5.25821145E+00
         64.0000          6.61772550E+00          2.54414912E+01          5.25168181E+00
         65.0000          6.62567178E+00          2.51872734E+01          5.24574526E+00
         66.0000          6.63429166E+00          2.49413116E+01          5.24037289E+00
         67.0000          6.64355454E+00          2.47032381E+01          5.23553754E+00
         68.0000          6.65343161E+00          2.44727066E+01          5.23121367E+00
         69.0000          6.66389570E+00          2.42493906E+01          5.22737725E+00
         70.0000          6.67492117E+00          2.40329824E+01          5.22400569E+00
         71.0000          6.68648384E+00          2.38231913E+01          5.22107767E+00
         72.0000          6.69856082E+00          2.36197428E+01          5.21857310E+00
         73.0000          6.71113049E+00          2.34223773E+01          5.21647302E+00
         74.0000          6.72417237E+00          2.32308492E+01          5.21475954E+00
         75.0000          6.73766709E+00          2.30449258E+01          5.21341573E+00
         76.0000          6.75159626E+00          2.28643867E+01          5.21242560E+00
         76.9990          6.76592791E+00          2.26891957E+01          5.21177451E+00
         77.0000          6.76594246E+00          2.26890228E+01          5.21177402E+00
         77.0010          6.76595701E+00          2.26888500E+01          5.21177354E+00
         78.0000          6.78068914E+00          2.25186358E+01          5.21144666E+00
         79.0000          6.79582060E+00          2.23530371E+01          5.21142995E+00
         79.9990          6.81130622E+00          2.21922065E+01          5.21171058E+00
         80.0000          6.81132190E+00          2.21920478E+01          5.21171101E+00
         80.0010          6.81133758E+00          2.21918890E+01          5.21171143E+00
         81.0000          6.82717886E+00          2.20354975E+01          5.21227764E+00
         81.9990          6.84336159E+00          2.18833745E+01          5.21311729E+00
         82.0000          6.84337795E+00          2.18832243E+01          5.21311826E+00
         82.0010          6.84339432E+00          2.18830741E+01          5.21311923E+00
         83.0000          6.85990634E+00          2.17350740E+01          5.21422187E+00
         84.0000          6.87675175E+00          2.15908995E+01          5.21557801E+00
         85.0000          6.89390253E+00          2.14505609E+01          5.21717676E+00
         86.0000          6.91134752E+00          2.13139246E+01          5.21900867E+00
         87.0000          6.92907612E+00          2.11808630E+01          5.22106474E+00
         88.0000          6.94707818E+00          2.10512545E+01          5.22333642E+00
         89.0000          6.96534400E+00          2.09249828E+01          5.22581555E+00
         90.0000          6.98386434E+00          2.08019368E+01          5.22849436E+00
         91.0000          7.00263034E+00          2.06820102E+01          5.23136546E+00
         92.0000          7.02163354E+00          2.05651013E+01          5.23442176E+00
         93.0000          7.04086584E+00          2.04511128E+01          5.23765653E+00
         94.0000          7.06031947E+00          2.03399516E+01          5.24106334E+00
         95.0000          7.07998701E+00          2.02315282E+01          5.24463604E+00
         96.0000          7.09986134E+00          2.01257572E+01          5.24836875E+00
         97.0000          7.11993563E+00          2.00225563E+01          5.25225585E+00
         98.0000          7.14020335E+00          1.99218470E+01          5.25629200E+00
