#Energy      Zr  Total
          0.1000          2.73456458E+04          2.73456458E+04
          0.2000          1.37082198E+04          1.37082198E+04
          0.3000          9.15698894E+03          9.15698894E+03
          0.4000          6.87927439E+03          6.87927439E+03
          0.5000          5.51157545E+03          5.51157545E+03
          0.6000          4.59914439E+03          4.59914439E+03
          0.7000          3.94699871E+03          3.94699871E+03
          0.8000          3.45760676E+03          3.45760676E+03
          0.9000          3.07676379E+03          3.07676379E+03
          1.0000          2.77193554E+03          2.77193554E+03
          2.0000          1.39764273E+03          1.39764273E+03
          3.0000          9.37909028E+02          9.37909028E+02
          4.0000          7.07426439E+02          7.07426439E+02
          5.0000          5.68831892E+02          5.68831892E+02
          6.0000          4.76260792E+02          4.76260792E+02
          7.0000          4.10028869E+02          4.10028869E+02
          8.0000          3.60281562E+02          3.60281562E+02
          9.0000          3.21537840E+02          3.21537840E+02
         10.0000          2.90505612E+02          2.90505612E+02
         11.0000          2.65087851E+02          2.65087851E+02
         12.0000          2.43885249E+02          2.43885249E+02
         13.0000          2.25928209E+02          2.25928209E+02
         14.0000          2.10523588E+02          2.10523588E+02
         15.0000          1.97162681E+02          1.97162681E+02
         16.0000          1.85463671E+02          1.85463671E+02
         17.0000          1.75134370E+02          1.75134370E+02
         18.0000          1.65947362E+02          1.65947362E+02
         19.0000          1.57722988E+02          1.57722988E+02
         20.0000          1.50317429E+02          1.50317429E+02
         21.0000          1.43614185E+02          1.43614185E+02
         22.0000          1.37517883E+02          1.37517883E+02
         23.0000          1.31949688E+02          1.31949688E+02
         24.0000          1.26843869E+02          1.26843869E+02
         25.0000          1.22145180E+02          1.22145180E+02
         26.0000          1.17806849E+02          1.17806849E+02
         27.0000          1.13789014E+02          1.13789014E+02
         28.0000          1.10057489E+02          1.10057489E+02
         29.0000          1.06582789E+02          1.06582789E+02
         30.0000          1.03339348E+02          1.03339348E+02
         31.0000          1.00304888E+02          1.00304888E+02
         32.0000          9.74599072E+01          9.74599072E+01
         32.9990          9.47898513E+01          9.47898513E+01
         33.0000          9.47872595E+01          9.47872595E+01
         33.0010          9.47846679E+01          9.47846679E+01
         34.0000          9.22718098E+01          9.22718098E+01
         34.9990          8.99024506E+01          8.99024506E+01
         35.0000          8.99001466E+01          8.99001466E+01
         35.0010          8.98978428E+01          8.98978428E+01
         36.0000          8.76603437E+01          8.76603437E+01
         37.0000          8.55417599E+01          8.55417599E+01
         38.0000          8.35348700E+01          8.35348700E+01
         39.0000          8.16311225E+01          8.16311225E+01
         40.0000          7.98228183E+01          7.98228183E+01
         41.0000          7.81030065E+01          7.81030065E+01
         42.0000          7.64653958E+01          7.64653958E+01
         43.0000          7.49042784E+01          7.49042784E+01
         44.0000          7.34144632E+01          7.34144632E+01
         45.0000          7.19912189E+01          7.19912189E+01
         46.0000          7.06302244E+01          7.06302244E+01
         47.0000          6.93275247E+01          6.93275247E+01
         48.0000          6.80794933E+01          6.80794933E+01
         49.0000          6.68827987E+01          6.68827987E+01
         50.0000          6.57343748E+01          6.57343748E+01
         51.0000          6.46313952E+01          6.46313952E+01
         52.0000          6.35712501E+01          6.35712501E+01
         53.0000          6.25515259E+01          6.25515259E+01
         54.0000          6.15699871E+01          6.15699871E+01
         55.0000          6.06245603E+01          6.06245603E+01
         55.9990          5.97142141E+01          5.97142141E+01
         56.0000          5.97133193E+01          5.97133193E+01
         56.0010          5.97124246E+01          5.97124246E+01
         57.0000          5.88344730E+01          5.88344730E+01
         58.0000          5.79863531E+01          5.79863531E+01
         59.0000          5.71674040E+01          5.71674040E+01
         60.0000          5.63761735E+01          5.63761735E+01
         61.0000          5.56113042E+01          5.56113042E+01
         62.0000          5.48715259E+01          5.48715259E+01
         63.0000          5.41556488E+01          5.41556488E+01
         64.0000          5.34625571E+01          5.34625571E+01
         65.0000          5.27912037E+01          5.27912037E+01
         66.0000          5.21406042E+01          5.21406042E+01
         67.0000          5.15098333E+01          5.15098333E+01
         68.0000          5.08980195E+01          5.08980195E+01
         69.0000          5.03043418E+01          5.03043418E+01
         70.0000          4.97280259E+01          4.97280259E+01
         71.0000          4.91683411E+01          4.91683411E+01
         72.0000          4.86245970E+01          4.86245970E+01
         73.0000          4.80961408E+01          4.80961408E+01
         74.0000          4.75823550E+01          4.75823550E+01
         75.0000          4.70826549E+01          4.70826549E+01
         76.0000          4.65964863E+01          4.65964863E+01
         77.0000          4.61233240E+01          4.61233240E+01
         78.0000          4.56626694E+01          4.56626694E+01
         79.0000          4.52140490E+01          4.52140490E+01
         80.0000          4.47770129E+01          4.47770129E+01
         81.0000          4.43511336E+01          4.43511336E+01
         82.0000          4.39360041E+01          4.39360041E+01
         83.0000          4.35312370E+01          4.35312370E+01
         84.0000          4.31364634E+01          4.31364634E+01
         85.0000          4.27513315E+01          4.27513315E+01
         86.0000          4.23755058E+01          4.23755058E+01
         87.0000          4.20086665E+01          4.20086665E+01
         88.0000          4.16505080E+01          4.16505080E+01
