#Energy      Te   Pd  Total
          0.1000          1.15103769E+05          1.52760906E+05          6.56426834E+04
          0.2000          5.76400810E+04          7.65300098E+04          3.28776401E+04
          0.3000          3.84719681E+04          5.10967626E+04          2.19473136E+04
          0.4000          2.88826633E+04          3.83712523E+04          1.64788020E+04
          0.5000          2.31264034E+04          3.07314142E+04          1.31959874E+04
          0.6000          1.92873158E+04          2.56355128E+04          1.10064358E+04
          0.7000          1.65440858E+04          2.19938495E+04          9.44181701E+03
          0.8000          1.44859552E+04          1.92614040E+04          8.26790130E+03
          0.9000          1.28846737E+04          1.71353005E+04          7.35452848E+03
          1.0000          1.16032626E+04          1.54337651E+04          6.62358422E+03
          2.0000          5.83046904E+03          7.76596673E+03          3.33022782E+03
          3.0000          3.90208166E+03          5.20307683E+03          2.22981628E+03
          4.0000          2.93632715E+03          3.91900481E+03          1.67861750E+03
          5.0000          2.35609647E+03          3.14725566E+03          1.34740387E+03
          6.0000          1.96882727E+03          2.63200514E+03          1.12630999E+03
          7.0000          1.69192262E+03          2.26349550E+03          9.68205919E+02
          8.0000          1.48405285E+03          1.98679515E+03          8.49506806E+02
          9.0000          1.32224127E+03          1.77135990E+03          7.57099910E+02
         10.0000          1.19269316E+03          1.59884851E+03          6.83112023E+02
         11.0000          1.08662485E+03          1.45758050E+03          6.22529620E+02
         12.0000          9.98177322E+02          1.33976343E+03          5.72008281E+02
         13.0000          9.23292203E+02          1.23999891E+03          5.29231280E+02
         14.0000          8.59069207E+02          1.15442853E+03          4.92542894E+02
         15.0000          8.03380445E+02          1.08022108E+03          4.60728281E+02
         16.0000          7.54629273E+02          1.01525191E+03          4.32875844E+02
         17.0000          7.11594193E+02          9.57895412E+02          4.08288144E+02
         18.0000          6.73324751E+02          9.06886530E+02          3.86422471E+02
         19.0000          6.39070286E+02          8.61226034E+02          3.66850175E+02
         20.0000          6.08230030E+02          8.20114141E+02          3.49228189E+02
         21.0000          5.80317465E+02          7.82903096E+02          3.33278673E+02
         22.0000          5.54934383E+02          7.49062672E+02          3.18774211E+02
         23.0000          5.31751713E+02          7.18154659E+02          3.05526861E+02
         24.0000          5.10495132E+02          6.89813722E+02          2.93379946E+02
         25.0000          4.90934133E+02          6.63732847E+02          2.82201809E+02
         26.0000          4.72873607E+02          6.39652148E+02          2.71881003E+02
         27.0000          4.56147296E+02          6.17350151E+02          2.62322563E+02
         28.0000          4.40612650E+02          5.96636944E+02          2.53445059E+02
         29.0000          4.26146742E+02          5.77348749E+02          2.45178270E+02
         30.0000          4.12643004E+02          5.59343573E+02          2.37461317E+02
         31.0000          4.00008593E+02          5.42497698E+02          2.30241159E+02
         32.0000          3.88162246E+02          5.26702833E+02          2.23471372E+02
         33.0000          3.77032533E+02          5.11863778E+02          2.17111146E+02
         34.0000          3.66556408E+02          4.97896506E+02          2.11124460E+02
         35.0000          3.56678016E+02          4.84726568E+02          2.05479402E+02
         36.0000          3.47347695E+02          4.72287766E+02          2.00147596E+02
         37.0000          3.38521142E+02          4.60521038E+02          1.95103727E+02
         38.0000          3.30158706E+02          4.49373523E+02          1.90325140E+02
         39.0000          3.22224793E+02          4.38797769E+02          1.85791496E+02
         40.0000          3.14687364E+02          4.28751054E+02          1.81484486E+02
         41.0000          3.07517495E+02          4.19194813E+02          1.77387582E+02
         42.0000          3.00689014E+02          4.10094144E+02          1.73485827E+02
         43.0000          2.94178175E+02          4.01417382E+02          1.69765652E+02
         44.0000          2.87963389E+02          3.93135734E+02          1.66214718E+02
         45.0000          2.82024980E+02          3.85222959E+02          1.62821780E+02
         45.9990          2.76350535E+02          3.77662493E+02          1.59579744E+02
         46.0000          2.76344978E+02          3.77655089E+02          1.59576570E+02
         46.0010          2.76339422E+02          3.77647687E+02          1.59573395E+02
         47.0000          2.70906941E+02          3.70410194E+02          1.56469689E+02
         47.9990          2.65700895E+02          3.63474958E+02          1.53495436E+02
         48.0000          2.65695793E+02          3.63468161E+02          1.53492521E+02
         48.0010          2.65690690E+02          3.63461364E+02          1.53489606E+02
         49.0000          2.60697685E+02          3.56810520E+02          1.50637151E+02
         50.0000          2.55899876E+02          3.50420269E+02          1.47896295E+02
         51.0000          2.51290618E+02          3.44281739E+02          1.45263241E+02
         52.0000          2.46859068E+02          3.38380463E+02          1.42731790E+02
         53.0000          2.42595198E+02          3.32703059E+02          1.40296209E+02
         54.0000          2.38489721E+02          3.27237137E+02          1.37951191E+02
         55.0000          2.34534024E+02          3.21971205E+02          1.35691811E+02
         56.0000          2.30720108E+02          3.16894587E+02          1.33513498E+02
         56.9990          2.27044148E+02          3.12002167E+02          1.31414063E+02
         57.0000          2.27040533E+02          3.11997357E+02          1.31411998E+02
         57.0010          2.27036918E+02          3.11992546E+02          1.31409934E+02
         58.0000          2.23488372E+02          3.07270269E+02          1.29383352E+02
         59.0000          2.20057166E+02          3.02704703E+02          1.27423867E+02
         60.0000          2.16740885E+02          2.98292612E+02          1.25530097E+02
         61.0000          2.13533894E+02          2.94026476E+02          1.23698819E+02
         62.0000          2.10430922E+02          2.89899256E+02          1.21927020E+02
         62.9990          2.07429985E+02          2.85908293E+02          1.20213565E+02
         63.0000          2.07427029E+02          2.85904362E+02          1.20211877E+02
         63.0010          2.07424073E+02          2.85900431E+02          1.20210189E+02
         64.0000          2.04517585E+02          2.82035612E+02          1.18550741E+02
         65.0000          2.01698244E+02          2.78287205E+02          1.16941129E+02
         66.0000          1.98964922E+02          2.74653688E+02          1.15380706E+02
         67.0000          1.96313779E+02          2.71129936E+02          1.13867276E+02
         68.0000          1.93741199E+02          2.67711122E+02          1.12398771E+02
         69.0000          1.91243778E+02          2.64392699E+02          1.10973245E+02
         70.0000          1.88818302E+02          2.61170379E+02          1.09588862E+02
         71.0000          1.86461741E+02          2.58040114E+02          1.08243888E+02
         72.0000          1.84171232E+02          2.54998081E+02          1.06936685E+02
         73.0000          1.81944067E+02          2.52040666E+02          1.05665707E+02
         74.0000          1.79777685E+02          2.49164450E+02          1.04429489E+02
         75.0000          1.77669663E+02          2.46366194E+02          1.03226644E+02
         76.0000          1.75617702E+02          2.43642831E+02          1.02055860E+02
         77.0000          1.73619624E+02          2.40991452E+02          1.00915889E+02
         78.0000          1.71673363E+02          2.38409297E+02          9.98055508E+01
         79.0000          1.69776956E+02          2.35893744E+02          9.87237228E+01
         80.0000          1.67928537E+02          2.33442304E+02          9.76693387E+01
         81.0000          1.66126336E+02          2.31052608E+02          9.66413848E+01
         82.0000          1.64368664E+02          2.28722405E+02          9.56388967E+01
         83.0000          1.62653917E+02          2.26449550E+02          9.46609562E+01
         84.0000          1.60980565E+02          2.24232000E+02          9.37066890E+01
         85.0000          1.59347151E+02          2.22067809E+02          9.27752616E+01
         86.0000          1.57752285E+02          2.19955121E+02          9.18658792E+01
         87.0000          1.56194641E+02          2.17892164E+02          9.09777835E+01
         88.0000          1.54672954E+02          2.15877247E+02          9.01102506E+01
         89.0000          1.53186013E+02          2.13908755E+02          8.92625889E+01
         90.0000          1.51732664E+02          2.11985144E+02          8.84341375E+01
         91.0000          1.50311802E+02          2.10104938E+02          8.76242647E+01
         92.0000          1.48922369E+02          2.08266726E+02          8.68323659E+01
         92.9990          1.47564698E+02          2.06470932E+02          8.60586285E+01
         93.0000          1.47563354E+02          2.06469155E+02          8.60578625E+01
         93.0010          1.47562010E+02          2.06467377E+02          8.60570965E+01
         94.0000          1.46233788E+02          2.04710931E+02          8.53002006E+01
         95.0000          1.44932744E+02          2.02990815E+02          8.45588494E+01
         96.0000          1.43659331E+02          2.01307619E+02          8.38333003E+01
         97.0000          1.42412698E+02          1.99660203E+02          8.31230654E+01
         98.0000          1.41192025E+02          1.98047473E+02          8.24276770E+01
